,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5
1975-09-01,0.04201162,-0.07261436,-0.019730711,-0.007784891,0.00456357
1975-10-01,0.0375823,-0.0322134,-0.022280931,0.0032213689,-0.048185874
1975-11-01,-0.006040049,-0.022952031,-0.170731,-0.031139636,-0.02832098
1975-12-01,0.13207492,-0.021878267,-0.05999746,-0.0030871392,-0.053689003
1976-01-01,-0.035804223,-0.048409462,-0.104998924,-0.035401933,-0.062087487
1976-02-01,-0.02118752,-0.0021455765,-0.08863893,-0.022528505,0.03821801
1976-03-01,0.17580278,-0.022662599,-0.12417497,-0.021455716,0.021858012
1976-04-01,0.066512726,-0.013275718,-0.044654716,-0.0010727883,-0.019444238
1976-05-01,0.0017432689,-0.012739325,0.004827547,-0.020919323,-0.0131416265
1976-06-01,-0.030708492,0.0540416,0.01863966,-0.0674514,-0.04358194
1976-07-01,-0.029099321,-0.00992327,0.027356029,0.0018773794,-0.008314097
1976-08-01,-0.04814127,0.014884913,0.028562903,-0.05524845,0.026283264
1976-09-01,-0.020248836,-0.017298674,-0.019041944,0.010996056,0.038486194
1976-10-01,0.030306209,0.0025478662,-0.02762425,-0.026685547,-0.062087476
1976-11-01,0.030842602,0.0050957324,-0.1287343,-0.034195065,-0.02869702
1976-12-01,0.10325563,-0.01810326,-0.06490354,0.009118682,-0.062087487
1977-01-01,0.060052615,0.003883314,-0.011372554,-0.06365854,-0.022051657
1977-02-01,0.17488764,-0.050205648,-0.07849833,-0.009153521,-0.046738386
1977-03-01,0.123017706,0.022883791,-0.001941657,-0.040774744,-0.02829268
1977-04-01,0.04035868,0.010956478,-0.010817796,-0.026628423,-0.060884736
1977-05-01,-0.019832611,-0.007350552,0.0187231,-0.0042993785,-0.003467238
1977-06-01,-0.013452893,-0.014701104,0.018029654,-0.013730275,-0.107207075
1977-07-01,-0.029124822,-0.023854624,0.030789113,-0.022190344,0.08335246
1977-08-01,0.016226688,0.02829268,0.013036823,0.024132002,-0.008737445
1977-09-01,-0.00083214045,0.0049928306,-0.00069345237,0.018168354,0.007211861
1977-10-01,0.0951411,-0.025241518,-0.020664757,-0.009846961,-0.01927786
1977-11-01,0.019555282,0.010956481,-0.12246295,-0.022190338,-0.04091344
1977-12-01,0.16767578,-0.033840276,-0.008043999,0.005408895,-0.03175988
1978-01-01,0.122682,-0.009302902,-0.08593552,0.030001849,-0.013721776
1978-02-01,0.10163418,-0.0005814314,-0.14942783,0.00546546,-0.0045351624
1978-03-01,0.07070203,-0.015931213,-0.17780164,0.016861504,0.0024420023
1978-04-01,0.14582293,0.024536382,-0.086516954,-0.047212195,-0.020001233
1978-05-01,-0.035234727,-0.020233799,-0.010582042,-0.053259134,-0.02581554
1978-06-01,-0.048840217,0.0022094487,0.008372617,-0.018605793,0.059422266
1978-07-01,-0.0447702,-0.014419496,0.00546546,0.019070959,0.116518795
1978-08-01,-0.02581554,-0.01139605,0.0463982,0.056166254,0.072330035
1978-09-01,-0.038607024,-0.030350696,-0.004651451,0.06593428,0.061980557
1978-10-01,0.011512339,-0.039188456,-0.06558542,0.0070934533,0.037444163
1978-11-01,-0.039653588,-0.020350099,-0.061864268,0.048840214,-0.08395867
1978-12-01,-0.0009303093,-0.018373227,-0.07581861,0.015233499,0.021745538
1979-01-01,0.0065438985,-0.021118954,-0.04669965,-0.070049465,-0.0025283217
1979-02-01,0.008774782,-0.015764857,-0.10708201,-0.07629593,0.022308752
1979-03-01,0.035247825,-0.0090722265,-0.06350558,-0.03480164,-0.0065438985
1979-04-01,0.11600552,-0.005502826,-0.019185543,0.016062304,-0.03257078
1979-05-01,-0.004015571,-0.0014872551,-0.015764844,0.027365398,-0.0056515513
1979-06-01,-0.024390906,-0.004610473,-0.016657185,-0.008031154,0.03896594
1979-07-01,-0.03777615,-0.05086395,-0.009964585,0.021565128,0.0035694004
1979-08-01,-0.045361124,0.0050566494,0.020077873,-0.063059404,-0.028109029
1979-09-01,-0.030191172,-0.012641633,-0.011600542,0.048930526,-0.0098158475
1979-10-01,-0.0031232238,-0.014128876,-0.0077337027,0.054582078,0.016954655
1979-11-01,-0.030042458,0.004610473,-0.06692624,-0.026324326,-0.031083524
1979-12-01,-0.05041778,-0.0077337027,0.032273322,0.026770502,-0.026919227
1980-01-01,0.071548246,0.010914147,-0.06602383,-0.0018863917,0.0102404235
1980-02-01,0.14606084,-0.0269485,-0.013743734,-0.006063414,-0.0016169071
1980-03-01,0.14767773,0.018459726,-0.029643346,-0.036649954,0.0
1980-04-01,0.1154743,-0.009701455,-0.055379163,-0.089334264,-0.009027744
1980-05-01,-0.03179922,-0.0014821648,0.013743734,-0.027756954,0.03166448
1980-06-01,-0.054570697,0.020211374,0.016169095,-0.065619566,0.00080845354
1980-07-01,-0.042174388,-0.053896982,0.013339495,-0.07410836,0.11129727
1980-08-01,-0.004311764,0.009162486,0.0010779619,-0.035976242,0.06952711
1980-09-01,-0.026274776,0.04136594,-0.039479543,-0.017516524,0.024792612
1980-10-01,0.04109645,0.021963011,-0.063194215,-0.027352715,-0.0136089865
1980-11-01,0.06535008,-0.0074108304,-0.09970943,-0.019807149,0.0074108364
1980-12-01,0.022906208,-0.014552188,-0.15616652,-0.026813751,0.00821929
1981-01-01,-0.0200099,0.0036637306,-0.032974053,-0.019164419,-0.0064821243
1981-02-01,0.08793082,0.014796066,-0.05608406,-0.0156415,0.01113224
1981-03-01,-0.060734272,0.0076093674,-0.08680348,-0.012682247,-0.037624262
1981-04-01,0.042978954,-0.0008455276,-0.06890736,-0.00056371687,-0.0040864944
1981-05-01,0.018177986,-0.058479596,-0.001831913,0.06270714,0.0046502114
1981-06-01,0.018318892,0.025646497,0.011836815,-0.04748831,-0.06073432
1981-07-01,0.011836815,0.0171916,0.017332505,-0.019305324,0.040160656
1981-08-01,-0.042697143,0.004932022,0.00028181076,-0.012259578,0.05087023
1981-09-01,-0.0023955344,0.0009863854,-0.009300375,-0.017191697,0.042415332
1981-10-01,0.0011273384,0.002254629,-0.019587183,0.04213352,-0.046501923
1981-11-01,0.039315224,-0.010850477,-0.05495677,0.0032410622,-0.021559905
1981-12-01,0.08412609,0.00915947,-0.09201737,-0.004509306,0.007609463
1982-01-01,0.070522115,-0.020225216,-0.0984648,-0.026612092,0.0117093325
1982-02-01,0.02927332,-0.00319345,-0.012241578,-0.015834188,0.016499495
1982-03-01,0.09061422,0.013971353,-0.05881276,-0.016366482,0.007052207
1982-04-01,0.1443707,-0.011709308,-0.03858757,-0.004257941,0.021289682
1982-05-01,-0.011044025,-0.018894602,-0.0017298221,-0.01463666,0.010511803
1982-06-01,0.0030603886,-0.004657102,-0.015568065,-0.018894624,0.02395091
1982-07-01,-0.009846449,0.018894602,0.0033265115,0.0011975765,-0.018229295
1982-08-01,-0.0010644912,-0.007983637,0.016233396,-0.04643812,0.052691985
1982-09-01,-0.04071653,-0.0090481285,-0.026878214,0.015435028,0.017164802
1982-10-01,-0.015435005,-0.007185268,-0.046172,-0.011177063,0.026878238
1982-11-01,0.013705229,-0.030071687,-0.0065199374,-0.011310148,-0.020092154
1982-12-01,-0.0522928,-0.0027942657,-0.13851604,-0.04058347,-0.013971353
1983-01-01,0.14527196,-0.013682121,-0.069081314,-0.032193236,0.015560055
1983-02-01,0.26478934,-0.036217384,-0.075788245,-0.05083848,0.04560708
1983-03-01,0.1733069,-0.026156997,-0.07243478,-0.026559418,0.031522542
1983-04-01,0.037827052,-0.011133492,-0.04104637,0.03581497,-0.02280354
1983-05-01,0.06358163,0.008182448,-0.008719003,-0.01971836,0.09215313
1983-06-01,-0.04560708,-0.016230762,-0.016901445,-0.066264406,0.08531207
1983-07-01,-0.059289206,-0.020791462,0.016767312,0.08423896,-0.059289206
1983-08-01,-0.02293768,-0.030717706,0.029778743,-0.021730434,0.13105328
1983-09-01,-0.007243478,-0.027095973,0.0026827692,0.04641191,0.06894717
1983-10-01,-0.01945008,-0.006572786,-0.034339447,-0.015828336,0.00201208
1983-11-01,0.06827648,-0.015560066,-0.0390343,-0.00026827454,-0.035412557
1983-12-01,0.17598966,-0.007109341,-0.111334935,-0.03474186,-0.007914173
1984-01-01,0.11116338,-0.037673496,-0.059030674,-0.0051734685,0.011010194
1984-02-01,0.06075517,0.0065000057,-0.10917358,0.022683691,0.008622455
1984-03-01,0.040857174,-0.022683691,-0.06102047,0.01724491,-0.02997961
1984-04-01,0.11355114,-0.008755112,-0.032897998,0.034357168,0.0334286
1984-05-01,0.02944901,-0.022551036,-0.012469411,-0.06460209,0.026663303
1984-06-01,-0.023744917,-0.029581666,0.015918385,-0.02082653,0.0009285927
1984-07-01,-0.040326558,0.010214305,0.025336754,0.036612272,-0.009948993
1984-08-01,0.00689795,-0.011408186,0.016581643,0.08224499,-0.07853069
1984-09-01,-0.017510224,-0.0049081566,-0.050408207,0.08343887,-0.0075612306
1984-10-01,0.012867356,0.0038469553,-0.06287762,-0.04550004,0.041387774
1984-11-01,0.015653063,-0.021224499,-0.04337759,-0.0015918494,-0.0002653122
1984-12-01,0.002387762,0.02215309,-0.037408195,-0.06645925,0.026530648
1985-01-01,0.116166614,0.008020687,-0.029141927,-0.021388555,0.023527432
1985-02-01,0.015640426,-0.050129436,0.042108715,0.037296295,0.012031078
1985-03-01,-0.02981031,-0.0008020878,-0.07459259,-0.041841365,0.01443727
1985-04-01,0.036494207,-0.023527408,0.0020051836,-0.013100505,0.02379477
1985-05-01,-0.017912924,-0.039301466,-0.016977167,0.039969873,0.028607178
1985-06-01,-0.017779242,-0.006817603,-0.0026735663,-0.007218647,0.028607225
1985-07-01,-0.008689093,-0.051198862,0.027270412,0.0024062158,0.050129425
1985-08-01,-0.037296295,-0.024596835,-0.0025398969,0.034088016,0.048391603
1985-09-01,-0.018046593,-0.03128078,0.0077533484,0.0017378211,0.09705057
1985-10-01,-0.013635206,-0.01483829,-0.005079782,0.032884907,0.050396778
1985-11-01,0.044113897,-0.00093574525,-0.10333346,-0.0037429929,-0.015907764
1985-12-01,0.06830971,-0.016041422,-0.09664953,-0.025131559,0.018581295
