,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5
1965-01-01,0.0020518436536399857,6.477868095423807e-05,0.00010248782119661983,3.722089598932865e-05,1.165200260009352e-05
1965-02-01,0.002253782521519396,6.568125065635232e-05,0.00010161490839285155,3.7961581256240606e-05,1.3932023850631796e-05
1965-03-01,0.0020512298861932424,6.716976178508691e-05,0.00010177024200351702,3.906580743551742e-05,1.6939737426223416e-05
1965-04-01,0.0019429615349508822,6.595066224690527e-05,9.757775438225103e-05,4.385459154339818e-05,1.35452921066094e-05
1965-05-01,0.0015721263480372727,6.457659765146673e-05,9.629121147251377e-05,5.872320004513428e-05,1.361257338071426e-05
1965-06-01,0.0016429933667596844,6.894343909259667e-05,9.256017316753665e-05,5.7363553106182416e-05,9.099298556885727e-06
1965-07-01,0.0011748846898424544,7.522154619972057e-05,8.997511435558813e-05,5.445835995487869e-05,9.013869494981603e-06
1965-08-01,0.0012135501795758805,7.182274095933227e-05,9.012326093701024e-05,5.674480364957292e-05,9.535067223578713e-06
1965-09-01,0.0015076172227660816,6.66784035274759e-05,9.203924693995052e-05,5.371265803068314e-05,5.158789811244832e-06
1965-10-01,0.0016976319279314743,6.221999201978393e-05,8.962765504192146e-05,5.0014437470559235e-05,1.08753985482452e-05
1965-11-01,0.0018919384779615535,6.462803011184886e-05,9.326648271073484e-05,4.423883428754625e-05,1.2486867086004671e-05
1965-12-01,0.002111086117414137,6.447946361731738e-05,9.99954419158813e-05,4.519704758884415e-05,1.493507973205896e-05
1966-01-01,0.002025072171818465,6.749204390764455e-05,9.57332263674794e-05,3.8583570246359274e-05,1.2401379075369878e-05
1966-02-01,0.002165125624742359,6.439598270363229e-05,0.00010079875614287125,3.784693728361855e-05,1.483079437475456e-05
1966-03-01,0.0021529962800236214,6.470572877921822e-05,0.0001023531270523866,4.194344722828458e-05,1.3801417042958307e-05
1966-04-01,0.0021270089847449628,6.678747441208757e-05,0.00010048703794988492,4.359698077822695e-05,1.5501463627672674e-05
1966-05-01,0.0020149003830738366,6.299337067449575e-05,9.613056641278995e-05,5.574375603510628e-05,8.806822464706514e-06
1966-06-01,0.001475026915108578,7.300039321896347e-05,8.906046989270383e-05,5.3459191962795714e-05,1.10835246209998e-05
1966-07-01,0.0013961298261872597,7.179510944029865e-05,9.123605397892081e-05,5.6521948574790876e-05,8.942979435726746e-06
1966-08-01,0.0012931607974072299,7.212958093184759e-05,9.383051494498634e-05,5.565542677585553e-05,1.4029402662367548e-05
1966-09-01,0.0013653373268122475,6.886182852801593e-05,9.267020181545781e-05,5.5110720293467035e-05,6.9071586354474686e-06
1966-10-01,0.0019303865782502626,6.344063234898974e-05,9.617970337987774e-05,5.169020888778115e-05,1.0402820609872126e-05
1966-11-01,0.0019983789469632837,6.308441002414946e-05,9.845755509256074e-05,4.949793831670716e-05,1.3949862297949161e-05
1966-12-01,0.0022777632693760097,6.209614666124039e-05,0.00010204749641060414,4.319835358136703e-05,1.4060968865516858e-05
1967-01-01,0.002263439980904675,6.322809734710437e-05,0.00010306931572914537,4.019721162631103e-05,1.799847347155949e-05
1967-02-01,0.002543274280873852,6.104193744249642e-05,0.00010259413910615775,3.5639693253740135e-05,1.734669026911523e-05
1967-03-01,0.0020703745475556287,6.951868486152415e-05,0.0001014909826658873,3.544170780630324e-05,1.3836232724708768e-05
1967-04-01,0.0020563568493040902,6.48762087460936e-05,0.00010034412197354766,4.066935486792188e-05,1.4133822759627767e-05
1967-05-01,0.0018333946678063108,6.490448654136238e-05,9.784950331474343e-05,5.2299906706644426e-05,1.4561953355075307e-05
1967-06-01,0.0017553684301674366,6.935177011387971e-05,9.339039226890438e-05,5.5378295078371016e-05,5.676128924357199e-06
1967-07-01,0.0012894722102727327,7.340465398395762e-05,8.690464407360803e-05,5.433276018020623e-05,8.052960833150858e-06
1967-08-01,0.001038919920877864,7.724308114334503e-05,8.855057078310185e-05,5.233244063140499e-05,4.892913070593581e-06
1967-09-01,0.0013431334486489908,7.012935598408256e-05,8.8657866904719e-05,5.1331115837600675e-05,6.002998513091976e-06
1967-10-01,0.0017945413775224653,6.278986642000211e-05,9.404764568898827e-05,5.2720048505949627e-05,6.8117363601534935e-06
1967-11-01,0.002099934661398745,6.49966301245834e-05,9.798267759227504e-05,4.037520551401752e-05,1.3302787134127783e-05
1967-12-01,0.001946241536643356,6.921812789240743e-05,9.968202599945167e-05,3.759918659592846e-05,1.4796334631054053e-05
1968-01-01,0.002093228977173567,6.853219768826795e-05,0.00010292861487768176,3.591818197506539e-05,1.5937044219843997e-05
1968-02-01,0.0023814561750946776,6.922253198675153e-05,0.00010385946855725099,3.580862539820373e-05,1.0698373825792338e-05
1968-03-01,0.002069740407427566,6.405538228778717e-05,9.820643754210323e-05,3.9437621862383645e-05,1.5942217111314452e-05
1968-04-01,0.0018233983104841576,6.763322316521011e-05,9.823558987894405e-05,4.29259988965304e-05,1.2510318575314832e-05
1968-05-01,0.0017887269172610508,6.76331076058833e-05,9.925682712087614e-05,5.065574817034224e-05,1.6445927839312288e-05
1968-06-01,0.0013748159593281648,7.086750188404147e-05,9.17338184081018e-05,5.3575921998662315e-05,1.1935686348739114e-05
1968-07-01,0.0011764153896365315,7.657957372858244e-05,8.933490284511613e-05,5.3683738986451534e-05,8.957636897253838e-06
1968-08-01,0.0012462405720725656,7.32694153317853e-05,9.05736265445335e-05,5.3532700789334726e-05,1.1848806025227532e-05
1968-09-01,0.001529175885176907,6.574098198838971e-05,9.064385570430507e-05,5.589477113394495e-05,6.2938060754849745e-06
1968-10-01,0.0018678877192238967,6.362492807538194e-05,9.298630983620467e-05,4.974427856578832e-05,1.139119994161179e-05
1968-11-01,0.0019847222978973556,6.242968939819976e-05,9.633914386439654e-05,4.5430893113093806e-05,1.1918297034607809e-05
1968-12-01,0.002175266369401167,6.261693402741323e-05,0.00010155197944388622,3.9712892704835484e-05,1.5723844064919875e-05
1969-01-01,0.002566204865514818,6.25361708978958e-05,0.00010179333912674338,3.686426579305488e-05,9.975751091576652e-06
1969-02-01,0.00252668154037868,6.349558294887709e-05,0.00010303676794541793,3.5156086047959794e-05,1.2695191900194104e-05
1969-03-01,0.002109622518118057,6.629822618218467e-05,9.448236798764103e-05,4.017587314823657e-05,1.352046514691693e-05
1969-04-01,0.0019918341422453523,6.551200760227136e-05,0.00010076144664910519,4.074433332240756e-05,1.7152213353885016e-05
1969-05-01,0.001640067138295207,6.71158212593154e-05,9.516271044655392e-05,5.4339903322721104e-05,1.0181656200726182e-05
1969-06-01,0.001611169621658822,6.828231990392156e-05,9.711832616529944e-05,5.657956001139985e-05,8.478824990258241e-06
1969-07-01,0.0012062957264586456,7.530333652325414e-05,8.788023680810713e-05,5.2991747777144026e-05,9.299693363258776e-06
1969-08-01,0.0011654018534399155,7.464850889792775e-05,9.059937535009037e-05,5.035047699551334e-05,1.2153184708253836e-05
1969-09-01,0.0013764236225850054,6.705435653737582e-05,9.101322373478777e-05,5.475684889778864e-05,6.358248827853929e-06
1969-10-01,0.0016868838833438025,6.594319797038813e-05,8.728430354191612e-05,5.0846067876721334e-05,8.82445150367588e-06
1969-11-01,0.001999163618569987,6.367143856443684e-05,0.00010020065625819066,4.9300627050263485e-05,1.2789062981746723e-05
1969-12-01,0.0022331758777404,6.213982808677589e-05,9.792046815467377e-05,4.343647228707264e-05,1.4079723544533788e-05
1970-01-01,0.0021898653358221054,7.102955030003453e-05,0.00010300960437032497,3.5498298587746885e-05,1.1593099905574625e-05
1970-02-01,0.0023193798066737754,6.652860868010012e-05,0.00010009319844862653,3.750976883032034e-05,1.3256237847891486e-05
1970-03-01,0.002407900562199454,6.652879271902802e-05,0.00010234017584783335,3.683494830352535e-05,1.6616341321266337e-05
1970-04-01,0.0020142706085203425,6.484929198289618e-05,9.689518062966979e-05,4.410188315281024e-05,1.3899876020006535e-05
1970-05-01,0.0019470418919809163,6.605614651241066e-05,9.478529844070888e-05,5.511439147604895e-05,1.1579180145305639e-05
1970-06-01,0.0015383413281395205,7.01754042358302e-05,8.973175782658573e-05,5.373085225564576e-05,1.1849728993924885e-05
1970-07-01,0.0014411811005427607,7.426363641998785e-05,9.231299271858814e-05,5.176506751994898e-05,8.769368686904428e-06
1970-08-01,0.0010464885336760846,7.404533201171195e-05,8.525487727537337e-05,5.449741336864434e-05,8.143456117393747e-06
1970-09-01,0.0014106199766198795,7.099386814789956e-05,8.88562014248843e-05,5.180912748550154e-05,1.077733368556774e-05
1970-10-01,0.00156892557343882,6.443864549510181e-05,9.02604127380376e-05,5.448733530116327e-05,9.352021870766707e-06
1970-11-01,0.0018191577206986647,6.103536340079325e-05,9.335167608999957e-05,5.08431805919538e-05,1.4530244552139422e-05
1970-12-01,0.002377635973971337,5.9155585511368426e-05,0.0001018274310303645,4.298073026658376e-05,1.91210504307952e-05
