,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11,msl_cluster12
1966-04-01,1018.8718,1016.63556,1015.6053,1010.4981,1013.0893,1018.8393,1017.02545,1016.6756,1009.8597,1011.96204,1013.702,1016.98914
1966-05-01,1022.2429,1021.05804,1014.0043,1012.1967,1008.3106,1013.32086,1008.08344,1012.1304,1011.7768,1010.39923,1013.0918,1016.6117
1966-06-01,1023.37756,1019.50146,1018.29474,1012.56104,1017.18634,1024.061,1019.6023,1019.3988,1012.84143,1016.8502,1019.66736,1018.2773
1966-07-01,1020.563,1019.55096,1016.4059,1011.7668,1010.89056,1017.45294,1013.86414,1011.1797,1011.6072,1008.70306,1016.1692,1014.3642
1966-08-01,1022.77484,1022.88873,1019.1259,1013.12994,1012.15735,1021.5888,1019.7224,1017.1125,1012.2324,1013.9824,1018.35236,1020.3865
1966-09-01,1017.1356,1025.2509,1020.0379,1013.2145,1018.4869,1024.5942,1021.038,1020.2431,1012.3445,1016.8083,1017.7296,1016.5391
1966-10-01,1017.51306,1025.4644,1020.13794,1012.9059,1017.488,1023.4709,1018.89685,1022.96954,1011.0758,1019.683,1016.35205,1018.532
1966-11-01,1013.8297,1021.7365,1017.90857,1011.68475,1015.2611,1023.4451,1015.4051,1020.8728,1009.354,1017.9336,1014.80237,1013.68256
1966-12-01,1012.0277,1019.16724,1017.0874,1011.144,1018.77856,1020.79266,1016.5285,1019.2286,1008.0002,1015.4476,1015.7349,1016.4177
1967-01-01,1008.87897,1020.2896,1017.33936,1011.16174,1016.12396,1020.947,1014.1054,1019.18164,1006.5346,1017.33716,1011.8844,1013.8283
1967-02-01,1012.22906,1020.5994,1019.1933,1011.3518,1020.6154,1021.6291,1016.8496,1021.3367,1007.81165,1019.4966,1013.5467,1017.3205
1967-03-01,1016.44617,1022.1014,1017.7399,1010.5036,1021.3766,1021.6523,1020.31866,1021.1102,1007.19275,1019.7447,1012.73474,1016.1697
1967-04-01,1020.6379,1021.7234,1018.2006,1011.06305,1017.7805,1017.5295,1018.0853,1020.2106,1009.8658,1020.6183,1012.8219,1018.8653
1967-05-01,1022.0034,1018.10345,1018.39655,1010.97595,1014.157,1018.56055,1018.87036,1021.43677,1010.1756,1014.15546,1016.51794,1019.9144
