,vws_u250-50_cluster1,vws_u250-50_cluster2,vws_u250-50_cluster3,vws_u250-50_cluster4,vws_u250-50_cluster5,vws_u250-50_cluster6,vws_u250-50_cluster7,vws_u250-50_cluster8,vws_u250-50_cluster9,vws_u250-50_cluster10,vws_u250-50_cluster11,vws_u250-50_cluster12
1965-01-01,-18.310202105747553,-37.23463892969052,14.064688972539408,-24.851696741678523,-21.06417020781888,-43.722545220741516,-30.32417789015352,-29.190952372822256,-23.959283380775275,-31.94155429175121,-18.350620330790814,-7.196895977826321
1965-02-01,-17.85692669065204,-31.43809136732842,12.996560917775028,-28.666985013243885,-31.271922843600514,-35.0265382940927,-27.961455277119832,-36.31592995716039,-32.361792896338414,-24.719787674259663,1.0990519508008751,-3.8922606146081358
1965-03-01,-17.430497495959294,-29.558284687944717,16.61973636118614,-23.977341783690598,-28.569864555814735,-35.80460204382995,-27.283972824444504,-31.624582657155123,-30.51646705907001,-22.423369637834014,4.586617509548729,-0.4135927683357779
1965-04-01,-14.833670967766098,-31.240577910594766,17.225600440494983,-20.456731742132547,-30.06427722462375,-44.959032103943265,-34.74472246500268,-29.166082642208092,-25.50097452836588,-32.02381326637525,2.179787615950691,6.591453162217897
1965-05-01,-17.521904934690188,-32.444200007572626,7.3319246504662425,-19.652664435814476,-32.27249733117382,-40.38954544899896,-23.280232232988237,-30.620970211636127,-35.7486425997922,-33.53081829938047,1.8328980216550321,0.5573021725318116
1965-06-01,-16.2675761169634,-35.335185526039325,2.457583114697412,-20.66536803029709,-31.106638352687543,-47.55886530352664,-26.951484307081138,-36.15654913377416,-26.642647711202468,-34.481516748465445,-4.477647306490763,-0.4554745323681401
1965-07-01,-12.09673479781584,-29.747104636030535,4.335082234875299,-27.10731709899495,-36.08542972857574,-55.041224835982945,-36.719600327778124,-45.11704390518312,-22.561541020223085,-42.201090821331384,-12.067976268854773,-4.805696838447883
1965-08-01,-16.23927208410104,-36.52009772163784,-2.1091535237464227,-23.507864646442535,-37.988107315990725,-51.92249047871625,-26.836092725234582,-25.034307663050072,-33.19867826504503,-39.90614683324892,-6.696019293076035,-4.94950695034202
1965-09-01,-25.5359819253743,-45.20407624263158,-6.905145655276831,-26.379158170848374,-25.096822805572746,-50.345462940379804,-18.489422535145042,-26.743952764451986,-32.03184422238438,-44.486290416165296,-10.517087299117414,-12.89449374473185
1965-10-01,-32.9666178069813,-48.42778640564639,-11.030222287309625,-31.662506095218113,-30.243387723005334,-46.30733397667342,-26.0061047840511,-38.710754999938445,-44.39632799777593,-37.25568797662793,-16.681666891049613,-25.334071487551242
1965-11-01,-33.570393319230895,-47.27471868088197,-19.30313668348784,-37.65166649387845,-34.24949407513672,-40.024563190160464,-31.36021278881512,-38.86168679556485,-31.420297436451424,-40.0213313255848,-26.3656031192337,-23.609441482573217
1965-12-01,-37.44961405755381,-45.737983263996725,-23.41918372105106,-24.471460454491687,-32.49587832396889,-30.732873311157757,-29.642152028480915,-26.97277365785265,-32.691863520758424,-31.276370968040737,-35.43045704439906,-32.620702624271246
1966-01-01,-42.80352782748975,-45.26565334042033,-22.936832750463658,-25.165297551904448,-29.856637508810675,-32.4141139596486,-20.55046180400069,-27.05040720239004,-43.251603206531435,-24.8641505326908,-38.91668190836214,-40.88386332404464
1966-02-01,-40.35929642402342,-45.8650137658885,-21.45237460457556,-25.087319462723222,-24.853769967557003,-29.8004902863139,-20.627712733090583,-25.01538877075901,-39.836226489282886,-30.77736058839408,-32.275741932875626,-32.64760359780959
