,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6,mgv250_cluster7,mgv250_cluster8,mgv250_cluster9,mgv250_cluster10,mgv250_cluster11
1968-04-01,-0.11537504,0.33451697,0.42695865,0.043177225,-0.2696805,0.036948346,-0.26005405,0.3510801,0.73089767,-0.38321516,-0.5938632
1968-05-01,-0.264301,0.32248402,-0.07970085,0.56201124,-0.43644348,0.33027,-0.03454175,-0.14184768,0.42271167,-0.42610922,0.43460312
1968-06-01,0.25056922,0.35093847,0.028879166,-0.88053143,-0.744771,-0.4942018,0.80097216,0.91026,0.4218623,-0.31299925,0.11438408
1968-07-01,1.0627248,0.38831154,-0.03539114,0.22678638,-0.60759497,0.14043203,-0.012032986,0.45612097,-0.10801373,-0.5591799,-0.028312897
1968-08-01,0.68927777,0.1840339,0.13434486,0.3309779,-0.24490663,0.1769557,0.51826775,-0.09060125,0.35660106,-0.17865446,0.022084069
1968-09-01,0.25651494,0.35391134,0.045725442,0.08267365,-0.50765043,0.2909151,0.43431997,0.30464688,0.67483807,-0.4779218,-0.601083
1968-10-01,0.4229948,0.21730156,0.32092685,-0.15798602,-0.44975048,-0.7702526,0.5036866,0.10150178,-0.169028,0.42441043,-0.681067
1968-11-01,0.4272418,0.7419397,0.5869265,0.3550439,-0.36353773,-0.052520372,0.5567733,0.060872745,0.3812333,0.27718344,-0.62472427
1968-12-01,0.60731184,0.11877265,0.36905876,-0.041478407,-0.7365602,-0.38717902,1.1611123,0.3694834,-0.4176154,0.14920893,0.16577205
1969-01-01,0.948007,-0.06889363,0.070862055,-0.49194622,-0.19850464,-0.83308333,-0.011356103,0.29041326,-0.029677201,0.31509382,-0.5195037
1969-02-01,0.8518588,-0.06268568,0.080098346,-0.7941698,-0.77811986,-0.5986935,0.61777174,0.20365271,-0.5249546,0.2554365,-0.4480359
1969-03-01,0.8744197,0.25392237,0.18381739,-0.520715,-0.6218599,-0.43773967,0.044364452,0.45106426,-0.10477893,0.44546184,0.24786577
1969-04-01,0.34219712,0.6463891,0.41956997,-0.63745564,-0.23984078,-0.79129297,0.61762035,0.046484374,-0.1744297,0.6136835,-0.1736726
1969-05-01,0.37202588,0.13233641,-0.025740528,-1.2428114,-0.105990246,0.5172324,0.35143337,-0.7240648,0.058748864,-0.117800616,0.23681259
1969-06-01,0.21107197,0.48104438,-0.105838776,-0.97617024,-0.45757502,-0.19002542,0.517081,0.057840347,-0.34461972,-0.5282858,0.118254855
1969-07-01,0.20758948,0.40866813,-0.300558,-0.61792314,-0.34355983,0.8203646,0.19487067,0.32115048,0.8880469,-0.42668638,-0.2598276
1969-08-01,-0.4210841,0.16716178,-0.11174412,-0.5173839,-0.059354533,0.6433608,0.06904507,-0.1954763,0.041184783,-0.6339731,0.15277739
1969-09-01,-0.094936945,0.191691,0.053600788,0.4024601,-0.34916216,-0.090091705,0.41684455,0.043910243,0.22833328,-0.2627044,0.8197589
1969-10-01,0.17533818,0.13279065,0.18714848,-0.44319075,-0.2306045,0.34598246,0.21818848,0.18457441,0.06949933,-0.41745025,-0.2486228
1969-11-01,0.7719119,0.43274307,0.09690537,-0.0019683838,-0.4601491,-1.929477,0.08418648,-0.084640786,-0.23635826,0.4733223,0.49179488
1969-12-01,0.3005581,0.101902105,0.23181584,0.718614,-0.28193408,-0.09115162,0.33114377,-0.0019683838,-0.18109187,0.40488282,0.03633952
1970-01-01,0.20770986,0.45470914,0.644215,0.4006208,-0.417908,-1.4023693,0.43270713,-0.3621172,-0.55253994,0.5496584,-0.06653003
1970-02-01,0.5830544,0.39354867,0.3279354,-0.41581258,-0.65665656,-0.86986697,0.016501522,1.1018053,-0.054743193,0.2789546,-0.056969643
