,mgu500_cluster1,mgu500_cluster2,mgu500_cluster3,mgu500_cluster4,mgu500_cluster5,mgu500_cluster6,mgu500_cluster7,mgu500_cluster8,mgu500_cluster9,mgu500_cluster10,mgu500_cluster11
1968-03-01,-0.31909257,-0.67720526,-0.31179887,-0.76800996,0.037197113,-0.038291167,0.45219955,-1.3252366,-0.006199646,-1.2355258,-1.2125511
1968-04-01,0.048137665,-0.45292893,-0.9087753,-0.47736207,-0.6257858,-0.4912201,-0.45657578,-0.77092725,-0.9273739,-0.6476666,1.0229194
1968-05-01,-0.32966805,0.5371693,-0.91351664,-1.1436275,-0.5918709,-0.7534229,-0.20385475,-0.195467,-1.2701702,-0.8985645,0.9740528
1968-06-01,-0.5984352,0.65204275,-0.82490003,-0.07475872,-1.3660805,-0.55832064,1.10643,0.15571709,-2.2949135,0.0853344,1.09002
1968-07-01,-0.47480926,1.3901494,-0.900753,-1.6840789,-0.8668373,-0.50216025,1.6315651,-0.6615242,-3.0012927,-0.60171735,1.8142685
1968-08-01,-0.29174194,0.5612381,-1.5371139,-0.76290435,-0.85115623,-0.78770256,1.6304715,2.2423997,-2.8725617,0.31690446,1.700489
1968-09-01,0.0725708,-0.116332054,-1.4342754,1.0364125,-2.153783,-1.3937962,1.1053364,1.0914787,-1.6567281,0.3380558,0.7756683
1968-10-01,0.098097995,-1.0065091,-1.3857731,0.7887966,-0.9423256,-0.1349308,-0.36175957,-0.8719429,-0.93576145,-0.2611088,-0.21078339
1968-11-01,-0.13930663,-1.021096,-0.32419777,-0.26913184,-0.4489174,-0.6746529,-1.1848358,0.85553247,-1.153109,-0.6363617,0.85772055
1968-12-01,-0.034279633,0.87084925,-1.0444351,-0.19182014,-0.03573837,-1.237714,0.007293701,0.5437336,-1.3445644,-0.9755112,1.6231778
1969-01-01,-0.06800423,-1.7830365,-0.69994545,-0.055066682,-0.41101074,-0.47602957,-0.42527503,-0.7981369,-0.45579377,-1.0864086,0.30054513
1969-02-01,-0.22059898,-0.33471337,-0.15027276,-0.554649,-0.4975914,0.013269424,0.5712353,-0.708902,-0.88504946,-0.17448902,0.3930975
1969-03-01,-0.4783512,-0.80842054,-0.30485803,-1.2366812,-0.13235931,-0.62630194,0.6893303,-0.1542534,-1.0578797,0.054403305,-0.2650501
1969-04-01,-0.10051346,-0.7079069,-0.8349587,0.009620095,-0.3718666,-0.601754,-0.9450924,0.077292636,-1.4015499,-0.9480778,0.88007355
1969-05-01,-0.38513565,0.885713,-1.659634,-0.52412987,-1.8497136,-0.8100792,0.0016586303,0.42892417,-1.5767018,0.95935667,0.5864946
1969-06-01,-0.5868267,0.24713707,-1.9598472,1.1991955,-1.4566166,-0.80609834,1.0273609,1.1394848,-2.6528268,1.0449426,1.0067937
1969-07-01,-0.21330109,-0.1612196,-1.3348725,1.3590885,-2.0888894,-1.0857449,0.82235277,1.5276062,-1.1089659,0.13733521,1.7442243
1969-08-01,-0.5964462,-0.43887597,-1.6443745,0.5599567,-1.1491047,-1.323262,0.8027811,0.99551505,-1.6765522,1.0592067,1.3358675
1969-09-01,-0.34134787,0.8240118,-1.6311051,1.5806828,-1.778724,-1.3418386,1.8805647,0.76595914,-1.6337591,-0.68999404,1.1796238
1969-10-01,0.5659275,-0.31978568,-2.2103019,1.5856588,-1.78171,-1.561774,0.9046215,0.79382455,-1.0429522,0.8104107,0.5088705
1969-11-01,0.10814323,0.6462059,-1.4506454,-0.7984686,-0.47967798,-0.935804,1.1998593,-0.66478235,-0.3367037,-1.0310099,0.6521767
1969-12-01,-0.42361602,-0.47536582,-1.0678314,-0.47138518,-0.41034698,-0.84955484,0.3738571,-0.36589545,-0.93116,-0.7997955,-0.027864838
1970-01-01,-0.3960247,0.37705535,-0.15907517,-1.0596161,-0.7105152,0.14243583,-0.5168289,-0.43529433,-0.5198242,-1.0459713,-0.16706237
1970-02-01,-0.4462765,-0.9291607,-0.33312684,0.06789017,0.010316849,-0.5361309,-0.07354736,-1.5355113,-0.026623536,-1.8470062,0.7111805
1970-03-01,-0.6885506,0.23828049,-0.58471906,0.51583064,-0.49186897,-1.1508014,0.3005131,-0.7411318,-1.3691143,0.1644003,-0.11348267
1970-04-01,-0.25458756,-0.22929497,-0.9491283,-0.5264799,-0.6303116,-1.1920677,-0.26357308,-0.6040211,-0.6349705,-1.4569719,-0.36041585
1970-05-01,-0.20533371,1.0339905,-1.0389824,0.33345947,-0.42897147,-0.50185317,0.94613266,0.22496872,-2.044686,-0.8007021,1.141483
1970-06-01,-0.5637528,1.0053705,-0.39036712,-1.3717766,0.06922112,-1.2812567,1.1484718,0.001996994,-2.4603457,-0.77174914,0.99804896
1970-07-01,-0.8938843,-0.48721027,-1.5964123,0.012979126,-0.48188552,-2.1841266,0.86459845,1.2672793,-2.2543461,-0.22862968,1.427686
1970-08-01,-0.56242144,1.353473,-1.4885871,-1.211037,-0.33778572,-0.06589317,-0.0013313293,0.5820568,-2.0273807,0.45659313,0.96942866
1970-09-01,-0.4293045,0.3883707,-1.1178547,-0.27455482,0.023295593,-0.4935333,0.24194106,-1.2772633,-1.8160565,0.035276033,0.028620148
1970-10-01,0.4892071,-0.33712044,-0.8759136,-1.3751043,0.029618835,0.48088723,-0.8745823,-1.0406463,-0.4086708,-1.175761,-0.20267144
1970-11-01,0.47323304,-0.03827133,-0.5334686,-0.978747,0.76243097,0.99405557,0.57773036,-0.88356763,-0.79238224,-0.18503341,0.34078103
1970-12-01,-0.2818764,-1.3431561,-0.29518852,-1.5804383,-0.17039032,-1.1165237,-0.5381279,-0.75544244,-0.03361244,-0.9900621,-0.9411413
1971-01-01,-0.0747963,0.30898398,-0.7019104,-1.6171043,0.17996864,-0.18748093,-0.0747963,-1.8277754,-0.24072036,-1.6863482,0.09831314
1971-02-01,-0.1362011,-0.56505585,-0.73065263,-1.1562412,-0.4311409,0.7734402,0.43897972,-1.827122,0.10549889,-0.7401249,-1.0125275
1971-03-01,0.36385688,-0.6408321,0.0009799957,-1.4766572,-0.7087692,-0.012411499,1.1128004,-0.71856785,-1.137297,-1.4505274,0.38443393
1971-04-01,0.3955391,-0.03102913,0.1362011,-1.7934803,-0.25280532,-0.49973145,1.4923351,-0.62352103,-1.7154175,-0.10386562,0.7835657
1971-05-01,-0.07120361,0.3004919,-1.2996277,-0.2841606,-0.049973298,-1.4874356,1.6507466,0.84137803,-1.3185723,-0.15873794,0.4128498
1971-06-01,-0.728693,-0.1450201,-0.46674234,-0.5052837,0.37332878,-1.122599,0.7100754,-0.09341393,-1.8996322,-1.5174847,0.23843423
1971-07-01,-0.52292174,0.9001694,-1.8565181,-0.09635353,-1.0801384,-2.2370324,1.5112793,2.3242404,-2.080254,-0.5098564,1.9920661
1971-08-01,-0.7910782,1.1474224,-1.2770913,0.43702012,-0.39325255,-2.0433457,0.6280937,0.35536462,-2.526093,-0.836805,0.48797283
1971-09-01,-0.2835079,0.547418,-0.2514988,-0.6310333,-0.16004486,-0.25117224,-0.01241188,-0.920747,-1.8173237,-0.09080048,0.28252792
1971-10-01,-0.258358,0.62482756,0.17441598,-1.531856,-0.20479164,-0.99293023,-0.99097043,-0.059771728,-0.70680964,-0.63723886,-0.23386116
1971-11-01,0.378228,1.259127,-0.2247158,0.11562405,0.7486172,-0.35536423,0.92597276,0.07348995,-1.5677845,-1.6915739,0.46445617
1971-12-01,-0.119543456,-0.22830887,-0.32041588,-0.500058,0.13718109,-0.09896622,0.14469337,-0.58661234,-0.12934227,-0.8168812,-0.5617897
1972-01-01,-0.16354255,0.034716986,-0.604821,-1.0928673,0.06340866,-0.37672195,0.07086849,0.1500576,-0.7540182,-1.7447431,-0.14517994
1972-02-01,-0.27601433,-0.36983603,-0.31360054,-1.4764755,-0.18104477,-0.222361,0.04791527,-0.64441586,-0.66478693,-1.3453544,0.5084173
1972-03-01,-0.17559318,-0.32192117,0.339423,-1.776017,0.22609062,-0.065129854,-0.9451054,-1.6032928,0.16497764,-1.0521252,-1.1126646
1972-04-01,0.32306862,-0.006886101,-0.27343178,-1.7025661,0.23957595,-0.6776983,0.2900734,-0.6983563,-1.7943798,-1.5659937,0.19653817
1972-05-01,-0.47915155,-0.4926365,-1.1069263,0.67081225,-0.7838577,-1.9286569,1.1964443,1.2503847,-1.9785807,0.8650551,0.3399971
1972-06-01,-0.31130522,-0.3440136,-1.8095863,0.90091974,-1.758802,-0.47771683,1.5622638,0.83234674,-1.6173519,0.06771259,0.2008419
1972-07-01,0.0025821687,-0.098699376,-1.8420079,0.7379509,-0.8857134,0.02955246,1.4710239,0.07574616,-2.3461213,-0.9855604,0.9210041
1972-08-01,-0.020658111,0.9631807,-1.9817368,0.6619175,-1.2308747,-1.3531014,1.280798,1.4322907,-1.8224976,0.88714755,0.848127
1972-09-01,-0.25334778,-1.1597191,-1.1356179,0.83521575,-0.558054,-0.9634678,0.59879607,1.635141,-0.5161638,0.11706219,0.24072342
1972-10-01,0.052505873,-0.15292683,-1.340477,0.7938997,-1.5332851,-1.3932698,0.529936,0.46824875,-1.2980131,-1.0283111,-0.08492756
1972-11-01,0.23096848,0.46796188,-1.2093556,0.598509,-1.6184998,-1.0331886,0.1015686,0.6527365,-1.2386214,0.20428486,-0.25822544
1972-12-01,0.14977074,-1.2082078,-0.93477595,-0.6455635,0.0034431457,-0.34917793,-0.92215157,-0.7241789,-0.7964819,-0.69118327,1.2153813
1973-01-01,-0.11213074,-1.0671564,-0.29689255,-1.1477506,-0.5310299,0.08059426,-0.12200622,-1.3232739,-0.46572608,-1.0681118,-0.3564621
1973-02-01,-0.33384475,-0.20610467,0.16118851,-1.2598816,-0.2752308,0.97190857,-0.13570404,-1.3783836,-0.5029972,-0.29561844,-0.0035037994
1973-03-01,-0.18030167,-0.22394352,-0.49471435,-0.5338966,-0.50554544,-0.064984895,-0.035359573,0.06785202,-0.2507023,-1.0365753,0.8317448
1973-04-01,-0.07231178,-0.61767656,-0.90915376,0.13092574,-0.7196137,-1.1302302,0.12041359,1.4277598,-1.3248667,0.28924713,0.4583994
1973-05-01,-0.39628106,-0.70591605,-1.164634,-0.75178754,-1.0308415,-0.96426314,0.048101615,0.5275253,-1.4784098,-0.6514431,0.6590885
1973-06-01,-0.58199847,1.2426798,-0.13793373,0.12837735,-0.4685932,-1.2847286,-0.18476143,0.50013006,-2.0658236,-0.64475363,0.35200232
1973-07-01,-0.2777794,0.6230919,-1.3755169,-0.20196304,-0.74223137,-2.1183848,1.994149,1.264341,-1.6813288,0.34913522,0.9104277
1973-08-01,-0.41029778,0.6259588,-0.72056925,0.31759834,-0.9473797,-0.9919775,0.320784,0.49853724,-2.2343388,-1.4146988,0.6097126
1973-09-01,-0.27969056,-0.25866586,-0.7957481,-0.32906646,-0.77153814,-0.60174865,0.058932684,0.068489075,-1.5679235,0.113723755,0.42017287
1973-10-01,0.04746437,0.15481739,-0.5893253,-0.6689636,-0.46285897,-0.50968665,-0.21566124,-0.9792355,-1.0674747,-0.6871214,-0.06657791
1973-11-01,0.011149597,-0.37207127,-0.12710305,-1.4691715,0.5249771,-0.06307373,-0.8419386,-0.817091,-0.32396966,-0.8852617,-1.5902226
1973-12-01,-0.07804604,-0.5740347,0.14111939,-1.2879145,0.58167994,-0.81167567,0.41507608,-0.6476204,-0.9922962,-0.8247366,0.643161
1974-01-01,-0.038788605,-1.2573369,0.47696647,-1.7306874,0.2695465,-1.6363453,0.3428505,-2.0469117,-0.5124672,-1.4417461,-0.8645218
1974-02-01,-0.26691705,-0.5400799,-0.26625937,-1.6757915,-0.18342361,-0.18868294,-0.08415146,-1.5078179,-0.26987535,-0.31490937,-0.35731354
