,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11
1965-01-01,3405.532430013021,1911.988801776238,3079.5421253551135,6841.70166015625,4240.236918131511,5366.678980777138,1021.7481208570076,9323.090154474432,2114.4663492838545,4845.167468843006,2675.733546206826
1965-02-01,3392.533162434896,1907.5810270489385,3067.388916015625,6809.0087890625,4232.6080322265625,5331.191534745066,1020.1891350023674,9292.656915838068,2108.84386698405,4828.753952752976,2671.3044819078946
1965-03-01,3397.764078776042,1908.9517845297758,3062.375155362216,6770.730387369792,4228.993988037109,5350.018953022204,1021.685914318971,9291.566606001421,2108.325068155925,4833.021763392857,2667.760106136924
1965-04-01,3377.1394856770835,1904.8329479289505,3053.0495383522725,6713.010660807292,4214.121500651042,5336.9673879523025,1020.1256337791982,9270.49227627841,2102.455266316732,4819.433884393601,2660.361681486431
1965-05-01,3375.2876790364585,1900.486438679245,3036.599823922822,6713.689778645834,4202.488199869792,5339.514802631579,1019.6308174518624,9268.254505504261,2095.4334259033203,4813.514055524553,2647.7698075143912
1965-06-01,3363.0185953776045,1901.0666181456368,3022.5478663589015,6680.063883463542,4184.538014729818,5326.735325863487,1021.6821535669192,9232.3486328125,2090.41379292806,4796.456182570685,2634.3460886101975
1965-07-01,3352.452799479167,1901.0068497567806,3025.1044995857005,6671.232503255209,4172.606913248698,5320.148347553454,1021.4458427043876,9209.380548650568,2089.569981892904,4796.143740699405,2625.7483231393912
1965-08-01,3363.9023844401045,1901.849480395047,3036.0884232954545,6684.051106770834,4185.939534505209,5331.259637129934,1020.9689053622159,9231.212824041193,2094.1749572753906,4807.939801897322,2634.3721088610196
1965-09-01,3381.390787760417,1903.8543125368512,3044.228478633996,6731.116536458334,4203.840382893881,5348.3353464226975,1021.6017597853536,9263.628040660511,2098.38129679362,4819.787016369048,2647.0407586348683
1965-10-01,3390.84716796875,1906.9282963590802,3058.730061848958,6773.539632161459,4222.149658203125,5382.352487664473,1021.4364716500947,9300.64364346591,2105.8334350585938,4844.584437779018,2661.770951120477
1965-11-01,3397.11669921875,1909.634687315743,3073.3405835700755,6820.322265625,4240.321350097656,5401.961477179277,1021.5367172703599,9326.915394176136,2112.0432535807295,4860.146949404762,2674.14695338199
1965-12-01,3398.389892578125,1908.298017393868,3075.3919196851325,6875.869140625,4244.88525390625,5389.8026315789475,1020.8553429805871,9320.020640980114,2111.597442626953,4850.133986700149,2678.508236533717
1966-01-01,3399.411824544271,1912.1456506117333,3080.3808963660035,6844.090983072917,4245.249430338542,5391.1389802631575,1022.3691381589331,9337.046120383522,2115.119298299154,4855.811709449405,2679.82033177426
1966-02-01,3391.849365234375,1908.9019199587262,3068.8151041666665,6806.931559244792,4233.217875162761,5356.908215974507,1020.9193990688132,9299.667635830965,2109.969711303711,4837.203252883185,2672.70363255551
1966-03-01,3386.5289306640625,1906.0535358932782,3057.704671223958,6740.28564453125,4224.59716796875,5332.281172902961,1020.3502924755367,9275.41170987216,2105.010986328125,4822.886730375744,2666.9414319490133
1966-04-01,3380.6270345052085,1903.7166955336083,3048.3927408854165,6726.966959635417,4212.845102945964,5333.777176706414,1019.7136156486742,9274.079478870739,2101.199467976888,4819.639660063244,2657.2018271998354
1966-05-01,3380.526326497396,1902.1121618882664,3036.2010609019885,6727.887776692709,4205.47358194987,5335.866185238487,1020.8748249092488,9275.557084517046,2096.308771769206,4812.2895740327385,2649.6501721833883
1966-06-01,3360.0276692708335,1900.9101147921579,3026.238273851799,6680.693766276042,4181.164805094401,5331.708084909539,1020.690794665404,9239.248379794035,2090.9266153971357,4802.779424758185,2632.138382761102
1966-07-01,3350.716552734375,1898.0496388561319,3024.2132013494315,6671.162516276042,4170.3684488932295,5309.529836554277,1019.5207692155934,9209.086470170454,2087.409845987956,4790.912737165178,2624.1586785567433
1966-08-01,3354.247233072917,1900.317497973172,3031.3611579663825,6679.196370442709,4177.103678385417,5317.62406198602,1020.1060285471907,9211.07177734375,2091.5484110514326,4799.470447358631,2629.3007298519738
1966-09-01,3377.5288899739585,1903.4665665536556,3046.922718394886,6739.814453125,4201.244354248047,5352.422453227796,1020.9638499250316,9263.904363458807,2098.525365193685,4822.660900297619,2645.9503173828125
1966-10-01,3398.0780029296875,1906.137372862618,3061.510675603693,6787.85400390625,4225.736999511719,5385.46431692023,1020.9332706952335,9307.436301491478,2105.8670043945312,4843.223935081845,2661.9975842927633
1966-11-01,3417.9597981770835,1906.270498599646,3068.4583259351325,6848.6669921875,4248.389434814453,5389.343582956414,1020.443941366793,9341.668146306818,2107.783635457357,4845.537748790923,2674.78171900699
1966-12-01,3397.5506591796875,1907.1753160008843,3072.6083466500945,6842.186686197917,4239.4622802734375,5363.509649979441,1020.0536246251578,9309.034312855114,2110.0242614746094,4837.574986049107,2675.1019929584704
1967-01-01,3404.8752848307295,1910.7388478405069,3080.0398393110795,6909.979654947917,4250.614674886068,5378.528153268914,1021.5383202138573,9338.453258167614,2114.182662963867,4847.185988653274,2682.9978541324012
1967-02-01,3402.0017496744795,1908.772940005896,3067.2490900213065,6827.7490234375,4233.5174560546875,5349.6659128289475,1020.6252589370265,9292.529296875,2109.760411580404,4830.277506510417,2672.058266087582
1967-03-01,3383.5137939453125,1906.62576927329,3060.3463837594695,6761.722005208334,4217.227935791016,5344.013414884868,1020.0276692708334,9269.309858842329,2105.3835550944013,4823.681349981399,2661.477339895148
1967-04-01,3377.811482747396,1904.7456561394456,3051.5538071141095,6726.88720703125,4212.679290771484,5345.299971731086,1019.912627249053,9268.242853338068,2102.4452209472656,4820.973423549107,2658.8064093338817
1967-05-01,3376.627197265625,1900.0230321344338,3035.4590213660035,6704.401448567709,4203.31293741862,5333.179032175164,1019.110107421875,9257.719837535511,2094.824091593425,4808.647228422619,2648.2221101459704
1967-06-01,3362.8951009114585,1897.4210919074292,3024.826327237216,6682.956136067709,4183.9060465494795,5324.3514211554275,1018.9687401357323,9227.471923828125,2088.2275899251304,4795.013427734375,2633.177586605674
1967-07-01,3351.362711588542,1897.4413601857311,3023.3564897017045,6664.296061197917,4165.371449788412,5314.1065095600325,1019.2319927793561,9200.978227095171,2086.2737019856772,4791.0400390625,2621.3642321134867
1967-08-01,3354.6516927083335,1899.6458809330777,3027.339680989583,6683.22998046875,4174.937693277995,5315.002762643914,1020.4790211687184,9202.803178267046,2088.8177235921225,4797.090948195685,2626.8591629831412
1967-09-01,3372.4226888020835,1903.017324771521,3040.5345569957385,6722.975667317709,4193.638610839844,5338.256514699836,1020.8812366832386,9242.438299005682,2096.0277557373047,4813.033621651786,2641.91749974301
1967-10-01,3398.2649739583335,1907.0368928729363,3061.6377397017045,6787.7001953125,4228.953806559245,5372.905851665296,1021.5680979719066,9307.720392400568,2106.2171936035156,4840.6159900483635,2663.9468544407896
1967-11-01,3396.9439697265625,1908.8872945533608,3072.2240101207385,6849.0966796875,4234.4085693359375,5386.411646792763,1020.7317313762626,9313.419966264204,2111.0589345296225,4846.899704706101,2670.811863949424
1967-12-01,3395.999755859375,1911.0607219192216,3078.2574277935605,6873.73046875,4243.959808349609,5393.447394120066,1021.4574948705808,9322.46426669034,2113.8145446777344,4853.700764973959,2677.988634611431
1968-01-01,3388.7152099609375,1910.048459610849,3076.3006036931815,6834.879557291667,4237.32655843099,5363.808079769737,1020.923036517519,9304.008345170454,2112.603505452474,4839.597284226191,2675.788799085115
1968-02-01,3403.9353434244795,1911.0044083505306,3073.018391927083,6838.72314453125,4241.270701090495,5354.16548879523,1021.6716727825126,9306.095192649147,2111.846415201823,4832.993861607143,2676.823666221217
1968-03-01,3389.772135416667,1905.4291347287735,3058.199055989583,6748.489176432292,4220.984649658203,5339.960359272204,1019.4574529474432,9267.549826882103,2104.907099405925,4822.426350911459,2663.7618215460525
1968-04-01,3389.124755859375,1905.4051813089623,3051.26250295928,6757.526448567709,4216.903940836589,5361.7598684210525,1020.1975196298927,9285.600142045454,2103.009923299154,4830.822172619048,2658.81492213199
1968-05-01,3379.149169921875,1901.8788463664505,3036.8297230113635,6707.457275390625,4206.105295817058,5331.603682668586,1019.9991245462437,9257.420210404829,2096.5848286946616,4810.812232607887,2650.288150185033
