,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8,vo500_cluster9,vo500_cluster10,vo500_cluster11
1965-01-01,-1.5476053816742484e-05,0.00885377376107499,1.2777838441656464e-05,0.001168624876299873,-0.000652012022328563,-2.0297298049073383e-05,0.02207970683230087,0.0038751662941649556,1.2671852766621295e-06,-1.636190525891449e-05,0.0001570462570400975
1965-02-01,-1.9130334038983277e-05,0.009891923400573432,8.968865156728296e-06,0.0014748300600331277,-0.0005899256848351797,-2.949472534806852e-05,0.02497187233529985,0.004229171827319078,3.449791395440272e-06,-1.1750874256318577e-05,0.00020225340579470085
1965-03-01,-1.5158977394196298e-05,0.007368249498540536,8.595804325118985e-06,0.0012971508840564638,-0.0004466030077310279,-2.42834610854397e-05,0.019613780023064464,0.002999574462592136,5.104065196299475e-06,-1.2060423861099881e-05,0.00013413618944468908
1965-04-01,-1.4492736758502054e-05,0.006921090243849903,4.309641591741335e-06,0.00078602708526887,-0.00036137860206508776,-1.5368986485396896e-05,0.019296116079203784,0.002515228698030114,2.091902358863022e-06,-6.663136230337718e-06,0.00013967974155093543
1965-05-01,-5.957852490507903e-06,0.004932857336825691,-8.768559054159496e-06,0.0007339980220422149,-9.790243211682537e-05,-2.2665746813720983e-05,0.015572104894090444,0.0017551710698171519,3.3821939351944683e-06,1.0235067223883393e-05,0.00014386854932776517
1965-06-01,4.714698416443824e-06,0.00298916274914518,-1.5575320351975584e-05,0.00016835943824844435,-0.00011540759032868664,-2.5071174446645234e-05,0.004862203422817402,0.0035400051274336874,-5.024131552843716e-07,1.3255620137512116e-05,0.00011093314762027667
1965-07-01,8.380901194511117e-06,0.0003289556843810715,-1.466784295997867e-05,-8.82467702467693e-05,-9.473383215663489e-05,-1.8862249856718574e-05,-0.0014345183444675058,0.0019487748431856744,7.892664089795484e-07,7.036955509447272e-06,6.962251453452544e-05
1965-08-01,2.194842432146196e-06,0.0011461228496045806,-1.356813754682662e-05,2.7617143132374622e-05,-4.770703867507109e-05,-1.750619127921274e-05,-0.0013501673493010458,0.0026632915250957012,2.6981245854028287e-06,8.203370132339502e-06,8.513826677309615e-05
1965-09-01,2.4314050697898127e-06,0.003124837894574739,-1.0711020574187085e-05,0.00023212243831949309,-0.0002056129687844077,-3.051434799525178e-05,0.0032218435080721974,0.0030718114430783316,-2.073861357911805e-06,2.255380183931389e-06,5.476769209573311e-05
1965-10-01,-8.406661354558636e-06,0.0042432253394508734,-9.559828918605086e-06,0.0004789825834450312,-0.0002732328084675828,-3.349120126348799e-05,0.007541698141722009,0.0035635606764117256,1.1912333007707255e-06,5.696356850621977e-06,4.732631038807864e-05
1965-11-01,-1.2870918652971453e-05,0.007622860721312463,-1.2282537258872455e-06,0.0009611409768695012,-0.0005057558610133128,-2.39019913272426e-05,0.01452579308534041,0.0040723596612224355,1.3736856393128012e-06,-7.233210592441877e-06,7.286412255780304e-05
1965-12-01,-1.7621678534340575e-05,0.009531714022159576,5.668053088609466e-06,0.0012113484990550205,-0.0005717015483241994,-2.3221013100777306e-05,0.020885327830910683,0.003800685954047367,5.001094748838104e-06,-4.98928522451394e-06,0.0001798786018168487
1966-01-01,-1.3226147867304931e-05,0.007834954158170149,2.0035713532706723e-06,0.0011674012785078958,-0.0005757727649324806,-1.6931536937709492e-05,0.020560662960633636,0.003729283344000578,1.165912797131891e-06,-1.3664817219004194e-05,8.377900745212432e-05
1966-02-01,-1.6628265063006304e-05,0.009048214997164905,1.1141128197778016e-05,0.001357463770546019,-0.0005793138825538335,-1.9653189946953003e-05,0.026419840287417173,0.0034789725759765133,2.99929544330895e-06,-1.3322367799523587e-05,0.00016631525535818322
1966-03-01,-1.482002098169544e-05,0.007936840847833082,9.113597343457513e-06,0.0008814696775516495,-0.0005987951681163395,-2.3985743926301517e-05,0.017627811757847667,0.003854132955893874,3.966944752137743e-06,-1.0650690116670962e-05,0.00014649376680608836
1966-04-01,-1.2309057351915962e-05,0.00658364879200235,5.911176812231942e-06,0.0010550000297371298,-0.00046148902583809104,-2.065400384827112e-05,0.020405056420713663,0.002887514892790932,3.977495624141777e-06,-1.1175393025288201e-05,0.00011154488674947059
1966-05-01,-8.039867250854412e-06,0.005718753527617082,-8.175855252072022e-06,0.000872866075951606,-0.0002902966116380412,-2.774585996319175e-05,0.016825352213345468,0.0045547574700322,3.077939719107861e-07,1.1384828844634517e-05,0.00010784803115322053
1966-06-01,2.6283610015034967e-06,0.0015133916349441279,-1.4025329164724099e-05,0.00014735596778336912,-9.213405860464263e-05,-2.0615324620334633e-05,0.0071681330155115575,0.0029948489100206643,-1.3846422388592e-06,8.43237010763082e-06,0.00011300318354707476
