,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11
1965-01-01,0.36661637,-0.054738462,-0.12087554,0.2606079,0.04559666,0.026632786,0.0072486997,0.033409357,-0.040449858,0.32322538,0.037611842
1965-02-01,0.18659106,0.09949392,-0.22163087,0.25498703,0.043180168,-0.0039405227,-0.059256136,0.02474165,-0.030836642,0.5114456,0.021904945
1965-03-01,0.1061129,0.09108889,-0.10075599,0.05510485,0.033041596,0.010085404,-0.14819193,0.027893543,-0.0046759844,0.4097447,0.02847141
1965-04-01,0.066976964,0.016914487,-0.07049787,0.051270068,0.004096806,-0.05468589,-0.08315796,0.033671975,-0.018176556,0.1615336,0.019856215
1965-05-01,-0.14992547,0.08872497,-0.09303385,-0.05704981,0.014865756,-0.07081306,-0.06986749,0.009980321,0.021589756,-0.048382163,-0.060464382
1965-06-01,-0.19410437,0.05804658,-0.056524515,-0.12066543,-0.10422307,-0.050115645,-0.02132845,0.00078731775,0.055525064,-0.16479182,-0.1624279
1965-07-01,-0.36976963,0.02742076,-0.0476467,-0.082054794,-0.12439513,-0.013553798,0.0005772114,-0.0070924163,0.023270786,-0.09340161,-0.14661598
1965-08-01,-0.36215252,0.029574573,-0.06808144,-0.0940845,-0.034986615,-0.15365517,-0.1186167,0.0014176965,0.038032115,-0.13311535,-0.0781675
1965-09-01,-0.21196508,0.03855741,-0.04990554,-0.054738462,-0.022589207,-0.0880959,-0.05001062,0.00793159,0.033671975,-0.11646289,-0.13831598
1965-10-01,-0.0721789,0.04191941,-0.024270177,0.050534606,0.0452289,-0.11698824,-0.11546481,0.026842892,0.006040454,-0.014236689,-0.13301033
1965-11-01,0.057258606,0.03860998,-0.035669506,0.16757467,0.0409739,-0.12439513,-0.069289684,0.03419733,-0.07564598,0.1557551,-0.01696831
1965-12-01,-0.0132911205,0.06550604,-0.18675,0.2819882,0.020223975,-0.07927066,-0.13558435,0.022640407,-0.089146554,0.4428395,-0.040449858
1966-01-01,0.12832701,0.07101822,-0.21019137,0.29268506,0.02706784,-0.004800737,-0.07647091,0.027295828,-0.15146923,0.37616345,0.036459744
1966-02-01,0.1337524,0.021505654,-0.29471833,0.1886904,0.04256904,0.026429534,-0.060832977,0.028937101,-0.0725044,0.38560092,0.041018903
