,mgv200_cluster1,mgv200_cluster2,mgv200_cluster3,mgv200_cluster4,mgv200_cluster5
1971-09-01,0.46642464,0.5471852,-0.057871245,0.26315564,-0.33153582
1971-10-01,0.44627053,0.11401494,-0.06694059,0.37443537,0.21809673
1971-11-01,0.07500224,-0.25250262,-0.4340341,0.586198,0.040452264
1971-12-01,0.017418956,-0.5183935,-0.751174,0.7025164,0.20413275
1972-01-01,0.8130838,-0.40719947,-0.41877365,0.82058066,0.18202977
1972-02-01,0.42416605,-0.34735584,-0.17492743,0.45586348,0.4087778
1972-03-01,0.51386565,0.076547146,-1.0133953,0.58146924,0.4162747
1972-04-01,0.6830061,-0.13231353,0.041956283,-0.16756205,0.26883578
1972-05-01,0.4900598,-0.61369276,0.16650982,-0.22280236,0.012363339
1972-06-01,0.5994881,0.07325907,-0.26370636,0.52320385,0.4121974
1972-07-01,0.08891048,0.14033642,-0.046954203,0.32618046,-0.2777794
1972-08-01,0.7763884,0.05642395,0.57028973,0.11205883,-0.59330654
1972-09-01,0.7258831,-0.5267551,0.04971621,0.68826705,-0.2910635
1972-10-01,-0.001709795,-0.03577466,-0.1196872,0.7350897,-0.17808405
1972-11-01,0.09772263,-0.17676878,-0.202153,0.830708,-0.15874991
1972-12-01,-0.009206772,-0.40075475,-0.6189537,1.0136584,0.01591444
1973-01-01,-0.27107462,0.17397538,-0.9610198,0.009557533,0.27758485
1973-02-01,0.122170545,-0.0657948,-0.69645536,0.15860014,0.088095784
1973-03-01,0.15887713,0.2635948,-0.15139732,1.9929593,-0.15915418
1973-04-01,0.21483736,0.23284435,-0.18200922,0.6565629,0.15056619
1973-05-01,0.62622803,-0.1151063,-0.7270672,-0.5368856,0.01038866
1973-06-01,0.67623216,0.36678872,-0.11940022,0.16386375,0.123417184
1973-07-01,0.74327356,0.0049865483,-0.24544923,-0.26248664,-0.41554618
1973-08-01,0.40612713,-0.02202394,-0.53383833,-0.27467602,-0.47427663
1973-09-01,0.40349525,0.5259429,-0.13477547,0.3073656,-0.13186665
1973-10-01,0.31332177,-0.07632198,-0.18685727,-0.66833675,0.06621035
1973-11-01,0.49823982,0.10748796,-0.509044,0.19890809,0.3669273
1973-12-01,0.36775836,0.06718006,-0.20237103,0.70878315,0.22993545
1974-01-01,-0.079281524,0.0569705,-1.1545641,1.9941067,0.32807133
1974-02-01,-0.39233845,0.33017617,-0.514418,1.0738792,0.22240944
