,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5
1965-01-01,-3.995615758724039e-06,-1.820621977158256e-07,-8.6263333528501e-06,8.200096426538052e-06,-2.834242499620507e-06
1965-02-01,-8.885982233072068e-06,-2.4612330107384547e-06,-6.72558107165672e-06,3.033444842651378e-06,-1.4399126505369995e-06
1965-03-01,-5.486857676978137e-06,-1.8035623389070115e-06,-1.0430233032820979e-05,1.321879658275539e-05,3.1574689968733715e-06
1965-04-01,-8.171702192109814e-06,-2.889123836689807e-06,-6.885972550439967e-06,-9.436020768402632e-07,5.006472492005854e-06
1965-05-01,-1.1384050642510901e-05,-2.0485744219571617e-06,-5.257271247816733e-06,-3.5555371614962445e-06,5.759224468113572e-06
1965-06-01,-2.154097513228312e-05,-2.1119887103679e-06,-3.0231062714383187e-06,-7.784890292223531e-06,7.674958560324086e-06
1965-07-01,-1.2311917137259642e-05,-3.6493875300666543e-06,1.775205470150876e-07,-1.5874711732054766e-05,4.183469458991332e-06
1965-08-01,-1.2055047112593648e-05,-2.898376452422882e-06,-1.4055091313025514e-06,-1.2900464715952794e-05,5.9590430088534824e-06
1965-09-01,-9.585738481339496e-06,-4.404335119732128e-06,-1.1204705009620331e-07,-7.074612929575044e-06,8.073355050154522e-06
1965-10-01,-1.2688360584434122e-05,-2.8831738810101405e-06,-4.14649330381582e-06,-6.795647855702954e-06,1.3406299351547122e-06
1965-11-01,-7.040098712183719e-06,-2.5764153901976595e-06,-5.218561575614386e-06,-6.164185061320433e-06,4.747954754451855e-06
1965-12-01,-1.1812813969108424e-05,-2.256923018992844e-06,-7.38669114627778e-06,-3.412573938501189e-06,3.0170626865746977e-06
1966-01-01,-1.081294301816103e-05,-1.106590385654382e-06,-1.0005349822120256e-05,9.95226662481612e-06,-2.013189642955981e-06
1966-02-01,-1.835849909519694e-06,-4.597653807239859e-06,-4.601341986796927e-06,6.942705673680717e-06,3.358176258919567e-08
1966-03-01,-8.622021739842909e-06,-3.26742170917864e-06,-7.5846289792953404e-06,9.236430131538439e-06,-9.5216239387401e-08
1966-04-01,-3.2477155280886156e-06,-3.02886092234103e-06,-6.231218498103363e-06,6.378369194763228e-06,9.426362033010581e-07
1966-05-01,-8.586470668983806e-06,-3.1992176557747425e-06,-2.297476190246276e-06,-1.0776757210818414e-05,4.778696697275939e-06
1966-06-01,-2.6461485073301255e-05,-2.648308549188226e-06,-3.309084902690413e-06,-5.689041980275923e-06,4.868951783576991e-06
1966-07-01,-1.409456504724834e-05,-4.411165210583423e-06,5.204291673347755e-07,-1.5312568007486757e-05,4.9359968716600445e-06
1966-08-01,-1.3730320796113166e-05,-3.828359321437883e-06,-1.6314433595448927e-06,-1.1787350346933897e-05,4.401713187199379e-06
1966-09-01,-1.737922670336526e-05,-3.510117249461228e-06,-2.6209778873319974e-06,-4.248338209685219e-06,5.62203434568024e-06
1966-10-01,-1.5578642600494757e-05,-2.979032364151611e-06,-3.79146091030894e-06,-2.769555889344328e-06,4.064272769518835e-06
1966-11-01,-6.315763369600877e-06,-2.1017917283138054e-06,-5.220657589679646e-06,-1.9732052874444405e-06,2.094378906507843e-06
1966-12-01,-9.579087801332781e-06,-9.32183494032043e-07,-1.1087444808977961e-05,8.244812418786452e-06,-1.1387951775085118e-06
1967-01-01,-1.2606381604104841e-05,-2.0928950729597483e-06,-1.0423825967466526e-05,5.358586424510378e-06,-1.787499426877168e-06
1967-02-01,-1.5381817176699098e-05,-6.768921782232343e-07,-1.008437238295078e-05,7.066282331871749e-06,-1.0003971643588934e-06
