,vws_u500-200_cluster1,vws_u500-200_cluster2,vws_u500-200_cluster3,vws_u500-200_cluster4,vws_u500-200_cluster5
1965-01-01,8.45829963684082,11.831188201904297,16.51087188720703,15.806964874267578,9.89218521118164
1965-02-01,17.566734313964844,18.532978057861328,13.908695220947266,25.06204605102539,14.874937057495117
1965-03-01,12.080490112304688,17.91868782043457,11.07025146484375,21.72663116455078,11.256006240844727
1965-04-01,8.034649848937988,18.86374855041504,8.409416198730469,30.312026977539062,8.347497940063477
1965-05-01,7.192242622375488,16.99643898010254,0.9874267578125,25.488954544067383,7.920591354370117
1965-06-01,11.339105606079102,11.347253799438477,-2.5027828216552734,22.81019401550293,3.249055862426758
1965-07-01,6.265105247497559,7.120546340942383,2.7406787872314453,23.94426918029785,1.308420181274414
1965-08-01,13.620287895202637,9.973655700683594,-2.800966262817383,9.287671089172363,3.239278793334961
1965-09-01,9.268118858337402,5.403142929077148,-6.28791618347168,18.273900985717773,1.55609130859375
1965-10-01,5.896856307983398,16.9834041595459,-3.1138153076171875,16.212688446044922,8.477851867675781
1965-11-01,15.715718269348145,14.182435989379883,5.32982063293457,20.276453018188477,4.445047378540039
1965-12-01,10.553727149963379,18.073482513427734,5.230424880981445,30.149085998535156,7.361701965332031
1966-01-01,19.050464630126953,20.731002807617188,7.372043609619141,20.394567489624023,10.316267013549805
1966-02-01,13.957977294921875,23.07784652709961,11.568464279174805,26.583343505859375,9.238031387329102
1966-03-01,13.408193588256836,25.482128143310547,10.647777557373047,26.01058006286621,7.488565444946289
1966-04-01,10.347448348999023,19.060312271118164,8.77358627319336,29.60797882080078,8.200824737548828
1966-05-01,4.995660781860352,17.274742126464844,2.6996917724609375,22.861215591430664,9.190439224243164
1966-06-01,7.39173698425293,9.681142807006836,-6.920726776123047,19.36884880065918,7.275215148925781
1966-07-01,4.536137580871582,0.8681697845458984,-2.3534088134765625,18.439958572387695,4.603425979614258
1966-08-01,9.464509010314941,-2.4535179138183594,-3.251117706298828,11.883564949035645,5.0202789306640625
1966-09-01,9.055863380432129,7.742944717407227,-5.678379058837891,12.581053733825684,3.055818557739258
1966-10-01,9.690987586975098,9.494050979614258,-8.069530487060547,11.043296813964844,11.555334091186523
1966-11-01,11.23695182800293,11.133559226989746,3.495647430419922,15.628667831420898,12.567923545837402
1966-12-01,10.58541488647461,13.98259449005127,11.85566520690918,17.854068756103516,12.607311248779297
1967-01-01,11.234749794006348,16.593338012695312,16.05290985107422,9.791424751281738,22.800941467285156
1967-02-01,8.318710327148438,17.057029724121094,11.838855743408203,16.905187606811523,20.800859451293945
1967-03-01,9.533454895019531,17.011314392089844,15.925555229187012,19.40161895751953,17.169689178466797
1967-04-01,10.101640701293945,13.0944185256958,7.810934066772461,28.659141540527344,12.14254093170166
1967-05-01,8.263197898864746,16.059438705444336,1.7535419464111328,19.84571647644043,10.513086318969727
1967-06-01,6.434552192687988,2.628681182861328,-3.409120559692383,16.00229263305664,8.860774993896484
1967-07-01,5.050004959106445,3.222990036010742,-0.03265380859375,12.261731147766113,8.92934799194336
1967-08-01,7.113762855529785,3.268707275390625,-1.1314735412597656,17.370512008666992,5.872894287109375
1967-09-01,7.381528854370117,5.09898567199707,-8.139110565185547,16.513334274291992,5.547983169555664
1967-10-01,7.033759117126465,18.338716506958008,-2.4980621337890625,15.623501777648926,11.458433151245117
1967-11-01,4.765911102294922,13.597295761108398,4.052412033081055,19.654687881469727,12.266630172729492
1967-12-01,4.597740173339844,16.22107696533203,6.5717010498046875,22.69318199157715,14.844696044921875
1968-01-01,13.168489456176758,17.94758415222168,17.272932052612305,21.680055618286133,17.050477981567383
1968-02-01,16.301067352294922,20.689956665039062,10.526405334472656,9.953861236572266,9.569128036499023
1968-03-01,19.761852264404297,14.426628112792969,12.814752578735352,17.15623664855957,13.770208358764648
1968-04-01,5.718137741088867,13.906961441040039,10.028621673583984,24.92568016052246,14.437568664550781
1968-05-01,8.496976852416992,17.36227798461914,-0.18233871459960938,18.454484939575195,6.7301177978515625
1968-06-01,4.9085540771484375,7.472234725952148,-5.284172058105469,16.476112365722656,12.993444442749023
1968-07-01,5.056247711181641,2.1205978393554688,0.7238845825195312,17.0085391998291,10.468057632446289
1968-08-01,6.784817695617676,4.928609848022461,0.18598556518554688,15.856161117553711,5.9788818359375
1968-09-01,9.29561996459961,6.263328552246094,-7.134908676147461,17.380510330200195,5.3297576904296875
1968-10-01,8.985644340515137,15.013757705688477,-4.676982879638672,7.7895050048828125,7.007270812988281
1968-11-01,8.548030853271484,15.859807968139648,1.6191673278808594,8.994762420654297,14.922588348388672
1968-12-01,11.1737060546875,19.581336975097656,7.35736083984375,17.424272537231445,16.388591766357422
1969-01-01,17.404096603393555,16.92806625366211,16.939678192138672,26.896488189697266,9.873876571655273
1969-02-01,14.513090133666992,18.216829299926758,12.197629928588867,29.47732925415039,12.852791786193848
1969-03-01,12.403299331665039,17.969694137573242,8.948356628417969,38.085662841796875,11.990299224853516
1969-04-01,8.925135612487793,20.923725128173828,9.508975982666016,32.03660583496094,7.1288299560546875
1969-05-01,7.225029945373535,26.272838592529297,2.806417465209961,24.295740127563477,8.694583892822266
1969-06-01,9.938562393188477,10.736368179321289,-9.681474685668945,13.526199340820312,8.711170196533203
1969-07-01,6.208285331726074,-0.45114898681640625,-1.764791488647461,17.84363555908203,5.413795471191406
1969-08-01,6.662751197814941,4.113424301147461,-7.926633834838867,9.928611755371094,4.163181304931641
1969-09-01,8.911865234375,8.107425689697266,-6.9347686767578125,16.349201202392578,5.911386489868164
