,zgv850_cluster1,zgv850_cluster2,zgv850_cluster3,zgv850_cluster4,zgv850_cluster5
1971-08-01,-0.024328947,0.2430015,0.41906238,-0.017131042,0.1078248
1971-09-01,-0.05110519,-0.04664247,0.27049753,0.028503705,-0.06550102
1971-10-01,-0.013963938,-0.36119118,0.22889356,0.09083764,-0.2919473
1971-11-01,0.012812281,-0.7334672,0.24386525,0.0024472952,-0.3800498
1971-12-01,0.03598956,-0.9037698,0.5133551,0.013963938,-0.11012802
1972-01-01,0.015388345,-1.0879695,0.56989515,-0.017624283,-0.40917236
1972-02-01,-0.039720368,-1.1204563,0.8137413,0.056555487,-0.1770318
1972-03-01,-0.010653472,-0.528728,0.67906034,-0.03130281,-0.649862
1972-04-01,-0.05274129,-0.2141217,0.6167178,0.00605011,-0.22753716
1972-05-01,-0.12218616,0.00013151168,0.61093074,0.010127401,-0.42061496
1972-06-01,-0.20609868,0.14033651,0.4787488,-0.020123195,-0.028935337
1972-07-01,-0.21122813,-0.053530432,0.7061544,0.021438455,-0.20465192
1972-08-01,-0.15467265,-0.12455358,0.7332484,0.101273775,-0.28290892
1972-09-01,-0.18097758,0.04327152,0.5742354,0.008549118,0.013678551
1972-10-01,-0.032749556,-0.17242846,0.37734348,0.08233428,-0.17768946
1972-11-01,0.015519857,-0.60593283,0.4463938,-0.037089873,-0.28540793
1972-12-01,0.032223463,-0.90672904,0.5199159,0.04879556,-0.6567012
1973-01-01,0.045433033,-0.9327625,0.9358099,0.098345935,-0.1324207
1973-02-01,-0.0005540609,-1.0427438,0.83067673,0.046679664,0.30321017
1973-03-01,0.073274635,-0.5787173,0.73981065,-0.01786847,-0.38867417
1973-04-01,0.14336343,-0.20888118,0.5450581,0.055267632,-0.47039825
1973-05-01,0.0009696007,-0.04778781,0.61694753,-0.016621847,0.013851548
1973-06-01,-0.16649549,0.1188462,0.33714643,-0.0037399172,-0.33493018
1973-07-01,-0.1296504,0.038645796,0.5879978,0.018145513,-0.0570683
1973-08-01,-0.20361762,0.20666495,0.25348315,0.03587551,-0.026456451
1973-09-01,-0.029088233,0.15333652,0.04293976,-0.013158942,-0.220932
1973-10-01,-0.073413156,-0.5544771,-0.036706578,0.013990045,-0.18450251
1973-11-01,-0.10333248,-0.5972783,0.27509156,0.076876044,-0.054159522
1973-12-01,-0.024655748,-1.1290389,0.4253807,0.03130448,-0.48785123
1974-01-01,0.044481874,-1.6009262,0.40594968,-0.0068757413,-0.37956923
1974-02-01,0.06061883,-1.1547043,0.6844875,0.01768049,-0.09008631
1974-03-01,-0.082789585,-1.0970323,0.4961763,0.026801372,-0.06833649
1974-04-01,-0.0056128623,-0.300428,0.73780966,-0.0063144565,-0.2828878
1974-05-01,-0.17806777,0.09022661,0.4500106,0.03592229,-0.21441098
1974-06-01,-0.18803062,-0.014172447,0.49940366,0.016698265,-0.39191753
1974-07-01,-0.14481163,0.19588861,0.66680706,0.00898056,-0.12558755
1974-08-01,-0.10720551,0.113239326,0.5280292,-0.0050515174,0.05879469
1974-09-01,0.0007016063,0.18957415,0.08601697,-0.042797945,0.021609496
1974-10-01,-0.0992072,-0.24598332,0.17385814,0.041254498,-0.29762155
1974-11-01,-0.008419275,-0.27643305,0.4850909,0.017680477,-0.50038594
1974-12-01,0.065810695,-1.2586825,0.52339864,-0.044341553,-0.37143064
1975-01-01,0.019193817,-1.1510922,0.68721914,0.09623754,-0.51621974
1975-02-01,0.065769,-1.2266594,0.62587947,0.119458035,-0.14415494
1975-03-01,0.036374282,-0.5680296,0.64010704,0.0092613455,0.007784939
1975-04-01,0.012348461,-0.40239906,0.5882972,0.0053689005,-0.29354468
1975-05-01,0.09315038,0.14375229,0.5664189,0.023623133,-0.4158213
1975-06-01,-0.17059676,0.18831417,0.71594274,-0.019730663,-0.17985812
1975-07-01,-0.2084475,0.23394983,0.46092004,0.06496372,-0.13959137
1975-08-01,-0.24012406,0.14079937,0.47085252,0.040803622,-0.17502613
1975-09-01,-0.039058756,0.04107208,0.22146711,0.0037582398,0.20804486
1975-10-01,-0.09288196,-0.10039842,0.1612012,0.0013422013,-0.036105823
