,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5
1965-01-01,1.2095975114944133,-0.06275982953800632,0.14157135448703875,0.07735575686712734,-0.561865833070543
1965-02-01,0.17579148741478617,-0.003241165409197044,0.05692484912414082,0.2661911190533247,-0.4946147638653952
1965-03-01,0.325182872883817,-0.04744459597905702,0.042029686616679836,-0.18774699725088526,-0.2002295520570543
1965-04-01,1.1277254591596888,-0.04809782431373853,0.03557873760603067,0.2612936447878353,-0.34153984179572455
1965-05-01,0.21824386525661388,-0.06107477729786557,-0.08621890396633416,0.1166632918060803,0.3663153875441778
1965-06-01,-0.21372443818031475,-0.046407476742949774,-0.0025093749251668854,0.23060042838581274,-0.12713876508531116
1965-07-01,-0.7939949314644996,-0.029487791273310235,0.11292880756317536,0.4833794519549511,-0.29262940561960615
1965-08-01,-0.17977651763469615,-0.0395708662001337,0.08344911900214377,0.13800977927739502,-0.2720954872313
1965-09-01,0.32032141660122165,-0.06402092946234236,-0.0603934868394984,0.41493920029186815,0.21158049977014934
1965-10-01,0.1611674561145458,-0.06690588555491342,0.09098588731247566,0.5788401990640359,-0.4433490454204499
1965-11-01,0.1299463133228586,-0.007917833839023418,-0.004825269469636024,0.5243047827579936,-0.49574323116786895
1965-12-01,0.5627958064383649,-0.0523510680562967,0.027478501372943723,0.11247137530905302,-0.31392515178710695
1966-01-01,0.1753979540885763,-0.11382806655705482,0.18999920242783652,-0.5454134257113348,-0.03327369867336182
1966-02-01,-0.14624124828805316,-0.05343144036639514,0.08347669261039337,-0.5785415407086982,0.10687226340884254
1966-03-01,0.5065889434611544,-0.04631997727216472,0.061710823241169055,0.16341252160854028,-0.35554066536918516
1966-04-01,0.7591151810706931,-0.07101967139301489,0.12775796514026003,-0.5130932467882751,0.11305467240394108
1966-05-01,-0.09835520957378631,0.052919487334344616,-0.10874861732900487,0.44313048730131055,-0.48541828753456234
1966-06-01,-0.5167025200864103,-0.04805621028832944,0.012925609601715397,0.5092450341240304,-0.15336856955573672
1966-07-01,-0.4593245209531581,0.01481509063044621,0.09959047522955719,0.3412399379933467,-0.34184323416815865
1966-08-01,-0.231856218677886,-0.017438825251529306,0.06341368735181115,0.12155660107487538,-0.15349042794061085
1966-09-01,0.03128771452193565,-0.04443398310087896,0.10389418508103818,0.09518563136702679,-0.38572757963150267
1966-10-01,0.31006038188934326,0.012571369917804729,-0.008192157771201492,0.10778375092099925,-0.28381186818319654
1966-11-01,0.6727983342840317,-0.02309642758526478,-0.02841350563258105,0.5246884998728018,-0.4041707704937647
1966-12-01,0.8509106458501613,-0.020623932099207265,0.008241425273735399,0.2174607065857434,-0.6934181092277406
1967-01-01,0.169722577358814,0.0012210348657947087,0.11198286806916916,-0.12235880875196614,-0.5246598096120925
1967-02-01,1.2002326072530545,-0.06940983837370157,0.11336810542324376,0.0035678910580082017,-0.6648919885120694
1967-03-01,0.6019686764859139,-0.023606607015046792,0.05176349656085748,-0.032017801384456826,-0.36189544295507764
1967-04-01,0.701887366619516,-0.03342561835354516,-0.03848894138556684,0.574884795751728,-0.15361920472175356
1967-05-01,-0.5738935572035769,0.007752673805984154,-0.05656902256389445,0.8461191028845115,-0.45226471764700754
1967-06-01,-0.22154807093295648,-0.04299088307358219,-0.016720377640917123,0.44016798988717504,-0.02014568992077358
1967-07-01,-0.3449739293849215,-0.004448055450622488,0.07663053067433352,0.050175354861822286,-0.24116720472063338
1967-08-01,-0.4216195421015963,0.01164800949162532,0.07267220301090638,0.26925347867559213,-0.18697981796567403
1967-09-01,-0.19440104035620995,-0.048648729055022384,0.06476076093712294,0.29782750567451854,-0.15546784750998965
1967-10-01,0.4089936296990577,-0.0435356260475204,-0.006959725418962495,0.18906644621833427,-0.17146038867178418
1967-11-01,0.2958097356431028,-0.04279485009294056,0.04064005966475933,0.775530152633542,-0.9788425195784796
1967-12-01,1.0401891267046015,-0.02752092717051844,-0.019472332488250182,-0.17908815233433834,-0.34662847008023945
1968-01-01,0.6735903785583821,-0.05429558265985916,0.09184505015267114,-0.016016392495299948,-0.408510650907244
1968-02-01,0.5852777273096937,-0.15813277944626958,0.36368938539758583,0.09832249679526345,-0.4419425650248452
1968-03-01,0.4468099233951975,-0.029767062726084977,0.06493801154153195,0.46317582247687167,-0.5904262028043232
1968-04-01,0.34872160312977246,0.07114428749819822,-0.12920156250454787,-0.17953234129264706,-0.09996371846350413
1968-05-01,0.45141279697418213,-0.057963963608566156,-0.012750028648731336,0.12007481494887931,-0.08699199746525477
1968-06-01,-0.08764564198382357,-0.07653448878452393,0.04477541559951843,0.27964686761136914,-0.04195545223497209
1968-07-01,-0.4702690750994581,0.019039645812160232,0.04326486367883021,0.16110512565393917,0.043940369690221456
1968-08-01,-0.42579896906588943,-0.052400113270742024,0.039083906853130096,0.5096105278515425,0.09625150807320125
1968-09-01,0.004092042651423749,-0.05681900909070253,0.002422343099737443,0.1065817524175175,0.13769643883856517
1968-10-01,0.11575389257136812,-0.03964572471484711,0.04275834586234451,-0.4227635801815596,0.033269113018399195
1968-11-01,0.2722549945750135,-0.03930445029677312,0.029716059845479238,0.13936865525167497,-0.29163358230439446
1968-12-01,0.971438783280393,-0.08323032734783699,0.09164198630117956,0.17658905660519836,-0.41416377302200075
1969-01-01,0.0224396546787404,-0.00835627568232703,0.09021713812916266,-0.2206423243538278,-0.24729631249866788
1969-02-01,-0.20977355381275747,0.01795588182575642,0.02166754162380461,0.4316285496852437,-0.37971368384739707
