,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1972-03-01,1016.3007,1011.5567,1020.29047,1016.1658,1016.43695
1972-04-01,1017.8131,1011.91296,1023.6408,1015.40076,1016.8032
1972-05-01,1022.89276,1011.9161,1027.2512,1017.0376,1014.389
1972-06-01,1022.4796,1012.8679,1027.7855,1015.91455,1013.0916
1972-07-01,1021.44653,1013.1891,1021.91095,1016.0795,1018.55554
1972-08-01,1020.7129,1012.0542,1023.2421,1015.4483,1016.4432
1972-09-01,1018.4899,1011.90735,1017.0188,1014.70526,1016.8363
1972-10-01,1017.2138,1010.8962,1018.1362,1015.9564,1018.4637
1972-11-01,1013.96967,1010.93304,1021.6316,1019.01807,1017.72565
1972-12-01,1021.58716,1011.8536,1021.2823,1021.8747,1020.9135
1973-01-01,1016.7662,1013.73346,1020.1011,1024.164,1020.8303
1973-02-01,1019.3635,1013.0325,1031.446,1020.52875,1021.7126
1973-03-01,1016.4794,1012.6808,1018.9506,1019.1108,1014.70197
1973-04-01,1015.57196,1012.0203,1013.6145,1015.12054,1015.7405
1973-05-01,1019.9333,1012.9521,1020.57697,1016.7841,1014.47687
1973-06-01,1021.79175,1012.3245,1025.4469,1015.8897,1015.86584
1973-07-01,1023.4,1013.02094,1027.1902,1014.5051,1015.3848
1973-08-01,1021.10175,1012.2782,1022.9755,1016.2478,1016.3141
1973-09-01,1017.71466,1012.1245,1021.22833,1017.0118,1014.9444
1973-10-01,1016.89026,1010.07635,1018.88635,1018.0889,1017.18353
1973-11-01,1015.04987,1010.7175,1017.1115,1020.1339,1019.25226
1973-12-01,1019.85034,1011.68854,1022.7711,1018.114,1018.6085
1974-01-01,1022.2653,1012.2096,1019.9932,1025.2317,1020.0054
1974-02-01,1015.99506,1011.61865,1022.141,1018.7902,1017.8759
1974-03-01,1017.4847,1011.9412,1019.95514,1014.731,1016.6689
1974-04-01,1020.2078,1012.7088,1021.7314,1013.6326,1018.29236
