,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5
1965-01-01,-13.662927290972542,-10.085228284200033,0.9829477894873847,-0.04533458093882572,-1.7329651175193417
1965-02-01,-15.779534508200252,-11.817251046498617,2.3933444704328264,-0.4042557316270434,-2.0169940967004276
1965-03-01,-16.930022894167433,-11.97588046391805,4.059656744911558,-0.2750487583368896,-1.9395967131679497
1965-04-01,-16.58319024478688,-11.73187812169393,4.78741100856236,-0.37494629380191385,-0.1320630601308878
1965-05-01,-13.67938097785501,-9.44622834523519,5.028630438305083,0.1343203580331223,1.6215699390300269
1965-06-01,-8.482150470509248,-6.247695684432983,4.958211240314302,0.47382454157840864,3.957771936666618
1965-07-01,-2.683123186522839,-3.5166601339975996,4.443259466262091,0.7247587990181649,5.0536692721172445
1965-08-01,0.9818999206318575,-1.5555488069852195,3.5822519234248573,1.1025300513394931,5.817887621018493
1965-09-01,-0.7875793704799577,-2.312472263971965,2.784151974178496,1.6073052337777758,5.489005394352293
1965-10-01,-4.899702352636001,-4.189273516337077,2.861114059175764,1.6486500438890959,3.6347445932406823
1965-11-01,-8.93710734797459,-7.0121049880981445,2.2782547133309503,1.2102196151428377,1.7963853275891646
1965-12-01,-11.634036606433344,-8.936397234598797,2.155493980362302,0.563145311255204,0.09150852277440932
1966-01-01,-15.00564649993298,-10.60683806737264,3.3141613006591797,0.11981060871711142,-1.5044998196722235
1966-02-01,-17.353401932061885,-11.848891576131185,3.3006744725363597,-0.10300829463642135,-2.4985819186979126
1966-03-01,-18.22542115753772,-12.244782447814941,2.7511849289848693,-0.16257436983739798,-2.2422702567091264
1966-04-01,-18.012669507194968,-11.361512343088787,2.859734069733393,0.12152713199376093,-0.8171164873734261
1966-05-01,-14.334634706085803,-10.04399299621582,2.306542368162246,0.5124142295435855,1.7663863098737105
1966-06-01,-8.820596395754347,-7.498895327250163,2.0516103222256614,0.8853177551315863,3.1204633197738127
1966-07-01,-3.3225089895958995,-4.945803085962932,2.4552640460786366,1.0784918721388226,4.914290580934691
1966-08-01,-0.18815079740449495,-2.332634528477987,1.8820871909459433,1.4406227872439241,6.120980364605061
1966-09-01,-1.538380454568302,-1.3159721096356711,1.5292765129180181,1.8884304564008827,5.637661461691255
1966-10-01,-4.234038147271848,-3.298943042755127,0.7897057703563145,1.8677385471127774,3.7350295816810384
1966-11-01,-8.630953583062864,-6.639579137166342,0.5022008504186358,1.6754667647937047,0.973591816078112
1966-12-01,-11.66211857515223,-9.29610013961792,-0.3997460717246646,1.0315884462734948,-1.5104176350010252
1967-01-01,-14.367352279962278,-10.779732863108318,0.30457679004896254,0.47221410612345704,-2.4621730290570305
1967-02-01,-15.691179387709674,-11.540623505910238,1.774997938246954,-0.12878048561724573,-2.0013399494504465
1967-03-01,-16.21584424785539,-11.799867153167725,2.147090576943897,-0.4919547421729516,-1.5806380984852615
1967-04-01,-16.408866059546376,-11.236542065938314,2.7112137703668506,-0.14059471969421092,-0.36345755012289993
1967-05-01,-12.97595547694786,-10.350291728973389,2.4561967168535506,0.09854805131672847,1.2118522403309646
1967-06-01,-8.292510462742225,-7.235962549845378,1.7956012771243142,0.5010618854630814,2.929187746881281
1967-07-01,-1.8600493085150624,-3.7712860107421875,0.8209166782242912,0.8626326586794756,4.969740376889127
1967-08-01,1.6964677502127254,-1.5153987209002178,1.0939578924860274,1.1687923931641133,6.004939727412844
1967-09-01,0.5341600553662169,-1.333288550376892,0.40394152913774767,1.6418267599484215,5.110557565411318
1967-10-01,-3.235926113876642,-2.4024975299835205,0.41217967158272156,1.8255850564130403,3.7121243847226633
1967-11-01,-6.799225246205049,-5.847346782684326,0.16424749933537983,1.3588109841713538,1.553801020372261
1967-12-01,-10.989036747053557,-8.372375170389812,0.10730031700361344,0.7139024705539347,0.06435739183888851
1968-01-01,-14.34619286481072,-9.862493673960369,-0.05712779682307016,0.10851852083013125,-1.7481893011667196
1968-02-01,-15.295631745282341,-11.154329776763916,1.3221063784190588,-0.19683899878248992,-2.5241430523326094
1968-03-01,-15.714527578914867,-11.611955960591635,1.4965830814270746,-0.17435412386409666,-2.5680342924247666
1968-04-01,-15.305839800367169,-11.333502928415935,2.1146606831323536,-0.1119309960890878,-1.0934880636270763
1968-05-01,-14.005020552990484,-9.650624593098959,1.806775728861491,0.33455317319646055,1.1622787679283364
1968-06-01,-10.126777723723766,-6.829431056976318,0.7557600736618042,0.6715478684738097,3.0938628518465654
1968-07-01,-4.347857306985294,-3.6923078695933027,1.398595174153646,1.0827893247971168,4.897382884349637
1968-08-01,-1.5625449956632127,-1.150260865688324,2.5519007728213357,1.438212515371531,6.487912807649779
1968-09-01,-2.4384274202234604,-0.9960847099622091,2.009058424404689,1.7629745759462054,5.667464709976344
1968-10-01,-6.866658435148351,-2.981495062510173,1.0948437310400463,2.027196102296775,3.51766405753719
1968-11-01,-10.526783326092888,-5.879695415496826,0.8001910788672312,1.675138251501539,1.434846526210748
1968-12-01,-13.508670470293831,-8.941810131072998,0.7775673554057166,0.806056439635242,-0.8152076341573474
1969-01-01,-15.933158350925819,-10.912520090738933,1.6521375803720384,0.2982822989645274,-2.2662325970177513
1969-02-01,-17.605699277391622,-12.192651430765789,2.1061403410775323,0.13572024068369073,-2.45505559791639
1969-03-01,-19.243762072394876,-12.987493673960369,4.525789760407948,0.38316625091228407,-2.330786973527334
1969-04-01,-18.186129775701783,-12.97447681427002,5.233173710959298,0.30530776813445304,-0.6071680957831225
