,vws_u850-250_cluster1,vws_u850-250_cluster2,vws_u850-250_cluster3,vws_u850-250_cluster4,vws_u850-250_cluster5,vws_u850-250_cluster6,vws_u850-250_cluster7,vws_u850-250_cluster8,vws_u850-250_cluster9
1965-01-01,2.2035249410376836,78.39628484466097,70.5633206639565,59.549396375255434,46.25547939918447,76.6710784840805,61.076533035076075,6.608767388383883,16.809451307416765
1965-02-01,-13.95834728006883,98.65597722939735,76.66954697040624,25.229090944168966,49.015276160035526,95.74437879289032,50.61993533649708,-57.52691333884316,3.8007819839096246
1965-03-01,-7.4094761515211784,71.72182144621928,69.35166212288566,33.78379793531252,37.817023316732694,77.14977069700636,50.32570407000703,24.20695908068387,7.315280906427368
1965-04-01,-3.471638079464984,57.20610728913013,52.218138956529664,22.320037363824472,35.27326383617618,60.21174034278736,33.10535447172656,-8.008143286265193,4.433903953188177
1965-05-01,-29.944168128317347,52.829434612895184,21.900510866839095,-12.545691021150352,33.19507311230255,43.296592536201196,5.674852390736894,-84.32742018321112,-17.47372978126909
1965-06-01,-49.932157942750514,62.42077569859842,-10.329996663950102,-79.2986089509763,51.08059544646483,19.119423234563058,-33.58292897599531,-81.83278453609013,-42.73445628066847
1965-07-01,-43.7070514799719,36.34143115020403,-28.739476340888018,-98.70887017418484,47.19832919631172,-4.363774365910884,-51.70389629466033,-98.35810843824297,-42.892925748809894
1965-08-01,-36.38135281744697,34.30700643676435,-18.45155175025345,-80.51654942770637,40.41164746315573,4.652236592505989,-39.413356854413756,-82.61702911253657,-34.765618792241334
1965-09-01,-36.01256943643058,61.83633426350551,2.4005731547845666,-56.15521090378129,48.73801094446146,29.487729438191703,-20.616294665334188,-60.39925404981915,-29.45709885521273
1965-10-01,-20.824226361737445,73.00450177223982,25.802613636375078,-0.9058322382579943,46.86056631413411,49.44146194859106,12.717572361467166,-37.970146332069646,-9.813636847421458
1965-11-01,-14.735211310192344,70.24578746292447,52.05250585152424,31.694195132540596,44.41795983231288,61.62154979079126,42.02123587339567,-21.551575867639876,4.871880613592303
1965-12-01,-24.8790435478333,90.40545561446831,61.30725427033148,17.857665753074773,47.98031141723058,83.21070441609359,35.73667326299166,-38.278482087098716,-1.426444144892411
1966-01-01,-3.4106635636673825,67.21743832652346,74.34013057081408,56.26143539562485,49.04026368380614,69.5931506800074,62.393899344581584,-1.9980444044871428,14.51773222980926
1966-02-01,-1.9430251210023812,78.12422082728834,71.59465863584529,27.923498336816984,45.19378148682949,85.36843608810949,47.010307505011475,-22.28721054540209,8.35534309981933
1966-03-01,-12.006767509372668,85.0661945780038,59.69362340180856,27.748177167169047,52.27849603450686,76.75613618658966,41.5422509246838,-32.744600290096784,3.8887391866727987
1966-04-01,-7.4223238660646995,49.83729498425131,59.93811715350901,33.68289197415301,39.302318257186315,52.40733500698884,48.09074661091795,-34.098459974216425,6.187606606096697
1966-05-01,-21.132213481984348,60.68711268104526,23.42704816512938,-11.745449485298376,48.06231328088153,45.36233238916526,3.3945682056290027,-37.785452181413135,-17.00529693109442
1966-06-01,-38.506856439974996,44.85553190878212,-9.519593582767973,-69.66242829847242,47.230335771612374,14.567580176128843,-29.623950385320587,-67.02315409471183,-37.74769001862544
1966-07-01,-42.4679149529837,32.2217595597494,-26.973888377838396,-86.26019668912797,49.947935188260125,-4.354649335390638,-46.64271463146557,-94.47672619928247,-39.55110163589001
1966-08-01,-38.23495839492157,31.87361802815958,-26.802431640373896,-84.072165096892,46.5401332837237,-4.480807780956306,-44.04332719708788,-63.83608214260125,-36.70945419533408
1966-09-01,-34.89601169307096,48.158038914412565,3.4305253824470334,-49.96409712803837,44.79348462164093,20.36307571624217,-15.306820962808263,-62.10248216806625,-28.423593613636108
1966-10-01,-26.695850982872333,66.68464084749277,39.03012776050521,-9.22965888897802,38.730118434940465,64.68897968075903,13.938767703882693,-52.96507959419961,-13.559422323273788
1966-11-01,-19.86358974739285,75.32876548593691,50.4952563018863,20.582091282605187,42.49534438682119,71.1947057217934,26.879810092608317,-10.325425276262868,-3.2895855568073835
1966-12-01,-23.320930154989327,89.97416854026217,67.93870172074816,24.694175629009322,55.35015894007413,88.24018495800807,41.61054468816865,-6.321392167328859,0.4109129097555009
1967-01-01,-15.183507396249684,111.47435164551614,67.98270288147434,16.98366844570332,52.385548723007055,100.6314786842241,35.57074447013041,-8.40556134323234,0.9370826421961076
1967-02-01,-14.230212050043834,99.3128907756738,77.8492727113173,36.04963539383666,55.88337645124643,96.06102563975067,51.650878507049654,-51.79240664153835,7.2369211833259115
1967-03-01,-1.026254577451857,74.59851825020277,74.25186669776623,30.192698946187924,41.240299725023874,84.57603521368948,50.67467186922699,-3.4307579823897933,9.941001440495121
1967-04-01,-5.489847810136104,64.24092940069494,51.05700863298812,31.537064218728887,39.42207560664729,58.85955997249699,37.99783147062415,18.694724284298054,7.476474722733986
1967-05-01,-25.022657869726423,61.46549524798557,27.683835674577704,-10.807591748428209,31.1384690374905,49.797882704401964,6.953417233142328,-42.76507739346833,-12.892426491741677
1967-06-01,-32.26350616238629,56.04169931068702,-8.89046616255081,-62.63593903536622,51.62450823484265,14.682074659543519,-27.82628800052569,-86.13854810968454,-32.757883192721906
1967-07-01,-44.67606385262899,29.667509293970035,-30.832447035073873,-97.74557521854443,53.99644231869527,-8.48219877485413,-52.54139426779975,-78.62299517029885,-40.101573821786396
1967-08-01,-42.34860266670658,27.614099077338246,-27.470538721927504,-91.51761001372552,53.00182671941771,-6.7103404307626775,-48.71976879849912,-62.77672756435109,-41.02612217170637
1967-09-01,-35.85155116725625,54.428490422451986,-7.385613935957146,-60.93459185782136,60.40739969504515,16.219447769238894,-27.87213035459069,-66.8038734948368,-31.670604056381144
1967-10-01,-19.165169634862394,68.09056517714181,33.56978403719271,-2.493693301268969,39.98419194269797,55.005734451882276,13.68785440463095,-11.302565009905683,-9.462127370362102
1967-11-01,-9.269697355655362,74.25086530106934,70.69531130913606,33.4348697518805,43.663100729716284,73.21826014785047,51.72690976492368,-15.28438445053935,6.858989012661641
