,zgv600_cluster1,zgv600_cluster2,zgv600_cluster3,zgv600_cluster4,zgv600_cluster5,zgv600_cluster6,zgv600_cluster7,zgv600_cluster8
1965-01-01,-0.0060341833,-0.51525784,0.20015725,-0.27418607,-0.2134029,-0.014717435,0.08933487,-0.02266488
1965-02-01,0.019721365,-0.35174695,0.31774965,0.129072,0.10861473,0.25490618,-0.18293786,-0.016189147
1965-03-01,-0.03296707,-0.3448299,0.40840918,-0.041650392,-0.14923492,0.19162115,0.079032704,-0.25107965
1965-04-01,0.0905123,-0.08021011,0.32260647,-0.19412312,-0.0495978,0.12362657,-0.11788676,0.08521403
1965-05-01,0.07844398,-0.5034839,0.42136055,-0.8388945,-0.23621503,-0.3183384,0.7410234,0.0858027
1965-06-01,0.040472984,-0.147616,-0.053277157,-0.058428265,0.17808111,-0.4837625,0.29714528,0.19000225
1965-07-01,0.054454543,-0.3037681,-0.24725309,0.34497693,-0.0098607065,-0.086685754,-0.37617788,0.0008830309
1965-08-01,0.10169754,0.013098526,-0.6889237,0.04680147,0.24798898,-0.16336367,-0.39221996,0.008536148
1965-09-01,0.07049656,-0.21060666,0.72027194,-0.7142377,0.13878556,-0.16910343,0.7018751,0.013392878
1965-10-01,0.028257513,-0.0017661095,0.120977424,-0.52408826,-0.43107405,0.9688495,0.09639926,-0.05504322
1965-11-01,-0.13554768,-0.33805975,0.2578497,-0.13437028,-0.07167397,-0.2725671,0.0347332,0.05151107
1965-12-01,-0.01560049,-0.49421197,0.6163667,-0.42180204,-0.052099776,0.024430942,0.05725087,0.0865386
1966-01-01,0.01736002,-0.51776254,0.3188458,0.13569753,-0.10256882,0.267055,-0.23681965,-0.042098045
1966-02-01,0.15030889,-0.45526654,0.47031203,-0.20846495,-0.08434079,0.15074292,-0.055262733,-0.079422094
1966-03-01,0.049765397,-0.4177978,0.3296958,-0.14466687,0.017504692,-0.11110415,-0.020108676,-0.0082459925
1966-04-01,0.103870794,-0.24217233,0.046582747,-0.17388955,0.1718642,-0.07218876,0.055552103,0.21584296
1966-05-01,0.14423287,-0.032984067,0.23624095,-0.24332964,-0.15898886,-0.16000156,0.44022125,0.060470723
1966-06-01,0.01634736,-0.21121368,-0.14727087,-0.11009149,0.10401545,-0.3137824,-0.069729425,0.14119487
1966-07-01,0.03385203,-0.054105423,0.27096105,-0.3661518,-0.043834068,0.018806696,-0.33027443,0.11645679
1966-08-01,0.040506743,0.07739677,-0.4423913,0.2637277,-0.28528306,0.64232093,0.6086135,0.16289492
1966-09-01,0.06350875,-0.08940415,0.7266617,-0.057288073,-0.35588044,-0.06394277,0.44658667,0.13482952
1966-10-01,0.014756012,-0.03269472,0.5391734,-0.3448858,0.16737957,-0.10068812,0.44383794,0.22958632
1966-11-01,0.002314663,-0.4669845,0.3683218,-0.2387003,0.39378324,-0.32607913,-0.02343607,-0.042676736
1966-12-01,-0.048318744,-0.59675086,0.5171841,-0.21063499,0.18199094,0.21902566,-0.244487,0.12050748
1967-01-01,0.06711082,-0.32539597,0.57185745,0.08825989,-0.17252311,0.34404707,-0.08059964,0.029975032
1967-02-01,0.026644493,-0.40799385,0.115070924,0.015320587,0.3780188,0.07993349,-0.019483794,-0.024313103
1967-03-01,0.028809357,-0.2701086,0.3099088,0.02531228,-0.33855167,0.21348901,-0.25462145,-0.21815181
1967-04-01,0.16519587,-0.07310586,-0.06411332,0.14221498,0.11590352,-0.19333912,-0.1698587,0.080932654
1967-05-01,0.015154052,0.07910085,0.19350567,-0.18767715,-0.2982518,0.26211524,0.0026644468,0.032639503
1967-06-01,0.004329729,-0.19433829,0.2884267,-0.24179879,-0.14071625,-0.21049151,0.22664475,0.0016652762
1967-07-01,0.08726074,-0.03680272,0.17851815,-0.4954211,0.18268132,0.11357212,0.112573005,0.20716095
1967-08-01,0.116736196,0.09192352,0.030641174,-0.15387192,0.19966722,0.165862,0.16752727,0.040965915
1967-09-01,0.014821005,0.01582017,0.67560446,-0.45961756,-0.19117424,-0.27210695,0.05212331,0.1144048
1967-10-01,0.013488782,-0.20499611,0.55537117,-0.41432196,-0.281599,0.10807667,0.52606225,0.03646966
1967-11-01,0.019150734,-0.099750325,0.049292315,0.10890937,0.52656186,-0.22298114,-0.15187363,-0.01582017
1967-12-01,0.017318916,-0.6021656,0.5445468,-0.42264834,-0.35453826,-0.47910136,0.44429693,0.04113244
1968-01-01,0.030861069,-0.54148436,0.45654565,-0.10093552,0.020668423,0.17582314,-0.17681405,-0.11735699
1968-02-01,0.0035391091,-0.53412306,-0.138167,0.15529624,0.1204714,-0.2790237,0.035957385,-0.08253212
1968-03-01,0.045017518,-0.24349098,0.52874357,-0.3836399,-0.035815835,-0.09668855,0.25962937,0.052945137
1968-04-01,-0.0031144142,-0.22466287,0.1980488,0.30549622,-0.36098957,-0.11948047,0.059173964,0.04346032
1968-05-01,-0.01755401,-0.29643613,0.3639624,-0.028879166,-0.20625958,0.00042467116,0.06837566,0.05775833
1968-06-01,-0.004530072,-0.04487598,-0.15416378,0.24051814,-0.09074287,-0.3424446,0.1509078,0.12457679
1968-07-01,0.051246367,-0.017837143,-0.17865445,-0.31526423,-0.36169738,0.0872037,0.05761676,0.091167554
1968-08-01,0.06030649,-0.21220522,-0.015430545,0.09215852,0.17638941,-0.2838369,0.66351295,0.10107708
1968-09-01,0.04232781,-0.06511967,0.18941331,-0.2989843,0.13703448,-0.12528467,0.44040728,0.124859914
1968-10-01,0.10787217,-0.16916959,0.32531533,-0.32092682,-0.4187479,-0.3127161,0.6506306,0.11551666
1968-11-01,0.07120697,-0.34159517,0.1057487,-0.22678638,-0.06016483,-0.0002831459,0.13986576,0.041619968
1968-12-01,-0.016987752,-0.4023264,0.42016354,0.02392441,-0.14779337,-0.13179658,-0.0818243,0.041195296
1969-01-01,0.12688549,-0.4288063,0.43365154,-0.027406072,-0.035733856,0.0034825325,-0.31130853,-0.10599025
1969-02-01,0.23121019,-0.44470483,0.43789116,-0.044667315,0.22924176,-0.06843941,-0.01953249,0.023317838
1969-03-01,0.21031494,-0.363698,0.40457994,0.12158599,-0.27618033,-0.015141487,0.17427826,0.21243477
1969-04-01,0.07858421,-0.23605546,0.23469272,-0.20123005,-0.26770112,0.29207885,-0.08721484,0.080855414
1969-05-01,0.0413362,-0.25422525,0.27693743,-0.6235255,-0.35733855,0.1467208,0.30207223,0.10538459
1969-06-01,0.013778722,-0.11946614,0.2557393,-0.3845932,0.026800346,-0.45439538,0.31736508,-0.009387707
1969-07-01,0.019683886,-0.03073721,-0.24620017,-0.35567302,0.20592391,0.1945678,-0.36036682,0.006965077
1969-08-01,0.037096597,-0.28995907,-0.44909582,0.2078923,0.332658,-0.23923516,-0.106595896,0.08373232
1969-09-01,0.06768234,-0.077978514,-0.17639808,0.5714389,-0.25271112,-0.14126985,-0.4497015,0.04814986
1969-10-01,0.054357864,-0.21712866,0.26966947,-0.32221037,-0.30903733,-0.11325817,0.2854166,0.100085065
1969-11-01,-0.007873583,-0.35203904,0.35748997,-0.8097655,0.44167653,-0.39352664,0.51935214,-0.06874225
1969-12-01,0.01695844,-0.56220263,0.49346033,-0.38292763,-0.2153116,-0.0978138,0.21152624,-0.20425835
1970-01-01,-0.04177772,-0.41712236,0.6123905,-0.15624079,-0.07884071,-0.0051075937,-0.04662342,-0.0060243844
1970-02-01,0.11839201,-0.36539134,0.31837496,-0.018727947,0.11053415,-0.010739088,-0.25119016,-0.05382645
1970-03-01,0.07753108,-0.51639354,0.28419322,0.09324684,0.2354744,0.19710174,-0.087222435,0.13332197
1970-04-01,0.070982836,-0.15087119,0.06770873,-0.01807313,0.060505677,-0.053171635,0.14248946,0.103069164
1970-05-01,0.06417265,-0.044266034,0.12074938,-0.41057405,-0.0039289235,0.210722,-0.035098456,0.024228478
1970-06-01,0.014144182,-0.25197592,-0.136989,-0.13646515,0.087091446,-0.035229493,-0.24817792,0.15021642
1970-07-01,0.07674525,-0.4874503,-0.36447448,0.39996594,-0.3854289,0.23861754,-0.04675436,0.17549258
1970-08-01,-0.02265687,0.054612257,0.17156366,-0.103985906,-0.17850478,0.002881193,0.64722717,-0.12677374
1970-09-01,0.045444705,0.01807313,-0.16344385,0.05382645,-0.39184612,-0.16409867,-0.23416471,0.19670884
1970-10-01,0.098354414,-0.12939301,0.3601527,0.3778329,-0.3635578,-0.14091797,0.044789933,0.06417267
1970-11-01,0.058541156,-0.4655792,0.3224349,0.23848656,0.45889997,0.111058,0.12271385,0.13096464
1970-12-01,0.13934635,-0.444232,0.42733756,0.04282551,0.035229493,0.18819611,-0.18858905,-0.05867214
1971-01-01,0.08637492,-0.35903186,0.48010072,-0.18800946,-0.32145876,0.3230423,0.11502264,-0.043907262
1971-02-01,-0.10681701,-0.3836487,0.22774193,0.10019493,0.18959299,0.094868466,0.0059022903,0.005758333
1971-03-01,0.045922708,-0.6299613,0.4127283,0.0050385473,-0.26675463,0.29612204,0.016699146,0.018858528
1971-04-01,0.020586038,-0.117469884,0.37990576,0.08982992,-0.098179534,-0.14367028,0.34881082,0.073274754
1971-05-01,0.038868736,-0.16727945,0.1916084,-0.24760821,0.061902024,0.025336647,0.11041596,0.003454995
1971-06-01,0.1016345,0.14770117,0.03814894,0.24919176,-0.26589078,0.099475145,-0.33902162,0.13503282
1971-07-01,0.04347539,-0.24832793,-0.0010077476,0.21089879,-0.6622078,-0.079464935,-0.64738023,0.07874515
1971-08-01,-0.03426206,0.121932626,-0.17548506,0.56748337,0.07932098,-0.24444103,1.113229,0.038292896
1971-09-01,0.0027351857,-0.07788141,-0.0020154,-0.082919955,-0.108400546,0.055423904,0.04002037,0.19722278
1971-10-01,0.039300583,-0.14007135,0.58562213,-0.40481058,-0.30116063,-0.22860575,0.36119124,0.14942864
1971-11-01,0.053984333,-0.20197335,0.31224543,-0.13359328,0.20442069,-0.018138696,0.17764445,-0.09832349
1971-12-01,0.060750376,-0.34262046,0.21377793,-0.3080706,0.28115043,0.09602018,0.19837447,-0.102066375
1972-01-01,0.021175433,-0.25870842,0.12744713,0.24082115,0.13586465,-0.11271639,-0.08180819,0.011179591
1972-02-01,0.02038629,-0.41456485,0.45546895,0.017755795,0.2944831,-0.05431957,-0.13783753,0.14086261
1972-03-01,-0.0082860235,-0.19294629,0.253579,-0.10969134,0.101536825,0.062342547,0.07246995,0.023674393
1972-04-01,-0.08272884,-0.34972334,0.47033113,-0.3999656,0.44231647,0.05050535,0.23897982,0.065893725
1972-05-01,0.02078085,-0.30658332,0.4545482,0.12494812,-0.13744299,0.03577461,0.11626754,0.09969549
1972-06-01,0.070365526,-0.17058711,0.09048877,0.14704423,-0.28935364,-0.036826897,0.08930502,0.0415617
1972-07-01,-0.0006576061,-0.14757034,-0.072075345,-0.25147462,-0.0036827088,0.28738075,0.25397354,0.24555603
1972-08-01,0.049190093,-0.05050535,-0.2060987,0.05602939,0.18939514,-0.0006576061,-0.64118135,-0.009206677
1972-09-01,-0.00039458275,-0.2904058,0.2954038,0.061947964,0.30276912,-0.49190122,0.5692375,-0.022359133
1972-10-01,-0.07325907,-0.48308897,0.105745554,-0.56805384,-0.1865017,0.23582324,0.15256827,0.056292437
1972-11-01,-0.12771015,-0.27028257,0.28816992,-0.24608211,-0.12902541,-0.050242234,0.12928848,0.13270812
1972-12-01,0.033275675,-0.33643937,0.23108831,-0.23095682,-0.33196753,-0.023806,-0.053135872,0.042613912
1973-01-01,0.053189896,-0.36651173,0.19184382,-0.17259017,-0.22287126,0.020915842,-0.15195137,0.060392715
1973-02-01,-0.12701862,-0.35307574,0.30875078,0.094606,-0.027287532,0.24461818,-0.17743821,0.134914
1973-03-01,0.034905873,-0.28229436,0.4003095,0.43632346,0.18907356,0.35889336,-0.16843466,0.08574103
1973-04-01,0.028395653,-0.256946,0.33423764,-0.22716525,0.07936931,-0.31789285,0.02354765,0.19156678
1973-05-01,0.01302045,-0.27329084,0.07853822,-0.06177788,-0.12563348,0.3167847,-0.0006925821,0.14585671
1973-06-01,-0.0072028013,-0.26941243,-0.01149677,-0.084078886,-0.07812266,0.04598713,0.11829214,0.077291586
1973-07-01,-0.12327869,0.31844687,-0.6784483,0.3370079,-0.18796544,0.096406706,-0.55683184,-0.028395656
1973-08-01,-0.09502156,0.17702267,-0.25154394,-0.14142421,0.2691354,-0.12009283,0.23422952,0.048757423
