,vws_u850-200_cluster1,vws_u850-200_cluster2,vws_u850-200_cluster3,vws_u850-200_cluster4,vws_u850-200_cluster5,vws_u850-200_cluster6,vws_u850-200_cluster7
1965-01-01,17.294620513916016,53.25094223022461,-0.5018596649169922,55.15736389160156,-10.905679702758789,34.32038879394531,0.8456668853759766
1965-02-01,19.111419677734375,58.09031295776367,4.042581558227539,43.360389709472656,-8.096567153930664,42.979103088378906,5.010454177856445
1965-03-01,23.5255069732666,60.5947265625,3.3093433380126953,43.62761688232422,-8.01998519897461,33.116249084472656,5.711103439331055
1965-04-01,20.44428253173828,36.02964782714844,5.564455032348633,31.182132720947266,0.850555419921875,34.64464569091797,6.173858642578125
1965-05-01,7.347036361694336,12.769733428955078,12.821874618530273,29.212167739868164,-4.339134216308594,24.93169403076172,10.985523223876953
1965-06-01,-2.3545055389404297,3.697145462036133,4.655241012573242,33.86578369140625,-14.162883758544922,25.630714416503906,1.8298358917236328
1965-07-01,0.9776477813720703,-2.9036197662353516,-9.007410049438477,19.142379760742188,-20.11351203918457,28.270368576049805,-0.6859836578369141
1965-08-01,-1.564239501953125,-0.47415924072265625,-7.749504089355469,12.683374404907227,-9.637996673583984,20.978731155395508,-3.8926753997802734
1965-09-01,2.8856964111328125,4.679681777954102,-12.390079498291016,14.878198623657227,-15.235038757324219,32.910945892333984,-3.5179100036621094
1965-10-01,4.987642288208008,20.24712371826172,-4.228334426879883,23.268062591552734,-3.0714492797851562,30.654203414916992,-5.417808532714844
1965-11-01,13.18686294555664,35.622291564941406,-1.4208507537841797,37.781272888183594,-3.0518970489501953,36.03942108154297,-2.901988983154297
1965-12-01,14.417074203491211,50.316368103027344,7.480648040771484,45.04031753540039,-4.876842498779297,47.58058166503906,10.83724594116211
1966-01-01,24.08386993408203,60.21377944946289,6.928934097290039,51.76350021362305,-3.999483108520508,43.465850830078125,2.069488525390625
1966-02-01,23.325660705566406,59.345611572265625,4.647737503051758,43.88926696777344,-4.234165191650391,37.97620391845703,5.868751525878906
