,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5
1971-07-01,-1.5357754,0.88808477,-0.016984176,-0.378228,-0.14828643
1971-08-01,-0.9684334,0.6519367,0.14501992,-0.716935,-0.5650555
1971-09-01,-0.67153436,0.869141,0.079042435,-0.7006035,-0.29493943
1971-10-01,-0.7930378,0.98639756,0.0989666,0.13489494,0.58432615
1971-11-01,-1.0510689,0.93544465,0.079042435,-0.066957474,1.097776
1971-12-01,-1.1118206,-0.43767318,0.16494408,0.5385994,1.0135071
1972-01-01,-1.5180784,-0.3609417,0.0031562806,0.15263978,0.7388117
1972-02-01,-1.3975735,-0.7408201,-0.28433496,0.51042557,0.47771683
1972-03-01,-0.9715015,-0.41746444,-0.07890205,0.68228877,0.5603493
1972-04-01,-1.3031775,0.4272194,0.08406639,-0.8045155,-0.03328209
1972-05-01,-1.335886,0.8739494,-0.055661775,-0.054801177,-0.22379532
1972-06-01,-0.740246,0.73708993,-0.23211594,-0.2702759,-0.67511594
1972-07-01,-1.3912611,0.993594,-0.23613282,-0.5833023,-0.46423188
1972-08-01,-0.9649023,0.5870323,-0.07947578,-0.48948058,-0.38590354
1972-09-01,-0.411726,0.9218647,0.061113358,-0.5901886,-0.4008232
1972-10-01,-0.779554,0.3293808,0.14431915,-0.6217491,-0.56666106
1972-11-01,-0.80853254,0.22695121,0.06886025,-0.407996,-0.15751724
1972-12-01,-0.9101011,-0.043037795,0.01951027,-0.37528762,0.56752205
1973-01-01,-1.4663045,-1.1219479,-0.09970741,0.0417305,-0.18890266
1973-02-01,-1.2022232,-1.0021713,-0.042686462,0.032810975,-0.017520523
1973-03-01,-0.9378235,-1.1107982,-0.20260048,0.17520484,0.21820983
1973-04-01,-0.582317,0.3099533,-0.04523468,-0.42399558,0.54440916
1973-05-01,-0.82951486,0.21534233,-0.14111939,-0.5272068,0.29912224
1973-06-01,-0.9104277,0.77727205,-0.19941482,-0.12264328,0.11690941
1973-07-01,-1.1369196,1.0767128,-0.20737877,-0.46636313,-0.0688076
1973-08-01,-0.98369503,0.9024639,0.04969444,-0.42240295,-0.31536865
1973-09-01,-1.0760759,1.2203811,0.21247558,-0.3478611,0.2800091
1973-10-01,-0.68903273,0.56670797,0.19941482,-0.28255767,-0.14239387
1973-11-01,-1.6243074,0.69381064,0.23700409,0.28733596,0.76389277
1973-12-01,-1.2206997,0.013060761,0.16246262,0.43673784,0.8327007
1974-01-01,-1.7398914,-1.0597786,0.12787056,1.094294,0.40760726
1974-02-01,-1.2185485,-1.041042,0.018407822,0.7665642,0.18440934
1974-03-01,-1.5459492,-1.0285507,-0.03648758,0.10453148,0.08480873
1974-04-01,-0.5972759,0.5134533,0.11899529,-0.5052357,0.4375206
1974-05-01,-0.5561867,0.63212013,-0.076919176,-0.4720356,-0.11012001
1974-06-01,-0.23207322,0.8211311,-0.24390678,-0.60483664,-0.12392578
1974-07-01,-0.46809083,1.0226338,-0.21793823,-0.44803923,-0.120967485
1974-08-01,-0.99206334,0.68339956,0.14364854,-0.18375206,-0.16435775
1974-09-01,-0.72810477,0.4345619,0.20018807,-0.6755104,-0.1495655
1974-10-01,-1.1228921,0.76492083,0.17224655,-0.04733505,0.21465111
1974-11-01,-1.6596845,1.0038971,0.14299126,0.020709228,0.9549187
1974-12-01,-1.4358292,0.17619133,0.18276596,-0.17947845,1.030523
1975-01-01,-1.5125153,-0.6153305,-0.059854887,0.029135514,0.8047115
1975-02-01,-1.4941475,-1.1679558,-0.00063323975,0.6831024,-0.025018692
1975-03-01,-0.5567425,-0.69513625,-0.004433441,-0.075688936,0.79362714
1975-04-01,-0.8940182,-0.033569336,0.062704846,0.06808853,0.21344948
1975-05-01,-1.4304924,0.9462719,-0.11432533,-0.6093132,0.18811455
1975-06-01,-1.0862494,0.96559066,-0.13744354,-0.55262566,-0.033885956
1975-07-01,-1.3541702,1.0586971,-0.0965908,-0.19951515,-0.105774686
1975-08-01,-0.2796379,0.7382061,0.03990326,-0.3914299,-0.30402297
1975-09-01,-1.0672481,0.8594986,0.14662781,-0.150745,-0.118442155
1975-10-01,-0.7049538,0.38161278,0.11369209,0.08075599,0.47155267
1975-11-01,-1.5220162,0.57796097,0.076955795,-0.077905655,0.7483406
1975-12-01,-1.6224072,-0.20046501,0.14536095,-0.3049732,0.8629826
1976-01-01,-1.1151577,-0.7814514,-0.045750044,0.49147645,0.42722473
1976-02-01,-1.132314,-0.87026024,-0.07972641,0.45581856,0.38988456
1976-03-01,-0.91802865,-0.8012989,0.03834953,0.25229797,0.3195774
1976-04-01,-0.022874832,0.799617,-0.046759415,-0.7636223,0.34211653
1976-05-01,-1.2591358,0.93754005,-0.29602966,-0.4817211,-0.13085862
1976-06-01,-1.3307884,0.90961915,-0.18300018,-0.3064583,-0.35792693
1976-07-01,-1.2399613,0.8726147,-0.20452957,-0.5691849,-0.46086463
1976-08-01,-0.41074142,0.77135926,-0.10159226,-0.4305889,-0.5008961
1976-09-01,-1.2382793,0.655975,0.11302948,-0.32159653,-0.33841592
1976-10-01,-0.9368671,0.2438881,0.069634244,-0.14734192,0.043395232
1976-11-01,-0.8975086,0.4941681,0.29602966,-0.13624115,0.43832627
1976-12-01,-1.2648548,0.31823236,0.12143936,-0.20419312,0.7858246
1977-01-01,-1.304581,-1.013731,0.014860916,0.12207184,0.49111977
1977-02-01,-1.3466873,-1.3445644,-0.052013777,0.6096535,0.29332733
1977-03-01,-0.99426997,-1.1251881,-0.037860107,0.21265335,-0.022999192
