,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5
1965-01-01,0.021169543,-0.010822117,0.030992925,0.033251762,-0.052899837
1965-02-01,0.021327138,0.024951756,0.0012075305,0.027263165,-0.03587967
1965-03-01,-0.0063569546,0.014813185,0.023165703,0.030257463,-0.032885373
1965-04-01,0.074016154,-0.029050589,0.03924036,0.002573371,-0.02537334
1965-05-01,0.06371999,0.035353005,0.026475191,0.033304274,-0.020277798
1965-06-01,0.0325163,0.015496135,0.009139836,0.029994786,-0.0036253333
1965-07-01,0.046121955,0.025844812,0.015233457,0.040396035,0.022167623
1965-08-01,0.06744975,0.03556311,0.01738727,0.036088467,0.02742076
1965-09-01,0.041394114,0.033304274,0.022692919,0.031360626,0.029101789
1965-10-01,0.014760673,0.037979603,0.024373949,0.02847141,0.018542945
1965-11-01,0.03246379,0.035458088,0.022692919,0.007879078,0.010663211
1965-12-01,0.04029095,0.017860055,0.036403656,0.023270786,-0.021486044
1966-01-01,0.0005790591,0.030715168,0.026201606,0.029621005,-0.03165424
1966-02-01,0.03992468,0.022645473,-0.011320353,0.034499288,-0.054495692
1966-03-01,0.058024585,-0.03881216,-0.012368977,0.021551251,-0.10925132
1966-04-01,0.014210999,0.013071179,-0.005074322,0.0064148307,-0.021487296
1966-05-01,0.019362867,0.03614056,0.030441642,0.02784288,0.0017188787
1966-06-01,0.03349626,0.041930735,-0.011913061,0.03974235,0.006278038
1966-07-01,0.043617606,0.022371888,0.023967624,0.03823781,0.020183504
1966-08-01,0.04694581,0.025654495,0.023511708,0.037234783,0.011293113
1966-09-01,0.038739324,0.028116465,0.0012173653,0.031854987,0.019590795
1966-10-01,0.008010507,0.03846574,0.0008981824,0.029438615,0.0073722005
1966-11-01,0.023511708,0.038329005,0.016946495,0.029666543,-0.05376625
1966-12-01,-0.017064929,0.036277354,0.019545197,0.031946182,-0.060650587
1967-01-01,0.022981644,0.030985713,0.021726131,0.019162714,-0.07479334
1967-02-01,0.034543037,0.025858939,0.02240616,0.022615433,-0.055750966
1967-03-01,0.03213662,0.024184883,0.020418227,0.030305624,-0.034616113
1967-04-01,0.06211257,0.0027884245,0.036060154,-0.0014489889,-0.032575846
