,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8,abs_vo600_cluster9,abs_vo600_cluster10
1965-01-01,0.00017252896213904023,2.588496570681016e-05,5.811616130990953e-05,0.0002597811810740429,0.00036901605892039483,4.7469518111677526e-05,0.00010466107293420161,0.0002919266347924028,4.3817713698704855e-05,9.240481585177388e-05
1965-02-01,0.00016563019016757607,2.264307066117861e-05,7.325108482491044e-05,0.00025194753018185136,0.00033409738708065735,4.540888767223805e-05,0.00010973031056069193,0.000301425953854478,4.018207185990399e-05,7.826062555669539e-05
1965-03-01,0.0001841150333348196,1.8832513462682557e-05,7.036047996158099e-05,0.0002520874770153768,0.00036059129689376625,3.985285117535271e-05,0.00010514815498719967,0.00031749982821672936,4.207399927379031e-05,8.834942522206171e-05
1965-04-01,0.00016680414773873053,1.9876335807259543e-05,9.115404880991797e-05,0.00023428933118560874,0.00036384035844267126,3.295566838829419e-05,0.00011957577260632423,0.0002935541809111943,4.20625119226142e-05,8.960119823498999e-05
1965-05-01,0.0001532726309960708,1.6977789185490676e-05,0.00010557350611723051,0.0002277534449382163,0.00027935374029246826,3.254119094143078e-05,0.00011559118969931401,0.00023690768370322662,5.0076142499511614e-05,9.39121722910648e-05
1965-06-01,0.00014667211871710606,1.9434751325147832e-05,0.00010687202497714813,0.00023507868385555723,0.0003065325948964095,2.965782258986947e-05,0.0001094892858028678,0.00028281326248200936,5.752182914875448e-05,9.575746613120565e-05
1965-07-01,0.0001280188371310942,1.961560021252855e-05,0.00011545239320229285,0.00022805779292134614,0.00030552577559969256,2.6864492412804083e-05,0.00012934307874058417,0.0002801388772615396,6.323641823005995e-05,9.48877302215482e-05
1965-08-01,0.00015737436115159653,1.783651518431347e-05,0.0001142949658082571,0.00020720097648048002,0.00033078225290713215,3.295396646256512e-05,0.00013696849020475166,0.00024864831870860033,5.546107872976877e-05,9.578555872687533e-05
1965-09-01,0.0001467923266318394,1.8411430408543144e-05,0.00012054582085267346,0.00022826269098625678,0.0002926523544980834,2.5671885517716298e-05,0.00012797696572739543,0.00022990001632612855,5.822553378363539e-05,9.151718601923815e-05
1965-10-01,0.00017441308955312707,1.9421730195807122e-05,0.00011293711240130772,0.00021753619033161825,0.0002847102309931957,3.372814456153071e-05,0.00013530702528355288,0.00021316878059331106,5.565068845282353e-05,8.609124545157904e-05
1965-11-01,0.000135973168653436,2.7032769281362703e-05,9.926404412154381e-05,0.00022305056762245552,0.0003257196762466005,3.7745921152164364e-05,0.00012075098701253799,0.00023451350845040423,5.61903115816503e-05,8.220089573839332e-05
1965-12-01,0.0001624593096494209,2.3839845210192847e-05,7.727822976005151e-05,0.0002438795934544831,0.0003294745207919429,4.195480689286522e-05,0.00010597811654276614,0.00026815543927060547,4.793551938963078e-05,7.085062383863507e-05
1966-01-01,0.00017634471078054048,2.830394758395367e-05,5.765380969600434e-05,0.0002541991728698699,0.00033706053814274215,5.1673735713235815e-05,9.974464774131775e-05,0.000304147568599814,4.2173558627144384e-05,7.650204509954458e-05
1966-02-01,0.00016274887457257137,1.9926060363045568e-05,8.279638699960055e-05,0.00022717124410541502,0.0003222210147041118,4.256364966092613e-05,0.00011929186300784793,0.00024738360747612794,4.339287746309613e-05,8.590495010632706e-05
1966-03-01,0.00015122367585718166,1.843370003595513e-05,9.828048549512993e-05,0.00024683533588469754,0.0003250360134102049,4.058676837519327e-05,0.00011056850087784586,0.0002984018946710207,4.3995718269364994e-05,8.423036996322542e-05
1966-04-01,0.00015930952940834686,2.0599802226499447e-05,9.124501602633335e-05,0.00022418048834746206,0.00031545350793749094,3.540314204350003e-05,0.00010917164694373718,0.0002829520192736869,4.945965234323272e-05,8.691589508829166e-05
1966-05-01,0.00017346579625154845,1.7370960201581262e-05,0.00010340118024032563,0.00022246401896132385,0.00032118238907839574,2.917885926718095e-05,0.00012601535023090297,0.0002635081995429252,5.0199000508568826e-05,9.329422151125273e-05
1966-06-01,0.00015942447134875692,1.765190429612087e-05,0.0001039623517809981,0.0002335968729755955,0.000291977769284997,2.4671194611559853e-05,0.0001137916808060947,0.00028238770456108096,5.068114183987269e-05,9.67154939366915e-05
1966-07-01,0.00014082438610785175,1.9331057117526212e-05,0.0001201384115918744,0.00022146054018266136,0.00029717990574205206,2.7462826464855397e-05,0.00013483303995426036,0.00023982082733281832,5.217024971941663e-05,9.505009506552844e-05
1966-08-01,0.000183060019480763,1.4898533108508117e-05,0.00011849628119706745,0.00019968407819183863,0.0003198718158749952,2.841678555215718e-05,0.00014772196577507115,0.00023261182992856072,4.7490024631510354e-05,0.00010423952470912393
1966-09-01,0.00015616273230989464,1.3139673116368956e-05,0.00012114186375117975,0.00021462195635228078,0.0002979314428687628,2.58455683891016e-05,0.00013769683954749435,0.00021139971709892373,5.529772135473433e-05,0.00010140440466229694
1966-10-01,0.00015732126485090703,1.640946838842983e-05,0.00011194574543013715,0.00023469848845085903,0.0003215825320997586,3.176273551589745e-05,0.00012949356113538325,0.00025701440737226647,5.2574368531904404e-05,7.909622612622394e-05
1966-11-01,0.00014762361388420686,2.205278497648897e-05,9.09330549070657e-05,0.0002311544582281807,0.0003670557080546305,3.6378203208862555e-05,0.00011172964843267221,0.0002564997403704397,5.81259969511025e-05,7.236633529705075e-05
1966-12-01,0.00016520845747436397,2.5673601500442034e-05,6.944290184836108e-05,0.0002369261914637031,0.0003468077920842916,4.531269735140302e-05,9.010681900517306e-05,0.00027354493367430917,4.822246756659643e-05,6.680923017823154e-05
1967-01-01,0.00017715778085403144,2.495079653189433e-05,7.067830621253518e-05,0.0002511666602137067,0.0003226050120290546,4.579260798936507e-05,9.650055809678244e-05,0.00029136503786396454,4.8069303461705285e-05,7.16526501800202e-05
1967-02-01,0.00017562426364747807,1.9547774349853347e-05,7.72777594847423e-05,0.0002449632497368063,0.00035241603091846975,4.173025355148728e-05,0.00010723041279041874,0.0002758207676165244,4.400257326086007e-05,8.71926527845247e-05
1967-03-01,0.00015851603166083805,2.0433496986213443e-05,9.389230221930166e-05,0.00023755872062770878,0.0003467216932525238,4.8180054994253905e-05,0.0001172736769409052,0.0002642396044821533,4.083573349773706e-05,8.412575032522555e-05
1967-04-01,0.00014890702004777268,2.3349977189874543e-05,0.000102672031683075,0.00022844150208118486,0.0003660388063595054,3.3726941507152916e-05,0.00012200843706350064,0.00027553338869063947,5.5748032103847e-05,8.697712412143473e-05
1967-05-01,0.00018267473933519796,1.66826262633927e-05,0.00010716956727797303,0.00021838848890804846,0.00032441180554174245,3.22745631144631e-05,0.0001305720746001628,0.00026376703103511207,4.941710358252749e-05,9.326957574635113e-05
1967-06-01,0.0001682772381172981,1.8595184954321736e-05,9.786456691316989e-05,0.00022788414598170034,0.0003166906286164054,2.3662010285574575e-05,0.0001105523118721543,0.0002753695726449437,5.649466835339332e-05,9.862667218963537e-05
1967-07-01,0.000155783818627242,1.6127653777532813e-05,0.00012049850938194318,0.00021782227743576032,0.000344346439565665,2.649538164225287e-05,0.00014976493340717364,0.00023553252771414595,5.5920801449766646e-05,9.623631663320555e-05
