,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11
1965-01-01,63.95421781037983,31.582230581364165,51.730630004290234,37.69548489497258,39.107564091682434,342.1648297991071,72.81003900476404,67.25575862786708,45.50633779386195,46.92006587982178,120.90023214166814
1965-02-01,62.467153448807565,30.8555092610104,51.4837505747971,37.42523560157189,38.75923454761505,364.151736668178,74.35549658698005,69.05060792580629,43.59039213599228,44.59770202636719,110.83257848566228
1965-03-01,63.03757115414268,30.537610658457584,51.49051147757225,37.38867686345027,39.02464807033539,381.2762941632952,76.58198073103621,70.69108425042567,42.36398557337319,44.3117094039917,104.58488464355469
1965-04-01,63.632829565750924,32.124164742483224,52.393828086482664,37.52276347233699,39.8040235042572,381.93727220807756,76.89150732916755,72.85078488863431,43.65104582251572,45.90660572052002,114.27779631181197
1965-05-01,65.80246875160618,34.05975556709397,52.825507376957866,39.291704618013824,40.694716572761536,377.5961739676339,76.15561098665805,73.23306646102513,46.64919318222418,49.412569999694824,145.28722763061523
1965-06-01,67.80788522017629,37.148083431619995,52.92467839509538,41.28275651198167,42.18602180480957,369.00896344866067,72.06355429984428,72.57980933556189,52.4543343520746,53.567562103271484,180.6097550825639
1965-07-01,69.74781437924034,39.1860048535844,52.18580671884481,43.351228420551,42.935121059417725,363.9939989362444,68.75755206958668,71.2960952367538,59.243011474609375,57.66704082489014,212.59536743164062
1965-08-01,70.71026751869603,40.053128524565366,52.351881230919105,44.63510880103478,43.64136755466461,343.8155310494559,67.93236603608003,70.71850116436298,63.572874301817365,61.11577033996582,228.2031145962802
1965-09-01,72.15838683278938,39.44089110468475,53.24278711115272,45.15240375812237,44.16035711765289,335.8728408813476,69.07645560599663,70.32480973463792,61.50515486554402,59.60461616516113,211.60989241166547
1965-10-01,72.47883144177888,37.61783384940994,53.48070385386643,45.134988197913536,43.72451603412628,349.35594286237443,71.13212894748997,70.41453826121794,57.040944913538496,56.41548156738281,181.97553808038884
1965-11-01,71.53954756887336,35.495677464444874,53.011351650201,43.10807814964881,42.5723522901535,346.6055188860212,72.48570725724504,70.05841670892177,52.375909758777155,51.852498054504395,155.7897394353693
1965-12-01,68.31103375083522,33.36088959599885,52.68284695819744,40.36833322965182,41.2923663854599,344.2614419119698,72.7314820160737,69.88780192839793,49.1504390065263,48.97923469543457,134.15321003306997
1966-01-01,65.51849465621144,31.45720253528004,52.29491817141042,39.05112926776592,40.14689922332764,359.4700949532645,74.58396602321315,70.89778215457231,45.12233268923876,46.37373924255371,115.48359610817649
1966-02-01,65.24737006739566,30.046720907721724,52.40827764122231,38.912057876586914,39.46783244609833,370.81764766148154,75.55588387154245,70.91131943922777,42.500761078625196,44.41586971282959,102.87555347789417
1966-03-01,64.94456341392116,30.067304154516947,52.290933109024195,38.32833216740535,39.16858732700348,358.6127417428153,76.79995974978885,70.78978220621744,41.61408121992902,44.15390491485596,101.59204656427556
1966-04-01,66.18765278866417,31.286075753225408,53.09147881072702,39.247501813448395,40.2487576007843,346.2462833949497,78.0826929453257,72.22320850078876,42.176330380323456,45.7124137878418,111.86259876598011
1966-05-01,67.65582937943307,33.9592544125839,53.46418584434731,40.05296780512883,40.97401201725006,329.76311274937217,76.92290641166069,71.86650985326523,46.357927089784205,48.00609588623047,133.63884145563298
1966-06-01,69.05488967895508,36.6598451641244,53.713591121932836,41.773036810067985,42.0315682888031,330.3415843418666,74.2591703260267,70.85194709973457,52.76743260825553,51.4558744430542,171.79615714333275
1966-07-01,70.71909151579204,38.751615604884186,53.19506450764184,42.88353553185096,43.06730031967163,332.0242200578962,70.98103085079708,70.62812707363031,58.89012406512005,55.77704429626465,212.75133653120562
1966-08-01,71.30239888241417,40.262281390982615,53.39038811841057,44.76101581866924,43.91033947467804,319.3221773420061,68.66210731300148,69.60950509095802,62.20623109398819,59.410176277160645,221.79719751531428
1966-09-01,72.30734574167352,39.7367128184144,53.60573703802905,46.31620920621432,44.42242681980133,315.4957635062081,69.11175186569626,69.16186992938702,60.3233616526534,60.3720760345459,212.78752413662997
1966-10-01,72.96341845863743,38.45661593155123,53.534670709406285,45.36260091341459,44.269758462905884,318.97433144705633,71.05531434755068,68.56205280010516,57.67794818412967,57.295799255371094,184.75624431263316
