,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10,ssta30_cluster11
1965-01-01,-0.8180847,0.7451782,1.0011292,-4.5797424,-0.32409668,-1.7047424,2.2485352,1.022583,-6.6763916,-5.4644165,-18.68991
1965-02-01,-1.9067078,0.33963013,0.41497803,-4.7392883,-0.75408936,0.05621338,2.5270996,1.1579285,-7.6183167,-6.8099976,-20.38675
1965-03-01,-1.833252,0.17108154,0.35168457,-5.167816,-0.342865,1.3895264,3.288086,2.200348,-8.426056,-7.2160645,-21.675995
1965-04-01,-1.7770691,0.56903076,0.7337036,-5.6360474,-0.411438,0.9048462,2.9760437,2.8981934,-8.391327,-7.048126,-21.697632
1965-05-01,-1.1733398,1.0375366,1.0295715,-4.5717773,0.12844849,0.5949707,2.7574768,2.6487122,-7.2232666,-5.489868,-17.114685
1965-06-01,-0.051208496,2.618225,1.4571533,-3.5778809,1.2775269,0.39285278,1.68219,2.529419,-4.4420776,-3.6482239,-10.427643
1965-07-01,1.2884216,3.2778015,1.9934692,-2.0945435,2.0553284,-0.44995117,0.9426575,2.1676025,-1.3695374,-1.8540344,-4.6986084
1965-08-01,1.8452759,3.861084,2.8377075,-1.7472534,2.5942078,-2.3205566,0.49856567,1.9186096,0.7505493,-0.24038696,-2.9542542
1965-09-01,2.5305786,3.4142456,3.1582947,-1.2645264,2.8778687,-2.5438538,0.25582886,1.6464233,-0.2975464,-0.9501648,-5.717743
1965-10-01,1.6497192,3.0523071,2.7180176,-0.86654663,2.685089,-1.4438477,0.82543945,1.6751709,-1.7846375,-2.2731018,-10.451599
1965-11-01,1.0010681,1.9336243,2.4794922,-2.00766,2.2599487,-2.2531738,1.2979431,1.3917542,-3.7166138,-4.2030945,-13.995239
1965-12-01,0.0680542,1.1936951,2.0933228,-3.457611,1.2810059,-1.9807129,1.7944641,1.6547546,-5.075775,-5.2349243,-17.235962
1966-01-01,-1.2668457,0.59552,1.2621765,-4.463043,0.3630371,-1.0237732,2.4588623,1.8875122,-7.0919495,-6.2658997,-19.701294
1966-02-01,-1.5188904,-0.3680725,0.7363281,-4.468994,-0.15426636,-0.31866455,2.4655457,1.6853943,-8.448364,-7.4085083,-21.534271
1966-03-01,-1.367279,-0.5422363,0.8526306,-5.106598,-0.31381226,-0.76464844,3.0886536,2.2843323,-9.104645,-7.6643677,-22.099762
1966-04-01,-0.9732361,0.25421143,1.0978699,-4.8941345,0.059051514,-1.7816162,3.4241943,2.3843384,-9.191223,-6.887085,-21.242828
