,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8
1965-01-01,1962.2222604103458,1025.7605966895517,1057.6778072337206,2538.2383728027344,1011.46337890625,1257.4132095148534,2188.194871985394,2753.1870249155404
1965-02-01,1959.0013226259102,1023.5398417771464,1056.0652328411322,2535.3846740722656,1009.9205932617188,1254.3190285011574,2186.8105681046195,2742.41003088049
1965-03-01,1960.9946834230886,1027.4728486032197,1057.768241522824,2539.8583984375,1013.150634765625,1258.6296929253472,2190.2046535326085,2752.337646484375
1965-04-01,1967.744579130006,1027.8437450678662,1057.9079832706152,2548.223876953125,1015.7275390625,1260.199276017554,2203.4746252972145,2754.0835818728888
1965-05-01,1969.2358516952365,1028.2583525686553,1057.5289901014398,2533.227996826172,1017.0603637695312,1259.1798382040895,2203.3341117527175,2743.572338207348
1965-06-01,1972.4296495752426,1030.566837811711,1059.9765637782232,2538.7681579589844,1019.47314453125,1259.8249270592205,2209.893002717391,2747.93981603674
1965-07-01,1975.5526348225121,1033.627041903409,1060.1515844854384,2548.563995361328,1021.4274291992188,1266.3779176311727,2214.4332222316575,2761.3749736064187
1965-08-01,1974.077717308859,1033.8413431186868,1059.4916698196173,2535.2757263183594,1019.3920288085938,1267.737117814429,2206.5765380859375,2757.4690535261825
1965-09-01,1975.0184883191746,1032.1396336410985,1060.107581652896,2539.261932373047,1018.9442749023438,1264.0533824025847,2205.1808232846465,2753.7167110958617
1965-10-01,1972.657198118932,1030.478182705966,1059.3475182018979,2540.388946533203,1017.0939331054688,1263.2792154947915,2201.4060642408285,2754.7008617504225
1965-11-01,1969.8786763311589,1029.751617739899,1058.807021535504,2540.529022216797,1015.7335205078125,1263.1741747444057,2197.2405475118885,2758.17590661951
1965-12-01,1963.9503849362864,1025.3152250039457,1057.0463010777978,2533.208770751953,1012.2550048828125,1257.5180242091049,2189.1600235648775,2742.3900707347975
1966-01-01,1965.2760329755763,1026.3204555318814,1058.7121773764725,2544.3199157714844,1013.3408203125,1257.7999162085262,2190.7497240149455,2749.6083852407096
1966-02-01,1961.7400826759708,1024.4106100063132,1057.2958102401014,2537.6918029785156,1011.208740234375,1257.8003683207946,2189.6843951681385,2751.841942039696
1966-03-01,1963.832462644114,1026.934876104798,1057.0150485213514,2539.4227600097656,1013.4864501953125,1259.3095190731094,2195.596048106318,2752.1293021537163
1966-04-01,1966.1742571488167,1027.3153285787564,1057.2488994498528,2546.8930053710938,1015.60107421875,1258.8529610339506,2198.978457243546,2750.5400786528717
1966-05-01,1972.664486783222,1028.4737635140468,1059.051833227667,2544.772186279297,1018.44091796875,1258.4123776282793,2209.15991741678,2746.056469066723
1966-06-01,1973.972002047937,1032.4486318260733,1059.4058051783377,2542.9368591308594,1019.6959228515625,1262.4116120515046,2209.2334249745245,2748.8901499155404
1966-07-01,1974.0954352814017,1030.355557528409,1058.5360382239855,2538.476104736328,1019.7883911132812,1261.8123372395833,2210.2005668308425,2744.986209353885
1966-08-01,1974.2373568340413,1032.1953667534722,1058.910270011862,2551.3201904296875,1020.1705932617188,1264.8814260223764,2210.1443083389945,2758.6669921875
1966-09-01,1973.9806536331917,1030.6087609493372,1059.4446631626308,2540.359344482422,1018.2478637695312,1262.5446837625384,2203.846143639606,2752.591189822635
1966-10-01,1969.9692216891685,1029.2902782709912,1058.7134236440609,2549.9070739746094,1017.2559814453125,1259.6120575327932,2201.5135391898775,2751.6142974028717
1966-11-01,1966.6249099287013,1026.1925283104483,1057.386596040576,2537.095947265625,1013.6691284179688,1254.7018168885031,2194.137307871943,2734.1371278505067
1966-12-01,1962.6285293727244,1024.761962890625,1056.2905516299902,2541.625518798828,1011.9613647460938,1255.5771815923997,2192.007180918818,2750.537109375
1967-01-01,1958.4529543385922,1023.3408918284407,1056.8563571151014,2534.006805419922,1010.4942626953125,1253.5715362172068,2184.0523097826085,2738.0415632918075
1967-02-01,1958.3038033790958,1024.056729403409,1056.3785572950753,2544.7837829589844,1011.025390625,1256.7624692563656,2185.53931194803,2753.1230204814187
1967-03-01,1963.1280695350424,1026.2347597064395,1057.0228456826735,2548.228302001953,1012.9107666015625,1259.6219286506557,2193.9502218495245,2763.205368454392
1967-04-01,1966.3247710292778,1026.5192821772412,1057.5751020022087,2543.72802734375,1014.468017578125,1259.2017656491125,2202.55591351053,2754.5019201330238
1967-05-01,1967.7897332941443,1028.5714814157197,1057.2833156086388,2538.4938049316406,1016.6822509765625,1257.7802493248455,2204.414699388587,2738.8269372888512
1967-06-01,1972.150606322057,1030.3066061000632,1057.8105826652488,2538.8995361328125,1019.0947875976562,1260.0547507957176,2210.4622218919835,2732.2521312816725
1967-07-01,1973.7124544902913,1032.565646701389,1058.318548552029,2537.6995849609375,1020.0765991210938,1263.977955005787,2210.7603653617525,2747.6216084248313
1967-08-01,1974.4526983464805,1034.8710493607955,1059.2821370868783,2538.6741638183594,1020.4104614257812,1267.386730806327,2207.28759765625,2755.589005753801
1967-09-01,1974.3628048202365,1032.3478313407513,1059.5244881994438,2546.5798950195312,1019.5858764648438,1264.896797839506,2206.8192191745925,2753.6809148015204
1967-10-01,1971.7378190420206,1030.609254162721,1059.2566365346859,2540.011749267578,1016.74072265625,1260.7291515962577,2198.563285495924,2742.411185599662
1967-11-01,1967.3454210596176,1027.4249452533145,1057.8060769285833,2539.2506408691406,1014.3602905273438,1258.8687849633486,2194.1418191661005,2745.8703943201012
1967-12-01,1964.1047505499089,1024.8325540561868,1057.7410792805138,2537.555694580078,1012.0843505859375,1256.05770158179,2191.495016346807,2746.2128510346283
1968-01-01,1958.2952110512742,1024.0829313644256,1056.278983710324,2529.4752502441406,1009.5542602539062,1257.9245484905477,2182.401706861413,2749.064347550676
1968-02-01,1960.2011671344053,1025.3405638415404,1057.6879691079025,2537.6519775390625,1011.1234741210938,1260.1704915364583,2186.2964132557745,2761.8771114864867
1968-03-01,1962.4332761301578,1026.1401243884154,1056.285598515216,2539.7161865234375,1012.4200439453125,1259.2025945216049,2194.275831139606,2761.0104122677367
1968-04-01,1966.0523646086165,1025.6549257220645,1057.6754425208605,2526.9432067871094,1014.0446166992188,1258.167106722608,2198.802782141644,2752.5687552787163
1968-05-01,1968.1363300212379,1027.3301249802714,1057.588363567572,2538.6502075195312,1016.6422119140625,1256.3746322820216,2202.1825375764265,2748.0980125633446
1968-06-01,1970.4283482820085,1028.042633364899,1058.709173552029,2532.127685546875,1017.682373046875,1258.6902759693287,2205.1414158033285,2741.4466651710304
1968-07-01,1975.203549283222,1033.6176708491162,1059.0807849824116,2541.1227416992188,1021.2997436523438,1265.3535819347992,2211.004240616508,2748.273364917652
1968-08-01,1975.9830215602244,1033.743316958649,1059.8006483147906,2531.740264892578,1020.1476440429688,1269.0238293306327,2208.2052479619565,2765.1641020903717
1968-09-01,1974.7910582903519,1030.984651199495,1059.5556129335732,2539.76318359375,1019.1049194335938,1262.7073688271605,2206.2705661939535,2753.0440046980575
1968-10-01,1972.1455694402305,1029.9118504379735,1059.0208682714333,2536.8069458007812,1017.1123046875,1261.3630883487654,2202.022121263587,2749.021952861064
1968-11-01,1969.2949906136225,1028.8615525370897,1059.0724445762435,2534.7869873046875,1015.7105712890625,1258.041946976273,2196.030061141304,2744.886573585304
1968-12-01,1964.597298335103,1025.656035452178,1057.2065902630072,2539.979248046875,1013.0213012695312,1257.574764298804,2192.2154965608015,2746.9555004222975
1969-01-01,1961.99951171875,1023.9702937578915,1056.6739866246728,2527.6393127441406,1010.9320068359375,1255.8130334924767,2187.8148617951765,2737.922627217061
1969-02-01,1961.0285786749089,1024.1715864701705,1057.476774685046,2539.1627502441406,1010.9607543945312,1255.017918716242,2188.5025687839675,2746.8916609480575
1969-03-01,1965.2646555483918,1027.032285748106,1057.9632664226112,2545.282440185547,1013.9195556640625,1257.7443063994983,2196.47508704144,2751.6783018369933
1969-04-01,1967.961994652609,1027.5058938999368,1058.0748553051376,2543.607177734375,1015.5711059570312,1260.4676046489196,2204.7464121942935,2756.4585092905404
1969-05-01,1968.57655349287,1029.018887606534,1057.5654194617148,2547.2140502929688,1017.2133178710938,1259.7667552806713,2204.961229407269,2754.9123403188346
1969-06-01,1972.7179369880157,1030.0577182962436,1058.8257475049083,2538.3319091796875,1019.1156005859375,1258.8892053674767,2210.2495276409645,2736.2938133445946
1969-07-01,1975.5109768469356,1033.5272894965278,1059.4223262127782,2547.7069091796875,1021.4454345703125,1265.297821421682,2213.636713442595,2756.7753972233954
1969-08-01,1975.7061115746358,1033.529570608428,1059.4011716193554,2550.0421142578125,1020.7713012695312,1264.7554374035492,2210.9438688858695,2754.8122096706084
1969-09-01,1973.365442961165,1031.0744776870265,1059.1155526525688,2557.5955200195312,1018.99853515625,1264.9558738425926,2206.1004638671875,2774.392947635135
1969-10-01,1970.1119728458737,1028.594539141414,1058.6818834874018,2552.274932861328,1016.060546875,1259.6801004292051,2200.240823496943,2749.1535908467063
1969-11-01,1968.0084524802792,1028.1699440696023,1058.25431783786,2543.7379455566406,1014.95166015625,1259.3739450713733,2195.241646144701,2748.6552470439187
1969-12-01,1964.7323460254854,1025.6710168087122,1057.9506759244111,2540.1695251464844,1012.544189453125,1256.8744423948688,2190.1656441066575,2748.7952979835304
1970-01-01,1964.7034876554915,1025.7371690538193,1058.1245781863547,2542.494659423828,1012.0892944335938,1257.257381486304,2191.8670654296875,2750.851192989865
1970-02-01,1960.172960596177,1024.6284870186237,1057.57072408786,2541.8234252929688,1010.7147827148438,1256.9940260898918,2190.370642620584,2757.303103885135
1970-03-01,1962.773058252427,1025.1424153645833,1056.8323904307101,2541.974639892578,1012.4381713867188,1254.5707796826773,2193.509176503057,2742.085554793074
1970-04-01,1966.572704130006,1027.313602331913,1057.535796639807,2537.718505859375,1015.6178588867188,1259.6330054012344,2200.4876178243885,2756.228885135135
1970-05-01,1967.3067852131371,1028.5781397964015,1057.0517974374181,2544.8023986816406,1017.5075073242188,1258.9549123505014,2204.7517195991845,2745.1904296875
1970-06-01,1971.9115618363167,1032.201901830808,1058.1038709710406,2520.9158325195312,1018.7456665039062,1261.806309076003,2207.1714981742525,2737.0204616237334
1970-07-01,1975.0052146541261,1031.7626953125,1059.3001280779615,2541.8527221679688,1020.7750854492188,1264.685360001929,2213.201506241508,2753.510181323902
1970-08-01,1972.4624781932646,1031.9234212239583,1058.306724987729,2543.4918212890625,1019.530517578125,1265.821518132716,2208.488132642663,2760.8970848289696
1970-09-01,1970.7134357933858,1029.3950861150568,1057.8195621830007,2536.374969482422,1016.7101440429688,1261.495632595486,2200.668069590693,2751.609843486064
1970-10-01,1968.416439908222,1028.534058850221,1057.6774557223496,2534.9542236328125,1015.5418090820312,1259.04541015625,2195.783399498981,2745.9700300886825
1970-11-01,1965.4031994273362,1026.0917278251263,1056.9800252065609,2536.4439392089844,1013.2864990234375,1259.2019917052469,2192.5158956776495,2748.5171756228888
1970-12-01,1961.5582216133191,1024.7352060645517,1056.4064864712861,2534.455108642578,1011.5991821289062,1256.070812837577,2186.0542629076085,2746.0596033044762
1971-01-01,1958.9938561893202,1023.6286818379103,1056.14013671875,2534.744873046875,1009.5569458007812,1254.4956536940585,2185.7866370159645,2746.7443517736488
1971-02-01,1956.0360806659587,1022.8498979048295,1055.181021964987,2534.9868774414062,1008.2809448242188,1255.2040382667824,2183.055711829144,2753.0695734797296
