,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8
1965-01-01,25.65741,16.849731,28.115295,23.543304,14.223694,18.812653,27.319458,27.606354
1965-02-01,26.157867,17.442993,28.330872,23.576752,14.157837,19.557098,27.852356,27.608856
1965-03-01,26.211761,17.38562,28.683624,24.231384,13.853485,19.799591,27.322968,27.64029
1965-04-01,26.260162,16.562347,28.596313,22.858246,12.884491,19.162933,27.745575,28.358795
1965-05-01,24.821655,15.610809,27.604858,21.776978,12.383026,17.747375,26.85492,28.339325
1965-06-01,23.832703,14.762573,26.434296,20.462738,12.264282,16.581787,25.66092,28.096344
1965-07-01,23.233948,14.307037,25.945831,19.65091,11.797241,16.121246,25.011261,28.174194
1965-08-01,22.12027,14.250641,25.475311,18.801666,12.404999,16.306366,23.98639,27.76654
1965-09-01,22.423645,14.256622,25.619995,17.932495,11.794769,16.175629,24.180481,27.787994
1965-10-01,23.162598,13.758667,26.329529,19.652924,11.345184,16.156677,24.59613,27.50058
1965-11-01,23.353699,14.593933,27.6333,20.381378,11.969879,17.497406,25.528687,27.658752
1965-12-01,24.838623,16.247498,28.635223,22.21756,13.633423,19.409912,26.732178,28.027985
1966-01-01,26.11853,17.680695,28.703033,23.678772,14.52182,20.329254,27.041412,28.06662
1966-02-01,26.925415,19.0766,28.834656,24.645996,15.632263,20.869873,28.102936,28.76709
1966-03-01,26.07315,18.422516,29.118073,24.373688,14.759338,21.209747,27.61377,28.79483
1966-04-01,25.823029,17.645416,29.371246,23.403442,13.809235,20.04483,27.580994,28.78122
1966-05-01,24.810394,15.667053,28.231537,22.342896,13.657959,18.17743,26.762543,28.881561
1966-06-01,24.085724,14.596466,26.85785,21.285889,12.574738,17.328705,25.595581,28.33844
1966-07-01,23.335358,14.051819,26.345978,19.981812,12.455231,16.935883,24.424133,28.68692
1966-08-01,22.086731,13.821869,25.977356,18.998932,12.332672,15.90509,24.042877,27.684387
1966-09-01,21.897095,13.453735,25.77362,19.262177,12.0755005,15.569733,24.342926,27.444824
1966-10-01,22.450317,13.881866,26.487183,20.202179,11.880829,15.747742,24.67981,27.735321
1966-11-01,23.221893,14.361969,27.601166,21.009033,12.121368,17.198608,25.803864,28.286499
1966-12-01,25.330841,15.634277,28.301636,23.316193,14.127472,18.615662,27.269348,28.144287
1967-01-01,26.339813,17.343994,28.487366,23.91632,15.177948,19.734436,27.363495,28.220917
1967-02-01,26.665863,18.303589,28.390198,24.21231,15.87558,20.205719,28.124756,28.348145
1967-03-01,26.401917,18.345154,28.88501,23.362915,15.365753,20.26883,28.027588,28.62259
1967-04-01,25.541504,17.798248,29.033752,22.238068,14.510345,19.434448,27.716583,28.987183
1967-05-01,24.022003,16.735016,28.530945,21.26648,13.1440735,18.72528,26.336823,29.205536
1967-06-01,22.973785,15.423859,27.137634,19.824585,12.694336,17.417114,25.073242,28.803894
1967-07-01,22.035736,14.077637,26.338318,19.055328,12.21405,15.913635,24.69162,28.474854
1967-08-01,21.687653,13.827209,25.76236,18.681702,12.149445,15.77243,24.150208,28.01358
1967-09-01,21.514862,13.370453,25.733337,18.379211,11.447296,15.60965,23.395477,27.80774
1967-10-01,22.068787,13.915344,26.197601,19.78952,11.227936,16.080414,24.499298,27.559845
1967-11-01,23.426025,14.09967,27.362518,20.749115,11.681671,17.307953,25.77539,27.63797
1967-12-01,24.891937,15.658234,28.172852,21.755768,12.90921,18.01361,27.399567,27.904388
1968-01-01,25.59021,17.166962,28.133972,22.62204,13.940643,19.864594,27.164062,27.788239
1968-02-01,26.052673,18.660217,28.479706,22.80951,14.528717,21.342987,27.854523,28.089966
1968-03-01,25.727203,18.738861,28.761139,23.217041,14.65683,20.581268,27.792206,28.265045
1968-04-01,25.088165,17.537445,29.059906,22.530548,13.998993,19.602936,27.430634,28.787354
1968-05-01,23.982727,16.367188,28.501984,21.477509,13.436615,18.095856,26.586853,28.64096
1968-06-01,23.47525,14.943207,26.973114,19.843323,12.441956,16.797516,25.809296,28.360016
