,vws_u250-50_cluster1,vws_u250-50_cluster2,vws_u250-50_cluster3,vws_u250-50_cluster4,vws_u250-50_cluster5,vws_u250-50_cluster6,vws_u250-50_cluster7,vws_u250-50_cluster8
1965-01-01,-27.686683530387608,1.9344742134461763,-36.788080777769046,-26.101770531409464,-24.052797845090527,21.252793797986566,-14.046459098769281,-28.375731791112123
1965-02-01,-32.0450283169778,5.573697176867808,-41.9508206959126,-28.529542734560977,-20.218079746850506,28.2643859162491,-10.219074533713105,-23.2357182051566
1965-03-01,-28.395022048996488,3.2972828064969617,-41.328366158629215,-23.075633254695717,-18.7897379371228,20.98471164605952,-9.34578650391024,-26.533542539119
1965-04-01,-23.576914325934204,-1.0249005538305107,-42.496602211429725,-14.052760088262994,-30.362035420444943,17.967003977879695,-18.218293399733962,-31.553905514433296
1965-05-01,-29.558114049491245,1.0734451271444396,-51.70559611038583,-16.24661867697969,-25.833162741610767,13.480566382823318,-12.583519880962475,-30.862643944392072
1965-06-01,-33.72354555827343,6.634006204318682,-55.233557539380406,-4.5259869919281766,-23.6404183283712,17.093502320826197,-5.899218077212253,-38.78942678974491
1965-07-01,-25.536886448940933,5.157531060592214,-60.524320757957256,-3.6046219891029767,-19.198182843445146,16.20646346556045,-7.166448212946083,-31.81680075012545
1965-08-01,-16.84476289684704,-4.8436105870255135,-64.4943010550533,-0.718755778775687,-28.015714088210206,0.5817688912588166,-19.09880906205672,-32.156166232385694
1965-09-01,-26.59315845237261,-7.74179394563583,-62.549062692910184,-11.440035131833758,-31.045117769826533,-0.7167290398903321,-21.887341070035042,-34.991660144549975
1965-10-01,-32.01800670633569,-15.521089440652863,-60.82065113997457,-21.574289405462526,-37.037334501071584,-17.87533319599022,-29.221824303312186,-40.651066491427684
1965-11-01,-25.19466697144737,-20.968545723643903,-60.06366127042367,-16.549470572618837,-39.200116362771666,-25.44602491937126,-34.30780689411466,-37.893434534285454
1965-12-01,-25.227332405548104,-20.15972507051697,-43.20559167852369,-27.28409516897758,-33.346931631802,-27.155119437331592,-29.51432495055854,-29.795762146541627
1966-01-01,-27.193706677878275,-22.748735158616103,-40.64776669533237,-32.02542716671423,-29.671290308632653,-30.128654937935675,-30.683265298328546,-24.510223044128388
1966-02-01,-26.05316857374359,-21.194894250579917,-46.0570077814641,-25.718662913821046,-29.265058000816836,-27.64473966449092,-29.048524123364476,-27.04591907576976
1966-03-01,-24.069775053359844,-21.673064213333934,-39.07449413283096,-21.655465319706344,-30.240403003362218,-27.223958095675837,-29.191669558073155,-27.27959024279383
1966-04-01,-25.010802180096285,-19.85582141097906,-39.61987661135053,-16.9694927969517,-40.017156336038965,-23.812810994439197,-34.18226909381137,-37.66941035373342
1966-05-01,-18.422068328536252,-14.527606709801102,-37.81485537154986,-10.347369591599616,-42.203533986809845,-10.259069110631946,-32.40887851350031,-39.27789361863174
1966-06-01,-28.127542063292132,5.788178597154871,-63.458550258526934,-9.326326371801,-22.634248880913976,17.834317274713563,-7.833853167758614,-37.059340449328225
1966-07-01,-30.387205114243436,17.56416851816015,-59.3369165022134,-13.23374925968834,-15.659187210379256,28.42614288363375,4.403836939347884,-32.2550369016599
1966-08-01,-22.626271410271592,17.696576096283323,-48.4889212740677,-5.841109933630942,-18.257427365773538,30.341393137435517,1.799714532069906,-28.385045368130694
1966-09-01,-24.208351127681407,15.562999298740204,-63.62093129403095,-7.558774430877196,-20.665454407883104,32.8901633442432,-1.5122082679984674,-32.72926289636425
1966-10-01,-34.32528862410466,8.801661734693948,-60.91392272250466,-22.0216275992768,-32.00348017893237,26.248723354095194,-12.626199919661271,-38.19545848512593
1966-11-01,-36.69607631468125,5.36828515484149,-51.336634757577876,-31.586334299183672,-29.7286050176612,24.490637596468822,-14.037860042286832,-31.19242559680947
1966-12-01,-25.58020609437529,6.450942444224935,-43.61592641332453,-24.36893613126369,-20.975178983519353,24.91405250123683,-7.373570006271305,-26.66139744953454
1967-01-01,-32.335461738316354,7.728398224068981,-38.26289108888093,-34.492088999946,-12.060264995064147,23.54656990692509,-3.1933150850476038,-18.0829958611355
1967-02-01,-27.021152762347345,5.759707554080972,-39.18707683128574,-27.20764447661225,-16.373386178880708,24.217466676664007,-8.488702894815907,-21.208732001459076
1967-03-01,-25.647639900566837,4.032701929469878,-44.70070464688012,-18.657937753919324,-13.58781149611745,21.573524814933588,-6.556389689531738,-22.02333194297231
1967-04-01,-23.64327394253633,5.171750569622145,-44.18732271671614,-15.483493157881014,-21.633602182050193,20.844631168744133,-9.953928485260418,-26.870548026170024
1967-05-01,-24.88515090749915,7.065744329168046,-51.121211954704535,-10.698323148081705,-27.77472197718034,29.205689129932008,-12.053055622472586,-38.56595431931278
1967-06-01,-33.60946295989879,16.21156378996591,-55.386392115335745,-17.477944596937558,-19.652309795031684,40.452727085714876,-4.004318572146935,-32.258566094099855
1967-07-01,-29.602819234287153,19.73113310286842,-64.69377960175494,-10.081125993002308,-17.88322494355225,46.06727896434761,0.9106303247419006,-30.99427780417459
1967-08-01,-23.760755749353937,19.67381721506953,-68.70777688084605,-5.7625867914605164,-13.852427535660611,49.260444614295274,1.9601740905533742,-28.12798370978025
1967-09-01,-35.402462327093474,12.608656373250374,-62.78426045983826,-25.32418524818128,-24.87971149424499,40.15737352927884,-8.199489363925853,-34.90231320456956
1967-10-01,-38.49079535082644,5.738518158619661,-67.4991563706747,-24.71636864499853,-26.916863520447798,26.86798128547672,-14.509744584522418,-38.32984997810883
1967-11-01,-28.82575784757438,-2.286210642838148,-48.17219563158939,-25.220801372679055,-33.95725000239982,17.59155788828585,-22.518196498940753,-32.73720383880911
1967-12-01,-28.85198102613251,-3.3093874736583837,-49.64149745709318,-26.61279840537856,-29.74019327017825,12.618399614237973,-18.8608903775978,-32.516506547233654
1968-01-01,-30.383362101949388,-6.170653740912316,-43.118700919953916,-30.66092613351164,-24.361516167721536,10.417814138738668,-19.38674120752099,-25.51355868943166
1968-02-01,-26.90064888780955,-1.809018452781903,-45.94242214120039,-23.404022746417986,-22.667412786700805,17.37746698559655,-15.602435846599978,-28.44742830658654
1968-03-01,-28.697961857056082,-0.24580170372368898,-57.64120720960347,-21.732875314673688,-23.530157060756622,17.560101944030738,-14.403001914601962,-31.31557679800481
1968-04-01,-24.96010890493973,-10.88745250568595,-45.30698395957012,-16.763000466761042,-35.43065037132899,-3.781986545961515,-27.624202698581378,-36.086819362258126
1968-05-01,-25.046293108117975,-8.384660053816207,-54.0908690306248,-15.020762516858133,-34.56326245049443,-2.7386482673609596,-25.740016762984755,-40.25082244476412
1968-06-01,-32.399920005228424,-2.09542914003773,-71.23102226428422,-6.649904795943593,-28.673092214639976,-1.0184516209534502,-14.320692949057108,-43.97399386404102
1968-07-01,-32.549561263733864,-4.8707149443343365,-69.41823987255978,-5.447780196292087,-22.22704549459169,-5.774097948196567,-12.196951503460514,-37.082646819606
1968-08-01,-22.899277163981548,-10.072221499350157,-68.11559921899955,-0.5298820014209188,-30.95885054017153,-6.129448006494474,-21.915204035368383,-35.78152421440346
1968-09-01,-29.269791794869572,-13.07665537462667,-69.34495833206105,-13.87685917379252,-37.00306549618398,-10.724764840751837,-27.221013539192295,-39.199657487758245
1968-10-01,-36.077964493249254,-17.11633034845862,-69.44390485497483,-27.760717547853034,-40.07752579054673,-16.048637919017708,-33.57230659643613,-37.54118308367273
1968-11-01,-38.31628792906655,-18.515414183270376,-54.84116361841073,-31.3329304544254,-29.5714892987334,-21.897420528847626,-29.6757303870927,-29.06412330114873
1968-12-01,-27.010450082267585,-19.367023415740718,-41.351847881011466,-29.153632300328294,-35.23459327553247,-24.838103862979224,-31.05899860087349,-29.849799099736927
1969-01-01,-28.883202149671504,-19.280352669416374,-44.386774084869515,-35.47986444799325,-28.001858063898425,-26.400557543443192,-27.084470067639796,-27.23897548334567
1969-02-01,-31.15513858145738,-22.90690901587024,-44.38413354654646,-29.98858630822725,-31.075118936397676,-27.99867832649918,-33.437089329579585,-25.541625013066867
1969-03-01,-29.07632795733169,-21.52879120806158,-49.38652034939526,-20.83650774679091,-31.960765201046073,-26.50159914745007,-31.158418852746482,-30.130473767679067
1969-04-01,-22.215458343563768,-15.210716177233621,-40.41357297666263,-18.45647041529914,-33.567828120403945,-11.770082141059023,-29.87378951623847,-29.81405571887419
