,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8
1966-08-01,0.1296215,-0.2256803,-0.036166716,0.42922658,-0.16231623,-0.2524435,-0.34517515,-0.008969354
1966-09-01,0.29873705,0.109512806,-0.14857288,0.17548092,0.06452141,-0.13989286,-0.12528153,0.50807
1966-10-01,0.7787417,0.33736312,-0.24260636,0.05323744,-0.04947605,0.20267825,-0.58836013,0.43038386
1966-11-01,0.69469035,0.031248044,-0.4426806,0.00057868956,-0.5177627,0.0746481,0.06090474,0.22582492
1966-12-01,1.007894,0.120652154,-0.1764936,-0.07291212,0.10922346,0.12831953,-0.117180154,0.8387785
1967-01-01,0.81915176,0.15853475,-0.30491295,-0.09675284,-0.059117474,0.20882621,-0.115737006,0.9597014
1967-02-01,1.7851813,-0.19567056,-0.22964224,-0.20982543,0.21698613,0.2211493,-0.20349732,0.82181615
1967-03-01,1.0023327,-0.025145745,-0.06960876,-0.14587861,-0.02497921,0.22864313,-0.44912624,0.73838556
1967-04-01,1.2401348,0.08409669,-0.018817663,-0.16502935,-0.06711082,0.0011656762,-0.1980019,0.5736893
1967-05-01,1.2208176,-0.4243136,-0.24429674,-0.051290654,0.0028309822,0.08309753,-0.3870113,0.8238146
1967-06-01,0.5936727,-0.0033305646,0.11623664,-0.027976727,0.3565367,-0.32006702,-0.035137463,0.19600359
1967-07-01,0.055287313,0.25545412,-0.005495429,0.38068324,-0.08126569,-0.41898465,-0.31107455,0.41998386
1967-08-01,0.090424776,0.38601217,0.15853477,0.2412992,-0.1320568,-0.20399694,0.1225646,-0.19733581
1967-09-01,0.14154887,0.24329758,0.038467992,0.19833496,0.21781877,-0.27410525,-0.41099134,0.2524566
1967-10-01,0.5482105,0.3412161,-0.11457133,0.19000855,-0.19866805,0.2721069,-0.55753607,0.7460459
1967-11-01,0.91507185,0.5320573,-0.021648645,-0.30174893,-0.07693596,0.4009997,-0.38234854,1.0013335
1967-12-01,0.92539674,-0.3653627,-0.26910943,0.1250626,0.17002515,-0.24646163,0.20965886,0.5418824
1968-01-01,0.888459,0.08635436,-0.43347055,-0.13590196,-0.109146215,0.062571526,0.25566554,0.8557576
1968-02-01,1.3026769,-0.23273213,-0.16973591,-0.018686533,-0.12429366,-0.1388748,0.01684618,0.34400186
1968-03-01,0.7579365,-0.31200823,-0.15501317,0.0754539,-0.064411856,0.10022769,-0.5457313,1.0274754
1968-04-01,0.63293505,-0.19535902,0.038930226,-0.040345907,0.24971981,0.20951553,-0.54431564,0.36198062
1968-05-01,1.0819776,-0.26033717,-0.1769557,0.18785614,0.0012740612,0.21248837,-0.22494607,0.68304884
1968-06-01,0.23343992,0.16633835,0.22990087,0.4937771,0.39567286,-0.13420315,-0.41110343,0.70272636
1968-07-01,-0.042327784,0.26203603,0.2119221,0.24844575,-0.12528463,-0.22494602,-0.3396133,0.07587862
1968-08-01,0.0041053654,0.1041915,0.1640733,0.20880768,-0.41251904,-0.07757731,-0.0842309,-0.07262261
1968-09-01,0.46603045,0.11792326,-0.1213208,0.15543786,0.26684916,-0.024773788,-0.1753985,0.05676738
