,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8
1965-01-01,25.531189,27.447205,28.105835,28.193634,11.975891,25.938843,21.613342,24.63205
1965-02-01,25.877472,27.819916,28.519958,28.446106,9.825836,27.02008,20.501648,24.779755
1965-03-01,26.490173,28.452118,28.51947,28.946075,10.958984,27.76654,21.21167,25.717804
1965-04-01,28.455597,29.636139,29.205536,29.776855,12.992767,29.103241,22.375732,27.33194
1965-05-01,29.746399,29.654602,28.622253,29.894104,18.714355,29.090271,25.848022,28.721039
1965-06-01,27.649261,28.614777,28.297424,28.900177,23.874634,27.187225,29.26242,28.83081
1965-07-01,26.035645,28.375275,28.325378,28.23108,26.921295,25.940826,31.543182,28.03946
1965-08-01,25.350555,28.192139,27.868805,28.00003,26.451263,26.25766,33.275085,26.868896
1965-09-01,26.018677,28.51648,28.128784,28.521454,25.061646,26.862427,32.957733,27.203217
1965-10-01,28.559387,28.747498,28.463593,29.065338,22.746979,27.95166,31.6315,28.519958
1965-11-01,28.322876,28.891205,28.409698,29.507416,18.470856,29.100769,28.6008,28.202637
1965-12-01,26.79953,28.235046,28.481049,28.760468,14.962677,27.677216,24.937408,26.154877
1966-01-01,26.203278,28.079224,28.524536,28.712128,13.225769,27.148804,22.713043,25.054993
1966-02-01,26.248657,28.046448,28.960754,29.012177,11.432526,27.784729,22.209778,25.059021
1966-03-01,26.887604,28.856354,29.181122,29.482178,13.265106,28.670776,22.873932,25.581482
1966-04-01,28.889648,30.1055,29.24414,30.191223,14.643341,30.125153,23.863342,27.57898
1966-05-01,29.660187,29.818054,29.305664,30.081787,20.0625,29.365173,26.97937,28.59967
1966-06-01,28.09436,28.752472,28.888123,29.311218,24.670715,28.08075,29.70105,28.839722
1966-07-01,26.220917,28.378296,29.071686,28.86847,27.849792,26.781189,31.466064,28.400482
1966-08-01,25.204773,28.190186,28.235077,28.535614,28.336426,26.028778,33.609833,27.06308
1966-09-01,26.431213,28.401978,28.597137,28.510406,26.478119,26.483643,33.228058,28.041412
1966-10-01,27.733307,28.391388,28.613281,28.549744,23.496216,27.572937,31.07019,28.800873
1966-11-01,27.402985,28.715149,27.999573,28.82257,21.200684,28.340454,28.47409,27.130157
1966-12-01,25.790741,28.25827,28.05655,28.785767,16.978241,27.344482,25.124573,25.524994
1967-01-01,25.444336,27.803741,28.129272,28.09372,13.420044,25.989258,22.491486,24.300964
1967-02-01,25.617645,27.65097,28.51941,28.18988,10.685028,26.421448,21.322052,24.510315
1967-03-01,27.210266,28.041626,29.000214,29.16748,11.181854,28.044128,21.15979,26.46051
1967-04-01,28.575012,29.691833,29.240112,30.62088,13.9313965,29.959778,22.159943,27.50473
1967-05-01,29.82306,30.091492,29.342255,30.313354,19.454987,30.562286,25.395264,29.169495
1967-06-01,28.42978,29.02475,28.977661,29.236603,24.819305,28.025604,28.31958,29.508026
1967-07-01,25.671234,28.497375,28.850952,28.554962,26.817596,26.10495,31.4888,28.490875
1967-08-01,24.527344,27.732117,28.54596,27.94046,27.43161,26.089905,33.572235,27.000916
1967-09-01,25.402283,28.384186,28.581024,28.46231,25.963196,25.860535,33.089935,27.575348
1967-10-01,27.503235,28.404724,28.258972,28.671173,22.324707,27.292389,31.242401,28.37619
1967-11-01,27.265839,28.384186,28.271515,28.53244,19.55014,27.86734,29.020752,27.028442
1967-12-01,26.022797,28.17685,28.540436,28.67868,16.20514,26.486572,24.600952,25.99527
1968-01-01,25.424011,27.779358,28.142883,28.449554,13.276367,25.621368,21.5878,24.702362
1968-02-01,25.474945,27.559723,28.434692,28.599915,11.847931,26.773804,19.913055,24.327454
1968-03-01,26.488892,28.354095,28.638977,28.847198,11.614471,27.869354,20.85379,25.314697
1968-04-01,28.579132,29.589142,29.062866,29.951172,13.691345,29.633148,22.908417,27.253082
1968-05-01,29.692505,29.48822,28.839783,29.600494,20.78061,29.456085,26.396423,28.602875
1968-06-01,28.446075,28.637482,28.496521,28.692902,24.016357,27.874817,28.617706,29.103424
1968-07-01,26.414215,28.58258,28.260101,27.965332,25.924072,26.111511,30.924072,28.462402
1968-08-01,25.486816,28.25119,27.635895,28.106781,27.54242,26.049194,31.850006,26.75055
1968-09-01,25.496704,28.474274,27.820892,27.894104,25.87857,26.566559,32.23877,27.156616
1968-10-01,27.301544,28.10727,27.904968,28.401062,22.82779,27.552307,30.423523,28.227966
1968-11-01,27.307983,28.175018,27.970764,29.013885,19.372437,28.379791,28.1503,27.280273
1968-12-01,26.74411,27.755096,28.121124,29.049011,15.558014,27.730377,25.414124,26.239624
