,vws500-250_cluster1,vws500-250_cluster2,vws500-250_cluster3,vws500-250_cluster4,vws500-250_cluster5,vws500-250_cluster6,vws500-250_cluster7,vws500-250_cluster8
1965-01-01,13.555461883544922,17.710100173950195,6.313235282897949,13.961811065673828,15.010583877563477,5.006600856781006,17.451549530029297,19.474563598632812
1965-02-01,11.79736042022705,30.221494674682617,3.666060447692871,5.192013740539551,17.895145416259766,5.694758415222168,11.072463035583496,24.174118041992188
1965-03-01,16.17457389831543,19.77400779724121,6.572366237640381,8.784857749938965,14.403080940246582,6.621548175811768,10.202797889709473,23.125167846679688
1965-04-01,13.017467498779297,16.068864822387695,0.4552699625492096,7.374234676361084,8.32110595703125,4.562915325164795,12.541117668151855,15.897586822509766
1965-05-01,7.254141807556152,13.48359489440918,12.06733226776123,3.6864631175994873,10.082260131835938,11.701933860778809,21.049440383911133,10.048354148864746
1965-06-01,4.803474426269531,14.885794639587402,24.96558952331543,14.81446647644043,20.622194290161133,23.831693649291992,28.809898376464844,5.472543716430664
1965-07-01,9.720329284667969,6.02170991897583,21.649959564208984,21.56526756286621,14.493488311767578,21.378419876098633,19.86503028869629,7.198616027832031
1965-08-01,9.524652481079102,9.065167427062988,10.414386749267578,12.854388236999512,13.361968040466309,19.67646026611328,20.615442276000977,5.17191219329834
1965-09-01,4.331748008728027,18.07237434387207,16.712177276611328,14.869294166564941,14.21707820892334,11.202688217163086,24.70639419555664,6.728287696838379
1965-10-01,6.957310676574707,20.602428436279297,6.541076183319092,2.822305202484131,19.76354217529297,6.811964988708496,13.003189086914062,9.641534805297852
1965-11-01,12.833403587341309,17.306196212768555,1.1051695346832275,6.738165855407715,14.101614952087402,3.5218420028686523,14.271917343139648,17.4631404876709
1965-12-01,10.06436824798584,21.88681411743164,6.166412353515625,6.194675922393799,15.083733558654785,4.330145359039307,25.56715965270996,18.345468521118164
1966-01-01,15.982471466064453,11.487244606018066,4.992178440093994,12.102277755737305,13.093873023986816,5.6078925132751465,19.263015747070312,18.82737159729004
1966-02-01,13.144386291503906,23.75119400024414,5.60200309753418,7.2776031494140625,13.844257354736328,2.181075096130371,16.481185913085938,20.570980072021484
1966-03-01,12.194021224975586,23.14426040649414,2.9895408153533936,7.403601169586182,14.712002754211426,4.426802158355713,19.71082305908203,17.063146591186523
1966-04-01,19.16844940185547,11.450597763061523,0.6092164516448975,10.166754722595215,6.474897861480713,2.049438238143921,13.61806869506836,20.738285064697266
1966-05-01,8.875849723815918,9.606734275817871,12.437472343444824,4.382373332977295,12.167448043823242,6.656704902648926,21.169384002685547,17.473182678222656
1966-06-01,5.880220890045166,6.864277362823486,15.675771713256836,15.016217231750488,13.765203475952148,15.751144409179688,23.390789031982422,7.024064540863037
1966-07-01,11.359673500061035,5.817716121673584,19.39730453491211,17.561893463134766,12.123030662536621,18.339872360229492,20.945619583129883,5.4323225021362305
