,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7,r400_cluster8,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5,r600_cluster6,r600_cluster7,r600_cluster8,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,r700_cluster6,r700_cluster7,r700_cluster8,r850_cluster1,r850_cluster2,r850_cluster3,r850_cluster4,r850_cluster5,r850_cluster6,r850_cluster7,r850_cluster8,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vo850_cluster7,vo850_cluster8,vws600-250_cluster1,vws600-250_cluster2,vws600-250_cluster3,vws600-250_cluster4,vws600-250_cluster5,vws600-250_cluster6,vws600-250_cluster7,vws600-250_cluster8,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,vws850-200_cluster7,vws850-200_cluster8,vws_u600-250_cluster1,vws_u600-250_cluster2,vws_u600-250_cluster3,vws_u600-250_cluster4,vws_u600-250_cluster5,vws_u600-250_cluster6,vws_u600-250_cluster7,vws_u600-250_cluster8,vws_u850-200_cluster1,vws_u850-200_cluster2,vws_u850-200_cluster3,vws_u850-200_cluster4,vws_u850-200_cluster5,vws_u850-200_cluster6,vws_u850-200_cluster7,vws_u850-200_cluster8,vws_v600-250_cluster1,vws_v600-250_cluster2,vws_v600-250_cluster3,vws_v600-250_cluster4,vws_v600-250_cluster5,vws_v600-250_cluster6,vws_v600-250_cluster7,vws_v600-250_cluster8,vws_v850-200_cluster1,vws_v850-200_cluster2,vws_v850-200_cluster3,vws_v850-200_cluster4,vws_v850-200_cluster5,vws_v850-200_cluster6,vws_v850-200_cluster7,vws_v850-200_cluster8,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv600_cluster1,mgv600_cluster2,mgv600_cluster3,mgv600_cluster4,mgv600_cluster5,mgv600_cluster6,mgv600_cluster7,mgv600_cluster8,zgu850_cluster1,zgu850_cluster2,zgu850_cluster3,zgu850_cluster4,zgu850_cluster5,zgu850_cluster6,zgu850_cluster7,zgu850_cluster8,zgu600_cluster1,zgu600_cluster2,zgu600_cluster3,zgu600_cluster4,zgu600_cluster5,zgu600_cluster6,zgu600_cluster7,zgu600_cluster8,zgv850_cluster1,zgv850_cluster2,zgv850_cluster3,zgv850_cluster4,zgv850_cluster5,zgv850_cluster6,zgv850_cluster7,zgv850_cluster8,zgv600_cluster1,zgv600_cluster2,zgv600_cluster3,zgv600_cluster4,zgv600_cluster5,zgv600_cluster6,zgv600_cluster7,zgv600_cluster8,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,EA-WR,ENSO3.4,EP-NP,NAO,PDO,PNA,SOI,TNA,TSA,WP,month
1965-01-01,-5.8183458978166205e-05,6.949901824234128e-05,1.5838043542335603e-05,9.326894631336829e-05,-3.799292475174693e-05,-8.59718532480586e-05,3.5182918681958634e-05,-7.709279111704386e-06,5.333643302566992e-05,-6.19063770919746e-05,2.006899056042645e-06,-8.541434845111495e-05,2.814399587182718e-05,0.0001170146730424,-3.569682782244926e-05,8.054299839700716e-05,,,,,,,,,1012.7055109905566,1077.9341381725133,1090.3193496826827,1152.668154019836,1058.610080781717,1024.3695095852688,1598.1510639190674,1318.5260723163556,31.806824295609086,39.26919954163687,23.48985925746334,22.17946554868276,54.52269798760964,43.393798193143866,37.72714344981734,63.23166756608368,22.55891153422415,43.81071909339028,37.19286900913848,22.37486066044988,32.17430633164748,63.80388992173331,64.94832858917819,85.6012598279829,32.51256148020426,68.03076068560283,46.35485849882427,60.39135134449863,48.06375834021238,40.785432152954506,24.935410094500384,79.86698971981068,80.63820496173766,53.33345831191209,69.60826510106332,53.45973538276844,71.79872026543401,54.90466089691291,49.71078089530894,60.61548979386039,-3.0714433444173714,0.8924777848638186,-15.80425015202275,-12.218753875248016,-7.905326594192138,-7.437799397636862,-3.091360007099171,-0.5927031435072422,-1.9198700628782572,2.0003200180922884,-14.45363892449273,-10.916380276755682,-6.777497255515397,-6.150747607736027,-1.991868962594612,0.5012909391894936,24.84295493678043,27.74683328620492,16.93486343195409,19.35110167851524,19.43351640734066,23.760646371280448,23.56056999321559,25.92597427368164,2.867741689508519e-06,-8.499983563145149e-06,0.0058092846302315,-0.0007151262252591,9.26687542350197e-06,0.0004930780354091,-1.1623256236467008e-05,1.5914818992618668e-06,6.577034664281893e-06,-7.818753841610903e-06,8.55822010021763e-06,-1.2127189740398818e-06,-8.116782201119722e-05,5.717748506633084e-05,0.0009757492989592,-5.159993479709264e-05,36.94795723536472,7.527905035790166,19.27606867962408,22.592057376933585,18.805013711672185,10.153813327922162,11.658403368193394,57.1722209963102,18.76978352497122,25.042956570789443,34.31604369412724,26.141915868191163,11.29282290880782,61.49728717046613,31.2125733567466,14.797449338343712,-1.747638991495531,10.435156139971548,21.233333178553675,-1.0277676105667393,17.06973584718979,7.639737466343515,37.43670586512856,16.35932239899582,1.8606654845053012,16.688542461269414,29.19184379333165,-5.272959559819661,26.651730383143303,8.279972791550401,46.21645975084109,28.886917024076748,0.8133851157521954,-2.186801448226964,0.7398816734694574,7.382285179808706,-1.720209432844966,-5.353443545831008,-1.36299103774244,5.7291610287888295,-4.788422854574593,0.9355962739263076,1.7106385476606691,8.108076082255339,-3.999774248739943,-6.969931601108651,-1.4597712395930558,11.208071225893644,-0.0849091014220514,-0.0750414921850728,0.2653477331584467,-0.8591159356051478,0.4462515502566039,0.9396365232634962,-0.5759091084582966,-0.7374372921491924,1.0758992796638265,0.2642032679389505,0.4954253559681906,-1.140832985804333,1.4476686716079712,-0.4536270431460852,-0.2174372227009396,-0.2877321690994566,0.6520508204476309,0.7004373278354575,0.0005460479564925,0.198544043238018,-0.1396642828529531,-0.3051821607360719,-0.7054276326123405,-0.0187033435927247,0.038385434127969,-0.106548721984326,-0.937490044413386,-0.2575343052719856,0.7112494472301367,-0.2304544465409385,0.0397599184930982,0.2266825662736376,-0.4342772772437648,0.0095332182164109,-0.0021832249239451,0.5088012534029344,-0.7300589666810147,-0.1738927221707906,0.2125905195008153,0.2377512797281362,0.6587005578554593,-0.0214011974204986,0.08387801239687,-0.0310118432197027,-0.0362952980093466,-6.875234842300415,0.1958053766537716,-0.233364905510749,-0.0046371897227619,-0.4006309833574655,-0.3202158425535474,-1.194975166409104,9.113989935980904,0.4320886062116039,0.0049757241399702,0.1411145214771416,-0.0410592370481418,0.3187471962074026,-0.3509754655369096,0.0841085889674115,0.0694841622959735,-0.5160852670669556,-0.085952197767648,0.2611837689838712,-0.0405394236228903,0.0221869656931306,37.78055906295776,1.8265743553638456,3.687096387147904,-0.0426464078592011,0.0146870090130476,-0.6089080411654252,-0.37,-0.89,0.6,-0.65,-1.24,-0.92,-0.7,-0.36,-0.39,-1.0,1
1965-02-01,-5.699425621303854e-05,7.005530800169628e-05,1.5057574002224771e-05,9.478837477261636e-05,-3.81618912819403e-05,-8.421808328981009e-05,3.369966614395532e-05,-7.365251514692901e-06,5.243460849336262e-05,-6.171175614469476e-05,1.933196016119815e-06,-8.435642310824404e-05,2.778618595433361e-05,0.0001224473965573,-3.5073460587635354e-05,8.031717068102107e-05,,,,,,,,,1011.7398925336144,1076.188643508888,1088.8595949229225,1152.1912140541888,1058.1819953405268,1023.8154230891048,1593.61834526062,1315.564017688041,27.18913655222198,37.63705917767116,17.66582328305805,20.88250851813164,64.65187781805443,45.94617124463692,39.99609839476813,63.24951551618619,23.778402383170683,42.66850885036773,40.84686258025329,18.493456131703145,33.39607761508341,61.7578489439828,69.82599570239931,85.47333637627285,27.13122440106941,70.04341151979234,48.10371984515274,58.40574505497608,46.29397014580151,42.1249275334535,25.482757593875743,79.87283222983329,80.36530279802432,50.6582284153859,71.36688309799102,37.32916036046537,70.2282347140684,56.232622202941634,41.06655310321328,49.71844453989348,-2.5342983634848344,0.7203067644235958,-17.493319217069647,-11.775095122201105,-8.95716496759264,-6.954142065609203,-3.767823993261136,-0.1551030278205871,-1.3340578424303156,1.8749680549283567,-16.085628226951314,-10.417682405502076,-7.781671576483553,-5.612697601318359,-2.62186599137196,0.9851252138614656,25.700179150230007,27.8825867729348,15.621198253867066,20.156757793729263,18.695158810959647,24.60204012253705,23.189714805564687,26.66764717102051,3.495444979275928e-06,-7.82401753553206e-06,0.0071163153431067,-0.0005748483421153,9.330050112848975e-06,0.0005771437524041,-1.2860630818067875e-05,1.6626988026905856e-06,6.044425902372647e-06,-7.395636182291956e-06,8.535964870956887e-06,-1.0164065996450838e-06,-7.800884374703925e-05,6.299944230235152e-05,0.002113837217621,-5.863139621105115e-05,37.83335212537656,7.215737807323681,18.74152960185043,24.19356436069233,16.72640524619865,10.177452113229316,12.206622244535964,58.74878501062568,20.070196919925955,22.194687783201868,36.248671641997454,24.997357346258735,10.441722197696553,60.747760641881776,34.89087530477204,14.285151050861728,-2.5893970631810603,11.93377093634004,22.395696786620107,-6.633051775290038,16.057487209805675,9.17894428820545,38.65320200269987,10.913759267923266,-5.517500281141154,18.938025635709263,31.43713005348532,-6.631996029913696,25.903582281657734,8.078780662560186,48.91945527930668,17.044108040159713,0.569221490128107,-0.4988556026519596,1.1366619618894789,5.543741877198374,9.00334857425284,-5.650932990473036,-1.8314873266267977,4.238772082805901,3.017552262512192,1.4377306230303029,1.8074217253467555,6.786684598786222,-1.9339812538335392,-6.739066634679865,-2.60300713418703,8.167976285426581,-0.0552268895503067,-0.181281759653085,0.2810671019794567,-0.8935567736625671,0.5476203154433857,0.8634121585310551,-0.8477456806923398,-0.8895525493119892,1.0752163646677433,0.2933291526012171,0.7027637424753673,-1.145896073279342,1.489562067118558,-0.6340911215607157,-0.2495190678896296,-0.4223106847417031,0.6945776737342447,0.7373767030751047,-0.0209145808680207,0.1762144949960272,0.0616453655741431,-0.2562912648887996,-0.8438138011234259,-0.0360240244289051,0.0287455590413834,-0.1886844677463216,-1.0015233948424056,-0.214700151391171,0.6994107004367943,-0.0211619162453442,-0.0275668169299489,0.2892400936532367,-0.4995142629272059,-0.0108324970270312,0.0149248540691101,0.5646099237834706,-0.7048285977784977,-0.1644258901839084,0.1091329154113064,0.2156841913676834,0.7470092930636563,-0.0202440893841746,0.0909091320400144,-0.0115604188444884,-0.092194086083999,-8.4664948284626,0.1888118138971223,-0.2444112728108892,-0.0089052937106894,-0.3955003746811028,-0.2667173388458433,-1.0089264147811463,11.791752444373238,0.4801635231290544,0.0201801409732974,0.130107379368758,-0.0140902423987731,0.407147135477343,-0.2306771164518654,0.0323607749414211,-0.0840004013721333,-0.69753497838974,-0.1131385652457966,0.3340677372992985,-0.0366067263151436,0.0226790385728853,77.3419976234436,1.9279375672340395,6.089940294623375,-0.0726696621469469,0.013754635179911,-0.842224290737739,1.46,-0.56,-0.93,-2.2,-1.16,-1.03,0.7,-0.25,-0.08,-1.04,2
1965-03-01,-5.878795041239426e-05,6.854631451728089e-05,1.517134508130813e-05,9.63593006809662e-05,-3.774922853151092e-05,-8.543170966172162e-05,3.449939617017306e-05,-6.454789231986239e-06,5.284667627004775e-05,-6.128860560755943e-05,1.1151521366299271e-06,-8.427985305338815e-05,2.7065500911294224e-05,0.0001286667623152,-3.535320771068175e-05,8.47047517536684e-05,,,,,,,,,1013.2160531029228,1078.5056710062877,1089.3270456758964,1153.039282399712,1060.503374906577,1025.3079594792546,1591.94974899292,1315.1603665702787,27.191990510917005,36.55739149877003,18.060983839690557,19.261012914526557,68.91192326315274,44.82733785429638,36.4795111022296,62.96384733726536,22.384359060612336,44.04363526707203,40.26777345451724,18.134218937641865,32.94589538401412,60.75198735509599,72.44087186841702,81.86518429971701,26.932189320072982,70.32727069324918,45.65356990747285,61.47974410455283,49.59572707072343,41.31442566426031,24.44490541183829,78.07235261469937,79.31605930434925,50.631475568718514,74.89699388856096,31.33407391999897,70.8584546765293,57.778558047008914,36.53370813028702,39.23342094658325,-2.739917416321604,0.645281615891034,-18.05630495518814,-12.564583051772344,-9.47480037859625,-7.5487235013176415,-3.987028011724577,-0.0081594191491603,-1.4413463128240485,1.89453985872148,-16.533287071887358,-11.095959042745925,-8.203003086994602,-6.09738034360549,-2.747185745430951,1.2254831075668335,25.694691005506016,28.00009522256972,15.29293413515444,19.593610460796054,18.37352411853489,24.231137107400333,23.16158860173058,27.00471725463867,3.3708002750286164e-06,-8.784469432498722e-06,0.0056190328905358,-0.0005039909328016,8.723670042601407e-06,0.0005128288952012,-1.180055523246455e-05,2.1031775487540845e-06,4.551403080960615e-06,-7.162551684662528e-06,8.79058338608241e-06,-1.2046028781191186e-06,-4.187020703027837e-05,7.048587459364845e-05,0.0018203327272203,-4.843627978533612e-05,37.42406253095466,6.408025380312592,18.89582546935149,23.315600889360194,15.679648325767916,9.38426915307056,12.70256993304525,51.07872919121375,20.71644288610181,21.17428006456564,37.976770009365374,24.540958369581897,9.317081015430633,57.21789033410998,30.79450571329826,13.770004942664189,-1.1993417485437183,12.105431516038967,21.423732387588345,-4.826127117108774,17.182761050292076,8.50703362604725,36.89186815323875,12.65910783157526,-1.517636908560006,19.41142228488845,30.49582296090203,-3.681668934044251,25.31855436424741,10.39081492098357,44.62910545049863,20.6520612222832,0.3559578598563943,-1.2803894720843068,1.0802778566487998,4.606580175447251,4.314693829369291,-4.822141226703412,-1.0685745123011967,4.076149718589563,4.4887082927044775,0.3619650971501122,1.5987340475201577,4.785600511143611,-3.873563803171357,-6.224041460526497,-0.5093276625626422,6.124408988801246,-0.1062312167559681,-0.1295539924015026,0.1026312890754833,-0.929714687939348,0.4748210348565169,0.917927256801672,-0.5973347345728665,-0.7487204514051738,1.0344088720182845,0.2940204929487378,0.1419350304710331,-1.0943775133388798,1.4991681082080108,-0.4842124265083607,-0.2361171270612132,-0.3519618701578356,0.2964784280728486,0.691627322530454,-0.0105509784146387,0.2136561687691424,0.0670099021358923,-0.2366326831716685,-0.5618074361015769,-0.0830037151492616,0.0204506544480247,-0.1601657042136559,-0.8872041831145415,-0.2719686633640236,0.6703450824275161,-0.057683627690292,-0.0010213931268322,0.2682570245023448,-0.4876380531411422,0.0791931498882382,0.0078116350333213,0.4653135467978085,-0.1894768414109252,-0.1608589137939475,0.0493696805737588,0.2157865749033177,0.645622316297594,-0.0236173004156174,0.1010068089646451,-0.0079975346608813,-0.0758330600383954,-6.079064682126045,0.1919499447833587,-0.2682938421522821,-0.011164117091617,-0.3128098375551046,-0.0523339735255354,-0.936947735371413,15.660946898990208,0.4364086353048986,-0.067908508691959,0.1141876555157163,-0.0178969108779869,0.2996969828961796,-0.3182365227973343,0.0376609835984285,-0.0210869046606758,-0.4949671626091003,-0.0371463468992242,0.5221783641784911,-0.0341920079743682,0.0220125765900058,29.5803964138031,1.3501237332820892,4.355843365192413,-0.0431266190396349,0.0136298786533335,-0.664734668456591,-1.84,-0.34,2.23,-1.99,0.04,-0.8,1.2,-0.13,0.11,-1.17,3
1965-04-01,-5.765205716351815e-05,7.037081973869456e-05,1.4487978686847346e-05,9.152108632151284e-05,-3.372878109900143e-05,-9.007628698152704e-05,3.730236762168731e-05,-8.528043343267525e-06,5.516246501809298e-05,-6.0055324339878326e-05,1.6066980677636143e-08,-8.650157002818496e-05,2.7484982641153305e-05,0.0001224240323915,-3.421203940446061e-05,8.136240265633309e-05,,,,,,,,,1013.0951567574208,1079.338980947428,1087.116214864695,1153.894060283688,1062.9043008892704,1025.787044215847,1583.2650661468506,1311.526528891031,40.22025496871383,31.690478537763862,24.212748829911398,27.48829950813119,59.31766892897596,49.105730573887485,39.1863581399997,56.90108424398155,25.67209063653801,43.93869965477328,49.72174548748257,24.881366136911755,33.47809684641094,48.0947835104806,70.95500192824443,78.16924576419795,34.773626472010754,69.6188125345442,52.71557925040262,53.516959735617135,47.98839021437239,41.97578430175781,26.26679493830754,74.77180535713453,79.3990115657643,49.202131564430985,72.8238150265831,38.84182549957045,71.60181327526728,60.792852152248976,42.255181824134674,47.320831488378296,-3.892183993992053,0.8062860935549193,-17.8104559580485,-14.14491751837352,-9.412948044714648,-9.138278259950528,-3.8094129394646266,-0.4182472735643386,-2.428817968619497,2.214081297443889,-16.09416478945885,-12.48992057073684,-7.979756941910052,-7.502750789417941,-2.412229686526198,0.971950313448906,25.091901578401263,28.68970798540719,16.1832273742299,18.634704938010564,18.97352749539405,23.255703869987936,23.863829320399606,27.116635513305663,2.9144172019367588e-06,-6.4143113318449775e-06,0.0053615309298038,-0.0004900452040601,9.428745650250432e-06,0.000642916468981,-1.1010188770272247e-05,-7.015375678304551e-07,3.230421521095438e-06,-6.890097354074631e-06,8.030466461901194e-06,-2.3349893373485078e-07,-8.13762572085043e-06,6.832636450605107e-05,0.0015544921552645,-5.245367918967462e-05,29.22760460780181,6.080680554962778,30.509337659265498,20.0446388433942,12.42886260382186,9.765969038891903,15.707844104559646,39.16190434849832,24.40424674119647,17.571494662409,29.522818753163246,36.72948745530722,8.22302647734507,49.31348708168981,30.97412211232437,14.618289395924675,2.0163952934862137,14.711993668364864,18.14282423797324,2.122369863053417,25.48635668922785,8.592030724728355,30.956951506603524,8.907711561852107,0.946811772952888,22.65363049800813,26.644871504438356,2.5476689184782564,36.90442313950574,12.558557744704332,37.53907724703191,16.088411392784522,-0.0009130042890204,0.15177960109804,1.902226931450849,3.818271086955242,-1.01442160905887,-2.946691490372712,-2.237092056903113,1.7247107291300747,-1.740222390148114,-3.007758703300765,2.352085849273513,0.9404016159083484,-0.1298016993306831,-4.302530267740461,-2.6323301676131994,6.3837092781021925,-0.0723760999246256,-0.3683117605635488,0.3336502854794139,-0.7954217236617516,0.358036468205315,0.6766389859350104,-0.4490599814091382,-0.2177688675491433,0.7986986291697726,0.2882300156588648,0.5171193560557579,-0.8660677608435716,1.075583320073407,-0.0701503342691254,-0.7864995781322159,-0.3780671471507294,0.1555993521617631,0.6106754936323576,-0.0173680093678821,0.1214633637622036,0.2400511367754502,-0.1280740050578381,-0.6360643829395568,-0.0956494871925258,0.0466764313997987,-0.1444367792701449,-0.8030660249091484,-0.1542545542433545,0.7820204351887559,-0.1904613907552427,-0.0148362896505805,0.1838774473223062,-0.4929761510146291,0.1314782697794049,0.0117626121436297,0.5079882811097538,0.012096626207579,-0.1365415533350379,-0.0760786028821831,0.1611971678797173,0.5402078340341756,-0.0314638732861481,0.2998587620608947,0.0072171246097067,-0.2798200990909185,-5.853269249200821,0.1385055227272778,-0.1912028493581118,-0.026316922340652,-0.2080897540229393,0.3492617181369237,-0.7664959187860841,14.813077449798584,0.4251832712669762,-0.1032243025472421,0.092013481742242,-0.0264012582159872,0.3671355761927687,-0.2376650853014467,0.0222486845576829,0.1203180442369261,-0.6275455951690674,0.0766257598411803,0.5055974400232709,-0.0195357646240934,0.019784858380362,158.55038166046145,0.8525101095438004,9.768937528133392,-0.0753761419365482,0.0053310421325506,-0.6444069628532116,0.67,-0.44,1.02,0.64,0.62,-1.07,-0.9,-0.18,0.1,0.49,4
1965-05-01,-5.795373249306148e-05,6.931702233380158e-05,1.6858382091873868e-05,8.793549732545872e-05,-3.231295475998635e-05,-9.197779917695488e-05,3.909648328971875e-05,-7.9477200887429e-06,5.628285370224345e-05,-5.8308038853412544e-05,-2.5507362412340683e-06,-8.761830567587506e-05,3.068845878639694e-05,0.0001327184210219,-3.313950194437901e-05,8.493457834176838e-05,,,,,,,,,1012.614058405025,1079.3957593401333,1086.1468685855814,1153.1589805657136,1064.0099039348606,1026.4897114521748,1577.9901027679443,1307.4406347233496,55.32057773919753,26.209354187761036,31.830695463125565,20.784059772054658,65.56195539169595,51.13345527408403,41.85605360976864,44.85523991994729,20.90235882223557,45.9938783561234,62.71574311096872,28.579497659528577,30.107895623247053,34.7207805940083,75.3867422699169,63.58205364215485,41.02108081181844,71.84790372848511,61.04447381538258,45.1052312422105,49.84055604084884,39.15135217427414,22.50468786743572,67.80941520581406,81.18551811914426,39.43931906289357,66.54884616936921,33.63020330443418,72.0376795190316,62.80441042743151,27.416849452138734,57.56382438707056,-5.0078195019772185,0.9393834313259848,-15.45742529409903,-15.466155324663434,-7.905434742825957,-10.5470451186685,-2.723459143135416,-1.0084180265665057,-3.531153735361601,2.359972694252111,-13.725535074869793,-13.796117192222958,-6.459215990046864,-8.896652950960048,-1.313577899381743,0.3944139951840043,23.882433740716237,28.7325378611118,18.42621049763244,17.207346265278165,20.389143298172048,21.74206341014189,24.86019565831477,26.43731727600097,3.267596720847884e-06,-3.113951682249741e-06,0.0044128736287044,-0.0002315618820086,9.635516118681205e-06,0.0004982806482682,-1.2861860865926316e-05,-3.2147393001929843e-06,-3.5638303543894194e-08,-7.272633942353999e-06,7.821801601231072e-06,1.346914646142401e-06,5.0682968158537566e-05,6.998391566617835e-05,0.0040547569369664,-6.031908203610482e-05,19.83840586360569,8.048609160594177,31.543539499765405,15.44899054765206,9.850783563983986,13.624217103262945,19.16521586109764,35.074636348931605,29.86048130060082,13.10106289013772,20.87662310014958,41.90605684577027,9.548404833882552,37.48857010922302,25.98758182664544,20.068701317311977,5.3816916449748,18.384297275241348,13.682797586505936,-5.883732386877115,29.570634057914237,10.748897159378147,22.588731327147304,5.139042786083023,-9.130247204064352,27.68193124042676,20.470485163136367,6.083817839532648,42.32208975300944,16.868389711601782,26.7742360808529,7.589710459431568,-0.3733898033893381,0.5478811746326435,1.7700707435059646,2.222316300022484,5.795856178707068,-1.60432014422227,-2.109015921951654,-0.9534076282460168,6.249900658264434,-6.484463692670005,1.6532617318242684,-3.091591349382962,0.7100007042145683,-3.328238462463393,-1.8251386401926784,3.912686434158171,0.0035694416413325,-0.5463427602041457,0.5456841141608968,-0.7871301729103615,0.076039690251528,0.7034551626757571,-0.3667000966787727,0.2852755118357508,0.3277470822122219,0.2420190528181253,1.2574007617893503,-0.7334070113616261,0.8589999543295966,0.1198735449740544,-0.9853361906397956,-0.4606935201482203,-0.44247371665502,0.5403973025046975,0.0120379528364761,0.1175656801494432,0.5244438485665754,-0.0684463992820814,-0.5991481682833503,-0.1884505377625519,0.0643114705593132,-0.3103736331659844,-0.495263168940673,-0.1461271535266529,0.7996724410490555,0.1997230315787924,-0.0307735514967408,0.1659411597440863,-0.4676568665002522,0.2605787474055623,-0.0107638757715389,0.5054944578339072,1.1997924294582634,-0.1125181479456039,-0.3857270790183026,0.1414538347634716,0.3791169150845035,-0.0854009765598543,0.6533003174791149,0.0273735833347777,-0.6181026116395608,-3.6667555570602417,0.1173266893041671,-0.1503139484178769,-0.033773874616935,-0.125427287006258,0.8863442000888643,-0.856345671194571,12.410088380177816,0.5616753229073116,-0.3559923725213833,0.0981864290430067,-0.0563500293763237,0.3516923960808401,-0.2554761883230305,0.0489874630037582,-0.3011794168819752,-1.150412917137146,0.2363690032678492,1.0282221294584728,-0.0047003144823849,0.0220324036413507,238.5715484619141,0.1706804521381855,17.436614632606506,-0.0823967833598849,-0.0131969497986926,-0.7806688547134399,2.95,0.06,0.07,-0.52,-0.66,-0.42,0.3,-0.21,0.15,1.18,5
