,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11
1965-01-01,0.030677736,0.009822726,0.27405596,0.024268866,0.68401146,-0.025268316,-0.059991598,0.022903025,0.042339683,0.06046307,0.08058262
1965-02-01,0.05872953,0.010190427,0.050166905,0.01602143,0.071074426,-0.07832509,0.06545353,0.0063031316,0.037716925,0.058887124,0.0125543475
1965-03-01,0.041499197,0.010820806,0.1491887,0.025161922,0.49684185,0.02810365,-0.04890746,-0.030153692,0.027735949,0.063247204,0.019225836
1965-04-01,0.03614098,0.021852434,0.018542945,0.019646108,0.47530395,0.03078276,-0.026266396,-0.091195285,0.0321486,0.04627955,0.025214434
1965-05-01,0.031728327,0.038084626,-0.067661166,-0.009036064,0.34250444,0.0071961284,-0.007827878,-0.06850171,0.011188567,0.1091072,0.05536747
1965-06-01,0.039713144,-0.030573964,-0.11147243,-0.014656961,0.00089240074,0.030520141,-0.0048860908,-0.057365,0.015811324,0.102698326,0.007984102
1965-07-01,0.019488513,-0.01933223,-0.09644842,-0.028472722,-0.081424415,0.012764454,-0.0045183897,-0.10243702,-0.040292263,0.03319919,0.029259384
1965-08-01,0.019593596,0.012764454,-0.07758963,0.020906866,-0.06818652,0.027053058,0.0325163,0.020539165,-0.03645748,0.028996706,0.0042018294
1965-09-01,0.017754972,0.014182806,0.01870054,0.030625165,0.16169119,0.02274543,-0.08494401,0.0022581816,-0.079060495,0.07984716,0.023113191
1965-10-01,0.042129576,-0.009666443,0.0051473975,0.022535324,0.06681937,-0.0074601173,0.061251044,-0.03241259,-0.032675207,0.020906866,0.0355106
1965-11-01,-0.0071974993,0.008089185,0.16069305,0.031938434,0.7423739,0.02206254,0.01029551,-0.006146848,-0.014656961,-0.009298742,0.026054919
1965-12-01,-0.01528734,0.022167623,0.11525333,0.03414476,0.6157731,0.077115536,0.03277898,-0.055421352,-0.02537334,0.06177634,0.04128909
1966-01-01,0.05341983,0.017493606,0.14487678,0.026338398,0.3912999,0.04238665,-0.017292857,-0.06780845,0.022827804,0.052872717,0.045714855
1966-02-01,0.054650843,0.0011261702,0.11100215,0.020730615,0.045532465,-0.042961,0.0827353,-0.07419133,0.012797654,0.02497065,0.06851071
1966-03-01,0.027113438,0.017128825,0.19128913,-0.015241265,0.46132874,0.014438927,-0.0075362325,-0.061608016,0.026839912,0.024149954,0.01229614
1966-04-01,0.027614951,0.00851202,0.066003144,0.004271984,0.17291567,-0.12046689,0.027979672,-0.07058954,0.01722002,0.016536176,0.03404337
1966-05-01,0.027113438,0.020685017,-0.046836317,0.018451035,0.16211045,0.035821438,-0.03935927,-0.033979416,-0.017156124,0.026247203,-0.017885566
1966-06-01,0.024377942,-0.002110839,-0.07669884,0.018633366,0.042158723,0.02743256,0.0024027228,-0.010910034,0.008375227,0.060258567,0.017767131
1966-07-01,0.027751744,0.007828116,-0.08066535,0.022007167,-0.07200289,0.041793942,0.006642759,-0.031107187,-0.060377,0.03883052,0.02725023
1966-08-01,0.027706146,0.0017188787,-0.13200158,0.021414459,-0.081896305,0.033997774,0.027660549,0.0029954314,-0.03917688,0.026794314,0.01667291
1966-09-01,0.026566327,-0.053720653,0.011293113,0.023602843,0.008831143,0.039423168,0.0065971613,0.01817745,-0.058963716,0.07457441,-0.039860785
1966-10-01,0.03955996,0.013846278,0.05150497,0.019362867,0.40146685,0.00044226646,0.018405437,0.025836885,-0.055225194,0.0618999,-0.03639579
1966-11-01,0.016536176,0.037417173,0.11341852,0.024058819,0.48608506,0.042477846,-0.029465854,0.016764104,-0.022900641,0.0012173653,0.0410645
1966-12-01,0.035547912,0.034499288,0.14610776,0.015943468,0.4791551,0.016627371,0.0047734976,-0.03311318,0.037371576,0.029073894,0.03030485
