,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10,ssta30_cluster11
1965-01-01,1.4516907,0.7451782,1.068512,-8.35141,-2.2281494,1.022583,-11.402069,-10.231995,-6.182434,-0.02822876,-4.89209
1965-02-01,0.71536255,0.33963013,1.1773987,-9.345734,-1.1762085,1.1579285,-12.460236,-11.422913,-6.597931,-0.8314209,-5.1748962
1965-03-01,0.28433228,0.17108154,0.9803772,-9.506805,0.2793579,2.200348,-12.751038,-11.535065,-6.831848,-0.7215576,-5.900299
1965-04-01,0.35299683,0.56903076,2.0210266,-9.773956,0.7935791,2.8981934,-12.679413,-11.114655,-6.6314697,-0.8255615,-5.214447
1965-05-01,1.1528015,1.0375366,2.5923157,-8.786499,0.7775879,2.6487122,-11.531799,-9.995514,-6.2019043,0.15289307,-3.6931152
1965-06-01,1.4272156,2.618225,2.729004,-6.433441,0.96517944,2.529419,-9.890259,-7.169403,-5.6845093,1.0345154,-1.2342529
1965-07-01,2.4125977,3.2778015,3.5093079,-4.3728027,0.49957275,2.1676025,-4.6237793,-3.8129578,-4.6207886,1.6546631,0.8538208
1965-08-01,2.7039795,3.861084,3.4509277,-3.1807556,-0.777771,1.9186096,-1.741272,-3.4866333,-2.9582214,2.0483398,1.4441223
1965-09-01,3.3548584,3.4142456,3.2191467,-3.5772095,-1.0105591,1.6464233,-3.6969604,-3.228424,-3.304779,2.9856262,1.7626953
1965-10-01,3.002411,3.0523071,3.6340942,-4.3063965,-0.34710693,1.6751709,-7.6614075,-5.7214355,-3.762024,2.479004,0.34146118
1965-11-01,2.336792,1.9336243,3.2528992,-6.682434,-0.64349365,1.3917542,-9.032043,-9.017578,-3.796936,0.76956177,-1.9422913
1965-12-01,1.3648376,1.1936951,2.9545288,-9.248566,-1.1090088,1.6547546,-10.182129,-11.135162,-4.647156,-0.28970337,-3.1263123
1966-01-01,0.7674866,0.59552,2.3443909,-10.302277,-0.5734558,1.8875122,-11.475769,-11.903412,-6.0490723,-0.684906,-4.178131
1966-02-01,0.10748291,-0.3680725,1.9864807,-11.164001,-0.11843872,1.6853943,-12.821594,-12.629974,-6.5012817,-1.4442444,-5.1563416
1966-03-01,0.3614502,-0.5422363,2.0145264,-11.387573,0.1758728,2.2843323,-12.808685,-13.401215,-6.7127686,-1.2139587,-5.4237976
1966-04-01,0.5734253,0.25421143,2.1634521,-10.865967,-0.21228027,2.3843384,-12.532654,-12.975433,-6.5043335,-1.1921082,-5.0746765
1966-05-01,1.5350037,1.4452515,2.5768738,-9.397583,-1.4100647,1.9308777,-11.388519,-11.283112,-6.0001526,-0.12411499,-3.533142
1966-06-01,1.7713013,2.4863892,2.9453125,-7.232849,-0.8555603,1.6296082,-9.915192,-9.28833,-5.2237244,0.98410034,-0.5111084
1966-07-01,2.4246216,3.3303528,3.8633728,-5.527069,-0.2859497,1.5169067,-5.867981,-5.3944397,-4.5265503,1.6495361,1.2687988
1966-08-01,2.7859497,4.0855103,2.9226074,-3.7476807,-2.3921204,1.5121155,-2.8938904,-3.2045593,-3.9730835,2.2740784,1.4556274
1966-09-01,3.0248413,4.046051,2.6183777,-3.3746338,-2.2329102,1.4786682,-3.6424255,-3.4432373,-3.4195251,2.605774,1.5109558
1966-10-01,3.0847168,3.4382324,2.4316711,-4.295105,-2.590088,1.2158203,-6.8342285,-5.459015,-3.1801147,2.3414001,0.274292
1966-11-01,2.5177307,1.9004822,2.0986633,-6.109192,-3.018402,0.9992981,-9.474365,-8.000824,-4.2730713,1.8908997,-1.7516174
1966-12-01,1.395935,0.53411865,2.0943909,-8.287506,-2.7972717,0.7000122,-10.516968,-10.687927,-4.5794373,0.7252197,-2.995453
1967-01-01,0.8956909,0.19354248,1.1566467,-9.055176,-2.0806885,0.76297,-11.888367,-12.058136,-5.5083313,-0.08291626,-3.8260803
1967-02-01,0.47201538,-0.21261597,0.71743774,-9.9270935,-0.99490356,1.1546326,-12.614044,-12.657593,-6.225006,-0.2897339,-4.467102
1967-03-01,0.6535034,-0.046661377,0.833313,-10.75177,-0.45181274,1.7818604,-12.238739,-12.267273,-6.391083,-0.6921997,-5.2487183
1967-04-01,0.54644775,0.2925415,1.7173767,-11.681183,-0.83081055,2.2232056,-11.616577,-12.774994,-6.9879456,-0.94799805,-5.2681274
1967-05-01,1.3163147,1.1570435,2.2408447,-10.58728,-0.68948364,2.2548523,-10.834198,-11.03653,-6.1905518,0.057250977,-4.028473
1967-06-01,1.9217834,2.6564941,2.525299,-7.4451294,-1.1407471,1.6974182,-8.526428,-7.6629944,-5.130829,1.6438293,-0.84176636
1967-07-01,2.7989502,3.8361816,3.0293274,-4.3202515,-2.2012634,1.1006775,-4.8826904,-4.3222656,-4.427429,2.2851257,0.84472656
1967-08-01,3.3042297,4.1421204,2.2389832,-1.4150391,-3.5234985,0.74954224,-1.0354004,-2.4973145,-3.2825928,3.113922,1.3560181
1967-09-01,2.8987122,3.6965332,1.9386292,-2.0594482,-3.6065063,1.2579956,-2.3258972,-3.847412,-2.6709595,2.868164,1.6201172
1967-10-01,2.5848389,2.8642883,1.4354553,-3.5457764,-4.050598,0.8674927,-5.4824524,-5.9296875,-2.720398,2.5197144,1.3222656
1967-11-01,2.0019226,1.9863892,1.9728699,-5.567047,-3.448059,0.8595276,-7.8172607,-8.005554,-3.1550903,1.4189453,-0.16766357
1967-12-01,1.865448,1.5559387,1.4352417,-7.741852,-3.6411133,0.85580444,-9.615967,-9.240845,-4.8430786,0.48468018,-2.432129
1968-01-01,1.250885,0.90515137,0.835907,-8.847595,-3.171936,0.8057251,-11.030304,-10.646484,-5.6682434,-0.28637695,-4.3797607
1968-02-01,1.0987549,0.101623535,0.74609375,-9.70105,-1.2822876,1.3084717,-12.103394,-11.821472,-5.615082,-0.6239624,-5.6853333
1968-03-01,0.98672485,-0.38827515,0.20870972,-10.094025,-1.3537598,1.6326904,-12.863861,-12.504272,-5.432831,-0.9234619,-5.9328613
1968-04-01,1.1834106,0.072021484,0.8905945,-9.940399,-0.6926575,2.1315918,-12.362488,-11.985596,-5.956299,-0.64071655,-4.9591675
1968-05-01,1.4395142,1.2911377,1.8713074,-8.8533325,-1.1972656,1.976654,-11.781921,-11.042999,-5.792694,0.14956665,-3.2899475
1968-06-01,1.6491089,2.410797,2.050232,-5.4203796,-1.4407349,1.4245605,-10.142914,-8.819824,-5.019745,1.3251343,-0.14187622
1968-07-01,2.1214294,3.4252014,2.5907898,-3.546814,-1.7078552,1.6515503,-5.95755,-6.719757,-3.9380493,1.9473267,0.8418579
1968-08-01,2.2547302,4.1278076,2.4629517,-2.4876099,-1.5404358,1.7012634,-2.3985596,-2.6142273,-2.728485,2.284912,1.3980713
1968-09-01,2.6224976,3.8966064,2.4483948,-2.6461182,-2.0525818,1.5041809,-2.8914185,-2.5387573,-2.8944092,2.4815369,1.8647461
1968-10-01,2.6535645,3.0903015,2.6906433,-3.93219,-1.947815,1.0094604,-6.91568,-5.8423767,-3.6655884,2.1802063,0.20275879
1968-11-01,2.1321716,1.9387817,2.6846313,-5.887451,-2.0181274,0.9995117,-9.719696,-9.597534,-3.820984,1.6513977,-1.0135498
1968-12-01,1.5106201,0.71676636,2.768402,-8.315338,-1.6094055,1.2998962,-11.844879,-11.619812,-5.746826,0.29388428,-3.3435059
1969-01-01,1.1096802,-0.014251709,2.6438293,-9.648315,-0.6844177,1.2589111,-12.860199,-12.542786,-6.3200684,-1.1638489,-5.2068787
1969-02-01,0.8213196,-0.38671875,2.343689,-10.743256,-0.55181885,1.2638245,-13.130096,-13.445435,-6.768402,-1.4337463,-5.7618713
1969-03-01,0.06384277,-0.45968628,1.5579834,-11.877594,0.51760864,2.137909,-13.415863,-13.848114,-7.421814,-1.6979675,-5.3446655
1969-04-01,0.47729492,0.447052,1.7966003,-11.783569,0.35733032,2.7303162,-13.043396,-14.13504,-7.3282776,-1.7454529,-5.3557434
1969-05-01,0.953125,1.4863892,2.42984,-10.514526,0.22091675,2.7297974,-11.792816,-13.046478,-6.424835,-0.8456116,-3.486267
1969-06-01,1.437561,2.9681091,3.0491333,-7.8945007,0.1300354,2.2230835,-11.350433,-11.357086,-4.984131,0.3623352,-2.3388367
1969-07-01,2.4859009,4.279999,2.4736023,-5.4945374,-1.609436,1.7265015,-5.966797,-5.7139893,-4.5803223,1.1035156,-0.047088623
1969-08-01,2.8947144,4.5811462,2.4855347,-4.2422485,-2.5691528,1.4979858,-2.209198,-4.045868,-4.054596,1.729248,0.58117676
1969-09-01,2.76474,4.037384,1.9617615,-4.181488,-2.853485,1.6161804,-2.4294434,-3.764618,-4.3312073,2.1150818,1.1034241
1969-10-01,2.2708435,3.395813,2.1488037,-5.1168823,-3.0776672,1.1417542,-7.270935,-6.7094727,-4.319031,1.5724792,-0.021148682
1969-11-01,2.013092,2.1443481,2.4535522,-6.5934143,-2.7667542,1.0486145,-10.451355,-8.961304,-5.015167,1.0378418,-1.566925
1969-12-01,1.2441406,0.99853516,1.864563,-8.375549,-2.1841125,1.2482605,-12.773926,-11.938141,-5.7702637,0.15045166,-3.5028992
1970-01-01,0.8587036,0.19699097,1.1707153,-9.930206,-2.1549072,1.1567688,-13.576599,-13.27597,-6.526062,-0.34799194,-5.0734863
1970-02-01,0.5034485,-0.72802734,0.661499,-10.618652,-1.3861389,1.5949402,-13.894165,-13.914825,-6.9107666,-1.1283875,-5.7428284
1970-03-01,-0.08157349,-0.44885254,0.88027954,-11.024384,-0.9994812,1.8829346,-14.414581,-13.956909,-7.0866394,-1.3337097,-5.7642517
1970-04-01,0.21890259,0.4673462,1.2726746,-10.76062,-0.82870483,2.489685,-13.5112915,-13.163666,-7.099243,-0.9604187,-4.567047
1970-05-01,0.6024475,1.014679,1.7420044,-9.098053,-1.4854736,2.1686707,-11.555847,-11.256744,-7.00235,-0.20648193,-2.558899
1970-06-01,1.3429871,2.6632996,2.3032532,-6.6492615,-2.379364,1.4963989,-9.584351,-8.741852,-5.926605,0.64974976,-0.9722595
1970-07-01,1.9801025,3.839203,1.927948,-4.4329834,-3.7263489,0.9815979,-3.9908142,-5.8902283,-5.029114,1.1546326,-0.03552246
1970-08-01,2.4168396,4.2687073,1.8718567,-2.3572388,-4.671936,0.970459,-1.7012024,-3.1739197,-4.285034,2.0934753,1.0407104
1970-09-01,2.469452,4.109009,1.2038574,-2.7033997,-4.614685,1.0473328,-2.2095642,-2.611969,-3.835205,2.2328491,1.5453186
1970-10-01,2.4158325,3.374054,1.3103638,-4.3692017,-4.526764,0.8444519,-5.7484436,-4.785553,-4.3692017,2.1151733,0.2565918
1970-11-01,1.7256775,2.3569336,0.5639343,-6.3120117,-4.5867004,0.6817322,-7.834839,-8.459869,-4.314972,0.9689331,-1.2006226
1970-12-01,0.82925415,0.8865967,0.050811768,-8.527222,-4.379242,0.5203552,-9.083038,-10.716919,-5.0636597,0.2496643,-2.3625793
1971-01-01,0.7522278,0.73739624,-0.15301514,-10.1716,-3.697937,0.6291809,-11.414825,-11.649048,-6.1686096,-0.26617432,-4.1110535
1971-02-01,0.4913025,0.47647095,-0.3378601,-9.693298,-2.5965576,0.82632446,-12.769287,-11.779022,-7.0175476,-0.5977783,-5.110199
1971-03-01,0.42520142,0.3031311,-0.5358887,-10.154724,-1.6541138,1.379364,-12.775116,-12.584869,-7.386566,-0.979126,-5.067108
1971-04-01,0.43884277,0.2970276,0.25405884,-10.318939,-0.5034485,1.9810486,-12.939331,-12.402191,-7.590332,-0.74853516,-4.272217
1971-05-01,0.55410767,1.6555481,0.801178,-9.620605,-1.3433533,1.6782532,-11.836304,-10.934021,-7.1019897,-0.09024048,-2.2456665
1971-06-01,0.8161621,2.883606,1.0691528,-7.0998535,-1.8363647,1.3641663,-9.119385,-8.503204,-6.169403,0.7642822,-0.45721436
1971-07-01,1.7263489,3.9539185,2.0811462,-4.344574,-2.2168274,1.4550781,-4.07428,-4.289215,-5.286377,1.5059814,0.78601074
1971-08-01,2.3686829,4.3294067,2.2026672,-3.2145386,-3.1794434,1.1664734,-1.9495544,-3.5307922,-3.8667908,2.0054932,1.7935181
1971-09-01,2.6956482,3.6888733,1.697998,-3.418274,-3.7493286,1.012146,-2.5856323,-3.8234558,-3.5472412,2.0863953,1.5270386
1971-10-01,2.287323,3.2399902,1.1414185,-4.9853516,-3.656128,1.0134277,-6.079376,-5.261566,-3.7218628,1.9142456,0.62008667
1971-11-01,1.6842041,2.6591187,1.0887756,-6.403778,-3.644043,0.93707275,-8.096191,-6.932007,-5.065674,0.93014526,-1.2736816
1971-12-01,1.0925903,1.8278809,1.3184204,-7.6150208,-3.6397095,0.9206543,-9.785278,-8.348816,-6.171173,0.28024292,-2.9014893
1972-01-01,0.7016907,1.1809082,0.99438477,-9.673248,-2.975006,0.89682007,-11.193115,-9.765076,-7.090271,-0.89801025,-4.4312744
1972-02-01,0.24072266,0.3334961,1.15271,-10.379578,-1.1217957,1.0101929,-12.571838,-10.894165,-7.4556274,-1.4068298,-5.2748413
1972-03-01,0.38113403,0.5002136,1.1018372,-10.340546,0.18649292,2.006195,-12.820251,-11.730316,-7.232483,-1.4902344,-5.7283936
1972-04-01,0.720459,0.56118774,1.9595642,-10.261871,0.6405945,2.5038147,-12.9218445,-11.931885,-7.548828,-0.9385681,-5.5296936
1972-05-01,0.8656311,1.7474976,2.7269287,-9.572937,0.9440613,2.5748596,-11.3802185,-10.816864,-7.2467957,-0.29553223,-3.3845215
1972-06-01,1.3090515,2.3363037,3.2019043,-7.664673,1.1253967,2.3735962,-8.818665,-8.664673,-6.208435,0.25738525,-1.3012085
1972-07-01,1.6982422,3.4414368,4.121002,-5.5490417,1.2812195,2.1688232,-5.1095276,-5.2257385,-5.16214,0.74176025,0.24102783
