,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta20_cluster9
1970-01-01,-0.8780823,-7.1987305,-6.434723,-1.6333008,-16.511292,-9.813049,-2.8255005,0.9546814,-10.718048
1970-02-01,-0.063934326,-6.655792,-7.4518127,-2.4282532,-17.139404,-9.504608,-2.407074,0.53060913,-11.394196
1970-03-01,-0.1317749,-6.7106934,-7.9674683,-2.967682,-18.095703,-10.5616455,-3.2120056,0.4571228,-11.775055
1970-04-01,-0.66830444,-8.133636,-7.009613,-2.3512573,-17.521088,-11.462341,-3.8658142,0.12927246,-11.494904
1970-05-01,-1.5031433,-9.093994,-5.661438,-1.7825928,-14.510132,-12.679962,-4.6040344,0.81314087,-9.599182
1970-06-01,-2.1992188,-9.77356,-3.5644836,-0.4883728,-12.393555,-13.597656,-5.196289,1.2550354,-7.3348694
1970-07-01,-2.55365,-10.155365,-1.7070007,0.58084106,-8.713135,-14.056946,-5.5667725,1.5380249,-4.369385
1970-08-01,-3.1030579,-10.804474,-0.21548462,1.4395752,-4.051483,-14.367706,-6.5903625,1.5940247,-2.3276978
1970-09-01,-3.2727356,-10.704498,-0.10571289,1.5065002,-4.645752,-13.9531555,-6.408264,1.4703369,-2.4007874
1970-10-01,-2.6872559,-10.516266,-1.0244446,0.9472656,-7.27536,-13.670898,-6.2613525,1.1456299,-5.3155212
1970-11-01,-2.1214905,-9.409149,-3.1747437,0.10437012,-9.830139,-12.5312195,-6.204376,1.7175903,-7.1161194
1970-12-01,-1.2490234,-7.745819,-4.279175,-0.8750305,-14.340759,-11.079712,-4.4439697,1.8451843,-8.887421
1971-01-01,-0.010803223,-6.2808533,-5.3993225,-1.5846252,-15.563171,-9.397369,-2.9588013,1.5472107,-10.193909
1971-02-01,0.7680054,-6.2798157,-6.5382385,-2.4117432,-16.566711,-8.83252,-2.1661682,1.026947,-10.920227
1971-03-01,0.27438354,-6.8945007,-6.8495483,-2.3494568,-16.659088,-9.90625,-2.5915833,0.55651855,-10.73642
1971-04-01,-0.38757324,-7.9572144,-6.395752,-2.4990234,-16.588745,-11.08609,-3.8850708,0.18759155,-10.879028
1971-05-01,-1.083252,-9.170227,-5.1341553,-1.551178,-14.802887,-12.447327,-5.2601624,0.4673462,-9.321442
1971-06-01,-1.8981934,-9.857208,-2.9250183,-0.23742676,-11.551605,-13.581024,-5.8097534,1.0547485,-6.411133
1971-07-01,-2.5568542,-10.614685,-0.9810486,0.70788574,-9.530579,-13.656586,-6.17984,1.5691528,-4.2141724
1971-08-01,-2.8834534,-10.829102,-0.22451782,1.566742,-5.9772034,-14.1284485,-7.094452,1.7288208,-2.8755188
1971-09-01,-2.8814392,-11.255524,-0.018920898,1.613678,-7.5035706,-13.805267,-7.328644,1.4194946,-3.6789856
1971-10-01,-2.698822,-10.595551,-1.6131897,1.365448,-8.756409,-14.054504,-6.6948547,1.2285767,-5.709564
1971-11-01,-2.0246582,-9.747467,-3.581665,0.2310791,-11.175018,-12.683136,-5.704468,1.3394165,-7.2036743
1971-12-01,-1.5566101,-7.7233887,-4.7062073,-0.95129395,-13.841766,-11.257935,-3.8839722,1.3291321,-8.125122
1972-01-01,-0.46606445,-5.5693665,-5.8371887,-2.0031128,-14.585175,-10.004089,-2.4230347,1.0155334,-9.929504
1972-02-01,-0.35446167,-5.841797,-6.335327,-2.6447449,-16.416168,-9.638062,-2.1311035,0.4413452,-11.105804
1972-03-01,0.22457886,-6.182434,-7.231201,-3.1149902,-17.920868,-10.785004,-2.4502258,-0.17190552,-11.392395
1972-04-01,-0.27035522,-7.1766357,-6.921753,-2.8428345,-17.924622,-12.042755,-3.4765015,0.20645142,-10.789764
1972-05-01,-1.3275452,-8.541321,-6.0802917,-2.4944458,-15.687683,-13.167358,-4.68573,0.57873535,-8.970795
1972-06-01,-1.4364624,-9.0954895,-3.5866394,-1.0409546,-11.68277,-14.023285,-5.6990356,1.1436462,-6.0997925
1972-07-01,-1.9584961,-9.83847,-1.7413635,0.20458984,-7.975708,-14.521881,-6.144043,1.4370117,-3.0326233
1972-08-01,-2.5091858,-10.650757,-0.16149902,0.97528076,-4.3441772,-14.309296,-6.4518127,1.2521973,-2.0462341
1972-09-01,-2.855957,-10.51355,-0.18304443,1.2473755,-4.9822083,-14.40213,-6.4695435,0.73565674,-3.2710571
1972-10-01,-1.9413757,-10.427765,-2.3273315,0.95007324,-8.465546,-15.147522,-6.7869263,0.7616577,-6.863434
1972-11-01,-1.2337952,-9.261078,-3.6556091,-0.36291504,-11.637939,-13.592041,-5.973175,0.42523193,-7.879425
1972-12-01,-0.020080566,-7.095642,-4.9713135,-1.3113403,-13.67865,-11.890503,-5.395508,0.5576477,-9.467743
1973-01-01,0.29534912,-6.0812683,-6.3050537,-1.7502747,-15.111755,-10.961334,-4.3293457,0.7788391,-11.118591
1973-02-01,0.61901855,-5.597412,-7.016327,-2.5896606,-16.056519,-9.917725,-3.2217102,0.5996094,-11.819183
1973-03-01,0.6911621,-6.1883545,-7.5019226,-2.7384033,-16.921722,-10.231506,-3.717987,0.19894409,-11.634888
1973-04-01,0.09005737,-7.171509,-7.5448303,-2.7516785,-16.29181,-11.290894,-4.595337,0.49246216,-11.172455
1973-05-01,-0.7093506,-8.230621,-6.2757874,-1.6875,-15.369354,-12.499023,-5.5364685,0.8833618,-10.254852
1973-06-01,-0.93655396,-8.792786,-3.929718,-0.12976074,-11.187408,-13.125732,-5.7068787,1.4969177,-7.1738586
1973-07-01,-1.4293518,-9.578796,-1.690033,0.76623535,-7.313751,-13.460297,-6.602112,1.994873,-4.5875854
1973-08-01,-1.9957275,-9.963593,-0.44430542,1.0673218,-3.738922,-13.989288,-6.402008,1.881897,-2.686493
1973-09-01,-2.2650757,-10.258179,0.8397522,1.3455505,-5.48349,-13.919312,-6.536377,1.8795471,-2.9194336
1973-10-01,-2.0273743,-9.653503,-0.91622925,1.0196838,-7.6904297,-13.555878,-6.6394653,1.4900513,-4.7890015
