,vws_u850-200_cluster1,vws_u850-200_cluster2,vws_u850-200_cluster3,vws_u850-200_cluster4,vws_u850-200_cluster5,vws_u850-200_cluster6,vws_u850-200_cluster7,vws_u850-200_cluster8,vws_u850-200_cluster9
1970-01-01,27.518875194976946,27.166257520986402,-4.417667754774976,42.015144419734625,1.1539759570652177,8.268141702389403,28.442829431596145,47.67414434585431,18.871417591542816
1970-02-01,25.117448928489853,24.110754895203222,-6.40986633957225,41.43134887972373,-0.08349092375428235,7.660709381028048,29.604491514234752,50.30969621377999,18.308141516661475
1970-03-01,32.45014205687521,18.04471516693923,-2.4177283878289995,40.66056475902922,-3.109148441962977,10.978034482793467,27.993352080678118,49.69257374574979,20.583787472779537
1970-04-01,33.879588186515775,14.1042624445287,5.196015140348705,31.275408893691015,0.8434251106990015,17.26278870898678,26.940601964955967,36.40080564184603,25.009878472494393
1970-05-01,44.28487187978263,3.0575056809353987,6.256101236108895,18.53207168212355,-8.919855835276921,17.174513790606483,21.51092343232971,29.448286918569796,27.900616140516114
1970-06-01,46.91477609043681,-3.589993171416075,4.459292131717636,5.481888655398166,-21.390576456414117,16.717742476318545,17.839911419078085,20.5871111025736,30.548077715953976
1970-07-01,45.2753070188779,-12.782596858335351,-1.1583548629159834,-4.358560678298203,-25.370111701943102,13.382376431694459,12.446617830333718,7.349145505018493,31.48023866084521
1970-08-01,45.938212630837576,-13.465152688824231,-0.8480574850673799,-4.708670106126037,-25.164950224122475,15.02065506357414,13.236696958865174,3.4690897801679426,31.32616858098787
1970-09-01,45.037818332546486,-8.053271834830689,2.282838459468798,0.7884207277898497,-17.665793518423698,15.153014746428962,13.75758117404264,14.594583171327404,28.71871153616041
1970-10-01,39.889318406536866,3.6492840674062585,4.817549392755503,17.7094399162818,-12.080208828405476,15.160701971717607,20.06013579142557,30.46503198641532,27.625472427292273
1970-11-01,36.13434966219659,14.27886767943959,3.9074335533186417,27.207623645517064,-5.669715804877507,13.655232026149125,23.418954703793517,41.08277748528805,24.058425986142584
1970-12-01,29.625051545689654,21.127347886814,-0.5886632648206348,33.688985792477666,-4.186771393704035,9.055279496414022,30.09082247746119,48.921374503391824,20.380780772292002
1971-01-01,25.091229291915514,22.871728790115355,-5.897452040376738,37.69922538063269,-4.220164964175747,5.99156998573454,27.549490263922298,46.29942757166493,16.92058121109387
