,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7,r50_cluster8,r50_cluster9
1968-12-01,4.3870544,8.066551,11.071636,3.263565,3.8993492,6.4537544,2.4957962,8.356277,6.191391
1969-01-01,4.0168457,7.6098175,9.89595,2.7501144,3.6558762,6.2645416,1.9513054,8.273266,6.7525177
1969-02-01,4.061966,8.054344,8.749542,3.3717842,5.3838463,6.224434,2.1568565,7.56971,6.5469666
1969-03-01,3.7628326,6.944702,7.3374214,2.8119469,5.001152,5.9720917,2.0565872,6.3196907,5.8133316
1969-04-01,3.2130241,5.744816,4.446331,2.283863,3.83469,4.5349045,2.2320595,4.071995,5.1448708
1969-05-01,3.2464447,4.7036896,3.6675758,2.4509773,3.263157,3.7678452,1.889473,3.3968506,4.351078
1969-06-01,3.637497,4.341049,2.7133484,1.6655388,2.6164207,3.2180367,1.9680176,2.9874191,3.9867668
1969-07-01,2.7969055,3.572319,2.7217064,1.9295807,2.6832695,2.9222412,1.5000954,2.678257,3.6909714
1969-08-01,2.7668266,3.6859589,2.7751808,1.7758331,2.5746422,2.9473114,1.5803108,2.7835388,3.3884926
1969-09-01,2.7517853,3.8831558,3.2965813,1.4499588,2.444294,3.0492516,1.8059158,3.0375519,3.7010002
1969-10-01,2.5428925,4.100403,3.7912407,1.9045143,2.5930252,3.1261215,1.5569153,3.5572815,3.5472527
1969-11-01,3.318306,5.545948,5.554306,2.1217613,3.5271988,5.3170013,1.7206879,4.5282173,5.0228767
1969-12-01,4.0569534,7.2304688,7.462757,2.3172874,4.551613,6.4918175,2.312275,6.401577,6.73748
1970-01-01,4.1277084,9.96138,10.184799,3.2257652,5.7081795,8.1790085,2.1434326,9.456623,7.862915
1970-02-01,4.3428497,8.409042,9.254719,3.8000298,6.2807884,7.4409027,2.1996994,8.145908,6.057369
1970-03-01,3.404499,6.914631,8.018478,2.1566734,4.832714,7.517029,1.959732,7.1148796,5.617157
1970-04-01,3.426014,6.044132,6.5654373,1.981247,4.281616,5.5509605,2.2874107,5.3176117,5.0048294
1970-05-01,3.0387573,5.0726814,5.3060265,1.6022644,3.1430168,4.1624603,1.7296982,4.031723,4.1392937
1970-06-01,2.4876595,3.9589043,4.715214,1.7148018,2.7723122,3.5253105,1.7247314,3.9903488,3.027172
1970-07-01,2.2278328,3.1330872,4.63081,1.8554726,2.6746674,2.803753,1.4119492,3.5981255,3.205906
1970-08-01,2.1186066,2.951046,4.5728874,1.6850128,2.481041,2.9709053,1.3854675,3.7172813,2.8517494
1970-09-01,2.111988,3.5749588,5.3490562,1.7909279,2.654808,3.4607658,1.18853,4.642395,2.9675941
1970-10-01,3.1430168,4.965111,7.2985764,2.1318474,3.040413,3.9787636,1.4930382,5.7379684,4.126053
1970-11-01,3.3846397,5.9448357,7.982071,2.6283302,3.6941147,4.7880287,1.6949425,6.762375,5.2646523
1970-12-01,3.2969284,5.476486,6.9328346,2.7491417,4.1475677,4.587784,1.7776909,6.23114,4.553028
