,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8,mgu850_cluster9
1965-01-01,-0.045827890817935646,-1.3350225411928616,-1.6292198380427574,-0.7941521530927613,0.3541123867034912,1.346516868342524,0.15390771822851212,-3.557590298030687,0.5860074451475432
1965-02-01,-0.3016481360236367,-1.1539952113078191,-1.6865762312020827,-0.8927091147548468,1.1309320131937664,0.9862327705258908,0.18985337409816805,-3.9761862029200015,0.2861239016056061
1965-03-01,0.004946356536922874,-1.8008288664695544,-1.7219997164028793,-0.991362356400305,0.6194523572921753,2.332614815753439,0.06549832273702152,-4.579380284184995,0.6823433168006665
1965-04-01,-0.6875759952670925,-0.7771553137363532,-1.5527349799426633,-0.7918140684911447,-0.014319853236277899,-0.43808263928993885,0.6113134446691294,1.1665393476900847,0.8856692097403785
1965-05-01,-0.7510683038732507,-0.7674904205860236,-1.2804729724997903,-1.3280440670575282,-0.19525911410649618,-0.7091847450836845,0.730661968471574,2.196145316828852,1.6080357811667703
1965-06-01,-0.6475581572606013,-0.7747190120892646,-0.5486847749396936,-0.4724584577619567,-0.4560594956080119,-0.594345836535744,0.5575491573478355,3.754823881646861,0.5836545517950347
1965-07-01,-0.6434228394057724,-1.2281174078965797,-1.4824493607478355,-1.212710373161375,-0.47504687309265137,-0.3966127724751182,0.7461572401836271,4.9305931381557295,0.8562059113473602
1965-08-01,-0.5521379984342135,-0.5734852873362027,-1.7952844278136295,-1.3908655606499014,-0.19160310427347818,-1.473160023274629,0.5273046185735797,3.05689495542775,1.0418153170383337
1965-09-01,-0.514656567311549,-0.9462656883093027,-1.3344362600525812,-1.1804484581762507,-0.5448209444681803,-1.5478465868079143,0.5682156955609556,4.777225722437319,0.6803840398788452
1965-10-01,-0.360255778490842,-0.785334675739973,-1.171916100516248,-1.1497777561808742,-0.5151458978652954,-1.4850994814997134,0.33435183958929093,2.9710018116494883,1.0689450935883955
1965-11-01,-0.20227019603435809,-0.7812770513387827,-1.4198214260499868,-1.1380960312924644,-0.306604544321696,-1.0995890783227007,0.2251170819900075,1.6553572986436926,1.4505172317678277
1965-12-01,-0.13242542416184813,-0.8060874083103278,-1.7328596826809555,-1.2862164844838224,0.11092780033747356,0.29818843240323273,0.28349127864739937,-4.578375298043956,1.642820509997281
1966-01-01,0.0011258118959901096,-1.5022199887495773,-1.3999471913522747,-1.4200274796448937,0.07501823206742604,1.7363570306612097,-0.11640376731997631,-6.183556370113207,1.2331688945943657
1966-02-01,-0.15383009072188492,-1.166794315362588,-1.8781407555537437,-1.0728256415951158,0.6387014786402384,1.7774439376333484,-0.19920233820305497,-5.492626584094503,0.6411985917524857
