,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9
1965-01-01,8.46116897126036e-07,2.299414092750596e-06,1.3719873691786875e-05,2.369084575307942e-05,1.1727142318957501e-06,1.460500782370757e-05,-1.190005079447763e-06,1.327864930348808e-05,3.389606001402364e-05
1965-02-01,-8.793738325731166e-06,1.6938273370798038e-06,1.942009296980076e-05,1.835411617407171e-05,3.6971967018770456e-06,6.638215718676629e-06,-9.505148842709403e-07,1.659227564232424e-05,4.227581071476875e-05
1965-03-01,-5.280464946459372e-06,2.328970192768163e-06,2.0870909972219407e-05,1.2063326652904198e-05,-6.6073937432520324e-06,2.0407530125036523e-05,2.2058676837605688e-06,1.705113296840613e-05,2.13206820979284e-05
1965-04-01,4.228464881041715e-06,4.9976698881856955e-06,9.923106801102594e-06,1.3447185476664189e-05,6.839049622916113e-06,3.652304611831722e-06,3.903762615669421e-07,2.4801800950156357e-06,4.2762506134088405e-05
1965-05-01,2.193933141825255e-06,7.5328414776520685e-06,9.531933129870057e-06,1.2319768980235511e-05,1.0629508374727771e-05,-4.819817065624563e-06,-5.212145905626798e-07,4.433869388118057e-06,2.607737659480225e-05
1965-06-01,3.586540752503029e-06,6.5937333951856436e-06,3.0083226256167226e-08,2.680259221274612e-06,1.0733650570829115e-05,-3.992698583277632e-06,-4.984116395131276e-07,1.5609485076154294e-06,1.4244331010338623e-05
1965-07-01,5.392484443133151e-06,4.0646070304389396e-06,1.3810721775669544e-05,1.4548922475989696e-05,1.1536961766170054e-05,7.4769323637829745e-06,-5.798968447374336e-07,-1.6145261740567894e-06,1.8104879707221478e-05
1965-08-01,2.5897764752026773e-06,1.5022967895325005e-06,2.6436858012753188e-05,1.8147547618938468e-05,1.9237289608200728e-05,2.4969648077583565e-07,7.103380994522013e-07,-6.92866314207565e-06,-1.0517390530201903e-05
1965-09-01,9.671197250574314e-06,2.988852907620663e-06,1.1065844401095032e-05,1.568090017414915e-05,1.0495578963956279e-05,1.2130394006143668e-06,-4.6395821904970837e-07,6.068730021195671e-06,1.8510665926662497e-05
1965-10-01,3.802839155073541e-06,5.581216847088235e-06,9.91813067230396e-06,1.7479995668114532e-05,1.0030657904280815e-05,1.1747634634620799e-06,9.079918012072096e-08,3.2584011933067818e-06,2.2007955549545866e-05
