,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9
1965-01-01,21.91919,28.11731,25.240295,15.694641,16.707031,25.545166,27.687683,16.4346,25.62149
1965-02-01,23.218506,28.286957,25.83554,16.313354,17.821716,25.494751,27.724121,17.361176,26.099487
1965-03-01,23.077301,28.410187,25.623993,15.974548,17.530334,25.52121,27.847351,17.348694,26.120941
1965-04-01,22.447083,29.13617,24.66748,14.808472,16.799347,24.535767,28.439117,16.405151,25.740753
1965-05-01,21.790466,28.622253,23.546295,13.54361,16.096313,23.566772,28.544403,15.283508,24.644012
1965-06-01,20.680267,28.760468,22.251495,13.044647,14.617889,22.705566,27.947144,14.45871,23.343231
1965-07-01,19.733734,28.763947,21.949646,12.416473,13.434845,21.732574,26.64087,14.065033,22.625214
1965-08-01,19.152435,27.94217,21.816406,12.907928,12.953857,20.758606,26.41983,14.373901,21.471619
1965-09-01,19.181396,28.25003,22.118286,12.183441,12.996246,21.256561,26.917786,14.118927,21.093903
1965-10-01,19.22229,28.356293,22.31137,11.892059,13.329559,21.901245,27.468658,13.752686,22.017975
1965-11-01,19.31012,28.394714,23.630127,12.886993,14.212219,23.053345,28.575348,14.78952,22.663635
1965-12-01,20.9068,28.500519,24.908966,14.883331,16.449066,24.713379,28.87973,16.262451,23.851166
1966-01-01,21.36911,28.647583,26.40448,16.498138,17.277283,25.868408,28.086304,17.206177,24.75293
1966-02-01,22.337341,29.271881,26.79834,17.188019,18.075073,26.65863,28.203796,18.553131,25.812958
1966-03-01,22.1669,29.276947,26.496765,16.182465,17.763428,25.809418,28.762543,18.387238,25.89212
1966-04-01,21.893585,29.368225,24.983368,15.508728,17.140625,25.24411,29.5654,17.669617,25.1503
1966-05-01,21.421051,29.000092,23.875946,14.679657,15.57782,24.304596,29.11203,15.645386,23.943542
1966-06-01,20.719574,28.632446,22.80835,13.50061,14.334717,23.0943,28.123627,14.501648,23.440247
1966-07-01,20.000977,29.367188,22.671204,12.693756,13.578278,21.341888,27.00409,14.105774,22.391815
1966-08-01,19.220306,28.738861,22.168427,12.118866,12.996826,21.180511,27.034851,14.1315,21.450806
1966-09-01,19.14215,28.602692,21.77304,11.863678,12.854126,21.178986,27.31018,13.657471,21.302032
1966-10-01,19.542053,28.475616,21.97931,12.3437805,12.486481,21.363068,28.159912,14.191498,22.106384
1966-11-01,20.628296,28.039398,23.454376,12.954468,14.417419,22.464447,29.187683,14.791626,23.31668
1966-12-01,21.794739,28.187164,24.71762,15.323151,15.87384,24.814941,28.973358,15.638336,24.453857
1967-01-01,22.26361,28.134766,25.52649,17.248352,16.630829,26.171051,28.248962,17.044006,25.024658
1967-02-01,22.9888,28.35614,26.35785,18.121796,17.498749,26.802582,27.396057,18.2565,25.647186
1967-03-01,22.841064,28.813904,25.88507,17.315948,16.945862,26.671356,27.866852,18.202423,25.55304
1967-04-01,22.26059,29.266144,25.392273,15.614655,16.492615,26.17456,28.387207,17.662018,24.72116
1967-05-01,21.750763,29.154968,24.791779,13.52121,16.267242,24.224335,28.337616,16.702942,23.649902
