,vws_u600-250_cluster1,vws_u600-250_cluster2,vws_u600-250_cluster3,vws_u600-250_cluster4,vws_u600-250_cluster5,vws_u600-250_cluster6,vws_u600-250_cluster7,vws_u600-250_cluster8
1965-01-01,8.857504844665527,22.218717575073242,20.79786491394043,13.524152755737305,19.89679718017578,7.817937850952148,20.351404190063477,16.857938766479492
1965-02-01,17.879581451416016,13.716424942016602,19.0234317779541,23.43752098083496,15.411015510559082,11.117505073547363,6.551881790161133,16.255054473876953
1965-03-01,16.895414352416992,4.435270309448242,19.09512710571289,23.336498260498047,24.330440521240234,9.362624168395996,10.08608627319336,22.6505126953125
1965-04-01,19.2434024810791,3.249055862426758,10.685710906982422,18.249460220336914,15.463157653808594,7.697360992431641,9.712947845458984,19.354204177856445
1965-05-01,18.420547485351562,-4.669904708862305,8.925941467285156,18.8784122467041,12.838168144226074,6.783258438110352,6.626834869384766,14.555572509765625
1965-06-01,3.623821258544922,-2.846590042114258,-4.821441650390625,10.571650505065918,7.021154403686523,2.4539012908935547,2.1377944946289062,7.3877716064453125
1965-07-01,6.683864593505859,1.6033458709716797,-1.3670806884765625,0.6468772888183594,6.498111724853516,-1.1145210266113281,-6.010915756225586,18.855602264404297
1965-08-01,-3.7932796478271484,-4.083316802978516,-8.381715774536133,5.833309173583984,5.012084007263184,-0.6159191131591797,0.49697113037109375,18.192428588867188
1965-09-01,-3.7623214721679688,-5.0723724365234375,-2.5190773010253906,3.6156749725341797,12.645896911621094,0.5605182647705078,6.2569580078125,8.21551513671875
1965-10-01,4.181081771850586,-5.645927429199219,3.988811492919922,18.225017547607422,8.86728286743164,5.561195373535156,7.645220756530762,8.658717155456543
1965-11-01,12.5676851272583,-0.2786293029785156,7.630556106567383,12.714332580566406,21.90587043762207,2.8384437561035156,13.540448188781738,22.414247512817383
1965-12-01,11.902883529663086,2.9036197662353516,7.063518524169922,21.83906364440918,20.263416290283203,6.770223617553711,12.201066970825195,25.379783630371094
