,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6
1967-12-01,0.030776441,0.039722145,-0.07772291,0.26618963,-0.08321583,0.3804958
1968-01-01,0.029564053,0.049426496,-0.012280971,0.14144838,-0.21004987,0.38913375
1968-02-01,0.021752983,0.04414472,0.013681531,0.2179225,-0.25018394,0.27910924
1968-03-01,0.018182218,0.039458096,-0.08990818,-0.03188303,-0.1995607,0.115337074
1968-04-01,0.021529824,-0.01838106,-0.040326446,0.058948576,-0.13022816,0.11027849
1968-05-01,0.018926114,-0.035565406,-0.06610298,-0.13584471,-0.071235955,-0.03154829
1968-06-01,0.011301041,-0.032701343,-0.011165112,-0.2645042,-0.032961726,-0.103521764
1968-07-01,0.012751669,-0.049253404,-0.014512718,-0.4533834,-0.05022049,-0.11895788
1968-08-01,0.019521266,-0.037127614,-0.037164807,-0.2666244,-0.028684229,-0.086077034
1968-09-01,0.013681531,-0.046984434,-0.03991729,-0.25375468,-0.12918669,-0.093776464
1968-10-01,0.019818813,-0.024815887,-0.06491274,-0.18062818,-0.09645456,0.0899325
1968-11-01,0.0268116,0.025137782,-0.020389616,0.025584131,-0.105902255,0.19047216
1968-12-01,0.025472552,0.042508125,-0.0868209,0.23480928,-0.22306836,0.4821971
1969-01-01,0.029110372,0.052791476,-0.021256566,0.20883214,-0.26392418,0.5187745
1969-02-01,0.019943476,0.048615456,0.0053783655,0.27177805,-0.3322175,0.49529713
1969-03-01,0.022438943,0.057374895,-0.13232857,0.13610822,-0.09739256,0.13962221
1969-04-01,0.03904116,0.016684175,-0.045497835,-0.04213667,-0.14022225,0.04112917
1969-05-01,0.022082448,-0.08471173,-0.072336435,-0.13976389,-0.0788551,-0.06245655
1969-06-01,0.009707153,-0.009441435,-0.008728445,-0.25638705,-0.07391518,-0.08354038
1969-07-01,0.019230485,-0.057058275,-0.010052562,-0.3418427,-0.033988297,-0.08746177
1969-08-01,0.017295301,-0.039895892,-0.05741477,-0.23397905,-0.028640985,-0.09041554
1969-09-01,0.018568456,-0.014381409,-0.026043713,-0.21742779,-0.08084124,-0.03633094
1969-10-01,0.026003838,-0.05899352,-0.08191073,-0.0007328987,-0.047382176,0.07606518
