,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6
1968-05-01,28.97879,20.78061,28.240326,27.738281,30.095123,29.692505
1968-06-01,28.548462,24.016357,29.117767,29.723175,29.905182,28.446075
1968-07-01,28.101837,25.924072,29.164246,31.319763,29.248352,26.414215
1968-08-01,28.086487,27.54242,27.16159,31.841095,28.470306,25.486816
1968-09-01,27.98758,25.87857,27.490479,32.60971,29.235962,25.496704
1968-10-01,28.337769,22.82779,28.156738,31.472107,29.137543,27.301544
1968-11-01,28.286316,19.372437,27.111633,28.58902,27.889648,27.307983
1968-12-01,28.261108,15.558014,26.236664,24.747375,26.913269,26.74411
1969-01-01,28.298523,13.979462,24.400085,22.066559,26.090607,26.208038
1969-02-01,28.577972,11.589539,23.646332,20.199646,26.697723,25.832703
1969-03-01,29.268127,10.829651,25.596832,22.17218,27.906769,27.08075
1969-04-01,30.225952,11.832581,28.428253,24.218048,29.21225,30.005463
1969-05-01,30.078278,18.90802,29.414764,27.868317,30.302856,30.90738
1969-06-01,29.173279,23.816559,29.347107,30.282349,30.15622,28.406189
1969-07-01,28.865112,25.299957,28.48056,31.883667,28.723602,26.16394
1969-08-01,28.466187,26.194702,26.850525,33.649567,28.462097,24.87796
1969-09-01,28.389801,24.59082,27.248932,33.11786,29.44809,26.052673
1969-10-01,29.01587,20.638031,27.999573,31.640106,29.449646,27.94165
1969-11-01,28.939453,17.81842,28.092896,28.222626,28.539001,27.744232
1969-12-01,28.39029,14.625519,26.125488,24.568787,27.324799,26.587463
1970-01-01,28.217773,12.191467,25.295074,22.022675,26.456299,26.778656
1970-02-01,28.646027,10.360779,24.529022,21.532959,26.771423,26.546722
1970-03-01,29.285522,10.718231,25.407684,21.768005,28.663574,27.772003
1970-04-01,30.035553,13.312927,27.936768,24.830688,29.34491,29.780884
1970-05-01,29.854767,18.466156,28.84076,27.519897,29.881104,30.071198
1970-06-01,28.759125,22.770142,29.529846,29.577362,29.980804,27.924377
1970-07-01,28.638794,26.284302,28.83612,32.03827,29.34906,26.070435
1970-08-01,28.555084,27.945557,28.222961,33.85965,29.103699,25.16748
1970-09-01,28.300964,24.661255,28.01477,34.289948,29.201843,25.669586
1970-10-01,28.161469,21.427063,28.046295,31.299072,29.53656,27.277649
1970-11-01,28.20279,19.671783,27.118011,28.579895,28.539612,27.501831
1970-12-01,28.09433,17.427338,25.996582,25.572998,27.338593,26.392242
1971-01-01,28.170013,13.9982605,24.291077,22.248322,26.544312,25.967163
1971-02-01,28.045013,10.9296875,24.384949,21.25116,26.848724,25.6875
1971-03-01,28.90976,10.925232,25.268951,22.3768,27.547424,26.674286
1971-04-01,29.790771,13.151306,27.230194,24.914185,28.475403,28.596466
1971-05-01,29.454285,19.014221,29.115814,28.603882,29.260101,29.606964
1971-06-01,29.0318,23.712433,29.720123,30.490967,29.427612,27.355194
1971-07-01,28.487762,26.095154,28.521362,31.76239,28.387451,25.498749
1971-08-01,28.012878,27.166443,28.14679,33.9252,28.44873,25.045135
1971-09-01,28.450195,25.729492,27.666992,32.847504,29.308502,26.159882
1971-10-01,27.993622,21.727997,27.665527,30.838348,28.936432,26.985107
1971-11-01,28.199677,18.787903,27.040436,27.761383,27.946198,26.733093
1971-12-01,28.022278,15.207916,25.64154,24.410156,26.931732,26.408936
1972-01-01,28.138702,11.240051,24.285065,20.929718,26.341492,25.867065
1972-02-01,28.252045,9.493042,23.717865,19.102356,26.046875,26.148285
1972-03-01,28.907257,9.324219,25.099976,20.232422,27.256836,26.970856
