,zgv500_cluster1,zgv500_cluster2,zgv500_cluster3,zgv500_cluster4,zgv500_cluster5,zgv500_cluster6,zgv500_cluster7
1965-01-01,-0.20604424,-0.2393057,-0.013098526,-0.0298764,0.52335244,0.0052982806,-0.053424336
1965-02-01,-0.20501404,-0.32967082,0.030170774,0.10699582,0.36720031,0.15938994,0.110380866
1965-03-01,0.32775754,-0.09007077,-0.05386586,-0.10625999,0.4087035,0.00029435157,0.18028872
1965-04-01,-0.01898551,-0.66375685,-0.037087977,0.05828104,0.8824582,-0.07005505,0.20781036
1965-05-01,-0.6138647,-0.26579708,0.017513752,0.02384224,0.25991014,-0.0085361,0.026197052
1965-06-01,-0.042827796,-0.30891922,0.07903268,0.17837544,0.21355014,-0.30126613,0.086980104
1965-07-01,0.38957083,-0.35616225,0.040178634,0.10375805,0.5439569,-0.2144332,-0.07932703
1965-08-01,0.21045947,-0.08021011,0.006475687,-0.06151886,0.14555559,0.44240648,0.17381303
1965-09-01,-0.04694867,-0.20781036,-0.008241773,0.17293,0.047537327,0.11715089,0.14025727
1965-10-01,0.002060437,0.15732947,0.050922345,0.048420407,0.4759623,0.13731377,0.0016189099
1965-11-01,0.022223353,-0.20427819,0.08212336,0.31009665,0.56559145,0.08271208,0.0519526
1965-12-01,-0.40472978,-0.5510212,-0.061813258,0.1811718,0.30685878,0.15453324,0.03958993
1966-01-01,0.13352752,0.12412415,-0.11110415,-0.03312874,0.32839376,-0.08303876,0.05757742
1966-02-01,-0.24376369,0.050633408,-0.003327322,-0.12745151,0.30278772,0.19023705,-0.15696356
1966-03-01,-0.14437751,-0.2949757,-0.020687342,0.0034719468,0.31884575,0.28528306,-0.07262273
1966-04-01,-0.57548475,-0.02994604,-0.0510674,-0.04267671,0.4648146,-0.012875366,-0.12687282
1966-05-01,-0.45772594,-0.13092351,0.01953001,-0.11935017,0.24246165,0.12846418,-0.084485434
1966-06-01,0.001012659,-0.051790714,-0.024738025,-0.3628245,0.0545393,0.26662102,-0.013164711
1966-07-01,0.14567955,-0.02705269,-0.03804741,-0.089548804,0.21931496,0.26025566,-0.22915232
1966-08-01,-0.04079604,-0.14423287,-0.05974741,0.030380059,0.08318345,0.18893495,0.3613778
1966-09-01,-0.054250073,0.028354693,-0.07783079,0.055262707,0.19674695,-0.03269472,0.05381608
1966-10-01,0.07985611,-0.21555364,-0.0075226785,0.023002004,0.062640764,-0.07898812,-0.09721613
1966-11-01,0.03255,0.0017360687,0.024738025,-0.47074595,0.17678294,-0.04412341,-0.32217312
1966-12-01,0.09374414,-0.07508211,0.076239444,0.24159364,0.28716373,-0.18387155,-0.252299
1967-01-01,0.075603746,0.11024161,-0.062448047,-0.0776021,0.19233996,0.010824323,-0.09508753
1967-02-01,-0.25462145,-0.34704456,-0.05112412,0.14821003,-0.45062503,-0.15403847,0.36253172
1967-03-01,-0.0527894,-0.3565367,0.060949277,0.25878468,0.1410493,-0.011823511,0.08093266
1967-04-01,0.26927596,-0.83264047,0.033971727,-0.08909254,0.39100796,0.36836016,0.062114976
1967-05-01,-0.3696924,-0.024146581,0.022814345,-0.2977523,0.19350567,0.3530396,0.06677775
1967-06-01,0.030974198,-0.27893457,-0.050458014,-0.44796067,0.23080793,0.5400506,0.14138237
1967-07-01,-0.19084121,-0.28076634,-0.07227318,0.19533749,0.3017489,0.15070792,-0.21532083
1967-08-01,-0.010657799,-0.21981707,-0.053622056,0.07243967,0.245962,0.34088308,0.1776855
1967-09-01,0.10074954,0.010990858,0.017985035,-0.020149898,0.42864332,-0.1795173,-0.08359711
1967-10-01,-0.15337239,-0.34171566,0.25029173,-0.085928485,0.46594563,-0.042631198,-0.15137406
1967-11-01,-0.07260623,-0.041298974,-0.09675284,0.08875946,0.46677828,-0.20149903,0.10174868
1967-12-01,-0.34071654,-0.2809329,-0.041298974,0.2298088,0.40466332,-0.32223192,-0.009658647
1968-01-01,0.004105377,-0.1802117,0.13703449,0.006653595,0.48953018,-0.018686485,-0.20937395
1968-02-01,-0.02689724,-0.28596038,-0.045866918,0.23966876,0.09159227,0.09173374,0.09456511
1968-03-01,-0.17780504,0.06370411,-0.052520443,0.16194983,0.17497377,-0.15246496,0.023499703
1968-04-01,-0.3595739,0.17256717,0.18516642,0.45881066,-0.45796126,-0.4316303,-0.023641277
1968-05-01,0.07078226,0.14425425,0.06625221,0.19097051,0.23896094,-0.25651494,-0.20286195
1968-06-01,-0.43375373,-0.554933,-0.036665212,0.32262564,0.44861802,-0.21503648,-0.15600415
1968-07-01,0.19422653,-0.23896094,-0.05152948,-0.21362086,0.025340056,0.19082901,-0.0077860355
1968-08-01,0.008493853,-0.23542175,-0.16379018,0.31922808,-0.20880768,0.103766724,0.16747084
1968-09-01,-0.32064372,0.012174606,-0.10107708,0.2307502,-0.0239244,-0.16633835,0.041903116
1968-10-01,0.046433173,-0.13859168,0.050821673,0.19719937,0.24561444,0.20951548,0.2992674
1968-11-01,-0.20555182,0.16039261,-0.062288392,-0.044309713,-0.003114426,-0.16534738,0.15473002
1968-12-01,0.01755401,0.06611063,-0.050963234,-0.14552835,0.08069178,0.06441188,-0.19337714
1969-01-01,-0.15126322,-0.02240939,-0.079795524,-0.009841966,0.07116489,0.018472577,0.18775417
1969-02-01,0.023923516,-0.056629084,-0.09887376,-0.056477666,-0.14429817,-0.11522655,0.1271883
1969-03-01,-0.0021198033,-0.43667984,0.03331121,0.082066774,-0.048452687,0.054963518,0.07964411
1969-04-01,-0.1527774,-0.22924176,0.007419312,-0.01922965,0.43183455,0.1592882,0.35370463
1969-05-01,-0.08312664,-0.4910377,-0.050572492,0.2425663,0.48876643,0.033765472,0.18851121
1969-06-01,0.037702225,0.0062079905,0.05481211,-0.36748338,0.10190207,0.3382603,-0.13112506
1969-07-01,0.24907708,0.009993362,-0.010144782,-0.07661581,0.013475942,0.21758282,0.020592403
1969-08-01,0.37444845,-0.23862949,-0.021349479,-0.109927036,-0.014687252,0.48876643,-0.07934127
1969-09-01,0.11007844,0.09947948,-0.10659591,0.1767009,0.44031382,-0.16807024,0.07570734
1969-10-01,0.09069736,0.1850287,0.031645656,-0.1906311,0.24665447,-0.055417754,0.05208664
1969-11-01,0.038307905,-0.06253425,0.06541113,0.11810342,0.3626381,-0.089940295,0.2233366
1969-12-01,0.013324475,0.110532716,-0.26436996,0.008327818,0.14323826,-0.19532488,-0.03906498
1970-01-01,0.07163765,-0.27188253,0.08316253,0.0022264482,0.5148219,0.20810278,0.19199413
1970-02-01,-0.2687394,-0.21268654,0.032479215,0.04780207,0.7231866,0.1506093,-0.23272412
1970-03-01,-0.39289388,-0.14890675,-0.06666098,-0.35583085,0.5890788,-0.019251775,0.030514766
1970-04-01,-0.16645603,0.0019644736,-0.08525796,0.3528187,0.06181531,-0.33304304,0.03483658
1970-05-01,0.011132002,-0.6605855,-0.009822344,0.22944991,0.28366935,0.21255557,-0.31627956
1970-06-01,0.1236306,-0.114463046,-0.040468074,-0.095342256,0.110141255,0.49779645,0.033134032
1970-07-01,-0.055267073,-0.2642866,0.0092985155,0.0018334389,0.0214782,0.1791596,-0.04112289
1970-08-01,0.24791603,-0.13646513,0.11472499,-0.35858107,0.20561448,0.40913343,0.10830774
1970-09-01,0.11970167,-0.25747642,-0.006548238,-0.16789663,-0.040468074,0.20535251,0.12585698
1970-10-01,-0.34731814,0.22696164,0.078578785,0.12258287,-0.11983261,-0.21700835,0.115248874
1970-11-01,-0.22290178,0.039027404,-0.09599707,0.14052506,0.012310672,0.03680105,0.32308972
1970-12-01,0.09848539,-0.05683863,-0.015060937,-0.110926986,0.3285902,0.07726912,0.078578785
1971-01-01,-0.024328947,-0.32131484,-0.015259576,0.022457505,0.65904075,0.03454999,-0.068956
1971-02-01,-0.71878344,-0.1322976,-0.11473471,0.16512005,0.3925741,-0.060750388,-0.08104849
1971-03-01,-0.030663108,0.10580931,-0.018570613,0.0110848425,0.49521628,-0.060462452,0.01137271
1971-04-01,-0.13071409,0.23983438,-0.051105164,0.25840503,-0.106529094,-0.16943884,0.11156762
1971-05-01,0.11415889,-0.062477876,0.07903308,-0.13748007,-0.16756737,-0.109984085,0.06348558
1971-06-01,0.48096448,-0.23652336,0.075722024,-0.16699152,-0.0761539,0.04765017,-0.09198932
1971-07-01,-0.019002486,-0.23335628,0.11675012,-0.10840054,0.17102239,0.26805025,0.04865787
1971-08-01,-0.0640614,-0.110271975,0.07212309,0.13316135,-0.13373716,0.45375633,0.12740302
