,vws500-250_cluster1,vws500-250_cluster2,vws500-250_cluster3,vws500-250_cluster4,vws500-250_cluster5,vws500-250_cluster6,vws500-250_cluster7,vws500-250_cluster8,vws500-250_cluster9,vws500-250_cluster10
1965-01-01,23.68973694251408,56.61244898911347,66.36335148588891,47.68551713774796,9.569677834711735,32.13397386933121,298.12678744072343,85.9790257491159,20.93617252807577,38.21324153702018
1965-02-01,12.617216484942364,84.1701373987107,99.99476771216682,55.88218949681424,7.0805353665657735,36.09905678499819,311.2610151819044,74.63029882360354,15.947968996526532,29.606204908527317
1965-03-01,15.71750416477508,67.71931368146788,71.6486424875628,53.84028360557828,7.014508303542553,26.10863546776204,254.55000542358715,58.18273115786276,22.98357574734968,34.15638867132809
1965-04-01,11.45575481531139,53.03698818344774,53.998371470103194,40.36176280486045,4.045356997758481,23.12631741802304,207.93485644882867,61.192607236884214,8.26994882854123,22.710010077241986
1965-05-01,7.441611308627285,41.844764534122234,47.32350923013906,26.237363156051472,11.745617470540754,24.939079882124794,185.39005938430935,83.15157062945379,32.31005554598229,13.848378386198076
1965-06-01,24.560165903042677,22.11336120721671,61.797118205644374,12.785889914024086,27.704010799159207,44.83826939314633,111.52971678072102,108.53775478574937,54.21985569036238,16.0558570826723
1965-07-01,30.57744418379268,10.11047249962457,35.67212060665478,19.333764136522085,27.0337244201543,43.866385614516744,42.68096242686017,74.54744656790854,58.52782899634547,28.841173895034135
1965-08-01,23.16012208448769,14.685866514536654,40.44452385166849,15.058621387493176,18.717897872636552,38.02917744464557,52.063616871245266,76.09921174804073,46.60730417605101,24.6447858911315
1965-09-01,18.228767832415755,33.248457976543804,63.683619092881905,14.518761879838914,16.18738259588044,39.905016908272614,125.4876385945646,97.3318157262899,25.389074556185548,12.239943188543393
1965-10-01,5.868791069949546,46.37780856822079,75.51831735134094,27.977256331798273,7.947758235757369,35.184266324368494,211.6416980621972,75.15718716447381,7.703784168035535,16.0824020876935
1965-11-01,14.812750347753203,52.06320161849184,65.3064634083153,40.397175536505195,4.303287834750059,30.706449498695047,259.38437676700937,72.72267237292843,15.383956080752922,29.148109352469994
1965-12-01,10.474457391152695,64.90485680433268,79.74860377918438,42.62717288974163,7.1441826743003345,32.96403859619881,367.93645065970196,120.35772229959221,10.120645592688623,23.63274970563234
1966-01-01,21.984537579390803,56.356079147087705,51.56519498090486,55.652637543450595,8.272842059085319,32.44076933946997,296.2062992338381,92.38433205216617,21.533381675992008,40.940357520019674
1966-02-01,11.96135800956078,73.27486347481194,78.4041483248936,51.41499421978178,5.611637791912742,32.9348410185016,304.9086743856086,81.4386097160731,13.856728517523944,30.337269201901282
1966-03-01,13.059996038690201,64.3958457470748,83.14688121942335,44.3835134338064,5.447845081578573,36.68738275888211,279.86947659681437,92.02754722395318,11.902577469694489,27.99650868479864
1966-04-01,15.789911224922646,43.74396252114613,39.58415882261913,50.004370502252314,4.679335564029924,25.58362188266216,170.71981398321964,59.6124656277921,8.46690617558156,38.02393811921256
1966-05-01,8.533279232957737,41.81570858542603,45.878162403220166,29.509933111630517,8.911732761217666,35.69171028037086,219.26734705503802,89.08745562381355,15.148577701038153,15.644410352795047
1966-06-01,21.42747443087685,19.004504250594437,39.35973791120075,12.093586793141826,19.67281926974908,41.46268348681293,134.64052991599456,90.14122707594153,42.85966074524779,14.179147717055134
1966-07-01,25.93681408682688,12.462460745494097,30.102243643237177,19.89804124582832,22.967514489085126,46.57459546783024,50.51318066233767,76.46567140870715,48.89928572447209,28.033361984824687
1966-08-01,25.18254502613656,15.405716099699525,40.140166065574284,21.47407451796869,20.130665249932,46.69378172991314,46.825886684082434,61.166237374670345,39.37416384322164,27.935668579222412
1966-09-01,15.550165193899094,21.745307694509147,47.69412819976303,12.058540727724449,16.418018835511216,40.507141169965436,97.73610416154827,70.60277409227055,28.81368658990535,10.942273599698321
1966-10-01,5.21858198338276,61.75751927812925,57.76284530383036,36.632007681436605,8.18032516300113,28.32377950778146,267.77434809805635,77.5990693433146,13.750884755185673,13.073530658073658
