,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10,ssta30_cluster11
1965-01-01,1.5463838632079376,-141.4262580871582,-19.643382728099823,-6.183101534843445,-29.997384106671365,-242.43855476379395,-90.78612923622131,-53.6732816696167,-0.014991064866383871,-17.436548641749788,4.685485459924713
1965-02-01,1.2753937436246323,-164.91737365722656,-23.16184639930725,-7.601038217544556,-36.17074048077618,-264.50352668762207,-100.03762245178223,-62.447829246520996,-0.677049822277493,-20.631938321249823,4.242835975274807
1965-03-01,1.2200039008568073,-174.74300384521484,-25.113266706466675,-7.780383229255676,-37.32348901254159,-267.4154281616211,-108.33855867385864,-65.18404960632324,-0.6973648355120704,-21.237461907523016,3.9976420441294103
1965-04-01,2.055096215215223,-156.2332820892334,-23.313304781913757,-5.260153412818909,-37.03258302476671,-238.8072967529297,-107.044517993927,-65.46507835388184,0.30851709464239696,-18.06925364903041,4.571006356216059
1965-05-01,2.8573808998897157,-119.55888748168945,-15.846022963523865,-1.0275182873010635,-28.973796632554794,-179.9785614013672,-94.29453015327454,-54.121665954589844,2.0615592835441467,-9.561769451413834,4.716488404002616
1965-06-01,3.3412423627129915,-69.41059112548828,-6.419391185045242,3.926142454147339,-17.672302104808665,-102.53820419311523,-80.27040958404541,-41.57580375671387,3.5692828042166576,0.31093563884496683,5.158730638705618
1965-07-01,3.577424739969188,-32.92865514755249,3.600986674427986,7.774981260299683,-5.947015903614185,-50.47808885574341,-59.0520977973938,-25.50457000732422,4.880006351168194,9.855513061795914,5.2034064037043875
1965-08-01,4.151506807612277,0.6693882495164871,7.120780646800995,8.29815924167633,1.42862719518167,-18.278884887695312,-37.39962875843048,-10.939894914627075,5.755323077005054,11.284878424235751,5.397701263427734
1965-09-01,3.8950700869505432,-24.8000168800354,4.795180633664131,6.772264242172241,1.0544213983747694,-45.54637670516968,-39.24626111984253,-13.134890794754028,5.217177148849245,8.383893115179879,5.439985089185761
1965-10-01,3.6893345843786483,-54.65761184692383,-2.181893400847912,3.3058536052703857,-6.759787047350848,-90.06755352020264,-50.65789818763733,-21.35550022125244,3.9751374532306003,1.8400056021554128,5.540797768569575
1965-11-01,3.318649050833165,-77.39131927490234,-7.128146290779114,1.368643194437027,-15.56616359286838,-151.23436450958252,-69.166499376297,-34.75626468658447,3.033934888385591,-2.5339360748018533,5.7498658575662756
1965-12-01,2.269360388832531,-113.87604713439941,-13.301309943199158,-2.054731994867325,-23.819252296730323,-206.59067630767822,-83.13415050506592,-45.25002479553223,1.1807791770450653,-8.75511850629534,5.015531788027383
1966-01-01,1.6407799446719817,-146.51748657226562,-19.122539460659027,-4.931690692901611,-31.635475158691403,-259.22322273254395,-96.2514579296112,-56.394500732421875,0.10944531550483098,-14.982298442295617,4.600331647609307
1966-02-01,1.206060387622351,-160.60552597045898,-21.86935395002365,-6.202109456062317,-35.49122986970124,-275.98421573638916,-105.24153709411621,-63.29417705535889,-0.42530927393171525,-16.891072477613175,4.324322018196912
1966-03-01,1.5083699390806,-161.80532455444336,-21.320299804210663,-5.4521578550338745,-35.56854106761791,-269.5840120315552,-100.48853158950806,-61.17846965789795,-0.16037384195933266,-15.96158913203648,4.228538420142197
1966-04-01,2.077602792060238,-151.35491371154785,-20.35229206085205,-3.8861024379730225,-35.04263559977213,-245.30882835388184,-103.67144346237183,-62.8635835647583,0.781096825523982,-14.461997577122279,4.622470460286954
1966-05-01,2.9498467500182404,-112.86078453063965,-14.799700677394867,-0.8848429471254349,-26.47920008058901,-182.16911554336548,-90.75151681900024,-51.03200435638428,2.0697164157080272,-8.071244614464895,5.366349607948365
1966-06-01,3.7938339956875504,-72.54545211791992,-7.344415038824081,4.157914221286774,-17.758989334106445,-115.94372987747192,-75.90177655220032,-39.850168228149414,4.395946245344859,0.3955142572522163,5.650815537305382
1966-07-01,4.122182418560159,-35.00419855117798,3.913290798664093,8.197571039199829,-3.2989323139190674,-64.3227219581604,-56.280773878097534,-22.503445148468018,5.544707510206434,9.915936844689504,5.890821635238524
1966-08-01,4.470161733956172,3.1301987171173096,7.684501260519028,9.106279611587524,4.633540577358669,-12.488213181495667,-28.76412868499756,-4.973189532756805,6.067757757883223,11.85024721281869,6.16459536358593
1966-09-01,4.222999770065834,-12.140833139419556,6.541253626346588,7.742139101028442,3.645191148475364,-35.3656530380249,-27.91917324066162,-6.349058747291565,5.695740381876628,9.928783348628452,6.095852115289952
1966-10-01,4.293541798646423,-45.14199733734131,1.201951690018177,5.321520566940308,-3.478570779164632,-84.17124152183533,-43.1428998708725,-17.370259761810303,5.169988056970021,5.332575099808829,6.189140459386314
1966-11-01,3.6630030336051154,-79.91820812225342,-6.8040721118450165,1.261751651763916,-14.29314613342285,-147.06299304962158,-58.982086181640625,-31.21981143951416,3.7387908451140874,-2.9451693807329447,5.907955208444983
1966-12-01,2.8228436393299323,-119.58820343017578,-13.90068382024765,-2.7003154158592224,-23.442628648546005,-212.88604736328125,-78.29079031944275,-44.14924144744873,1.8820781556386796,-10.538422209875923,5.433237843397187
