,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta20_cluster9,ssta20_cluster10,ssta20_cluster11
1965-01-01,0.8741455,-13.845764,-6.7929077,-3.2597656,-8.880585,-20.942474,-15.915955,-11.565491,-0.766449,-4.9248047,1.3262024
1965-02-01,0.4298401,-16.225494,-7.9177856,-4.036865,-10.459015,-22.829773,-18.581116,-14.186249,-1.3893738,-6.1055603,1.1114197
1965-03-01,-0.31063843,-17.354675,-8.8558655,-4.42807,-10.517914,-23.459991,-20.100983,-15.354828,-1.1643677,-6.754242,1.1922302
1965-04-01,0.43722534,-17.223541,-8.338013,-4.0828857,-10.807892,-20.51471,-20.01773,-15.35144,-1.2228394,-6.7792664,1.2550354
1965-05-01,1.3855896,-13.767395,-5.9835815,-2.6130981,-9.516754,-15.976807,-17.457214,-12.985535,-0.5753479,-4.387909,1.3272095
1965-06-01,2.1510315,-8.644012,-3.3186035,-0.22802734,-5.9231873,-9.583557,-14.092194,-9.257233,0.5912781,-1.2394104,1.8581238
1965-07-01,2.3908997,-5.4193726,-0.09793091,1.8814392,-2.50943,-5.446808,-10.747772,-6.2591248,1.7502136,1.8001099,1.978241
1965-08-01,2.6020508,-1.8442078,0.9584656,2.6419678,-1.0423584,-2.635559,-6.981018,-3.574585,2.848053,2.482788,2.0826416
1965-09-01,2.2325745,-4.1810913,0.809021,1.9132385,-1.2926025,-5.100189,-6.9588013,-3.3777466,2.2854614,1.622345,2.2435608
1965-10-01,2.200409,-6.5858154,-1.79776,0.6541443,-2.5497131,-9.183411,-8.520294,-5.8707886,1.5627441,0.18362427,1.8182068
1965-11-01,2.015747,-9.994293,-3.282257,-0.8173828,-5.1748047,-13.112305,-12.083954,-9.1475525,0.6630554,-1.6556396,1.7233276
1965-12-01,1.2414551,-12.9071045,-5.198639,-1.760315,-7.565216,-17.515533,-14.186951,-10.112915,-0.42956543,-3.0366516,1.8197632
1966-01-01,0.5675354,-15.356537,-6.7482605,-2.9297485,-9.289886,-22.243164,-16.566345,-12.599579,-0.9307251,-4.7078857,1.546875
1966-02-01,-0.24404907,-17.190338,-7.682373,-3.740326,-10.688477,-23.402222,-18.120758,-14.872101,-1.373169,-5.323303,1.1366882
1966-03-01,-0.3838501,-17.54596,-7.3466187,-3.8518677,-10.724884,-23.056885,-17.991241,-14.160126,-1.4746399,-5.6602783,0.79974365
