,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8,zgu250_cluster9,zgu250_cluster10,zgu250_cluster11
1968-04-01,0.63235015,-0.00948143,0.10356865,-0.05360756,-0.5998939,0.23448715,0.4591282,-0.75634,-0.1899971,-0.3555603,-0.33294982
1968-05-01,0.13237782,0.16446915,-0.13310699,0.052513503,-0.21625367,0.101744846,0.38765258,-0.3329502,0.16264573,0.16374016,-0.2986702
1968-06-01,0.32966805,-0.6965332,0.22901765,0.1174263,-0.03318596,1.215469,0.71112025,-0.45037612,0.014221954,0.29538804,-0.24032211
1968-07-01,0.40989724,0.1280014,0.11414413,-0.14878769,0.18635026,0.1779625,-0.16519889,-0.7636337,-0.41135558,0.19182053,-0.34680787
1968-08-01,0.09299316,0.1524353,0.079135135,0.014587402,0.11159134,-0.037926484,-0.16118737,-0.12946053,-0.47553903,0.33915025,0.24980393
1968-09-01,0.11779098,0.114873126,-0.13201293,-0.2104187,0.11596718,-0.873037,-0.23412247,-0.37452355,-0.43797722,0.13274232,-0.37671128
1968-10-01,0.05579567,-0.17504501,0.21114807,0.20385513,0.033550262,0.8037491,-0.08460541,-0.85808486,-0.55212134,-0.36795884,-0.57436675
1968-11-01,0.035373688,-0.42302552,0.25418013,0.16957474,0.03209152,1.175354,0.30268174,-0.057619475,-0.17869262,-0.02260971,0.312529
1968-12-01,0.5116417,0.079135135,0.2454277,-0.11305008,-0.41974336,-0.32711488,0.50726545,-1.084185,-0.2508976,0.30705795,-0.6020821
1969-01-01,0.48863488,-0.24448356,0.44385186,0.028528595,-0.52379835,0.037153624,1.445005,-0.83396375,-1.4360489,0.047768783,-0.5032303
1969-02-01,0.3838089,-0.32907408,0.22822876,-0.038812257,-0.5496727,0.27599794,1.1222343,-1.0217216,-0.792498,0.08425903,-0.4810051
1969-03-01,0.19804153,-0.19770965,0.64985466,-0.23121414,-0.66942674,0.41764528,0.6943062,-0.24547882,-0.20998383,0.17581634,0.019571686
1969-04-01,0.32111245,0.2919201,0.30452615,-0.21595459,-0.81837255,0.08558579,0.36556357,-0.19638291,-0.35992432,-0.24050292,-0.1207489
1969-05-01,0.39906844,-0.3552803,0.03284111,0.24912758,-0.13269119,0.24647446,0.3221077,-0.5188221,-0.28064194,0.1399891,-0.30651626
1969-06-01,-0.16951294,-0.16453704,-0.007629776,0.21827698,0.3131508,-0.014264298,0.22657013,-0.36556396,0.35461655,0.12307091,-0.70425797
1969-07-01,0.22192574,0.19041176,-0.066013716,0.20003204,0.30950204,-0.24182968,-0.27334365,-0.06203308,-0.37551576,0.32044905,-0.059710883
1969-08-01,0.31149215,-0.074970245,-0.18974838,0.116104886,0.16420516,0.13965759,-0.20500775,0.077292636,-0.99385643,0.4209625,0.25742072
1969-09-01,0.30419427,0.2517807,-0.06501885,-0.23784904,-0.7842041,-0.25244445,-0.12141247,0.27798766,-0.67174876,0.43390045,-0.0086250305
1969-10-01,0.29955024,-0.74207497,0.06203308,-0.0066345213,-0.12672004,0.66411895,-0.047437288,-0.42693368,0.06070633,0.008956909,0.0832634
1969-11-01,0.37087172,-0.53938925,-0.0617012,-0.09222031,0.5131828,0.8220215,0.9384575,-0.4902939,-1.3066757,0.010947418,-0.54801404
1969-12-01,0.5211441,-0.7832092,0.0898983,-0.17946473,-0.1486145,1.0854126,1.1497681,-0.7089027,-0.43124694,0.04113388,-0.3370346
1970-01-01,0.20666504,-0.37439346,0.3124939,-0.064561844,-0.101168826,0.8359779,1.1138611,0.22397156,-0.5727379,0.101169586,0.5787293
1970-02-01,0.25159225,-0.33945006,0.27255782,-0.4179886,-0.18203887,0.5198242,1.1914024,-0.2509262,-0.3966919,-0.046923827,0.2509262
1970-03-01,0.12313385,-0.10782547,0.49785995,-0.24660034,-0.38670653,-0.052913666,1.0789177,-0.053912353,-0.3647415,-0.12513046,-0.013977051
1970-04-01,0.31182784,-0.28587,0.12246819,-0.0049919127,-0.7241596,0.51949155,0.33645478,-0.3687355,-0.6106766,-0.013644409,0.33778533
1970-05-01,-0.022297096,-0.16506577,0.19135666,0.41133308,-0.09684334,0.22563401,0.41998595,-0.42564353,-0.26490363,0.1740509,-0.5437851
1970-06-01,0.3474369,0.2862026,-0.13045502,0.29618606,-0.59204024,0.107824706,0.26523668,-0.097508624,-0.39336243,0.11448135,0.72715455
1970-07-01,0.570409,-0.35376015,-0.17105599,-0.011980439,-1.0845757,-0.16772804,-0.15142098,-0.013644409,-0.4562603,0.23694916,-0.4835493
1970-08-01,-0.003327942,0.008319855,0.35009918,0.14077148,-0.2109913,-0.15241966,-0.3803833,-0.57174,0.017305374,0.2881996,-0.22397003
1970-09-01,0.22829667,0.47622794,0.053912353,0.08186722,-0.26590234,-0.8163433,-0.37006682,-0.17072335,0.11181869,0.4602539,-0.208329
1970-10-01,0.56441844,-0.28653565,0.24427071,-0.019301604,-0.57174,-0.39136505,0.18969193,-1.3152015,-0.29452285,0.28520432,-0.8972126
1970-11-01,0.48221818,-0.20300427,0.041931916,-0.3101639,-1.2802584,-0.42098388,0.24061051,-1.2978966,-1.2190243,0.47722664,-0.6502792
1970-12-01,0.340448,-0.079870604,0.21964379,0.18270417,-1.1115315,0.1381096,1.031662,-0.64528656,-1.2250137,0.21032563,-0.26889953
1971-01-01,-0.1182373,-0.20315857,0.057811737,0.07283668,-0.14763336,0.8286392,0.3008194,-0.062057495,-1.0494354,-0.023190308,0.43081436
1971-02-01,0.09308739,-0.056832124,-0.0065322877,-0.088841245,-0.12966919,0.3409935,1.1510162,-0.36516267,-0.08524857,0.21491699,0.10778503
1971-03-01,0.259338,-0.19989243,0.71954805,-0.30179825,-0.79924315,0.4380005,0.89135057,-0.33968657,-0.9501427,0.13424149,0.20217896
1971-04-01,0.7639683,-0.1306488,0.5451317,0.0029396056,-1.3231447,0.29232636,0.42003554,-0.813615,-0.35307807,0.232555,-0.3746353
1971-05-01,0.5578701,-0.010778618,0.21034431,0.06597748,-0.2044651,0.42428207,0.035274886,-0.017310714,0.14371414,0.13097534,0.11333771
1971-06-01,0.24823265,0.309964,0.2266758,0.13914032,-0.034295272,-0.19956589,-0.01600418,-0.5679954,-0.44910508,0.12052345,-0.2786087
1971-07-01,0.4523712,0.3142105,0.27599525,0.007186127,-0.32270202,-0.16951676,0.18552132,-0.39488602,0.026129723,0.25574493,-0.24855919
1971-08-01,0.025149917,0.044747163,-0.23549423,0.17180328,0.17604943,-0.1277092,-0.4014183,-0.031682204,-0.61600876,0.18258134,0.06467132
1971-09-01,0.36744958,-0.017310714,0.5585232,0.04736023,-0.4435524,-0.5225948,0.021230316,-0.20054588,-0.48960572,0.09374084,-0.40239793
1971-10-01,0.20152588,-0.3974987,-0.17768249,0.00391922,-0.11301117,-0.23190078,0.37496185,-0.5585232,-0.3837803,0.3831272,-0.9233597
1971-11-01,0.5350067,-0.22798195,0.32956123,0.05519905,-0.11562405,0.40729675,0.7293457,-0.7691948,-0.7071365,-0.013391495,-0.057811737
1971-12-01,0.35536462,-0.6153553,0.28154793,-0.15155259,-1.1000621,0.7894455,1.5347961,-0.6917847,-1.661525,0.24365997,-0.25411224
1972-01-01,0.3339714,-0.044184875,0.37901765,-0.3262249,-0.6794205,0.32880706,1.1760734,-0.67655104,-0.49808806,0.014345932,-0.24387893
1972-02-01,0.30527973,-0.028691864,0.3709839,0.18649597,-0.58301544,0.17042847,0.54456866,-0.42463762,-0.8736633,0.03959427,-0.35032576
1972-03-01,0.22723846,-0.11103745,0.38762474,-0.05652275,-0.29179534,0.14575425,0.8501358,-0.2863434,-0.19223404,0.16669846,0.2332634
