,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9,zgv50_cluster10,zgv50_cluster11
1967-10-01,-0.00049958227,-0.029308945,0.0016652584,-0.14787695,-0.039800216,0.00066609384,-0.037968397,-0.044962596,-0.029142415,-0.04746052,0.028143262
1967-11-01,0.038301468,-0.021981716,0.08676114,0.000832653,-0.016819334,-0.21915102,-0.14821,-0.020649493,0.2820986,-0.011990023,-0.29109114
1967-12-01,-0.16303101,0.06411332,0.2288096,-0.15903425,-0.03130729,0.58018386,0.07876778,-0.11607008,0.14154887,-0.019983375,0.527561
1968-01-01,-0.049264453,0.0072197914,0.13901636,-0.034966446,0.015572095,0.16336545,-0.0777189,0.0070782425,-0.014864254,0.0062288283,0.13193817
1968-02-01,0.15388064,0.027321959,0.33862236,-0.084514,0.030577946,0.26161128,-0.01090045,-0.21928349,0.24688855,-0.054077648,0.0069366456
1968-03-01,-0.11933889,0.0077860593,0.084514044,-0.25877994,-0.06483655,0.22324729,0.11282692,-0.020810032,0.100652315,-0.054502346,0.28199655
1968-04-01,-0.023499703,0.012457681,0.013590217,-0.1057487,-0.046716284,0.10900469,0.06129744,-0.019535923,0.06964979,0.002123475,0.07488763
1968-05-01,0.02548163,0.009484815,-0.033975493,-0.074462935,0.021517824,0.046574734,0.018828083,-0.004530072,0.06823411,0.013165498,0.08932723
1968-06-01,0.08168273,-0.0031144142,-0.055918,0.023075009,-0.0045300485,0.119055726,0.07970085,-0.017553996,-0.054927062,0.010192633,0.11735699
1968-07-01,0.025481606,0.011749864,-0.012882352,0.008918571,-0.011891413,0.035957433,0.015855217,0.028737593,-0.049547575,0.015005851,0.031993628
1968-08-01,0.03808086,-0.00014157295,-0.001840353,0.00948484,0.03255985,-0.008918571,0.008918571,-0.02123468,0.013590192,0.011749864,-0.009909535
1968-09-01,0.024773765,-0.002972865,-0.027888214,-0.053086687,-0.00424695,0.024773788,-0.0033975362,-0.007502937,0.08366463,0.007927632,-0.06327937
1968-10-01,-0.08762844,0.0025481463,-0.0151474,-0.20923238,-0.03893025,0.07856832,0.04898132,0.043601893,-0.06384561,-0.031568907,0.097962655
1968-11-01,-0.029728556,-0.00042469503,0.04954759,-0.104757786,-0.023499716,0.14708558,-0.0838062,-0.088619426,0.09725485,-0.043177176,-0.07446289
1968-12-01,-0.08210744,0.033833932,0.040629007,-0.016563058,0.011325168,0.077577375,0.06483655,-0.05747521,0.016563058,-0.024490666,0.060448073
1969-01-01,0.032705545,0.02604332,0.27345484,-0.029223025,-0.018775415,0.10447607,-0.13672742,0.023772096,0.062534235,0.009387707,0.046030093
1969-02-01,-0.020895218,0.004542446,0.23393562,-0.042850353,-0.0043910267,0.22091396,-0.0013627053,-0.19668765,0.24604878,-0.0016655445,-0.059354495
1969-03-01,-0.12688549,-0.0092363,0.16791883,-0.10159922,-0.033311225,0.38383612,0.115075156,-0.015141487,0.031191444,0.021198059,0.3040406
1969-04-01,-0.18699709,0.0043910267,0.0016655565,-0.04527297,-0.0015141487,0.058446027,0.039519213,-0.056629084,-0.054963518,0.008630633,0.21379748
1969-05-01,0.039216377,0.025286246,-0.033311225,-0.07828138,-0.02725463,0.082369566,0.038913585,0.08524646,-0.016655635,-0.022106552,0.17912354
1969-06-01,0.036188103,-0.025589073,-0.051329564,-0.07283044,-0.017866945,0.105687425,0.078432776,0.004996681,-0.096753955,0.03209989,0.085700706
1969-07-01,0.048906945,-0.018018354,-0.0961483,0.051783822,0.04936118,0.006965065,0.0489069,0.016504193,-0.031948496,0.03497678,-0.02937441
1969-08-01,0.0063594105,-0.068590835,-0.05193522,0.04406164,0.0074193003,0.013930154,0.056780506,-0.022106552,0.0013627291,0.007419324,-0.017412687
1969-09-01,-0.0072679045,0.034068298,0.01786692,0.06480546,0.008782053,-0.047089957,-0.013930154,-0.012264585,0.022560786,-0.014232969,-0.13506187
1969-10-01,-0.041638993,-0.049966834,0.047089957,-0.15156606,-0.028617358,0.110532716,-0.023772096,-0.05874889,0.1168921,-0.0021198033,-0.017412711
1969-11-01,-0.0031796456,0.028920198,0.21107201,-0.23711534,-0.033765484,0.2384781,-0.18684569,-0.130368,0.28117698,-0.056174826,0.13067083
1969-12-01,-0.14550945,0.02059238,0.212889,-0.2561936,-0.016504193,0.38095924,-0.0074193003,-0.013324452,0.17836657,-0.066471025,0.2938958
1970-01-01,-0.078709744,0.011786794,0.16842051,-0.37128466,-0.05854118,0.39839432,0.093901634,0.05552902,0.12847629,-0.004190862,-0.006679249
1970-02-01,-0.035753347,0.010084271,0.2064002,-0.010608137,-0.0022264004,0.17994538,-0.14982347,-0.11695142,0.1170824,0.060112763,0.038896464
1970-03-01,-0.048718832,0.08486507,0.19107738,0.03378887,-0.04164674,0.40088272,-0.039027404,0.01728735,0.11131992,-0.066137135,0.0010477066
1970-04-01,0.048064016,0.015060926,0.13921538,-0.041777708,-0.0322173,0.09717579,0.052385855,-0.09756861,0.2572145,0.007072079,-0.026192952
1970-05-01,0.05081427,0.011524868,0.004452801,-0.06928029,0.025407135,0.015715742,-0.0031431436,-0.041253854,0.10712906,0.010346198,-0.039289378
1970-06-01,0.045051835,0.01113199,0.047278214,0.031038607,-0.0014406085,-0.016239608,-0.017287325,0.0055005313,-0.044658937,0.009167528,-0.0010477066
1970-07-01,0.04937365,0.041384816,-0.08276965,0.035229493,0.01597768,0.064827465,0.066922925,-0.029990911,-0.0995331,0.015846705,-0.0023573637
1970-08-01,0.04334929,0.0022264004,0.05264777,0.023311686,0.041777708,-0.03077669,0.05670768,-0.006155324,0.0052385805,0.009822344,-0.07792395
1970-09-01,0.025145208,-0.0015715838,0.031169582,-0.011655843,-0.0077269077,0.013096404,-0.026585817,-0.032872103,0.14851388,0.015584802,-0.12572603
1970-10-01,-0.00026193858,0.014668035,0.0013096333,-0.037063003,-0.007988835,0.0451828,0.01584673,-0.047278214,0.052254893,0.0043218373,-0.11001029
1970-11-01,-0.055136096,-0.008774638,-0.009953308,-0.08696051,-0.005369544,0.027895546,-0.06770873,-0.03300302,0.12598796,-0.0192518,0.04989748
1970-12-01,-0.118261054,-0.03156247,0.124809265,-0.023049736,-0.056183815,0.16946821,0.004976654,0.028550338,0.004583764,0.024621343,0.16894428
1971-01-01,-0.08795849,0.0,0.17188612,-0.15979365,-0.042179774,0.19146445,0.055423927,0.015547466,-0.05787121,0.024616849,0.23321232
1971-02-01,0.050097466,-0.010221029,0.2573973,0.09774766,-0.022169566,0.014107895,-0.11516657,-0.11156764,0.28906813,-0.023321223,0.12927452
1971-03-01,-0.1271151,-0.04937768,0.13085803,-0.059022903,-0.00057582854,0.15288363,0.06996367,-0.019866277,0.15605077,0.0064781187,0.13431303
1971-04-01,-0.07672975,0.024472903,-0.020586014,-0.20312504,-0.030951023,0.13071407,0.009933114,0.0060462477,0.059454728,-0.026344359,0.25552586
1971-05-01,0.035125814,0.057439327,-0.016699146,-0.059886623,-0.0021593808,0.11934139,0.025912475,-0.032678507,-0.02907958,0.0008637548,0.09832348
1971-06-01,0.015835404,-0.013820005,-0.07169119,0.05096122,0.009645199,-0.01453979,0.04880185,0.023753095,0.017994786,0.024041032,-0.028359747
1971-07-01,0.030519139,0.0011516571,-0.074858285,0.06391744,0.030807067,-0.032822467,0.02173767,-0.017131042,-0.056143712,0.036277484,0.009213304
1971-08-01,0.04765017,0.06204599,0.01713103,0.020586038,0.017418945,-0.014683748,-0.03483789,-0.03872477,-0.048082054,0.005470419,-0.04937768
1971-09-01,0.036853302,-0.024616862,-0.027064156,-0.044771016,0.009213328,0.05268874,0.0071979044,-0.05470413,0.05139308,0.0061902045,-0.04131601
1971-10-01,-0.029223513,0.03253455,0.05470412,-0.17562905,-0.017850816,0.122076556,0.003167081,0.002159357,0.04836998,-0.005326462,0.15259568
1971-11-01,-0.035701632,-0.00690999,0.065069154,-0.082919955,-0.03426206,0.027496004,-0.07759349,-0.01381998,0.095876195,-0.01453979,-0.024328947
1971-12-01,-0.037717056,0.0,0.23997839,-0.06305368,-0.025336647,0.286189,-0.11847763,-0.13474484,0.3253456,-0.054416217,0.110415936
1972-01-01,-0.039851855,-0.022490669,0.115083836,0.0009206772,0.04669113,0.041956235,-0.028277779,-0.109296754,0.085227825,-0.061158847,-0.05589781
1972-02-01,-0.083518006,-0.024595046,0.16138041,-0.056292437,-0.058265306,0.16401091,-0.2000486,-0.013678551,0.05155754,0.013283968,0.02959299
1972-03-01,-0.043666076,0.024595046,0.1274471,0.036563776,0.05892291,0.050768424,-0.012231779,0.027883196,0.04064102,-0.032749556,0.06102729
1972-04-01,-0.02577877,0.035906147,0.028540801,-0.18373957,-0.029198408,0.14809647,-0.0018413544,0.07996688,-0.024463559,-0.049190115,0.11468925
1972-05-01,0.043534566,-0.00026304723,-0.042613886,-0.02959299,0.015914464,0.051557563,0.017492747,-0.07154925,-0.06273713,-0.015782928,0.085622355
1972-06-01,0.02604183,-0.031171298,-0.09811719,-0.054714132,0.004997921,0.081282064,0.020123243,0.04761181,-0.068129614,-0.0055240393,0.018281888
1972-07-01,0.04182477,0.019597149,0.10600865,0.071286224,0.023411334,-0.05103147,0.049453188,0.023542833,-0.11995025,-0.0074969055,-0.04550743
1972-08-01,0.054714132,0.017098164,0.038799692,-0.042219304,-0.01052196,0.047611833,0.050768424,0.0077599287,-0.06273713,-0.0064446926,0.036563765
1972-09-01,0.0706286,0.010390425,0.0061816694,-0.05050535,-0.05313585,0.17150779,-0.00605011,-0.08299188,0.013941574,0.015125299,-0.10166836
1972-10-01,0.041298628,-0.026436424,0.02709403,-0.19123645,-0.049847744,0.15533027,-0.0014467717,-0.039851855,0.09482906,-0.021964574,-0.052346706
1972-11-01,-0.11192725,0.02932992,0.09627585,-0.06839266,-0.025252676,0.1461236,-0.037221383,-0.10061612,0.14007346,-0.020386267,0.19202557
1972-12-01,-0.13376029,0.008812142,0.19531369,-0.089173555,-0.042613886,0.06457853,-0.042350866,-0.07799397,0.24976477,0.010653472,0.05839672
1973-01-01,-0.15195139,-0.03850728,0.062470436,0.02631793,-0.05263585,-0.006925774,-0.032966636,-0.0009696007,0.038784314,-0.015236693,0.016067768
1973-02-01,-0.07230504,0.03130448,0.19752294,0.0016622066,0.06537928,-0.13962355,-0.1522284,-0.08144703,-0.006648755,-0.014821145,-0.010250139
1973-03-01,-0.17148204,0.03449033,-0.099454045,0.15278253,0.027564561,0.10928865,0.007341313,0.16455628,-0.11122785,-0.004293978,0.009557533
1973-04-01,0.11164336,0.006648743,0.0721665,-0.07895372,0.027149033,0.19032015,-0.06427114,-0.15250543,0.20140135,-0.026594961,-0.02673347
1973-05-01,-0.020500278,-0.016760359,-0.023686131,-0.041554615,0.005263579,0.046956718,0.021746922,-0.022439491,0.041000534,0.00013849736,0.054021
1973-06-01,0.018284028,0.009419048,-0.0001385212,0.021608401,-0.019807708,0.05720687,-0.03850727,0.0630245,-0.038368773,-0.011496782,0.032966662
1973-07-01,0.036706578,0.021469891,0.06537926,0.099038504,0.06621035,-0.01565224,-0.029642295,-0.022162437,0.07784565,0.0558217,-0.14599521
1973-08-01,0.056237243,0.032551117,0.013158965,0.06690295,0.035321426,-0.060669743,-0.016206289,0.008587932,0.031442992,0.013574514,-0.11205895
1973-09-01,0.062054895,0.014544117,0.017729962,-0.012327862,0.008726478,0.13962351,0.04834187,-0.060669743,-0.0020777225,0.030196358,-0.015375185
1973-10-01,-0.044463445,0.038091734,0.022300983,-0.038645793,0.0058176517,0.18519506,-0.062470436,-0.10402505,0.045156024,0.010250139,0.081031516
1973-11-01,-0.13574508,-0.022439491,0.055129122,-0.11441374,-0.035875484,0.234368,0.04335531,0.054298066,-0.040723514,-0.035459936,0.23298287
1973-12-01,-0.22716522,-0.017452944,0.07313611,-0.1673266,-0.11579885,0.17092796,0.17716117,0.15430608,0.010804176,-0.01662184,0.31484547
1974-01-01,-0.0140321255,-0.025117517,0.13723429,-0.0718445,0.06047852,0.08026383,-0.07282679,0.090226635,-0.08671856,-0.03536098,-0.11983442
