,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11,msl_cluster12
1965-01-01,1018.8547,1010.7646,1014.70703,1011.1181,1019.1654,1015.6193,1010.29944,1019.34827,1016.9755,1007.0455,1009.0809,1012.7907
1965-02-01,1014.93585,1008.87805,1013.7606,1009.7103,1016.74054,1015.3228,1008.57666,1015.96533,1012.15314,1006.39307,1008.50903,1011.288
1965-03-01,1021.19086,1011.618,1018.1018,1013.0679,1019.35077,1016.1321,1009.88837,1018.12286,1016.5991,1008.0446,1011.78046,1014.7957
1965-04-01,1018.90674,1010.3106,1017.50214,1013.03815,1018.22577,1020.5167,1009.82697,1022.36914,1016.9768,1013.592,1017.88165,1014.5017
1965-05-01,1014.3194,1011.48334,1020.6029,1016.1954,1018.06085,1012.72064,1009.577,1021.9846,1012.00555,1013.37305,1016.8007,1017.66956
1965-06-01,1022.16943,1015.01086,1022.1781,1018.90924,1017.66705,1016.1092,1011.3717,1021.7695,1013.93054,1016.85834,1020.47076,1019.9443
1965-07-01,1023.71924,1014.6971,1024.1143,1019.47046,1024.3406,1019.4519,1011.78046,1026.5559,1018.74304,1018.6333,1023.14185,1021.2671
1965-08-01,1026.0027,1014.3653,1023.92755,1018.62024,1021.36505,1013.3551,1011.4375,1028.5763,1016.516,1014.3963,1017.2826,1020.7648
1965-09-01,1020.7388,1014.91724,1021.8923,1017.4562,1022.1037,1015.61615,1012.23376,1025.3552,1015.61365,1013.1715,1016.7176,1019.326
1965-10-01,1018.8119,1013.1504,1020.68286,1015.63916,1022.6655,1016.23694,1011.56836,1024.722,1017.34827,1011.72095,1013.93555,1017.6683
1965-11-01,1017.25525,1011.8301,1019.7824,1014.35474,1021.15857,1016.52594,1010.9835,1024.5038,1019.65656,1010.20026,1012.18475,1016.5675
1965-12-01,1012.37085,1011.2955,1017.07416,1012.7894,1016.5055,1014.3541,1009.39343,1020.03546,1012.7684,1007.0957,1008.2505,1014.4242
1966-01-01,1012.2468,1011.8093,1018.2247,1013.6356,1021.06805,1018.48315,1011.12964,1019.4283,1017.1707,1006.90674,1010.9444,1015.2517
1966-02-01,1012.7025,1010.21643,1015.23737,1011.23224,1018.4725,1015.2461,1009.6062,1020.0835,1017.1738,1007.8324,1009.175,1012.75
1966-03-01,1019.6855,1009.44666,1017.3578,1012.1429,1019.03577,1016.2255,1009.28705,1020.47156,1016.14795,1010.2621,1013.1919,1013.73206
1966-04-01,1014.803,1010.4656,1018.142,1013.5418,1021.5982,1019.1629,1009.0605,1020.47156,1016.5129,1011.56213,1015.8732,1015.3043
1966-05-01,1015.8707,1013.3784,1019.7619,1016.2832,1020.69446,1017.6858,1010.5607,1019.5209,1013.3709,1015.89825,1021.21075,1017.51556
1966-06-01,1022.09393,1013.896,1023.8839,1018.4112,1019.20734,1016.9359,1011.3474,1023.449,1014.44617,1015.9402,1018.88873,1020.6037
1966-07-01,1014.2522,1012.6355,1022.8694,1017.8892,1021.2033,1015.1247,1010.81915,1023.6718,1012.51404,1015.9395,1020.6769,1019.89954
1966-08-01,1020.8415,1013.4648,1022.6353,1017.62756,1021.9162,1020.8502,1011.25977,1025.5275,1017.7966,1015.7111,1022.1891,1019.82135
1966-09-01,1016.46094,1013.98303,1021.157,1016.42084,1021.5994,1015.932,1011.7317,1023.77686,1016.9291,1012.39575,1016.0754,1018.527
1966-10-01,1014.8067,1012.69305,1019.77185,1014.9595,1021.48804,1018.93823,1011.00446,1021.13947,1017.6432,1012.3733,1016.88086,1016.90967
1966-11-01,1013.03235,1011.4563,1016.7238,1012.8627,1017.3328,1015.6122,1009.615,1017.32025,1008.65735,1008.8514,1011.0527,1014.2947
1966-12-01,1012.9203,1009.50104,1014.43243,1010.4324,1019.2523,1016.6036,1008.55096,1016.78394,1018.59644,1007.92633,1012.0747,1012.00525
1967-01-01,1009.1903,1010.27795,1015.4804,1011.3707,1016.37286,1014.18964,1008.97406,1016.27783,1012.277,1005.2844,1008.4154,1012.8959
1967-02-01,1012.03174,1009.55524,1015.283,1010.8069,1018.8972,1019.0068,1008.543,1019.1316,1019.1679,1004.7417,1010.59283,1012.4308
1967-03-01,1017.87634,1009.7947,1014.3797,1010.3222,1021.3287,1019.50745,1009.45654,1020.4551,1022.605,1009.02344,1014.48126,1011.8728
1967-04-01,1020.0183,1010.1191,1016.4091,1011.80096,1018.2006,1018.0018,1009.9043,1020.5704,1016.867,1013.15784,1017.08905,1013.2318
1967-05-01,1018.9183,1010.4543,1020.3179,1014.7657,1016.08044,1015.37085,1009.45294,1019.58795,1009.6068,1014.0742,1017.8016,1016.8931
1967-06-01,1017.55853,1011.82635,1022.6152,1017.0796,1015.99774,1016.68494,1009.72144,1022.8284,1005.6509,1016.69867,1021.3823,1019.33765
1967-07-01,1020.17206,1012.6434,1022.7617,1017.4743,1021.42584,1014.498,1010.59283,1025.4747,1012.9517,1016.4766,1021.3091,1019.3268
1967-08-01,1026.7147,1013.866,1025.0328,1018.81525,1021.90405,1015.1749,1011.4788,1027.8147,1014.2651,1014.5785,1018.3973,1021.16907
1967-09-01,1018.0976,1013.4009,1022.0114,1016.8816,1024.7985,1018.67224,1012.04407,1026.0073,1015.6415,1014.3565,1018.8522,1018.8878
1967-10-01,1019.0184,1013.6193,1020.4492,1015.6066,1019.392,1016.867,1011.61664,1022.4221,1011.04346,1010.72565,1013.0932,1017.36914
1967-11-01,1014.04083,1010.8954,1016.89966,1012.3807,1020.67206,1016.079,1010.07697,1020.44055,1013.2768,1008.70056,1012.2516,1014.13806
1967-12-01,1012.80005,1010.1386,1014.884,1011.31995,1018.8777,1015.6415,1010.3875,1017.65857,1015.4565,1007.8088,1010.2975,1012.60126
