,r800_cluster1,r800_cluster2,r800_cluster3,r800_cluster4,r800_cluster5,r800_cluster6,r800_cluster7,r800_cluster8,r800_cluster9
1965-01-01,140.4882879818187,201.5082191018497,71.3035128009853,106.91073417663574,102.58373461271589,104.44555282592773,126.70151315084318,204.25090789794922,133.08178583780926
1965-02-01,139.27257762235752,164.87403196447033,49.74857728872726,77.0337438583374,106.68088678728071,91.72497391700745,140.72742927365186,226.28366682264542,100.18302069769966
1965-03-01,121.44706950468175,176.14764045266543,39.280931273503086,81.25961303710938,96.90342284085459,92.26846694946289,126.46332717523343,242.56907569037546,85.03339025709364
1965-04-01,134.69074473661533,162.75311638327204,56.484524171743814,118.07092666625977,94.84614322060034,106.34298324584961,152.70793263505146,257.714483473036,105.14407687717014
1965-05-01,136.82112974279067,121.39015197753905,30.709081621312382,127.58907318115234,105.1112124794408,106.76817893981934,176.93457254549352,294.0848456488715,73.56294525994196
1965-06-01,202.8976889217601,113.83405573227826,29.771050410484197,142.57805824279785,109.44102772495204,90.12427926063538,177.26161305497334,345.7693523830838,75.45278867085776
1965-07-01,242.77061013614428,116.2315480849322,36.71218245776731,134.4581127166748,114.54032764100192,94.55592036247253,176.17185639172067,372.4707285563151,162.60806189643012
1965-08-01,242.08468268899355,99.73481122185201,40.24526681473006,150.7136058807373,109.97347246136583,104.40347194671631,189.74147889672258,405.59539794921875,139.5879109700521
1965-09-01,224.75269542020908,125.07186216466566,37.55215886813491,148.98052215576172,108.18479437577098,106.51845932006836,189.30250958698554,368.23052300347223,103.32043965657553
1965-10-01,187.25909064797793,168.95517461440141,49.72082109593633,137.18509674072266,107.23126729329428,118.94935369491577,189.80204884598896,366.9745127360026,90.57892693413629
1965-11-01,152.7072794297162,152.33109418083637,62.087340853107506,152.69736289978027,108.73308683696547,118.57713460922241,175.77670957983995,345.99505530463324,96.16445965237088
1965-12-01,144.40585865693933,138.5943020091337,53.394909759065996,152.3284149169922,105.92364930270011,109.5788836479187,176.41344768245048,304.19881608751086,75.19281175401476
1966-01-01,149.2019541123334,142.0087365543141,49.208883029311444,106.69702529907227,101.75209714655291,112.93636560440063,155.58124635277727,293.55818430582684,81.82161119249132
1966-02-01,110.77350167667164,171.34589026955996,64.05520652657124,99.22140121459961,107.75715342739173,98.02494049072266,131.65371592451888,302.53172980414496,99.53044255574545
1966-03-01,103.13328013700597,173.5411812277401,38.84238627419543,93.24395179748535,97.30412667257745,94.96468901634216,115.45322697337082,232.34892951117624,69.04149585300021
1966-04-01,116.11219293930951,162.59157517377068,48.12441014531833,112.28965759277344,96.08960068016722,110.38751602172852,148.27603596012767,264.89009857177734,81.80922402275934
1966-05-01,123.58892104204962,132.09383347455193,37.3470078653364,133.46309661865234,99.81374907911871,107.65275955200195,164.12675438857661,251.40813191731772,62.637021806505
1966-06-01,220.44439876780788,103.5200792200425,33.45385594154472,159.02644157409668,105.63708522863556,97.67268300056458,174.30630195431593,302.29632059733075,110.1392428080241
1966-07-01,242.46307821834787,101.67218376608456,38.9426701104463,158.386812210083,115.9392507452714,102.04347372055054,185.6085800543064,366.50602552625867,157.24886788262262
1966-08-01,246.48056030273435,107.62838475844438,40.19635043927093,152.68836975097656,120.5953363786664,100.05384683609009,190.45746966106137,417.9940541585287,148.90342288547092
1966-09-01,225.39583093979778,123.9271276137408,42.71313966210209,163.9082145690918,118.87165538051673,106.55174255371094,185.43911445431593,374.71131218804254,130.07468117607965
1966-10-01,175.85674734676584,158.98151397705078,59.830070609477026,165.28038024902344,113.90615095172014,117.59012937545776,187.65314613900534,392.9771423339844,102.34336853027344
1966-11-01,186.80570265826054,112.64898636761833,47.09353945148525,136.89563751220703,108.79775599429483,108.63358974456787,172.2463840391578,348.8029056125217,85.14211972554526
1966-12-01,119.24104129566865,148.0385387645048,40.714787725192394,118.27774047851562,109.32123284590872,108.03663730621338,170.7831406011814,283.83611043294275,59.327618281046554
1967-01-01,148.2730977675494,135.98054998061235,46.22295721253352,106.21624946594238,116.39502006664611,103.40197086334229,163.09511138171686,287.18687693277997,53.254127502441406
1967-02-01,89.93289049933938,193.90929726993335,55.24688834574685,79.30692195892334,112.4650520190858,85.29004454612732,117.85639320931784,239.58413865831164,80.24658097161188
1967-03-01,139.9121789371266,172.50214745016658,53.653022424498594,101.70040130615234,104.6114068282278,98.98640513420105,116.84632650235805,284.77759891086157,118.22343402438695
1967-04-01,130.96642213709214,185.7144972857307,60.22132190305795,118.17996025085449,96.17865713019121,106.94199800491333,138.30257508812883,295.77842288547095,92.26341247558594
1967-05-01,126.60195967730353,150.63183728386372,44.51427744395697,104.54817771911621,106.91206413402892,107.36685991287231,169.262099847561,311.4971160888672,68.79904005262587
1967-06-01,200.87446324965532,113.77321131089154,33.76932571183389,157.00379371643066,111.55325906318532,103.08969020843506,177.19501402319932,326.9334369235569,120.19888559977214
1967-07-01,248.5866546630859,122.52554052016313,46.32988545432019,151.0437774658203,113.7336061711897,97.27383255958557,185.3661513910061,359.20897589789496,190.60228135850696
1967-08-01,252.5558696073644,103.79979750689337,39.160386839909336,147.8304958343506,117.25368834378428,101.90455913543701,186.3162529177782,414.5221710205078,177.25074556138782
1967-09-01,236.50256886201745,129.0673536412856,44.19716507641237,165.26561737060547,113.38915908545779,99.2251992225647,185.36404865544017,348.88793097601996,145.22365993923611
1967-10-01,180.52572362563188,148.98992426255168,51.461587023379195,148.75228881835938,113.05441605417353,116.48730039596558,189.99713804663682,331.08965555826825,108.55532752143013
