,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11,w_cluster12
1965-01-01,0.06687188,0.009822726,-0.013501227,-0.01833415,0.030677736,0.06319469,0.68401146,-0.37969798,0.024268866,-0.1004408,0.02237773,0.021852434
1965-02-01,-0.0132911205,0.010190427,0.027000487,-0.06992,0.05872953,0.047172606,0.071074426,-0.3592108,0.01602143,0.03924036,0.026947975,0.054842174
1965-03-01,0.050902307,0.010820806,0.028051138,0.02742076,0.041499197,0.02411127,0.49684185,0.026265085,0.025161922,-0.09009212,0.030362546,0.021222055
1965-04-01,0.07180983,0.021852434,0.0006297231,0.037769437,0.03614098,0.008456886,0.47530395,-0.19468224,0.019646108,-0.036930263,0.013184726,-0.0017867088
1965-05-01,-0.01665312,0.038084626,-0.0024696589,0.023796082,0.031728327,0.057941556,0.34250444,-0.003205061,-0.009036064,-0.0780099,0.021694839,0.10642809
1965-06-01,-0.036089778,-0.030573964,0.005672753,0.031360626,0.039713144,0.02679038,0.00089240074,-0.0050436854,-0.014656961,-0.0035728216,0.026265085,0.10416919
1965-07-01,0.01633662,-0.01933223,0.011346102,0.026947975,0.019488513,0.027578354,-0.081424415,0.021327138,-0.028472722,0.003046155,-0.007827878,0.03682387
1965-08-01,0.03178084,0.012764454,0.018858135,0.035458088,0.019593596,0.011556268,-0.06818652,0.047802985,0.020906866,0.032306194,0.0016278028,0.025214434
1965-09-01,0.028734028,0.014182806,0.011818886,0.037296653,0.017754972,0.022272646,0.16169119,-0.1337983,0.030625165,0.00083982944,0.022115052,0.10175276
1965-10-01,0.0077214837,-0.009666443,0.003151238,-0.00956136,0.042129576,0.020486593,0.06681937,0.014918268,0.022535324,0.024899244,-0.023849964,0.030520141
1965-11-01,0.048748553,0.008089185,-0.036930263,0.027841032,-0.0071974993,0.044178307,0.7423739,-0.26208007,0.031938434,0.056208014,-0.0543707,-0.031677127
1965-12-01,0.035773277,0.022167623,-0.093559206,0.0663991,-0.01528734,0.042077005,0.6157731,-0.23723274,0.03414476,0.028051138,-0.012765825,0.00078731775
1966-01-01,0.038693726,0.017493606,0.04334408,0.026247203,0.05341983,0.071474135,0.3912999,-0.48770797,0.026338398,-0.061881542,-0.033614695,0.028845906
1966-02-01,0.031535804,0.0011261702,-0.03502804,-0.017885566,0.054650843,0.08496928,0.045532465,-0.38799894,0.020730615,0.010290086,0.014530122,-0.0047551394
1966-03-01,0.032994747,0.017128825,0.026657522,-0.00033277273,0.027113438,0.029848933,0.46132874,-0.18703079,-0.015241265,-0.026730359,-0.0040256977,-0.012049854
1966-04-01,-0.04601562,0.00851202,0.022052765,-0.06078738,0.027614951,0.02857238,0.17291567,-0.122244954,0.004271984,0.026976645,0.0019012094,0.033268332
1966-05-01,0.0324021,0.020685017,0.010107756,0.026064813,0.027113438,-0.012779295,0.16211045,-0.11362815,0.018451035,-0.009223163,0.022964597,0.0055941343
1966-06-01,0.021414459,-0.002110839,0.020685017,0.037553906,0.024377942,0.019454002,0.042158723,0.04694581,0.018633366,-0.009451091,0.010335684,0.06376916
1966-07-01,0.010062158,0.007828116,0.0034513474,0.04238665,0.027751744,0.024697065,-0.07200289,0.06472659,0.022007167,0.03030485,-0.03803712,0.020320296
1966-08-01,-0.0040712953,0.0017188787,0.00983417,0.04466623,0.027706146,0.01854217,-0.081896305,0.032630026,0.021414459,0.010882795,0.017448008,0.05168736
1966-09-01,0.03126228,-0.053720653,0.004819095,0.023511708,0.026566327,-0.00051516294,0.008831143,-0.05052924,0.023602843,-0.02955705,0.008056104,0.03390658
1966-10-01,0.03103429,0.013846278,-0.009131968,0.012706459,0.03955996,-0.014147043,0.40146685,-0.10710853,0.019362867,-0.00087988377,0.026156008,0.07101822
1966-11-01,0.030441642,0.037417173,0.00085264444,0.0471282,0.016536176,0.03294915,0.48608506,-0.38622093,0.024058819,-0.028462827,0.021642447,-0.026730359
1966-12-01,0.05018282,0.034499288,0.0706079,-0.0016093254,0.035547912,0.040973306,0.4791551,-0.23617864,0.015943468,-0.007901013,0.023694038,0.027934074
1967-01-01,0.07341236,0.0072351694,0.04851091,-0.06673694,0.04678452,-0.02117145,0.55810195,-0.70094,0.022144616,0.020679832,0.023923278,-0.0011351109
1967-02-01,0.0470984,0.04416883,0.016756296,-0.006889701,0.034647703,-0.002129078,0.36569095,-0.4425087,0.02240616,-0.060563922,0.022981644,0.069698095
1967-03-01,0.012518883,0.036740243,-0.020752907,0.0030499697,0.019110382,0.051911294,1.0282482,-0.25035918,0.032398164,-0.03351748,0.023661733,-0.025931954
1967-04-01,-0.011127114,0.0068166256,0.0038870573,0.066559255,0.02936393,0.015500724,0.95417154,-0.04152155,0.028997779,0.020627499,0.02449876,0.025283456
1967-05-01,0.0037300587,0.027532995,0.02083677,0.043017924,0.036217093,0.0005389452,0.06624538,-0.16398871,0.037158728,-0.0076221228,0.02727139,0.079637766
1967-06-01,-0.0073604584,-0.0537107,0.024812639,0.02256316,0.044482708,0.019685864,-8.881092e-05,-0.007098913,0.03391528,-0.06919575,0.022301555,0.080684006
1967-07-01,0.018953443,0.029050052,-0.017718673,0.026329756,0.033078253,-0.07861221,-0.08002472,0.05133587,0.03286898,0.010530949,-0.009766936,0.027951479
1967-08-01,0.03177041,0.011838794,-0.031477213,0.026120484,0.024551094,-0.04099846,-0.05407691,0.06179869,0.034699976,0.027951479,0.010530949,0.015134513
1967-09-01,0.022772372,-0.045654416,-0.03874898,0.025126517,0.031351864,0.010007739,0.04155314,-0.025618076,0.025754273,-0.003803134,0.018534958,0.049452543
1967-10-01,0.029782474,-0.013010383,-0.013167381,0.019215047,0.03490925,0.04453504,0.07445866,-0.2661581,0.01926732,-0.01750946,0.018482625,0.04401189
