,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,vws850-200_cluster7,vws850-200_cluster8,vws850-200_cluster9,vws850-200_cluster10,vws850-200_cluster11,vws850-200_cluster12
1965-01-01,30.181209564208984,18.236431121826172,19.301912307739258,21.640716552734375,37.437828063964844,16.282474517822266,23.47580337524414,22.587404251098633,23.00168800354004,14.616366386413574,25.86013412475586,30.82056427001953
1965-02-01,28.409114837646484,30.597366333007812,31.735795974731445,25.728891372680664,23.554264068603516,34.034053802490234,17.625591278076172,29.830236434936523,12.0288667678833,21.23937225341797,41.793277740478516,24.948680877685547
1965-03-01,38.895545959472656,18.22222137451172,29.79496192932129,15.629861831665039,23.229520797729492,40.935546875,15.421733856201172,39.35716247558594,11.581503868103027,15.8147611618042,41.65562438964844,35.6556282043457
1965-04-01,26.05524253845215,13.968159675598145,39.1256217956543,19.013900756835938,17.18914794921875,24.871591567993164,12.499922752380371,37.48653030395508,12.248886108398438,15.55534553527832,29.006134033203125,21.82499885559082
1965-05-01,19.004230499267578,9.596000671386719,33.68354034423828,12.746097564697266,11.976678848266602,26.65760040283203,16.545730590820312,27.574552536010742,9.35640811920166,12.09650993347168,29.637847900390625,15.23005199432373
1965-06-01,11.842226028442383,6.645963668823242,28.98931884765625,14.306471824645996,5.916889190673828,20.86126136779785,16.66425895690918,20.146615982055664,5.62835693359375,2.392679452896118,14.777334213256836,14.781488418579102
1965-07-01,12.64013957977295,8.663643836975098,23.702516555786133,15.129138946533203,4.791025161743164,10.510417938232422,7.043848514556885,34.56887435913086,5.145747661590576,4.465818405151367,10.48421573638916,7.096180438995361
1965-08-01,9.258044242858887,6.391358375549316,10.766849517822266,27.863080978393555,8.20594310760498,5.593342304229736,6.157236576080322,27.289066314697266,2.2875993251800537,4.308876991271973,1.5281339883804321,5.588187217712402
1965-09-01,19.927873611450195,1.8812068700790405,19.681896209716797,9.525107383728027,4.614141941070557,18.464452743530273,12.518794059753418,18.7501163482666,1.9692126512527466,3.586839199066162,3.260192632675171,11.587944984436035
1965-10-01,15.705972671508789,13.26008415222168,20.477157592773438,10.697468757629395,11.489233016967773,17.906557083129883,22.0708065032959,16.9180965423584,1.2781200408935547,4.915440082550049,26.875736236572266,13.427165985107422
1965-11-01,33.15087127685547,13.836678504943848,19.8072452545166,21.45815086364746,9.572122573852539,27.445484161376953,24.719470977783203,33.00282669067383,8.340127944946289,3.7213551998138428,26.339094161987305,30.373119354248047
1965-12-01,30.03732681274414,14.473528861999512,36.83283996582031,19.254186630249023,11.672317504882812,35.89810562133789,19.233455657958984,44.612953186035156,13.25973129272461,11.778703689575195,37.04807662963867,22.14380645751953
1966-01-01,32.86962127685547,23.64992332458496,26.406230926513672,25.003036499023438,22.450016021728516,42.91633605957031,31.714561462402344,33.09488296508789,19.282825469970703,14.844926834106445,44.56324005126953,36.550254821777344
1966-02-01,32.689247131347656,28.822229385375977,34.81137466430664,22.908151626586914,13.196642875671387,46.686832427978516,17.107406616210938,48.08010482788086,13.968791961669922,15.141112327575684,44.59139633178711,33.91292953491211
1966-03-01,19.47726821899414,28.564807891845703,34.51027297973633,23.518062591552734,18.005149841308594,36.70718002319336,28.77179718017578,36.26308059692383,15.776583671569824,10.790461540222168,41.183746337890625,31.785266876220703
1966-04-01,28.355846405029297,21.782005310058594,38.657047271728516,17.832313537597656,18.037212371826172,29.954853057861328,23.005260467529297,30.833660125732422,10.394820213317871,14.03518009185791,35.640682220458984,24.383800506591797
1966-05-01,21.503732681274414,13.361702919006348,29.302722930908203,10.028865814208984,8.348907470703125,29.801265716552734,14.412521362304688,29.752479553222656,7.7803635597229,10.495612144470215,25.74761962890625,16.590370178222656
1966-06-01,13.34445571899414,2.44980788230896,23.404560089111328,14.516016960144043,6.9232563972473145,18.44595718383789,22.977787017822266,17.467002868652344,6.012735843658447,4.997114181518555,21.360872268676758,6.561927795410156
1966-07-01,13.38294506072998,1.9157936573028564,21.80653190612793,15.386408805847168,6.078169345855713,12.568147659301758,7.099639415740967,33.48165512084961,3.35223650932312,3.886427402496338,7.132831573486328,8.652956008911133
1966-08-01,11.123846054077148,1.365301489830017,10.847071647644043,20.21295738220215,3.790928602218628,6.670766353607178,8.144211769104004,21.23297691345215,1.9298690557479858,5.290926456451416,6.727863788604736,15.245670318603516
1966-09-01,19.00015640258789,2.116478681564331,14.240575790405273,9.742608070373535,6.381439685821533,14.39036750793457,10.366862297058105,20.0350341796875,1.7043827772140503,3.3221917152404785,11.202388763427734,4.594186782836914
1966-10-01,28.1934814453125,2.9257986545562744,19.852582931518555,15.748265266418457,7.172024250030518,18.630878448486328,21.00138282775879,20.94475555419922,1.7097327709197998,10.441144943237305,18.311677932739258,17.4858341217041
1966-11-01,28.741111755371094,12.297917366027832,22.18134117126465,15.43291187286377,22.145795822143555,20.663646697998047,22.9378662109375,23.1304874420166,11.729391098022461,13.760725021362305,20.674053192138672,23.682697296142578
1966-12-01,25.033302307128906,19.70284080505371,25.321657180786133,20.91650390625,34.645957946777344,24.34225845336914,30.400625228881836,21.404897689819336,15.373034477233887,19.704273223876953,33.451202392578125,26.12388801574707
1967-01-01,25.706579208374023,23.53412437438965,16.78152847290039,25.157455444335938,30.155811309814453,22.32379722595215,35.56150817871094,17.703311920166016,26.65589714050293,31.774110794067383,34.201316833496094,30.736366271972656
1967-02-01,31.462549209594727,21.420461654663086,22.330997467041016,11.433671951293945,38.40036392211914,26.748456954956055,29.320880889892578,30.024795532226562,18.044038772583008,23.22484016418457,37.63897705078125,34.937896728515625
1967-03-01,28.516651153564453,17.080045700073242,30.449174880981445,20.857513427734375,23.508188247680664,32.329978942871094,16.031047821044922,33.31388473510742,20.669048309326172,25.005781173706055,25.487157821655273,29.17469024658203
1967-04-01,31.62900161743164,10.901762008666992,37.717185974121094,23.200159072875977,17.16214370727539,39.509056091308594,12.863272666931152,33.270294189453125,17.56114959716797,18.715150833129883,17.589527130126953,19.636579513549805
1967-05-01,25.443605422973633,6.700563430786133,34.63766860961914,11.318610191345215,16.736879348754883,30.822710037231445,15.90644359588623,26.186180114746094,7.9459614753723145,13.541156768798828,27.800966262817383,21.244104385375977
1967-06-01,17.70577049255371,2.7086939811706543,23.164947509765625,9.575581550598145,3.600558042526245,14.419425010681152,19.94268798828125,15.116605758666992,1.1164056062698364,9.256440162658691,14.67419147491455,13.069409370422363
1967-07-01,18.257274627685547,5.092220783233643,18.931737899780273,22.414348602294922,3.3809854984283447,5.579178810119629,4.839893341064453,21.98416519165039,2.389552354812622,7.484025478363037,7.72804069519043,17.340225219726562
1967-08-01,13.353189468383789,3.3543877601623535,16.637508392333984,21.890697479248047,6.366196632385254,8.564798355102539,6.38587760925293,21.33570671081543,3.598968982696533,9.225590705871582,3.6426002979278564,2.5167479515075684
