,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta20_cluster9,ssta20_cluster10,ssta20_cluster11,ssta20_cluster12
1965-01-01,-36.48914575576782,-0.36258805455185295,-0.42859179931774477,-1.7281363407770793,-16.786354117923313,-66.2414656745063,-1.1376177271207175,-14.572896957397461,-4.231530235659692,-14.225653598183081,-43.692937104598336,-60.20044145129976
1965-02-01,-39.55886363983154,-0.8911985346651453,-0.32127279984323603,-2.411951337541853,-10.943801535500421,-74.12557601928711,-0.7494841184880998,-16.24108632405599,-5.431905869514711,-15.412263702927975,-48.41770918472953,-65.63965025402251
1965-03-01,-40.718698501586914,-1.3563929111000121,-0.2413784987048099,-2.6207481111798967,-4.464505116144816,-74.62779151068794,0.019975555025868945,-17.283802032470703,-5.788050928423481,-16.203652766712928,-49.76367535798446,-66.69477281116305
1965-04-01,-41.05208396911621,-1.690714671019846,0.4333934501597756,-1.690879889896938,-3.377890917989943,-73.12331199645996,0.6956672502888573,-16.478619045681423,-6.353234860204881,-16.536737743176914,-50.62364495318869,-66.92869095575242
1965-05-01,-40.031185150146484,-1.192765113875622,1.5465957030915378,-0.5316116625354403,-3.379162483745151,-67.06146134270563,1.1642166309886508,-13.981794781155056,-4.881013208819974,-15.807118332176879,-45.43582252834154,-61.798872266496936
1965-06-01,-36.79504632949829,-0.016490962561659925,2.3293137550354004,1.065712386653537,-3.1960003905826144,-51.71608924865723,1.5259414911270142,-7.87669817606608,-3.1367184654358895,-13.97580431218733,-34.873390197753906,-52.36064820062547
1965-07-01,-25.84829807281494,1.4522791964801278,3.319285208718819,2.0740340153376264,-3.8352211316426597,-29.1378657023112,1.589265631304847,-2.5623138745625815,-1.5673263419059016,-11.401790485047458,-23.229074478149414,-29.36409768604097
1965-08-01,-15.171682834625244,2.271392401747816,3.2265493744298035,2.610554581596738,-10.547694232728746,-23.518975575764976,1.2225979732142556,-0.4102774461110433,-0.01396342451053281,-8.43739760549445,-20.121213664179262,-16.099630083356587
1965-09-01,-13.333629369735718,2.637386603618231,3.100843387737609,2.350700894991557,-13.026352723439535,-23.799233966403538,0.9773285024695927,-1.0884477032555473,0.5631515095310826,-8.580858665600159,-20.639272358106528,-25.41596321832566
1965-10-01,-17.27149724960327,2.322104174321092,3.4660243151480694,1.4680523247945876,-9.91890033086141,-44.37143272823758,0.789277089966668,-4.673730002509223,-0.18848424717303244,-9.139085234257214,-26.133763271829356,-39.84081177484422
1965-11-01,-21.473708152770996,1.5509550027021273,2.954393311550743,0.16213304230145045,-12.307372358110216,-59.79708565606011,0.2753169172339969,-9.551188151041666,-2.696912327120381,-10.52567247758832,-37.57121459297512,-48.31798190162296
1965-12-01,-27.209172248840332,0.6495203089526319,2.599214880090011,-0.8970745972224644,-13.261583116319445,-68.94994841681587,0.07279986619121499,-12.503654691908094,-4.6857749262163715,-12.884820135016192,-47.52226290495499,-54.79651405697777
1966-01-01,-35.70935249328613,-0.556789092191561,2.0705080868905053,-1.8011818329493205,-9.56022474500868,-72.94105953640408,0.20234843509064782,-14.400355021158854,-5.9799317390688005,-15.676866497909815,-52.30736939803413,-61.02354412987119
1966-02-01,-41.28880977630615,-1.2487106905208798,1.5420364706139817,-2.8968796843574163,-6.4145313368903265,-77.82532903883192,-0.0641282130446699,-16.905086305406357,-6.794238090515137,-16.629615582917868,-55.81217641415803,-67.41449719383603
1966-03-01,-42.34616279602051,-1.2661192830153338,1.5583883252060207,-2.8673705600556874,-8.535917599995932,-81.07262187533908,-0.1278937069906129,-17.867484622531467,-6.987166404724121,-17.017456523159094,-58.365535736083984,-67.10288184029716
1966-04-01,-41.540608406066895,-1.312977028643991,1.2536778784634774,-2.2544483343760175,-12.648820877075195,-78.87571652730307,0.20086574885580274,-17.55782233344184,-6.856592239872102,-16.28822025499846,-55.67644368047299,-68.25111025855655
1966-05-01,-39.97642993927002,-0.11276429093728854,1.5849097778922634,-0.43231947791008724,-17.693828211890327,-72.8012932671441,0.3187422537141376,-14.178809059990776,-5.361086706961355,-15.4660141258909,-49.23124727995499,-60.98488398960659
1966-06-01,-33.28813076019287,0.6381346484807533,2.4967091125354433,0.8152163454464504,-14.981211556328669,-59.89728503757053,0.5837965756654739,-8.100664350721571,-3.448303284183625,-13.846495277003239,-40.29205571050229,-53.01639011928014
1966-07-01,-24.056949615478516,1.7095409861699802,3.742505792985883,1.9395866564341955,-12.441734472910564,-34.94018183814155,0.8797744082079993,-2.3838429980807834,-1.4979839324951172,-11.627577898795145,-29.28315038266389,-35.190037318638396
1966-08-01,-13.715901374816895,2.434301470208356,2.152143026653089,2.7723655814216253,-19.518873426649307,-23.438011275397407,0.5904834717512131,-0.9022264348136054,-0.515173279470013,-9.900089732387611,-21.225923040638797,-20.00282151358468
1966-09-01,-15.08701205253601,2.494486673610417,1.9248339167812416,2.656921318599156,-20.650811990102135,-26.613669925265842,0.5399923357698653,-0.2568466133541531,0.11721385582800835,-8.648040838408889,-20.91202735900879,-22.236644654046923
1966-10-01,-18.09462547302246,2.18953523110217,1.2854382657168206,1.7287145058314006,-21.947385205162895,-41.56862894694011,-0.0506935589429405,-3.736470275455051,-0.5125047218415045,-9.234671843679328,-25.37300690360691,-36.60646847316197
1966-11-01,-22.60112762451172,1.4602341872500622,0.7191255427243417,0.03945456729048775,-23.252050081888836,-55.20592265658909,-0.8039803968535529,-8.478261629740397,-1.791962500541441,-11.134640375773113,-34.35400050619374,-47.94667107718332
1966-12-01,-28.515377044677734,0.30843784489969567,0.770393170808491,-1.5220318521772114,-22.46767150031196,-67.37215254041884,-1.505796280172136,-11.730004416571722,-3.6116669254918254,-12.482743514211556,-44.820507712986156,-55.33019020443871
1967-01-01,-36.76499605178833,-0.6023285895820678,-0.5544636333197879,-2.1356162570771717,-16.846560107337105,-74.02148246765137,-1.2966595590114594,-13.390769958496094,-4.64634318505564,-14.033785200955576,-48.944614244543985,-61.08765375046503
1967-02-01,-39.43620681762695,-1.0902905558037945,-0.896733371835006,-2.485764878136771,-10.176566574308607,-77.28018760681152,-0.7899911867247688,-14.768994649251301,-5.050997580251386,-15.18202999181915,-51.608819546906844,-64.70926829746791
1967-03-01,-39.41812515258789,-0.8510053157806396,-0.38190010869712165,-2.330554241225833,-8.949242035547893,-76.13233460320367,-0.6271500968270832,-16.176141103108723,-5.849840564112509,-15.730213700679313,-54.2810813240383,-63.801179613385884
1967-04-01,-43.37471008300781,-0.9898372053161381,0.5418281806142707,-1.827606133052281,-11.921465396881104,-76.9556204477946,-0.1957671923769845,-16.447923448350693,-6.541978928350633,-17.04341821503221,-57.750672879426375,-62.31903802780878
1967-05-01,-41.451401710510254,-0.366360981633344,1.4184445665593735,-0.6330988236836025,-14.7740019692315,-70.51259676615398,0.2050270015994708,-14.1735659705268,-5.327183585013112,-16.061322730884218,-52.48366646144701,-57.552819024948846
1967-06-01,-36.096460819244385,0.7602044916528417,2.3280260855691477,1.0048505096208482,-15.49475457933214,-52.77963744269477,0.15751394546694225,-7.501276863945855,-2.3220131474156536,-13.736845317639803,-38.018102231233016,-47.62090501331148
1967-07-01,-23.575000762939453,2.1835555241802544,3.228686148660225,2.3155541647048223,-19.540537728203667,-33.38823318481445,0.16297539696097374,-3.007568253411187,-0.5344363950913952,-11.023504692211487,-24.216403131899625,-31.173236029488702
1967-08-01,-12.655082941055298,2.8680519794854593,2.034640730473033,2.7507197289239795,-24.153240521748863,-20.09003824657864,0.21935486131244236,-0.12036802040206061,1.0783011874844952,-7.914820052029794,-13.486614434615424,-11.703966912769136
1967-09-01,-9.850037097930908,2.778848982232762,1.2009783795005398,2.3664092733746482,-26.678392622205948,-27.594513363308376,-0.060787972890668444,0.6585360235638088,1.1923018963106218,-6.675020435400177,-16.71605939450471,-15.310165995643253
1967-10-01,-14.644390344619751,1.8971188800541434,0.17150613038163437,1.600177798952375,-26.33681032392714,-40.292959743075905,-0.3397383209731844,-0.7341712050967746,0.5375710225874378,-7.462838658115321,-23.83930786796238,-30.018781480335054
1967-11-01,-18.7019944190979,1.3815626267373093,0.80561381683015,0.12565488439230693,-23.483822080824112,-52.582195070054794,-0.6336393041743172,-5.307547251383464,-1.6048557335330593,-9.16713831717508,-33.327390836632766,-42.311028071812224
1967-12-01,-28.315632343292236,0.5509172837565264,0.07983499059551641,-0.668139968599592,-24.627280235290527,-59.39396752251519,-0.9858155416117774,-9.833875232272678,-3.596983032841836,-12.595982300607783,-41.454377381697945,-51.00475947062175
1968-01-01,-33.51720094680786,-0.2394955458603506,-0.7207797807559633,-1.5786398024786088,-21.590405040317112,-67.16752052307129,-1.2548089027404785,-13.874247868855793,-4.816638269732075,-14.249907041850845,-46.630009360935375,-57.89141882033575
1968-02-01,-35.482778549194336,-0.3549700177560641,-0.6164637573978358,-2.5447939123426164,-12.625724739498562,-74.00290171305339,-0.8122279412216611,-17.269486321343315,-5.450621727974184,-14.34329016166821,-50.75847376947817,-63.98576554797945
1968-03-01,-36.911489963531494,-0.8574020909512137,-1.7161191555491666,-2.8320499828883583,-13.832996951209175,-78.26324568854439,-0.848982979853948,-18.040858374701607,-5.762699727089174,-14.617250676740682,-52.12656518687373,-68.29467046828498
1968-04-01,-39.334983825683594,-0.9957650515038198,-0.5994088294213279,-2.148599284035819,-13.196243180169,-75.83886782328288,-0.28809159994125366,-16.510388056437176,-5.9217049229529595,-15.752103035910089,-51.64350012074346,-67.13140578497024
1968-05-01,-37.3393177986145,-0.28845470721327415,0.5669311996091877,-0.42125032771201365,-17.996582720014786,-71.81941138373482,0.11029554944899347,-13.193143208821613,-4.66067829439717,-14.788900341903956,-46.536885137143344,-62.475322541736425
1968-06-01,-32.062530517578125,0.45775419145118534,1.1389280620374178,0.9653685348374503,-19.220516416761612,-60.80468495686849,0.03457223323898183,-6.533182991875543,-1.8765920592892555,-12.272577955011737,-33.447976734327234,-54.53439894176665
1968-07-01,-23.050026893615723,1.4607956559639277,1.8874634776199075,1.910423239072164,-18.81260871887207,-44.69033877054851,0.5657650116417143,-2.5031169255574546,-0.561214598917192,-9.815916262174909,-25.384958930637524,-34.470153990246004
1968-08-01,-16.213841438293457,2.0958598673812987,2.140575961062783,2.9374721504393078,-16.02502531475491,-21.413199106852215,1.015965226623747,0.23865262667338052,0.3969670303406254,-7.840985582585921,-16.560941157133684,-19.647879827590216
1968-09-01,-15.020437240600586,2.200388204394363,1.703725676787527,2.5172256288074313,-17.93517139222887,-23.562457826402454,0.7177156706651052,1.003234651353624,0.7067353014023073,-7.670016874346818,-16.722223033075746,-21.8163081577846
1968-10-01,-19.911444187164307,2.0797699924529067,2.2751387796903915,1.4739179895037697,-17.587656444973415,-42.47111479441325,-0.05462218282951249,-3.7137415673997665,-0.08513551926420582,-9.110750231826515,-24.47604925736137,-36.07474508739653
1968-11-01,-24.67756986618042,1.3246965631255954,2.2858632238287675,-0.04921883255952881,-18.269272645314537,-62.048090828789604,-0.27266037133004933,-7.581436898973253,-1.2153823529520342,-10.493205723009613,-35.41095153145168,-49.51937993367513
1968-12-01,-32.783029079437256,0.3680782524619515,2.6238278338783667,-1.4520206621715002,-16.91835191514757,-73.20240338643393,-0.5185899221234852,-12.784587012396917,-3.764244817918347,-13.489069855004027,-45.17684604810631,-60.29455548241025
1969-01-01,-36.230573654174805,-0.24283899096992073,2.6758392651875815,-2.401128269377209,-12.310847971174452,-78.50548956129286,-0.47997281783156925,-16.877962748209637,-5.8435478518086095,-15.178133312024569,-50.51867443582286,-64.59079924083892
