,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6
1970-01-01,-2.1640475e-05,-6.396229e-05,-7.8988296e-07,-5.6584315e-05,-8.13535e-05,-3.978375e-05
1970-02-01,-1.8407378e-05,-6.3557134e-05,-5.327563e-06,-5.9177277e-05,-7.92224e-05,-4.1987765e-05
1970-03-01,-1.698125e-05,-6.564771e-05,-4.1714293e-07,-4.6917434e-05,-8.1191436e-05,-3.420078e-05
1970-04-01,-2.032779e-05,-5.937599e-05,-3.3018127e-06,-5.719204e-05,-8.773056e-05,-4.1606923e-05
1970-05-01,-2.010901e-05,-6.50805e-05,-6.0487305e-06,-5.70786e-05,-8.149125e-05,-3.1170257e-05
1970-06-01,-2.3155737e-05,-6.85648e-05,-1.1404818e-05,-4.904042e-05,-9.5460826e-05,-3.531089e-05
1970-07-01,-2.9508492e-05,-6.791655e-05,-1.2207014e-05,-5.262195e-05,-7.957083e-05,-2.9954808e-05
1970-08-01,-1.9412151e-05,-6.960198e-05,-1.092674e-05,-6.526263e-05,-7.626481e-05,-3.1194566e-05
1970-09-01,-1.6478863e-05,-6.759244e-05,-9.460096e-06,-5.685982e-05,-9.0971764e-05,-4.022131e-05
1970-10-01,-2.6097126e-05,-6.123158e-05,-1.28390475e-05,-4.854614e-05,-7.913327e-05,-3.465455e-05
1970-11-01,-2.010901e-05,-5.641029e-05,-9.686979e-06,-5.3237774e-05,-8.166951e-05,-3.892483e-05
1970-12-01,-2.71019e-05,-7.036366e-05,-9.438386e-07,-4.6876918e-05,-8.35251e-05,-4.326804e-05
1971-01-01,-2.8224078e-05,-6.631273e-05,-8.318841e-06,-5.0123454e-05,-8.527716e-05,-4.2166692e-05
1971-02-01,-1.6938744e-05,-6.456312e-05,-2.7881156e-06,-5.298417e-05,-7.880115e-05,-4.7813504e-05
1971-03-01,-2.1482729e-05,-7.321991e-05,-6.3038983e-06,-5.950993e-05,-8.2059894e-05,-3.1055493e-05
1971-04-01,-3.1839365e-05,-7.316187e-05,-8.924153e-06,-5.4999113e-05,-8.7242355e-05,-3.7564667e-05
1971-05-01,-1.8083034e-05,-6.964609e-05,-3.4846394e-06,-4.8945996e-05,-7.317093e-05,-4.2415453e-05
1971-06-01,-2.5139476e-05,-6.471238e-05,-1.3327173e-05,-6.380516e-05,-6.941468e-05,-2.9272727e-05
1971-07-01,-2.1233971e-05,-6.4588006e-05,-9.040241e-06,-6.159121e-05,-7.642137e-05,-4.8601236e-05
1971-08-01,-1.7071417e-05,-7.427299e-05,-1.5947424e-05,-6.300912e-05,-8.074976e-05,-3.394938e-05
1971-09-01,-2.298357e-05,-6.7448724e-05,-1.3990526e-05,-4.5123412e-05,-0.00010026899,-3.313677e-05
1971-10-01,-2.1615399e-05,-6.658636e-05,-1.3028663e-05,-5.1035568e-05,-8.545129e-05,-3.7904636e-05
1971-11-01,-2.3083072e-05,-6.604739e-05,-6.4697356e-06,-5.1533083e-05,-8.72009e-05,-3.1569594e-05
1971-12-01,-2.743634e-05,-6.196775e-05,-5.449828e-06,-5.4584518e-05,-7.533513e-05,-3.107208e-05
1972-01-01,-2.2384525e-05,-6.717355e-05,-4.1810576e-06,-5.3523825e-05,-7.441737e-05,-3.5352183e-05
1972-02-01,-9.534508e-06,-6.530088e-05,-6.98113e-06,-4.4588563e-05,-7.9544894e-05,-3.8571372e-05
1972-03-01,-1.9958983e-05,-6.91978e-05,1.2209966e-09,-5.5102213e-05,-8.013344e-05,-3.944528e-05
1972-04-01,-1.8416269e-05,-6.608562e-05,-1.1609272e-05,-5.6323897e-05,-7.638812e-05,-3.0991563e-05
1972-05-01,-2.873373e-05,-6.599644e-05,-5.0460453e-06,-5.609205e-05,-8.6821514e-05,-4.2521795e-05
1972-06-01,-1.7827717e-05,-7.046408e-05,-7.881785e-06,-5.4558248e-05,-8.0178026e-05,-2.4633431e-05
1972-07-01,-2.070805e-05,-6.195685e-05,-1.5586449e-05,-4.805744e-05,-7.663781e-05,-3.5102494e-05
1972-08-01,-1.5027645e-05,-6.712004e-05,-1.0334081e-05,-5.558375e-05,-8.357557e-05,-3.5316516e-05
1972-09-01,-2.0565369e-05,-8.195864e-05,-7.935292e-06,-5.3015534e-05,-8.58406e-05,-3.3096076e-05
1972-10-01,-8.6606e-06,-7.428965e-05,-6.044794e-06,-5.096453e-05,-8.552848e-05,-3.8954822e-05
1972-11-01,-1.9923316e-05,-6.687035e-05,-7.649936e-06,-4.7112193e-05,-8.279084e-05,-2.7692113e-05
1972-12-01,-1.8068486e-05,-6.1136445e-05,-1.0441088e-05,-4.9475315e-05,-6.74707e-05,-3.774205e-05
1973-01-01,-2.9609391e-05,-5.6808436e-05,4.7164817e-06,-5.538637e-05,-6.852111e-05,-3.433109e-05
1973-02-01,-2.5689702e-05,-6.5311426e-05,-2.052287e-06,-5.5324435e-05,-7.900606e-05,-3.9277154e-05
1973-03-01,-2.6432934e-05,-6.38161e-05,-1.1586321e-06,-5.2767344e-05,-8.503159e-05,-3.4915058e-05
1973-04-01,-2.1911581e-05,-6.239156e-05,-1.4563449e-05,-5.9014073e-05,-8.641189e-05,-3.081841e-05
1973-05-01,-1.6762007e-05,-6.739072e-05,-8.095516e-06,-5.598804e-05,-8.628802e-05,-3.4888515e-05
1973-06-01,-1.2709594e-05,-7.2911906e-05,-9.378486e-06,-5.5740293e-05,-9.409201e-05,-3.3207383e-05
1973-07-01,-2.1194885e-05,-6.0046827e-05,-1.601453e-05,-5.777534e-05,-8.63588e-05,-3.1021915e-05
1973-08-01,-1.7814926e-05,-6.554148e-05,-1.1156941e-05,-6.387166e-05,-7.7696546e-05,-2.9641615e-05
1973-09-01,-2.1265672e-05,-6.3426785e-05,-1.5970292e-05,-4.3114105e-05,-7.929805e-05,-2.9641615e-05
