,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,r700_cluster6,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,AMM,ENSO3.4,NAO,PDO,PNA,SOI,TNA,TSA,WP,month
1980-01-01,-5.0052062e-05,-6.163364e-05,-2.884669e-05,3.648841e-06,-7.7634664e-05,2.6414742e-05,50.331576158435816,76.07799075923413,12.043090303047368,68.94496160794928,23.322850997996344,76.97673903758654,1008.36755,1018.0929,1014.0852,1016.03174,1009.24744,1009.8882,48.95478,63.606194,32.08046,68.2736,32.085644,60.11556,25.656612,16.30231,28.570322,19.247227,27.984348,22.583246,8.210579e-06,7.447565e-06,5.1586947e-05,3.1193376e-05,-5.1084166e-06,-7.019626e-06,12.96440448214552,11.366739358506326,23.40833635110725,6.802664694138132,21.16737923924884,23.33199503456875,0.018119222,0.007955476,-0.039446462,-0.049652927,-0.07153347,-0.07043256,2.99,0.54,-1.38,-0.11,-1.01,0.7,0.4,-0.15,-1.71,1
1980-02-01,-4.9711663e-05,-6.35288e-05,-2.8214312e-05,2.9225228e-06,-7.815494e-05,5.6811325e-05,53.2910876269868,77.18177067531984,12.357162772242075,72.17096740222456,26.030304672983625,77.33815346699272,1008.76996,1021.5935,1015.86975,1019.4502,1009.7409,1011.1044,48.95862,63.019962,34.705112,67.48276,33.048725,60.89296,25.919552,16.796587,28.671017,19.686451,28.367157,22.823036,6.1988653e-06,6.9595417e-06,9.881853e-06,6.586602e-05,8.116601e-06,-6.16493e-06,11.8564113511103,10.581469185012258,22.562143432930693,7.528811508338006,24.335075335454626,19.89987040527771,0.021666909,0.012441164,-0.035551075,-0.033498343,-0.03646979,-0.05055355,3.35,0.22,-0.39,1.32,2.03,0.5,0.41,-0.34,-0.5,2
1980-03-01,-4.8031925e-05,-6.0711103e-05,-2.7989676e-05,-2.1131173e-06,-7.8094854e-05,5.9454243e-05,53.22078783756433,77.44433488495363,13.552024994299082,70.74640578706689,29.16840696668619,79.03095458979239,1010.1857,1020.0349,1016.98035,1016.5869,1010.3694,1012.74817,50.482155,51.665123,28.728802,62.878536,35.645794,55.439224,25.8802,16.323637,28.956,19.461973,28.425575,22.746962,1.5762481e-06,8.011392e-06,-1.47997835e-05,6.715817e-05,1.7926717e-05,-3.6865654e-06,13.462662795354388,7.593413501544672,24.55915479197977,6.048748005881511,22.542873020471237,20.304957812115955,0.009284843,0.016387884,-0.0019660583,-0.020755313,-0.042190056,-0.041928124,3.01,0.03,-0.73,1.09,-0.64,-0.7,0.17,-0.26,1.09,3
1980-04-01,-4.401694e-05,-6.192092e-05,-2.9993582e-05,-5.0529343e-06,-7.983738e-05,5.7201054e-05,55.32370716695609,77.18810865249893,17.666511056406414,69.31970017944069,36.691670506912544,78.43817038511538,1011.3121,1021.81036,1017.5092,1015.51355,1009.5569,1014.4985,43.205925,52.841976,35.00427,68.92307,26.187466,58.503807,25.358707,15.779026,29.112467,18.83911,28.178919,22.085499,-5.4580746e-06,7.6719925e-06,-2.5653575e-05,7.406619e-05,2.8778368e-05,-1.2005861e-06,32.02416141099938,6.66502645732887,21.899926009026096,21.13943252645692,31.415965098642644,13.49336443762489,0.02388231,0.0043199034,-0.016511248,-0.0068194573,-0.06036735,-0.054961354,4.19,-0.07,1.26,1.49,1.66,-1.0,0.56,-0.11,0.72,4
1980-05-01,-4.3158885e-05,-6.2219384e-05,-2.6672718e-05,-1.0912301e-05,-8.215374e-05,9.3661045e-05,45.49712233132781,74.77872275791323,18.676017773135055,60.82140425597518,33.452160120110086,78.35939455494393,1013.23566,1020.6873,1019.24023,1014.86755,1010.21387,1017.00604,36.50693,33.539066,36.34851,62.371426,22.300611,54.465237,24.314903,14.770517,28.984827,17.647179,27.380892,21.077362,-1.0612316e-05,7.463738e-06,-4.2974523e-05,0.00013164962,3.841521e-05,8.106182e-07,36.962768119259394,8.220929468189537,25.703596945324257,23.72463807979808,40.02816396480088,17.140994888804926,0.033864178,0.003846728,-0.0165081,0.015745714,-0.02883247,-0.01338448,5.1,0.08,-1.34,1.2,-0.16,-0.0,0.71,-0.04,1.85,5
1980-06-01,-4.2701653e-05,-6.222507e-05,-2.6076126e-05,-1.2420271e-05,-8.1570455e-05,0.00010943626,36.53817921456319,62.33504544306885,19.43657079835723,45.59224916011632,32.51353009868162,75.70063098741616,1015.0721,1023.6386,1020.21857,1017.58777,1010.9129,1019.00305,27.361635,23.715586,32.54018,63.073112,20.251278,42.479168,23.15811,13.510846,28.312372,16.220667,26.069239,19.76892,-1.1375051e-05,7.5727594e-06,-3.6356625e-05,0.00014692347,3.8410653e-05,1.3274537e-06,38.97554513179039,12.406622817577595,33.408965074274874,21.853210339829147,49.15719682844564,19.12661639437069,0.045687515,0.013087922,-0.01441386,0.030063158,-0.038276814,-0.02408165,3.64,0.21,-0.07,-0.22,-0.81,-0.0,0.47,-0.08,3.29,6
1980-07-01,-4.289686e-05,-5.9490936e-05,-2.57134e-05,-1.0733086e-05,-8.04937e-05,0.00014108975,29.645666918806075,52.75185509156351,22.04933482502315,39.5272658805504,27.868496947172535,72.1470434884037,1016.14526,1022.3036,1023.7612,1014.06866,1011.6653,1020.4606,24.577267,32.999435,32.138706,61.083366,15.689835,47.745625,22.031748,12.964006,27.702175,15.684828,25.126406,18.954153,-9.959129e-06,9.608178e-06,-3.2946686e-05,0.00018729482,4.8787384e-05,1.0888327e-06,32.040376816016064,12.328246087106397,38.4472618313776,18.792157046721726,45.87325275579655,24.242551096224737,0.052800186,0.0210305,0.007197974,0.02402734,-0.027816098,-0.006584709,1.53,-0.06,-0.39,0.23,-0.81,-0.1,0.19,-0.06,0.36,7
1980-08-01,-4.2680334e-05,-5.9104466e-05,-2.5043017e-05,-1.1241041e-05,-8.038742e-05,0.00013802332,25.01203380328387,48.65092140908851,16.85174143740511,35.03672368240759,20.836417644732432,70.2086696896506,1016.3987,1022.36505,1023.4859,1013.1813,1012.21686,1020.55524,26.183565,27.03299,29.178051,61.911556,17.658175,47.035496,21.516705,12.17124,27.471985,14.898244,24.709803,18.295298,-1.129245e-05,9.829308e-06,-5.8051326e-05,0.00017914435,4.9957907e-05,2.6368132e-06,29.128503737860655,13.59218868105529,33.31249743969201,16.676936254081184,40.00900389721491,26.16186439814087,0.048847355,0.022622595,0.016820744,0.027312055,-0.0387411,-0.008145857,1.73,-0.38,-3.01,0.51,-2.03,0.6,0.29,0.03,-1.39,8
1980-09-01,-4.2790994e-05,-5.9871938e-05,-2.50932e-05,-1.1016693e-05,-7.89404e-05,0.00010781378,23.34454561756117,51.24618377907213,12.376407632719754,33.58331144391762,17.30528746589028,71.83519954050061,1015.1757,1023.47723,1021.2129,1013.41364,1012.05475,1018.28516,22.913849,30.668139,32.951176,59.258152,15.548167,36.703514,21.49907,12.053307,27.64132,14.714938,24.862518,18.109766,-1.07830465e-05,1.0677586e-05,-7.7658544e-05,0.0001345321,4.389581e-05,2.0178127e-06,26.525839332969,9.868829898299005,30.81905831556905,16.756705412212575,36.83553999882936,23.15826522151059,0.046263844,0.013796654,-0.0050625214,0.023322752,-0.04206035,0.0033353188,0.89,-0.28,0.79,0.1,-0.08,-0.8,0.21,0.11,-1.68,9
1980-10-01,-4.316248e-05,-6.2611085e-05,-2.7434618e-05,-9.282906e-06,-8.328631e-05,9.728514e-05,27.34340991147319,61.67275135672821,14.06605458041361,39.74422811952437,19.188409058019595,74.00185872367392,1013.5533,1023.54803,1019.9523,1017.96063,1011.3175,1016.7288,28.459959,43.718212,33.409046,64.20864,20.772865,45.42809,22.119602,12.736755,28.022999,15.377765,25.464937,18.689352,-1.0889996e-05,7.6278743e-06,-7.7397926e-05,0.00011731175,4.465946e-05,7.2406345e-07,32.012835002769926,9.467176457066724,23.665491331578004,20.200908471487917,38.59394174972665,20.598658151415066,0.039390467,0.012188679,-0.0143187335,0.01858091,-0.08452618,-0.018543715,0.22,-0.26,-1.41,1.35,2.87,0.0,0.05,-0.03,0.68,10
