,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6
1970-01-01,0.18484811,-0.04181748,-0.025937123,-0.55003494,0.27828962,0.40229538
1970-02-01,0.16686235,0.020933917,-0.17508997,-0.2608566,0.31663322,0.24886525
1970-03-01,0.2491629,-0.2146828,0.07165797,0.0626656,0.24893248,0.09517846
1970-04-01,0.1393697,-0.040241838,-0.5175151,-0.18069656,0.13904284,0.24795999
1970-05-01,0.17341621,-0.070320964,0.135793,-0.12718841,-0.01832237,-0.61238605
1970-06-01,0.27606148,-0.12448702,-0.24369447,-0.71397203,0.31465656,-0.8309298
1970-07-01,0.15078333,-0.09020413,-0.32478884,-0.5197656,-0.05135408,-0.35577253
1970-08-01,0.14894816,-0.08415279,-0.32695338,-1.0208632,0.03795787,-0.11628622
1970-09-01,0.30678105,-0.110811844,-0.048231963,-0.7981808,-0.011400216,-0.49295622
1970-10-01,0.21045522,-0.2090383,-0.14737117,-0.32581717,0.052117515,-0.29448828
1970-11-01,0.2735779,-0.019717135,-0.10660787,-0.5467997,0.00964737,0.004775741
1970-12-01,0.34917107,0.040511824,-0.23389624,-0.2662621,0.037739046,-0.28749666
1971-01-01,0.3116438,0.071157254,-0.22861281,-0.6488329,0.2852887,0.0027803807
1971-02-01,0.14938962,0.16264063,-0.20946035,-0.37544546,0.2451173,0.14607689
1971-03-01,0.2761966,0.051725157,-0.29250342,-0.199133,0.33801097,-0.32516122
1971-04-01,0.18048455,0.04725825,-0.49933866,-0.5635664,0.09227126,0.21275929
1971-05-01,0.12824596,-0.13717279,-0.2104737,-0.63760775,0.021748075,0.027003828
1971-06-01,0.053244676,-0.27464473,0.17351198,-0.1256665,0.12833197,-0.46908107
1971-07-01,0.21639025,-0.20587113,-0.12701961,-0.8121841,0.23174763,-0.5121199
1971-08-01,0.27581844,-0.15616988,-0.36693323,-0.66100436,-0.03854532,-0.26163656
1971-09-01,0.3051254,-0.13838516,-0.21669257,-0.5679197,0.10885969,-0.4739494
1971-10-01,0.31079257,0.016586829,-0.41036826,-0.7541597,-0.06968652,-0.66255045
1971-11-01,0.33317664,0.0025890225,-0.43833998,-0.37874067,-0.23260602,-0.01397993
1971-12-01,0.13628602,0.011674899,-0.66118467,-0.2565105,-0.053713106,0.41606057
1972-01-01,0.27632853,0.014914608,0.17025322,-0.22642194,-0.057034507,-0.2768012
1972-02-01,0.23378223,0.022584997,0.1128809,-0.10531304,0.11178225,-0.25649425
1972-03-01,0.21990262,-0.021370841,-0.15235779,-0.22835441,0.14829536,-0.17657955
1972-04-01,0.18067373,-0.028335148,0.008755989,-0.24413337,0.04628964,-0.15485567
1972-05-01,0.07100974,-0.16861878,0.23222573,-0.38527614,0.28771558,-0.007518505
1972-06-01,-0.031829424,-0.26004416,-0.09017351,-0.30507705,0.34269637,-0.12479022
1972-07-01,0.10260475,-0.28846124,-0.3616924,-0.3060012,0.003263579,-0.3848309
1972-08-01,0.24242721,-0.096381634,-0.5562386,-0.76943326,0.02261122,-0.49473467
1972-09-01,0.25562948,-0.010418205,-0.40691796,-0.7302483,0.044633158,-0.48957592
1972-10-01,0.0964357,-0.0014217847,-0.40685335,-0.28233463,-0.14215818,-0.17873542
1972-11-01,0.0744169,-0.23030421,0.06644675,0.068205275,0.022069516,-0.12479366
1972-12-01,0.16071738,0.009075094,0.11301798,-0.144604,0.15015768,-0.15906073
1973-01-01,0.26735696,0.15627159,-0.43157247,-0.43969506,0.33023992,0.16167766
1973-02-01,0.2896001,0.07809444,-0.48957792,-0.41186783,0.19959526,0.21133667
1973-03-01,0.36080888,0.04800149,-0.5722115,-0.2601273,-0.03110163,0.032583278
1973-04-01,0.21362764,-0.13692707,0.02059073,-0.30379048,0.24316648,-0.24766065
1973-05-01,0.039420854,0.034835666,-0.16316247,-0.42898393,0.19135147,-0.24567914
1973-06-01,0.1670917,-0.12233271,-0.37749347,-0.3908881,0.1800221,-0.81010014
1973-07-01,0.120583236,-0.2446626,-0.15948936,-0.4769444,0.37986776,-0.67748684
1973-08-01,0.2093598,-0.1691587,-0.27756804,-0.5908866,0.18678544,-0.43547395
1973-09-01,0.34997278,-0.17904899,0.14390077,-0.28310457,-0.014339256,-0.6385666
1973-10-01,0.14998175,-0.06999503,-0.07797597,-0.6251138,0.10701074,-0.2189938
1973-11-01,0.09707324,-0.051750686,-0.1964477,-0.34391665,-0.039024327,0.39160314
1973-12-01,0.27566475,0.12021789,-0.62114835,-0.4411038,-0.074334286,0.01339871
1974-01-01,0.32669437,0.18988454,-0.29802755,-0.14405686,0.1285058,-0.3926958
1974-02-01,0.30532247,0.120159745,-0.39163697,-0.23552732,0.07435789,-0.37619242
1974-03-01,0.23767461,0.023758989,-0.37872735,-0.25873354,0.21485224,-0.46247596
1974-04-01,0.10419655,-0.10664904,-0.011483649,-0.27737957,0.0051811635,0.072043106
1974-05-01,0.1320554,-0.1565185,0.39055264,-0.81816757,0.3265873,-0.46282727
1974-06-01,0.20786053,-0.14318363,0.18136212,-0.4526495,-0.092800274,-0.45414504
1974-07-01,0.27839884,-0.2745811,-0.2608497,-0.5394705,0.21612586,-0.80740106
1974-08-01,0.16438107,-0.19112134,-0.33013722,-0.37555024,0.08807862,-0.45196024
1974-09-01,0.27743313,-0.08927811,0.01313502,-0.5601043,-0.13074838,-0.60457647
1974-10-01,0.39821905,-0.058269877,-0.30345953,-0.6406351,0.053080525,-0.77710766
1974-11-01,0.33034176,-0.050853312,-0.29060137,-0.32917333,-0.29901588,-0.051699493
1974-12-01,0.15761206,0.0025258358,-0.18806078,-0.210958,-0.21337277,0.22100243
1975-01-01,0.22656402,0.08871623,-0.42461234,-0.49445185,-0.1332041,0.30734807
1975-02-01,0.21756488,0.017643819,-0.18509354,-0.18840216,0.02008014,0.24447857
1975-03-01,0.25577068,0.07983762,-0.3960336,-0.18586992,-0.08564039,0.10370025
1975-04-01,0.18509932,-0.014468249,-0.3116149,-0.51983213,0.18453556,0.13534711
1975-05-01,0.06589704,-0.14430894,0.013379243,-0.12405249,-0.03217609,-0.16429733
1975-06-01,0.12454757,-0.35647574,0.49954936,-0.19902734,0.26291618,-1.0329605
1975-07-01,0.28957263,-0.10556002,-0.4544404,-0.6094066,-0.04283201,-0.26599357
1975-08-01,0.09404542,-0.112011954,-0.17456117,-0.57131594,0.059113264,-0.5546651
1975-09-01,0.20065488,-0.16333508,0.0072003016,-0.20182857,0.03691446,-0.7937835
1975-10-01,0.32415533,-0.15026031,0.028031291,-0.19671987,-0.21854468,-0.3688204
1975-11-01,0.2810665,0.002027244,-0.29851615,-0.5014225,0.123084135,-0.26086217
1975-12-01,0.22009757,0.13166264,-0.12713099,-0.36223784,-0.072673194,0.09091774
1976-01-01,0.28970838,0.07162566,-0.41516274,-0.31017444,0.20463425,-0.1727629
1976-02-01,0.29300317,0.11779733,-0.2877749,-0.3331456,0.054098092,-0.39721462
1976-03-01,0.2247903,0.14038458,-0.22919972,-0.6620244,-0.04840736,-0.08281837
1976-04-01,0.22087619,-0.078092635,0.13263272,-0.31189078,-0.05354434,-0.21548338
1976-05-01,-0.012711617,-0.10524942,-0.2264821,-0.5180765,0.041435577,0.085547514
1976-06-01,0.13182083,-0.22174451,0.053913374,-0.23542926,0.014536388,-0.17700507
1976-07-01,0.053810615,-0.27687493,0.16279985,-0.0795973,-0.14610545,-0.15672885
1976-08-01,0.13972192,-0.30920988,0.068151936,-0.4277209,0.1826507,-0.27776867
1976-09-01,0.2896516,-0.197247,-0.05688087,-0.29046947,-0.12187874,-0.6925555
1976-10-01,0.41814116,-0.1771087,-0.340686,-0.6652742,-0.2545691,-0.051280297
1976-11-01,0.2933271,-0.04035799,-0.4230605,-0.49413446,-0.19753104,0.041464146
1976-12-01,0.13425227,-0.057145327,-0.2446586,0.020656366,-0.053422574,0.021411024
1977-01-01,0.28174448,0.050175235,-0.08031051,-0.41216516,0.24577345,0.03199155
1977-02-01,0.23770228,-0.0130978925,-0.041541275,0.032298893,0.10426945,-0.28567147
1977-03-01,0.15463442,0.081356086,-0.80032563,-0.60006195,0.16422758,0.37307683
1977-04-01,0.23265073,-0.09782439,-0.19052891,-0.15431927,-0.11378643,0.19123133
1977-05-01,0.079090595,-0.12085583,-0.19388683,-0.28922397,-0.052603785,0.056031257
1977-06-01,0.08368181,-0.15818357,-0.14453882,-0.41360828,0.11480293,-0.3031375
1977-07-01,0.19930154,-0.3415833,0.19327216,-0.59589356,0.16625951,-0.4563804
1977-08-01,0.19761379,-0.3566602,0.11009913,-0.12398631,0.15715101,-0.5809227
1977-09-01,0.2849899,-0.14269327,-0.11354025,-0.5257928,-0.15891275,-0.7818801
1977-10-01,0.21343353,-0.07200284,-0.27549577,-0.36983135,-0.05480803,-0.33749813
1977-11-01,0.18212877,-0.10035133,-0.3334669,-0.37746224,0.029124666,-0.20782064
1977-12-01,0.26492804,-0.02045941,0.077387005,-0.21217489,-0.13052633,-0.27627242
1978-01-01,0.24151546,0.134078,-0.36349604,0.050090995,-0.06380463,-0.07762304
1978-02-01,0.22482578,0.13670021,-0.5024869,-0.20336169,0.14225537,-0.010750946
1978-03-01,0.17518595,0.04605495,0.08005436,-0.030245617,-0.030657316,-0.54646754
1978-04-01,0.22266224,-0.07233327,-0.47941375,-0.28559047,-0.018235952,0.35371143
1978-05-01,0.08807652,-0.0818936,-0.4243307,-0.5940139,0.27162397,-0.11383235
1978-06-01,-0.016452631,-0.2388668,-0.24194121,-0.38519773,0.08317984,0.093273304
1978-07-01,0.27960694,-0.1903924,-0.21562442,-0.29915655,-0.15967529,-0.7469096
1978-08-01,0.22319697,-0.15674603,-0.1761606,-0.46277153,-0.0762481,-0.48373485
1978-09-01,0.25523615,-0.12409667,-0.13463861,-0.59279275,-0.26343477,-0.1952924
