,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6
1965-01-01,29.013072485211254,29.153981575599083,33.16507508768838,22.51066043053144,44.22930594413511,29.33287811279297
1965-02-01,29.47343409746543,30.484406764690693,33.30821426662468,23.397339714898003,44.93894730844805,30.02514139811198
1965-03-01,29.417309815856232,29.691866727975697,33.1947225085377,23.28903998857663,44.71463695649178,30.154251098632812
1965-04-01,28.93762259647764,28.43211247370793,34.04839645476031,22.277375209478684,44.76194843169181,29.15576171875
1965-05-01,27.81969706217448,26.626121080838715,33.62171015090491,20.957504084080824,43.14437373991935,27.59814707438151
1965-06-01,26.545860027444775,25.095593012296234,32.90501656616934,19.56902727668668,41.21544438023721,25.873029073079426
1965-07-01,25.691133257986486,23.764911064734825,31.984074158075998,18.456941769446853,39.926915014943766,24.733853658040363
1965-08-01,24.959432667699353,23.931407928466797,31.724626213841184,18.25569294117115,39.287231814476755,24.139567057291668
1965-09-01,25.02184900744208,22.9628324508667,32.09415187497111,17.97657248414593,39.47699300704464,24.161176045735676
1965-10-01,25.485968315738372,22.953253525954025,32.41740570971246,18.273532537766442,40.43189325640279,24.774996439615887
1965-11-01,26.47448353383733,24.56393058483417,33.35826918923643,19.35760592236931,42.11262733705582,25.78709665934245
1965-12-01,28.129047086869164,27.733674416175255,33.70060215334921,21.723255110375675,43.733366074100616,28.24322509765625
1966-01-01,29.310816183857533,29.880619049072266,33.63240823237854,23.432361932448398,44.652466620168376,29.998268127441406
1966-02-01,30.101295997356548,31.16180346562312,34.13528239233254,24.364789326985676,45.52280364498015,30.79413604736328
1966-03-01,29.542795817057293,30.41842717390794,34.30197676257974,23.9501906029972,45.529425528741655,30.259063720703125
1966-04-01,29.044217076794855,29.05153861412635,34.54400124634512,22.92070742006655,45.00411402794623,29.334630330403645
1966-05-01,27.935438046510193,27.05409893622765,33.99013541859283,21.274898670337816,43.421712998420965,27.918238321940105
1966-06-01,26.699234973425153,25.08411957667424,33.08560749482827,19.838081171483168,41.58775421880907,26.437464396158855
1966-07-01,25.645479662665007,23.746743569007286,32.42350922533746,18.642556225811994,40.21145143816548,25.042856852213543
1966-08-01,25.00475521745353,23.078096829927883,31.9126174294737,18.19896109310197,39.41267228895618,24.440185546875
