,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6
1965-01-01,-0.125465,0.13263436,-0.007821274,0.16489677,0.3614048,-0.061265945
1965-02-01,-0.014990616,0.22583695,0.13524131,0.15577202,0.23268051,-0.19520397
1965-03-01,0.06517677,0.51131076,-0.16945915,-0.04757919,0.008798981,-0.3356598
1965-04-01,0.2558182,0.17402153,0.004888153,0.0410614,0.027048111,0.007821274
1965-05-01,0.32425347,-0.076582715,-0.050511934,-0.007821274,0.12188034,-0.13230857
1965-06-01,0.6348206,0.22257824,0.15414277,-0.04106102,-0.028351594,0.042690657
1965-07-01,0.7273712,-0.035521317,-0.042364884,-0.1407814,0.0065174103,0.06256981
1965-08-01,0.48719558,0.2955761,-0.03454361,0.09776535,0.12611695,0.49208355
1965-09-01,0.19552994,-0.0205307,0.29362068,-0.11308174,-0.084077835,0.010754394
1965-10-01,0.093854144,0.01173172,0.16359368,0.2056324,0.24147949,0.28612536
1965-11-01,0.16228981,0.010102463,0.107867435,0.06485061,0.09483223,0.49338722
1965-12-01,0.10754128,0.10917091,0.39855537,0.022486115,0.1459957,-0.14664745
1966-01-01,0.14113846,-0.16706905,0.2031742,-0.10634651,0.005251312,-0.052516937
1966-02-01,0.10175133,0.18971673,0.18413696,-0.0032821656,-0.20612831,0.08468361
1966-03-01,0.08238564,0.1368721,-0.14245185,-0.021334838,-0.15393981,-0.25208053
1966-04-01,0.1838089,0.06958465,0.18741913,0.018052673,0.046608735,0.05842514
1966-05-01,0.19398384,0.054486085,-0.061050795,0.2510956,0.41586763,-0.3669609
1966-06-01,0.5396099,0.13490257,0.110285185,-0.092889406,-0.017724609,0.14606246
1966-07-01,0.71061784,0.034464262,0.06794395,0.015755082,0.08008804,0.012800979
1966-08-01,0.29081154,0.042998124,0.09223251,-0.063676454,0.073194884,-0.14803162
1966-09-01,0.14048234,-0.031838417,0.032167055,-0.15295525,-0.22418137,0.2740715
1966-10-01,0.076805875,-0.020350266,0.03643341,-0.031510163,-0.032494735,-0.26159915
1966-11-01,0.047921754,0.16214561,0.11717796,-0.23008919,0.0045951842,-0.38534182
1966-12-01,-0.08533974,-0.09551487,0.24551582,0.017724609,-0.16017608,-0.016739655
1967-01-01,0.019266129,-0.11037178,0.21094742,0.038858794,0.21323319,-0.0241642
1967-02-01,0.25078583,0.08000336,-0.08816719,-0.065308765,0.0310215,-0.48850974
1967-03-01,0.010775757,0.18025246,0.0117553715,0.12767868,0.07477875,0.022858048
1967-04-01,0.083595276,-0.122780606,0.20506974,-0.035593033,0.011102295,0.0483284
1967-05-01,0.26319426,0.1831913,0.039185334,0.07183953,0.05322647,0.07543163
1967-06-01,0.30172652,0.3334015,0.23315239,-0.0022857666,0.124413684,-0.09241219
1967-07-01,0.34417763,-0.21617222,0.06302299,-0.058124922,-0.028083038,0.107759476
1967-08-01,0.24915314,0.0803297,-0.017633438,0.049308397,-0.119515225,0.7817465
1967-09-01,0.16098633,0.18645687,0.24752045,0.09633026,-0.016000366,-0.07445221
1967-10-01,0.18449745,0.1590271,0.15837403,0.09959602,0.046042632,-0.07543163
1967-11-01,-0.113637544,0.049308203,0.31380883,-0.01893959,0.07151337,0.2462143
1967-12-01,-0.04996109,-0.11004524,0.16653748,0.045716096,0.14792442,0.20213088
1968-01-01,-0.0043762205,0.2603794,0.088616565,0.36285362,0.43214226,0.026256561
1968-02-01,0.19473763,0.2705906,0.06855927,0.09153404,0.25819167,-0.20677185
1968-03-01,-0.050325014,0.060901262,0.13019028,-0.061631013,-0.11195602,0.4835617
1968-04-01,-0.07475891,-0.117061235,-0.022610093,0.19109078,0.14003602,0.35920677
1968-05-01,0.0667366,-0.21224213,-0.15644607,0.053972244,-0.13383636,-0.053972244
1968-06-01,0.35264245,-0.11159096,-0.13456574,-0.097733304,-0.19838485,0.04230232
1968-07-01,0.25855598,0.17285728,-0.08168793,-0.20859528,-0.1174263,0.09955673
1968-08-01,0.41026193,-0.095545575,-0.0594429,-0.16191712,-0.19510269,0.17504501
1968-09-01,0.0856987,-0.18379745,0.10210953,-0.063454434,0.11086197,0.21625347
1968-10-01,-0.00036468505,-0.038291167,0.21479492,-0.0481369,0.06163025,0.1455059
