,r500_cluster1,r500_cluster2,r500_cluster3,r500_cluster4,r500_cluster5,r500_cluster6
1977-02-01,48.677547,53.95733,28.992317,77.08446,69.05612,25.541048
1977-03-01,40.6295,45.557602,21.556282,64.292496,44.02477,27.782967
1977-04-01,33.05861,58.02349,24.398691,59.83166,42.56526,34.540474
1977-05-01,23.968409,42.060364,21.375938,54.98436,37.17149,33.808784
1977-06-01,13.978261,35.573193,14.53606,64.24904,36.59672,32.403362
1977-07-01,8.075319,51.531593,10.115381,59.053806,27.907064,26.197048
1977-08-01,12.654206,44.407578,10.7085285,58.279152,26.167582,32.72504
1977-09-01,12.500317,33.067886,13.197039,47.34522,20.943018,29.912418
1977-10-01,18.701988,60.985485,17.164232,43.213486,14.668619,35.490036
1977-11-01,27.483452,45.62396,19.17812,54.87602,31.749144,33.77
1977-12-01,40.538418,58.86165,21.717407,63.12659,43.13269,30.903316
1978-01-01,48.207134,58.92348,29.253635,69.25506,60.549034,27.050264
1978-02-01,45.57561,48.31232,25.200203,64.84293,51.069427,29.309853
1978-03-01,47.48152,49.629894,28.721485,69.566895,57.10048,30.58928
1978-04-01,31.452398,43.665092,22.441544,60.654312,37.937626,33.36336
1978-05-01,21.040413,35.8588,15.573492,66.37303,51.84678,32.547733
1978-06-01,16.203949,33.655,12.263287,67.95473,47.263477,30.450823
1978-07-01,11.820582,43.449013,13.75793,64.93397,35.943985,28.50725
1978-08-01,11.788938,24.957355,9.74226,59.758144,33.114067,24.73639
1978-09-01,10.3770685,32.468616,14.537757,62.625988,32.333366,32.157906
1978-10-01,16.120176,45.755325,15.449428,60.760048,32.391827,33.329193
1978-11-01,29.807245,43.998272,16.04393,65.21878,37.614136,32.26788
1978-12-01,44.98778,61.23428,24.16622,72.1532,50.98675,35.34335
1979-01-01,43.787468,51.710056,19.898071,60.259705,47.158333,29.10958
1979-02-01,43.87259,56.587727,28.79391,64.10544,47.576214,30.135311
1979-03-01,40.141872,45.208817,23.639261,65.62853,56.032837,27.846113
1979-04-01,33.161037,39.20381,25.006752,62.995785,40.635178,34.642006
1979-05-01,26.33603,31.531967,19.86953,59.7631,44.385315,33.986713
1979-06-01,15.085953,49.136528,13.589172,67.63871,33.880886,34.976254
1979-07-01,10.826749,38.084217,12.548231,57.370243,25.113626,29.667988
1979-08-01,11.802488,29.45383,15.517687,54.708534,28.999643,31.120998
1979-09-01,14.431741,41.46555,16.34423,64.58041,38.590874,34.685482
1979-10-01,18.168327,55.567646,17.98496,52.521126,21.065746,36.239853
1979-11-01,31.046417,54.027527,21.427519,66.73458,33.45713,36.777214
1979-12-01,45.25364,51.690308,26.079454,68.9156,50.648556,31.73791
1980-01-01,52.517925,48.59637,28.00872,75.59418,67.03359,28.758074
1980-02-01,43.21651,42.45978,24.488731,64.92231,65.89956,27.587961
1980-03-01,40.1419,39.153458,29.921082,64.42764,48.475727,26.207472
1980-04-01,39.14787,46.887646,26.033855,67.56357,53.612038,30.713514
1980-05-01,26.2981,48.303085,20.247795,51.657116,31.183619,37.44796
1980-06-01,15.069171,48.013184,15.149672,61.662888,33.578125,31.01502
1980-07-01,12.937498,33.89959,11.388056,56.74433,36.0818,27.400984
1980-08-01,9.819748,33.052074,9.8335495,61.436375,29.193174,25.616108
1980-09-01,12.087553,43.407257,12.371239,51.578194,30.489052,29.000597
1980-10-01,20.73312,45.94409,16.815763,59.40228,36.14588,32.7595
1980-11-01,31.694847,55.51836,18.76077,60.88589,45.910686,37.859077
1980-12-01,38.60638,49.59008,23.456274,72.40617,50.901516,30.012882
1981-01-01,46.02705,44.585007,23.195492,66.22188,61.040157,27.930374
1981-02-01,50.886784,46.229954,21.636415,67.00403,58.02173,26.668097
1981-03-01,40.066055,47.93253,29.678972,55.89366,46.96171,33.355385
1981-04-01,29.447416,45.945923,25.30678,62.929573,45.093628,31.809898
1981-05-01,25.318575,46.36828,22.979378,63.56616,44.53126,35.000626
1981-06-01,14.932652,19.187332,15.524107,61.267456,44.35716,33.518276
1981-07-01,11.645668,35.096695,10.827291,66.61815,45.72534,27.07006
1981-08-01,12.802707,33.366802,11.052125,41.849102,28.57319,29.770426
1981-09-01,14.506555,45.30395,12.364427,67.96014,35.14344,30.151855
1981-10-01,21.945753,50.979553,17.596298,64.82535,33.938538,33.059193
1981-11-01,27.455086,44.822834,18.370708,75.50639,54.28917,34.898746
1981-12-01,38.511944,57.216938,20.67621,70.471275,52.33751,33.368977
1982-01-01,48.639004,47.875565,24.694725,70.9864,62.715164,30.045166
1982-02-01,51.99318,47.233677,23.872532,66.26621,60.231037,27.453869
1982-03-01,38.17323,41.16655,23.79227,70.52374,48.395496,28.471859
