,mgv600_cluster1,mgv600_cluster2,mgv600_cluster3,mgv600_cluster4,mgv600_cluster5,mgv600_cluster6,mgv600_cluster7,mgv600_cluster8,mgv600_cluster9,mgv600_cluster10,mgv600_cluster11
1965-01-01,0.03755435916443763,0.548482967204735,0.0845032369161581,-0.07590022520162165,-0.31780860846555686,0.4951581122383239,-0.0113611392488208,0.5379104095956553,-0.08183950681170561,0.19672372178218073,0.0410747355139614
1965-02-01,0.02253929487993858,0.04477267932207858,-0.08036148819056424,-0.035734279081225395,-0.27908765816990333,0.3199552023221576,0.05713805461986155,1.6437622516051582,-0.16006056076815073,0.19275357024134876,0.02761062635221752
1965-03-01,0.01683739926941289,0.6684886138947284,-0.3928602902920215,-0.020638914390777547,0.014704007278137568,-0.10253117671088567,0.09882914586157739,1.0903568371482517,-0.16566465036221104,-0.1300645591778176,0.017930019547926272
1965-04-01,0.054565895247855795,-0.2971390720273628,-0.01216269303838928,-0.08964359482827906,-0.5576395535770851,0.28087851547059556,0.01124656417324573,0.5655142276183418,0.02133581740658799,0.5285842674914921,0.027075975859358233
1965-05-01,0.02450388319460042,0.26314837522194034,-0.27659231579148924,-0.04001931407644103,-0.20936280488967896,-0.4901517005193801,-0.18072924281977398,0.3461690376634183,0.11006364461260609,0.44585873033398776,0.007765220900749088
1965-06-01,-0.018688366092337764,0.29503136384682577,-0.19895256339729606,-0.05391568900085986,-0.03876736552654942,0.016103155674442413,-0.011087613345324238,0.5020133179167042,-0.026760078317886293,0.07663390242329267,0.051369265137310424
1965-07-01,-0.034306933873979914,-0.13815998786785563,0.05833330963339124,-0.032633273707081877,-0.11205183742921564,0.25730643953595844,-0.0349773742447171,0.45079051152519556,0.027047781553856617,-0.29145039130594125,0.04954172854609526
1965-08-01,-0.03760428181642969,-0.3986379406491264,0.19068994692393712,-0.021808404397840302,-0.08895139716848542,0.24131210077376591,-0.10881980857517146,0.6775577431139739,-0.059797586307991146,-0.07302044742853842,0.07494219237654431
1965-09-01,-0.03218816991280672,0.6634802603330768,-0.4436564522904235,-0.04886072020356854,-0.3793729256980027,-0.27196965520344085,-0.16588780887519256,0.6915401505387347,0.09781535331523512,0.2143553806312173,0.06883434942984702
1965-10-01,0.031032220832085962,0.1375305848043473,0.37033701097810423,-0.007011293705242376,-0.3731753629974172,0.21811950774419875,-0.19266648760324792,-0.5344765989676765,-0.04818704185668271,0.06786662841511663,0.023358661994033737
1965-11-01,-0.02236502598328837,-0.4261042739524216,0.024125117856960792,-0.00565444507325689,-0.2983232276349128,0.489190693885561,0.11156116718355613,-0.0412451791698518,0.04876947182778633,-0.06273103024915,0.008014774950840478
1965-12-01,0.01578414129102465,-0.18648155888573067,-0.014876808922786217,-0.03056545037543401,-0.14422606629661366,0.04378076465356918,-0.16176365315914154,0.5900230096734088,0.005133559381820281,0.00546420706766788,0.03295650379052481
1966-01-01,0.010870705780761289,0.71011341986109,0.04819078588640535,0.011657254382347068,0.24363960646375823,-0.2683378401256743,-0.15752719172948523,0.8804161911425383,-0.12904442945067676,-0.12038226041368373,0.00356792094306004
1966-02-01,-0.020569085047162813,-0.358632646623205,0.0907007653217811,0.0002995645433353881,0.38348564618750464,-0.24220614679275998,-0.41427465179298495,0.8259543906087461,0.05469662963985871,-0.3358158065336887,0.02720440552470672
1966-03-01,0.015052346319987855,0.19118857921146956,0.2698438121126844,-0.05993798662287494,-0.32315672952917557,0.23710115088356865,-0.14680164712893812,0.08671154956454816,-0.008182189523151494,0.16629433381223233,0.034353462117412095
1966-04-01,-0.00620174130225288,0.2766905505149091,-0.027544450547013963,-0.049927479160639145,0.11983221467537215,-0.20336669588845874,-0.10805639285075513,1.0606783887614375,-0.055657356171463286,0.48741762326142496,0.0325623304769159
1966-05-01,0.021652458579706147,0.16566187631888468,-0.14846112046922955,-0.04457388484540085,-0.2919254423696783,0.40033705650813994,0.03360220808771592,0.07307816134846729,0.025374979016648747,0.2369295144192526,0.011805392981250726
1966-06-01,-0.009497122602821718,0.3204905595935759,0.03827714494296482,0.02829898465036725,-0.39523017557361456,0.00747031576576687,-0.2272488007062598,0.2603776752948761,-0.013810805091757259,-0.16959917809918662,0.023022572104013796
1966-07-01,0.004794044750444407,-0.18004942380014013,0.009619443399178517,0.02472655028880884,-0.3840615854987615,0.11537827196575347,-0.044218082381766055,0.7750867501549098,0.04346691229255344,-0.265621419160444,-0.0003034717803933891
1966-08-01,-0.0029384954993067116,-0.06904522048645333,-0.013351101766933094,0.025806624015482765,-0.044376153168799,0.07849079039361742,-0.10268320152653923,0.4152787120445915,-0.003297339957748051,-0.29879110717327795,0.016767866184415524
1966-09-01,-0.03109186151399841,0.4417837643232502,0.013873077832259141,-0.01592845122407501,-0.07569429617893847,0.25416182147132027,-0.22400673243063915,-0.2614938856466957,0.053688792369296495,-0.10697603156076413,0.04928773215567145
1966-10-01,0.04027846012392948,0.49624780162436066,-0.09627846347821223,-0.014212797240664562,-0.15652550360824488,0.1435880504903339,-0.16075212366973296,0.05910653297020041,0.0016280835725386727,0.20085434629538348,-0.004804977469904623
1966-11-01,0.048291928282815026,-0.09618810698634289,-0.09450779913307784,-0.06258060117640223,-0.48665064799634716,0.5804810259077284,-0.06637631715098513,0.18064293848431628,0.09776155874722865,0.24125628068903895,0.0037687686500784386
1966-12-01,0.018104828568404823,0.3377810364863912,0.16280312042731743,-0.03080540573379646,-0.394605798057363,0.6609588861465454,-0.10835532971386667,0.6365814286729563,-0.08453912148374995,-0.13272101494753472,0.018363677520345335
