,r200_cluster1,r200_cluster2,r200_cluster3,r200_cluster4,r200_cluster5,r200_cluster6,r200_cluster7,r200_cluster8,r200_cluster9,r200_cluster10,r200_cluster11
1965-01-01,83.02338,31.384552,41.82698,33.790817,47.368427,38.5067,36.30355,17.86427,84.35837,10.974724,39.84988
1965-02-01,88.50258,35.34039,67.31797,40.170933,56.828037,44.16772,41.163578,26.992998,90.25363,8.047569,31.430416
1965-03-01,90.545204,42.8573,30.00697,35.551697,51.579796,34.87191,38.975174,18.884762,95.049774,9.4235115,38.052963
1965-04-01,87.34941,53.658455,40.377323,27.907019,23.160013,38.22168,48.539616,24.024893,83.501686,57.88129,42.544434
1965-05-01,84.340355,72.13377,20.146042,37.62052,41.266773,42.221745,49.40941,21.282833,88.165146,82.74983,36.573822
1965-06-01,76.28617,71.47037,14.139393,28.514727,27.366468,66.95596,44.564125,12.973118,76.63179,82.11427,35.487812
1965-07-01,70.295906,76.0159,13.724972,30.799776,12.55706,73.61782,23.135443,16.807743,74.07811,82.3911,38.962067
1965-08-01,82.785866,73.29841,15.299118,33.76952,26.20347,67.229515,23.384424,13.947746,81.44596,57.00003,42.975235
1965-09-01,88.17825,49.910645,22.280392,39.07837,12.694653,54.30056,31.148676,20.845482,79.39515,65.14267,35.050457
1965-10-01,86.672905,51.748512,32.354263,37.822,34.290413,42.94575,40.483795,43.930206,87.31993,49.21121,39.58124
1965-11-01,87.054565,48.986797,32.198654,44.429806,39.735218,52.66417,59.322754,40.385513,85.752335,44.087456,35.658165
1965-12-01,91.60664,50.646122,35.733513,41.941643,53.665005,45.353653,28.028233,33.37967,85.962006,25.171513,35.02425
1966-01-01,86.26921,39.572353,43.633663,30.847265,58.893944,43.246246,23.407549,38.083424,89.45883,10.84277,41.92312
1966-02-01,90.56856,46.897156,34.60324,23.597975,58.11583,35.20899,32.882843,13.822266,89.339,17.328716,34.489967
1966-03-01,84.11051,36.33512,49.333286,32.265606,64.857864,28.954504,41.95595,16.269886,87.87305,31.574493,39.994244
1966-04-01,84.38138,51.234253,45.344208,43.656647,25.993065,41.05964,45.043793,36.441826,87.23447,68.19195,33.532917
1966-05-01,86.70259,81.43799,23.287712,40.274956,33.723343,57.350845,38.628433,36.203796,88.309715,73.42372,41.08262
1966-06-01,86.27414,68.23299,17.734192,24.172533,29.320581,61.405586,35.653862,12.069042,84.65552,81.483955,38.03089
1966-07-01,78.82785,65.55718,18.142948,21.380177,18.046093,68.686066,31.361086,8.894192,80.5187,85.75375,39.225975
1966-08-01,90.035034,77.650826,11.013496,25.068846,14.419807,59.519394,29.776945,9.206097,85.75539,64.81026,28.16818
1966-09-01,85.27112,64.48522,13.055641,37.664818,13.759888,54.57983,32.219643,21.020668,83.48342,60.240055,31.390635
1966-10-01,90.97731,39.587128,28.885557,44.244335,40.16497,60.24498,36.23991,36.504208,93.27719,43.14775,29.24671
1966-11-01,85.69301,46.197838,47.66378,34.57205,37.858524,44.06048,54.906506,48.44354,93.19347,31.367651,38.978096
1966-12-01,87.684265,36.67986,40.714905,24.412207,46.319313,41.77045,48.850655,32.97149,88.741455,16.48658,34.4358
1967-01-01,89.0942,46.249054,33.87994,27.608395,69.10228,33.54212,54.07793,21.019302,92.45378,9.393379,31.307474
1967-02-01,90.72754,33.455982,27.814463,22.732025,71.103836,40.14473,46.737198,10.498035,94.44013,7.7887573,37.79522
1967-03-01,81.31431,44.840366,47.96347,23.846817,53.96814,42.732395,56.942608,8.648499,88.798615,20.767628,37.02669
1967-04-01,87.89833,53.947872,41.521328,24.537651,49.307976,47.15609,49.292774,25.03424,89.9303,51.274063,45.5464
1967-05-01,81.46295,64.67183,18.791409,38.261406,37.08243,41.24601,53.73336,18.345493,87.514915,67.901344,34.234646
1967-06-01,75.073166,68.48408,25.42104,32.23309,28.854933,65.83729,41.04332,10.283524,70.132614,81.545715,29.473137
1967-07-01,76.301125,83.59963,12.844166,30.136944,13.739376,72.53955,36.729416,14.033276,73.90433,75.82143,29.456245
1967-08-01,73.26416,81.2231,11.622963,24.152542,26.655754,71.06161,32.043915,16.028076,68.77966,65.56704,30.648735
1967-09-01,89.07056,67.26456,14.899773,25.201458,22.058086,58.955986,32.253357,15.666615,88.11285,62.492916,30.72981
1967-10-01,84.40195,50.375473,27.758722,29.50354,24.33496,55.462975,48.324932,42.64625,88.74625,51.37203,29.601505
