,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11
1966-11-01,1019.82135,1009.26385,1014.8562,1015.4476,1019.8013,1015.4126,1013.3502,1016.43024,1016.23376,1019.2111,1020.1524
1966-12-01,1020.6037,1008.4702,1014.87866,1015.31366,1018.06006,1018.5714,1011.3875,1018.435,1018.5839,1020.66876,1016.0253
1967-01-01,1019.47845,1009.3455,1015.7728,1018.12445,1018.6142,1015.3353,1007.6622,1021.9628,1016.28656,1016.2219,1019.2121
1967-02-01,1021.2459,1009.1047,1015.85706,1016.8554,1017.9946,1018.4169,1010.87286,1020.077,1020.52466,1023.3603,1019.5996
1967-03-01,1020.4536,1009.5712,1016.0536,1016.31635,1017.8691,1017.72034,1015.1089,1019.2477,1022.5338,1024.0126,1021.3823
1967-04-01,1018.2282,1009.73157,1015.9833,1023.03815,1016.76904,1016.9628,1019.6729,1014.52405,1021.8315,1019.4116,1020.9506
1967-05-01,1020.5131,1008.9334,1016.38306,1020.0603,1016.8794,1017.5934,1021.4121,1015.47534,1017.6434,1025.2295,1019.0728
1967-06-01,1025.006,1008.6439,1016.391,1016.07104,1015.75903,1017.7936,1021.79016,1015.75616,1018.9197,1026.0675,1022.41125
1967-07-01,1023.9183,1009.1584,1017.03827,1020.2678,1018.9995,1020.4021,1021.6196,1015.07336,1024.2593,1025.5791,1022.47217
1967-08-01,1022.671,1009.5886,1016.8576,1021.3148,1018.0664,1024.4574,1019.3551,1014.43634,1026.5116,1024.0387,1023.9052
1967-09-01,1022.84735,1010.2039,1016.2438,1018.8522,1016.2053,1015.90485,1018.10486,1015.53265,1025.31,1021.35846,1023.2711
1967-10-01,1020.7003,1010.3897,1015.58057,1018.652,1018.2006,1022.25305,1016.0072,1016.957,1020.6756,1022.5803,1024.2557
1967-11-01,1018.7332,1009.6293,1014.63654,1019.5067,1018.85803,1017.0455,1012.94666,1017.7007,1020.9093,1022.98596,1017.5157
1967-12-01,1019.32025,1010.42084,1015.9811,1012.90967,1017.9423,1014.9964,1010.9847,1018.9865,1019.57275,1015.0175,1018.76154
1968-01-01,1018.0528,1009.3047,1015.7372,1007.4384,1019.13336,1012.5871,1008.4045,1020.3921,1021.31305,1020.5545,1021.0505
1968-02-01,1017.3158,1010.77454,1015.58325,999.28424,1017.79803,1014.6481,1011.483,1016.9744,1023.7096,1014.8734,1021.8054
1968-03-01,1022.9618,1009.01416,1016.19946,1023.10706,1018.0228,1020.25397,1014.2659,1017.2871,1023.1693,1023.5765,1019.54553
1968-04-01,1016.4978,1009.8693,1015.9247,1022.7528,1016.9265,1011.5753,1014.57935,1014.4942,1022.07166,1019.0597,1016.8656
1968-05-01,1015.85455,1009.0428,1016.27313,1019.09186,1015.949,1013.18823,1017.8897,1013.31415,1017.8353,1022.7743,1020.8415
1968-06-01,1021.1699,1009.6439,1017.265,1018.8922,1016.5351,1016.02985,1021.8498,1013.7278,1021.7353,1023.4162,1021.605
1968-07-01,1021.3059,1009.70685,1017.54407,1023.1228,1019.54193,1015.8631,1022.67847,1014.9479,1023.6931,1024.5691,1023.07556
1968-08-01,1018.6475,1009.91724,1017.1548,1018.8536,1019.11615,1013.1897,1016.8764,1014.3475,1029.4958,1022.65485,1022.9375
1968-09-01,1016.0899,1010.089,1016.03485,1016.8162,1016.885,1014.05835,1018.87146,1016.1802,1024.3951,1019.7173,1020.73346
1968-10-01,1022.3815,1010.38885,1015.3923,1017.4889,1017.3387,1017.82104,1016.74396,1018.6353,1022.67773,1016.44275,1018.9437
1968-11-01,1019.96704,1011.27045,1015.3658,1015.7508,1017.78595,1012.6866,1012.52057,1017.02167,1018.6504,1018.1015,1018.3069
1968-12-01,1018.8536,1009.4127,1015.5139,1015.8552,1018.5273,1012.63007,1010.25214,1016.6803,1019.9799,1018.7727,1019.0003
1969-01-01,1015.44446,1009.47687,1014.413,1019.3018,1016.0709,1012.4282,1009.22797,1018.06946,1018.4856,1010.5782,1017.46924
1969-02-01,1020.3032,1010.18945,1014.3345,1021.1655,1015.3446,1012.23914,1009.1793,1014.89667,1017.3656,1009.8819,1017.2321
1969-03-01,1018.10126,1010.3486,1015.3078,1022.49396,1015.7864,1017.6464,1015.0051,1012.39264,1019.34106,1011.31757,1018.9498
1969-04-01,1018.24854,1010.3236,1015.1637,1025.4122,1015.1998,1011.50604,1018.9811,1013.8153,1022.32983,1026.0088,1020.0986
1969-05-01,1016.35547,1008.9459,1015.2554,1019.283,1015.2978,1015.59045,1019.94196,1014.65955,1021.9417,1024.1843,1020.9571
1969-06-01,1019.12585,1009.7595,1015.79456,1017.6358,1014.4879,1012.9105,1021.9567,1012.757,1018.5842,1024.1082,1023.1859
1969-07-01,1014.3606,1010.2456,1016.8041,1022.94696,1017.823,1017.068,1025.3542,1016.39667,1024.5955,1025.0647,1023.22833
1969-08-01,1021.67596,1010.2662,1015.76263,1021.4189,1015.01514,1021.0876,1022.86273,1013.67615,1023.26514,1021.89,1022.771
1969-09-01,1018.2554,1009.6429,1015.0895,1020.30194,1015.837,1018.60425,1018.2404,1014.2022,1027.5543,1022.14954,1021.8831
1969-10-01,1018.8332,1010.1757,1014.7631,1016.33044,1015.7545,1018.1206,1016.8621,1014.61835,1021.1905,1019.0834,1022.3093
1969-11-01,1024.1044,1010.1957,1014.5291,1015.66284,1018.3321,1018.2379,1013.0547,1019.86084,1021.0907,1015.59045,1021.82947
1969-12-01,1017.9178,1010.47833,1014.9571,1016.3155,1017.67444,1016.7766,1008.66705,1016.92206,1019.78534,1023.85425,1021.6067
1970-01-01,1019.86383,1010.8689,1016.1549,1008.56885,1018.0064,1015.94867,1010.3924,1017.90125,1019.7949,1009.19275,1021.3387
1970-02-01,1018.8579,1010.96576,1015.9231,1012.73944,1018.72955,1013.3367,1012.563,1019.27563,1020.03796,1027.0518,1020.00055
1970-03-01,1016.1406,1009.3995,1015.4258,1016.10913,1014.83936,1016.6867,1013.42456,1015.75916,1016.7241,1014.2992,1019.10565
1970-04-01,1016.9137,1009.80646,1015.7039,1025.6514,1015.22144,1015.1911,1018.1615,1015.3176,1022.95483,1020.51276,1020.84607
1970-05-01,1019.6161,1008.74646,1016.0028,1020.6535,1017.1038,1014.1875,1021.426,1013.295,1020.114,1023.76776,1018.18225
1970-06-01,1022.3102,1009.64136,1016.695,1019.9637,1017.69745,1018.67725,1019.7837,1015.055,1020.3939,1027.7614,1021.23346
1970-07-01,1022.6577,1010.26526,1016.95764,1025.7546,1018.275,1017.7598,1023.92993,1013.27716,1025.1997,1024.9502,1023.5722
1970-08-01,1023.1213,1009.2248,1015.78766,1022.7701,1016.6451,1019.87103,1019.9702,1013.93854,1025.5474,1023.9924,1028.1385
1970-09-01,1023.26624,1008.854,1015.5762,1018.89764,1016.1739,1020.96844,1015.654,1015.4288,1022.2864,1021.6785,1022.80273
