,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6
1970-09-01,-0.24660034,0.40767288,0.012979126,0.13211899,-0.12479744,-0.5421211
1970-10-01,0.15840988,0.2043354,0.015641402,0.16573104,-0.21265526,-0.39436072
1970-11-01,0.29618645,0.1683937,-0.15840988,0.2159832,-0.377721,-0.110154726
1970-12-01,-0.18336944,0.110155106,0.101502225,-0.18902703,0.0915184,-0.08153458
1971-01-01,-0.048339844,0.23843384,-0.23876038,0.3409931,-0.14632683,-0.091780856
1971-02-01,0.14926605,-0.27305564,-0.15318565,0.45269775,-0.04050102,-0.015677642
1971-03-01,0.4807869,-0.32988816,-0.073163606,-0.07512321,0.22994193,-0.041807555
1971-04-01,0.08198204,-0.08459511,-0.1554718,-0.06173153,0.36450997,-0.40958405
1971-05-01,0.004899216,0.034621812,-0.19336013,-0.0574852,-0.2113243,0.16821022
1971-06-01,0.24953881,0.07283668,-0.099946216,-0.07544956,-0.41807595,-0.23222809
1971-07-01,0.3321739,0.2034851,-0.056505583,-0.3282547,-0.41187,0.0029396056
1971-08-01,-0.059771728,0.13914108,-0.04246063,-0.07153015,-0.12378959,0.34295312
1971-09-01,-0.031028748,0.17343636,-0.05715866,0.12640266,-0.10321236,-0.3876999
1971-10-01,-0.07283668,-0.13652802,0.07381668,-0.1420805,-0.11889038,-0.1296688
1971-11-01,0.14273377,0.2247158,0.22046967,0.041481018,-0.25117224,-0.09178047
1971-12-01,0.097659685,0.2668499,0.11105118,0.40729713,0.09374046,0.06467094
1972-01-01,0.00688591,0.2808918,-0.02324028,0.20170268,0.03127403,-0.37500077
1972-02-01,0.03012619,0.16641197,-0.20658036,0.207728,-0.041889954,-0.35176048
1972-03-01,-0.10673313,-0.0097553255,-0.019223403,0.30355817,-0.28777772,-0.03471718
1972-04-01,0.17731495,-0.14977074,0.0028690337,-0.41430837,0.17444535,0.29868048
1972-05-01,0.35922012,0.22350845,0.07459831,0.30900955,-0.17874947,-0.0832058
1972-06-01,0.37901726,0.04074211,-0.12136574,-0.1793232,-0.07201614,-0.058244325
1972-07-01,0.19998093,-0.020944977,-0.058530807,0.5084171,-0.24244519,0.45074692
1972-08-01,0.13083419,0.41430855,-0.07890244,-0.24588814,-0.1377203,-0.25822526
1972-09-01,0.24760933,-0.0068862913,0.15981254,0.16583805,-0.35979423,0.4800125
1972-10-01,0.14575386,-0.17329788,0.10845451,0.05824413,-0.012050629,0.35147363
1972-11-01,0.25420856,-0.26568526,0.039307784,-0.27228433,-0.048775863,0.25535622
1972-12-01,0.39221573,-0.14862327,0.06254806,0.11935749,-0.12681732,-0.008033371
1973-01-01,0.14526062,-0.19686623,0.0774086,0.28733596,0.16978951,0.020069122
1973-02-01,0.25802916,-0.00031852722,0.03440361,0.36347008,0.15163192,-0.27491227
1973-03-01,0.04523468,-0.071993254,-0.16978951,0.12965146,0.2644001,-0.29466286
1973-04-01,0.093336485,0.11850204,-0.037908174,-0.15035744,0.15354308,0.17616042
1973-05-01,-0.114042476,-0.22043952,0.15609169,0.0073266984,-0.202919,0.18890266
1973-06-01,-0.14557953,0.0054157255,-0.030581284,-0.08792114,-0.13952656,0.31409416
