,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6
1965-01-01,29.660429348603138,29.62484861675062,32.53699960842938,42.49337039776703,29.637573409254532,27.148248849670743
1965-02-01,30.112265486743567,30.6717688577217,33.56985575716261,42.69941244552385,30.47504703493884,28.166264393290533
1965-03-01,30.256515840140494,29.599094390869144,33.356817003706816,42.59278691230129,29.67637890446795,28.520791517580793
1965-04-01,30.618555901458908,27.97401829769737,32.44416680134518,43.06367048576697,28.493496971408813,28.53022507631062
1965-05-01,30.045505123243807,25.30633524844521,30.636313263799106,42.52559604929455,26.450102868741443,27.609133068981066
1965-06-01,29.12997672571003,23.05804302817897,28.89156610193387,41.843288098994776,24.65405429366731,26.512448253527364
1965-07-01,28.402499204182494,21.609332268698175,27.42994201015419,41.3630291004086,23.13791469935953,25.44695640522274
1965-08-01,28.1874957005622,20.625651510138262,26.406517834730554,41.39580133542493,22.416032665837417,24.62713627215943
1965-09-01,28.15694124000507,20.897841871830458,26.15853699160294,41.46239437274079,22.550032956756812,24.42965168770545
1965-10-01,28.69779260119022,21.245587499518145,26.9255839603048,42.20568718601815,22.95529024444357,24.947398868414872
1965-11-01,29.382675128747085,22.862163342927634,28.105293864935216,42.831371554094765,24.241186406490574,25.59553261011676
1965-12-01,29.924589757761243,25.65965819777104,30.019093903017716,43.14423176779676,26.47223089733263,26.444329850660647
1966-01-01,30.31779758179385,28.430624175489996,32.08242873070945,43.196843275383344,28.894118148915087,27.498424509183955
1966-02-01,30.55462389361134,30.1346126355623,33.09681717778596,43.294020315900966,30.24647566523865,28.07147646210884
1966-03-01,30.738500732084663,29.48556699250874,32.96279504265584,43.36984548995744,29.622750386704492,28.17063670340783
1966-04-01,30.650263201465922,27.59065209773549,31.82264247410734,43.642732041392165,28.043588234560332,27.810566803145278
1966-05-01,29.762604223430486,25.11119926184939,30.204605048810933,43.052276687242504,26.190068599951527,26.725446982461897
1966-06-01,29.200425332422412,22.518707576550938,28.297573411968393,42.56359309106324,24.21966817257178,25.79348308792531
1966-07-01,28.631490633632595,20.757979677434555,26.724161228663487,41.96413144543397,22.902094012629377,24.922424066262167
1966-08-01,27.851566293621588,20.31921754803574,26.399265880316076,41.155496284143254,22.358203108293296,24.219737026860805
1966-09-01,27.821229966305896,20.17050291362562,25.82133924457389,41.05397219681622,21.954307416929815,23.90181432004835
1966-10-01,28.089514885159485,21.05587825440524,26.434624362999287,41.73384139786906,22.822440627717622,24.124778163889065
1966-11-01,28.77753874214973,22.90561826605546,27.753057614178726,42.48715680630053,24.230936147870807,24.757581200104593
1966-12-01,29.465671138868807,25.710893932141758,29.782065539292887,42.83271334064541,26.492923541660723,25.73995850776714
1967-01-01,29.90748790087621,28.602671204951776,32.144299359388754,42.80712735000535,28.937696192386376,27.036888872990843
1967-02-01,30.109441346226475,30.649926369650323,33.44599226830711,42.75012988949297,30.403554874615075,28.085133286773182
1967-03-01,30.45969483602113,29.97809962222451,33.47899074285803,43.15317732777762,30.311640161667423,28.426273533555328
